,Correct evaluations (out of 27),Errors (out of 135)
cSIL (↑),10,57
GD43 (↑),9,65
GD53 (↑),1,111
PS (↑),10,71
rCIP (↓),5,77
WB (↓),11,55
XB (↓),9,66
SSE (↓),11,52
RS (↑),11,57
DH (↓),16,32
B (↓),13,46
BH (↓),17,24
D (↑),12,56
H (↓),5,69
DBCV (↑),25,2
I (↑),10,53
C (↓),12,51
CDbw (↑),23,2
VIASCKDE (↑),17,23
COP (↓),11,55
Sym (↑),15,33
CS (↓),12,46
SF (↑),6,68
SD (↓),15,36
SDbw (↓),14,38
XB* (↓),7,69
S (↑),11,51
DB (↓),10,61
CH (↑),9,60
ED-S (↑),18,15
ED-DB (↓),13,31
ED-CH (↑),10,49
AD-S (↑),21,14
AD-DB (↓),18,24
AD-CH (↑),14,43
AD-idea (↑),24,8
