,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.819,0.698,0.688,0.819,0.581,0.000,0.002s
GD43 (↑),2.200,1.368,1.304,2.200,0.962,0.014,0.001s
GD53 (↑),0.494,0.500*,0.492,0.494,0.492,0.494,0.001s
PS (↑),1.963,1.924,1.944,1.963,1.924,1.915,0.001s
rCIP (↓),0.002,0.075,0.077,0.002,0.077,0.335,0.001s
WB (↓),1.768,3.460,3.623,1.768,5.781,20129.431,0.001s
XB (↓),0.221,0.432,0.453,0.221,0.722,2514.606,0.001s
SSE (↓),182.845,246.952,251.086,182.845,289.535,389.663,0.000s
RS (↑),0.062,-0.267,-0.288,0.062,-0.485,-1.000,0.001s
DH (↓),0.503,0.625,0.632,0.503,0.718,0.999,0.009s
B (↓),0.443,0.866,0.908,0.443,1.448,5038.668,0.001s
BH (↓),91.423,123.476,125.543,91.423,144.768,194.832,0.001s
D (↑),0.265,0.207,0.207,0.265,0.190,0.013,0.001s
H (↓),0.362,0.604,0.623,0.362,0.839,1.999,0.001s
DBCV (↑),-0.322,-0.879,-0.871,-0.322,-0.863,-0.972,4.206s
I (↑),0.596,0.318,0.305,0.596,0.167,0.000,0.000s
C (↓),0.101,0.222,0.229,0.101,0.303,0.501,0.022s
CDbw (↑),0.104,0.009,0.006,0.105*,0.006,0.005,0.006s
VIASCKDE (↑),0.627,0.560,0.578,0.627,0.577,0.030,0.023s
COP (↓),0.303,0.259*,0.261*,0.303,0.288*,0.333,0.006s
Sym (↑),0.054,0.006,0.006,0.054,0.011,0.000,0.002s
CS (↓),1.348,1.746,1.777,1.348,2.190,122.327,0.001s
SF (↑),0.380,0.335,0.333,0.380,0.289,0.235,0.001s
SD (↓),882181.857,1007740.860,1027326.538,882181.857,1412340.876,1641920.291,0.033s
SDbw (↓),1.357,1.633,1.671,1.357,2.293,2.947,0.001s
XB* (↓),0.224,0.433,0.460,0.224,0.734,2542.914,0.001s
S (↑),0.486,0.348,0.341,0.486,0.264,-0.001,0.009s
DB (↓),0.852,1.167,1.191,0.852,1.607,94.477,0.001s
CH (↑),902.795,461.282,440.547,902.795,276.074,0.079,0.000s
AD-S (↑),0.166,0.121,0.079,0.166,0.022,0.004,0.041s
AD-DB (↓),1.675,1.736,1.825,1.675,1.916,3.192,0.041s
AD-CH (↑),926.221,892.854,849.956,926.221,809.350,243.751,0.058s
AD-idea (↑),1.639,1.058,1.080,1.639,1.247,0.571,0.075s
