,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.954,0.920,0.920,0.908,0.464,-0.068,0.022s
GD43 (↑),6.918,2.461,2.571,2.075,1.023,0.002,0.003s
GD53 (↑),0.038,0.133*,0.157*,0.095*,0.450*,0.394*,0.003s
PS (↑),-2.905,1.031*,1.028*,1.047*,1.519*,1.653*,0.004s
rCIP (↓),0.000,0.000,0.000,0.000,0.107,25.011,0.004s
WB (↓),0.101,1.234,1.477,0.901,9.696,9887.767,0.003s
XB (↓),0.035,0.037,0.042,0.032*,1.113,199146.391,0.003s
SSE (↓),16.988,520.448,579.557,423.855,1130.932,1363.115,0.001s
RS (↑),0.611,-0.740,-0.714,-0.839,-0.699,-6.989,0.001s
DH (↓),0.099,0.296,0.297,0.311,0.576,0.999,0.463s
B (↓),0.002,0.042,0.047,0.037,2.058,1086.174,0.001s
BH (↓),2.124,260.224,289.778,211.928,565.466,170.389,0.001s
D (↑),0.301,0.357*,0.530*,0.605*,0.138,0.001,0.049s
H (↓),0.366,0.150*,0.153*,0.165*,1.064,7.996,0.001s
DBCV (↑),0.950,-0.995,-0.979,0.973*,-1.000,-1.000,27.727s
I (↑),3.599,0.955,0.911,0.960,0.064,0.000,0.001s
C (↓),0.000,0.018,0.042,0.001,0.314,0.262,1.496s
CDbw (↑),1.830,0.066,0.037,0.575,0.006,0.030,0.742s
VIASCKDE (↑),0.889,0.947*,0.943*,0.896*,0.900*,-0.458,1.999s
COP (↓),0.140,0.135*,0.119*,0.397,0.120*,0.158,0.048s
Sym (↑),0.122,0.003,0.002,0.006,0.000,0.000,0.015s
CS (↓),0.732,0.987,1.157,0.714*,4.697,283.627,0.106s
SF (↑),0.423,0.407,0.409,0.402,0.462*,0.079,0.003s
SD (↓),678312772.982,11821999705.876,11499521995.819,12767720201.314,12501533242.393,12670776305.581,1.616s
SDbw (↓),0.221,0.932,0.908,1.008,2.523,2.960,0.008s
XB* (↓),0.263,0.138*,0.134*,0.169*,1.236,237033.969,0.003s
S (↑),0.833,0.803,0.794,0.815,0.471,-0.037,0.691s
DB (↓),0.358,0.483,0.484,0.517,1.252,278.773,0.002s
CH (↑),73547.559,10534.806,8797.632,14416.420,1340.393,0.750,0.001s
ED-S (↑),0.966,0.888,0.877,0.903,0.474,-0.330,188.781s
ED-DB (↓),0.317,0.262*,0.241*,0.217*,1.083,1097.826,37.184s
ED-CH (↑),28272.457,3316.401,3779.692,13670.646,2929.431,78.133,33.577s
AD-S (↑),0.970,0.858,0.855,0.887,0.547,-0.132,1.668s
AD-DB (↓),0.259,0.258*,0.266,0.246*,1.541,918.431,1.814s
AD-CH (↑),37481.264,3148.875,3895.512,13315.163,3502.345,90.869,3.194s
AD-idea (↑),29.266,5.576,5.550,10.584,0.326,0.002,4.577s
