,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.823,0.772,0.787,0.523,0.836*,-0.043,0.001s
GD43 (↑),2.120,1.442,1.447,0.777,1.619,0.018,0.000s
GD53 (↑),0.265,0.474*,0.462*,0.497*,0.334*,0.463*,0.003s
PS (↑),0.789,1.324*,1.297*,1.959*,1.630*,1.420*,0.000s
rCIP (↓),0.023,0.033,0.025,0.058,0.003*,1.801,0.001s
WB (↓),0.978,3.169,3.121,7.299,1.464,2738.539,0.000s
XB (↓),0.332,0.309*,0.293*,0.912,0.176*,1264.928,0.000s
SSE (↓),112.255,350.309,348.243,448.488,241.528,570.550,0.001s
RS (↑),0.377,-0.167,-0.119,-0.570,0.084,-2.988,0.000s
DH (↓),0.269,0.534,0.514,0.729,0.459,0.996,0.008s
B (↓),0.186,0.507,0.469,1.828,0.339,508.436,0.000s
BH (↓),28.064,175.154,174.122,224.244,120.764,142.638,0.000s
D (↑),0.492,0.316,0.327,0.164,0.328,0.002,0.001s
H (↓),0.551,0.453*,0.421*,0.954,0.313*,3.997,0.000s
DBCV (↑),0.858,-0.999,-0.997,-1.000,0.042,-1.000,7.573s
I (↑),0.700,0.493,0.520,0.150,0.797*,0.000,0.000s
C (↓),0.035,0.194,0.188,0.333,0.068,0.495,0.042s
CDbw (↑),1.322,0.009,0.008,0.033,0.152,0.002,0.058s
VIASCKDE (↑),0.708,0.718*,0.728*,0.700,0.611,-0.271,0.039s
COP (↓),0.244,0.410,0.405,0.481,0.357,0.531,0.009s
Sym (↑),0.007,0.004,0.004,0.003,0.009*,0.000,0.002s
CS (↓),0.887,1.531,1.485,2.397,1.038,82.146,0.002s
SF (↑),0.360,0.337,0.343,0.261,0.367*,0.060,0.001s
SD (↓),3371172549.494,12078026917.899,11588769149.928,19668807539.342,10454139333.982,21321933146.684,0.059s
SDbw (↓),0.628,1.008,1.018,2.040,0.721,2.791,0.001s
XB* (↓),0.406,0.326*,0.317*,0.918,0.263*,1319.908,0.002s
S (↑),0.486,0.416,0.425,0.255,0.542*,-0.021,0.017s
DB (↓),0.589,0.940,0.897,1.794,0.808,62.987,0.001s
CH (↑),1357.902,629.823,639.478,273.474,1362.974*,0.485,0.000s
AD-S (↑),0.827,0.281,0.270,0.046,0.789,-0.015,0.070s
AD-DB (↓),0.492,0.995,0.972,1.513,0.450*,160.270,0.069s
AD-CH (↑),4092.035,435.979,420.091,667.069,4294.863*,4.302,0.100s
AD-idea (↑),76.119,1.640,1.823,1.707,3.975,0.041,0.136s
