,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.823,0.772,0.787,0.523,0.836*,-0.014,0.003s
GD43 (↑),2.120,1.442,1.447,0.777,1.619,0.013,0.001s
GD53 (↑),0.265,0.474*,0.462*,0.497*,0.334*,0.474*,0.001s
PS (↑),0.789,1.324*,1.297*,1.959*,1.630*,1.532*,0.001s
rCIP (↓),0.023,0.033,0.025,0.058,0.003*,1.797,0.001s
WB (↓),0.978,3.169,3.121,7.299,1.464,1246.272,0.001s
XB (↓),0.332,0.309*,0.293*,0.912,0.176*,2326.218,0.001s
SSE (↓),112.255,350.309,348.243,448.488,241.528,569.556,0.000s
RS (↑),0.377,-0.167,-0.119,-0.570,0.084,-2.987,0.000s
DH (↓),0.269,0.534,0.514,0.729,0.459,0.996,0.010s
B (↓),0.186,0.507,0.469,1.828,0.339,231.864,0.000s
BH (↓),28.064,175.154,174.122,224.244,120.764,142.389,0.000s
D (↑),0.492,0.316,0.327,0.164,0.328,0.001,0.001s
H (↓),0.551,0.453*,0.421*,0.954,0.313*,3.988,0.001s
DBCV (↑),0.858,-0.999,-0.997,-1.000,0.042,-1.000,6.709s
I (↑),0.700,0.493,0.520,0.150,0.797*,0.001,0.000s
C (↓),0.035,0.194,0.188,0.333,0.068,0.495,0.031s
CDbw (↑),1.322,0.009,0.008,0.033,0.152,0.002,0.053s
VIASCKDE (↑),0.708,0.718*,0.728*,0.700,0.611,-0.288,0.039s
COP (↓),0.244,0.410,0.405,0.481,0.357,0.530,0.013s
Sym (↑),0.007,0.004,0.004,0.003,0.009*,0.000,0.003s
CS (↓),0.887,1.531,1.485,2.397,1.038,51.725,0.002s
SF (↑),0.360,0.337,0.343,0.261,0.367*,0.060,0.001s
SD (↓),3371172549.494,12078026917.899,11588769149.928,19668807539.342,10454139333.982,21289802288.708,0.059s
SDbw (↓),0.628,1.008,1.018,2.040,0.721,2.366,0.001s
XB* (↓),0.406,0.326*,0.317*,0.918,0.263*,2387.840,0.001s
S (↑),0.486,0.416,0.425,0.255,0.542*,-0.034,0.014s
DB (↓),0.589,0.940,0.897,1.794,0.808,58.935,0.001s
CH (↑),1357.902,629.823,639.478,273.474,1362.974*,1.066,0.000s
ED-S (↑),0.855,0.404,0.388,0.050,0.800,-0.032,3.968s
ED-DB (↓),0.252,1.006,0.957,1.456,0.412,299.516,1.602s
ED-CH (↑),3193.226,442.488,441.541,719.309,2621.386,4.048,1.369s
AD-S (↑),0.827,0.281,0.270,0.046,0.789,-0.003,0.056s
AD-DB (↑),0.492,0.995*,0.972*,1.513*,0.450,403.383*,0.057s
AD-CH (↑),4092.035,435.979,420.091,667.069,4294.863*,3.475,0.087s
AD-idea (↑),76.119,1.640,1.823,1.707,3.975,0.019,0.103s
