,gt,dfl,dsl,vl,hl,rl,time
cSIL (↑),0.687,0.514,0.776*,0.704*,0.716*,0.002,0.003s
GD43 (↑),2.016,1.275,2.567*,1.921,2.168*,0.050,0.001s
GD53 (↑),0.488,0.496*,0.462,0.460,0.479,0.495*,0.001s
PS (↑),1.953,1.568,1.618,1.470,1.832,1.958*,0.001s
rCIP (↓),0.420,0.219*,0.183*,0.219*,0.210*,0.855,0.001s
WB (↓),3.639,8.056,2.460*,3.894,3.195*,3928.505,0.001s
XB (↓),0.455,0.946,0.294*,0.435*,0.397*,491.060,0.001s
SSE (↓),261.501,324.627,223.496*,267.717,249.211*,405.012,0.000s
RS (↑),-0.291,-0.598,-0.079*,-0.266*,-0.226*,-0.999,0.000s
DH (↓),0.675,0.757,0.575*,0.636*,0.630*,0.999,0.034s
B (↓),0.911,1.786,0.564*,0.786*,0.792*,983.084,0.000s
BH (↓),130.751,162.313,111.748*,133.858,124.606*,202.506,0.000s
D (↑),0.015,0.105*,0.161*,0.150*,0.140*,0.007,0.004s
H (↓),0.625,0.971,0.446*,0.586*,0.567*,1.996,0.001s
DBCV (↑),-0.994,-0.991*,-0.991*,-0.984*,-0.989*,-0.997,15.425s
I (↑),0.111,0.056,0.171*,0.120*,0.131*,0.000,0.000s
C (↓),0.270,0.343,0.193*,0.264*,0.232*,0.500,0.134s
CDbw (↑),0.022,0.013,0.010,0.007,0.012,0.008,0.463s
VIASCKDE (↑),0.324,0.689*,0.714*,0.700*,0.711*,-0.005,0.155s
COP (↓),0.255,0.255,0.231*,0.257,0.237*,0.296,0.015s
Sym (↑),0.013,0.008,0.012,0.010,0.010,0.000,0.004s
CS (↓),2.176,3.348,1.756*,2.241,2.253,71.971,0.009s
SF (↑),0.421,0.399,0.442*,0.426*,0.430*,0.362,0.001s
SD (↓),741573.573,918507.567,620232.889*,794776.114,767885.831,1153127.106,0.233s
SDbw (↓),2.206,2.227,1.787*,1.921*,2.142*,2.958,0.003s
XB* (↓),0.466,0.953,0.318*,0.472,0.415*,495.970,0.001s
S (↑),0.283,0.231,0.388*,0.317*,0.342*,0.000,0.072s
DB (↓),1.201,1.692,0.956*,1.127*,1.107*,39.720,0.001s
CH (↑),1112.907,502.720,1646.495*,1040.051,1267.652*,1.031,0.001s
ED-S (↑),-0.007,-0.041,-0.005*,-0.023,-0.013,-0.064,6.617s
ED-DB (↓),2.211,2.165*,2.232,2.434,2.436,2.670,2.545s
ED-CH (↑),1640.360,1461.448,1524.681,1601.532,1528.479,700.055,2.405s
AD-S (↑),0.017,0.025*,0.023*,0.039*,0.024*,-0.002,0.206s
AD-DB (↓),2.659,2.619*,2.669,2.458*,2.652*,2.523*,0.206s
AD-CH (↑),1639.143,1631.225,1643.307*,1639.715*,1643.440*,800.492,0.323s
AD-idea (↑),0.174,0.262*,0.264*,0.228*,0.252*,0.070,0.430s
