,ARI,AMI,time (s)
K-Means,0.512,0.410,0.052
DBSCAN,1.000,1.000,0.012
HDBSCAN,1.000,1.000,0.022
MeanShift,0.175,0.432,0.224
AgglomerativeClustering,0.196,0.147,0.014
SpectralClustering,1.000,1.000,0.601
ED-K-Means,1.000,1.000,33.679
AD-K-Means,1.000,1.000,0.313
