,labels_flame_DBSCAN_params21,labels_flame_DBSCAN_params26,labels_flame_DBSCAN_params27,labels_flame_DBSCAN_params33,labels_flame_DBSCAN_params38,labels_flame_DBSCAN_params44
cSIL,,,,,,
GD43,,,,,,
GD53,,,,,,
PS,,,,,,
rCIP,,,,,,
WB,,,,,,
XB,,,,,,
SSE,198.15271333410686,119.49295865935639,191.99576151861768,220.7027686380347,336.96856520979816,194.09354024979874
RS,,,,,,
DH,0.21267063026247582,0.2507817884111961,0.22078474146346413,0.5037950161323722,0.5697506335383429,0.4974760725216201
B,0.06829733553533755,0.8099330241552397,0.6129921378667044,0.6420323053823678,2.5045595752592402,1.69253801350333
BH,0.013383489743820275,0.8785609879846925,0.2693039255683306,0.646662676257746,24.792156186909676,7.120360462796329
D,0.21353293523562802,0.01964441534716595,0.41300225544653457,0.7599235022756938,0.040152755361149865,0.03202227895582036
H,,,,,,
DBCV,0.10209654871629133,0.08132071314668718,0.27553157280606494,0.23715767033036178,0.27690457850250905,0.11569705740879996
I,296.6392616818982,0.3176842154069403,3.6628627672292406,38.44303090189793,0.12784331116452413,0.3526017624181213
C,0.5579487913389367,0.1999789694179644,0.4261558896962178,0.4854101672769716,0.2623845014959197,0.14918314202838856
CDbw,0.5636401393753661,0.3121998551148352,0.5580532957443962,0.5874897752964261,0.11284483269765086,0.10903011984076862
VIASCKDE,0.25958145923548487,0.2049686942317605,0.17388301692816885,0.30381095083875354,0.38113375677354316,0.32458299610607866
COP,0.31986424352109905,0.24489976353005508,0.26913757979993785,0.26901159815501285,0.2672017170752481,0.24329606557255576
Sym,0.014093847102764671,0.014382822970954839,0.016491932424791467,0.032060176594499154,0.017123748255020502,0.014554131126266018
CS,1.8515799010478724,1.4418593279267369,1.1764956557827781,1.4823839013217668,2.1282624485185595,1.594695881195052
SF,0.29810215081601865,0.11557817637904433,0.19509866001786857,0.315929875820563,0.2229011861251572,0.20550288362906965
SD,608.7531970402517,671.8883755858591,316.2673813189797,628.3530453933195,1085.1262522107827,832.2426457801865
SDbw,1.0576514789241216,0.5945502390537448,0.5314667223731535,1.4593118941522603,1.3126431526314117,1.2206088276733134
XB*,45.3239441025294,59.92386471647337,14.63012317639779,1.6997425087767732,1.828509697491768,2.9060093313740887
S,-0.4344803509434595,0.0073791448873616475,-0.10913601335267571,-0.06943220438566715,0.25772445471144445,0.2839247076558051
DB,2.6377337269817858,2.308311677644215,1.0896724027339963,1.440317855661578,1.5537091602326996,1.6911884048044983
CH,2.9010002849680645,38.52008553400917,17.486665519628733,27.1171389746037,59.47728618346559,87.48695729167814
AD-S,-0.07965789238387525,0.12831754645293234,0.028680744850607526,-0.018301398048052107,0.13046114643025378,0.09511048327882081
AD-DB,1.5294036161024018,1.718982459736802,1.6673537213826548,1.8703074077863882,2.715051709546845,1.7646516998540982
AD-CH,30.105827292443905,25.038949718816653,26.83610138707061,109.77887982940175,124.68084858850659,89.57523778355
AD-idea,0.7405592971218872,0.6152485547466756,0.6086637959536851,1.2429654063028421,1.4158095173198144,1.5828763424195846
