,labels_jain_DBSCAN_params11,labels_jain_DBSCAN_params16,labels_jain_DBSCAN_params17,labels_jain_DBSCAN_params21,labels_jain_DBSCAN_params22,labels_jain_DBSCAN_params23,labels_jain_DBSCAN_params26,labels_jain_DBSCAN_params27,labels_jain_DBSCAN_params28,labels_jain_DBSCAN_params29,labels_jain_DBSCAN_params31,labels_jain_DBSCAN_params32,labels_jain_DBSCAN_params33
cSIL,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,
PS,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,
WB,,,,,,,,,,,,,
XB,,,,,,,,,,,,,
SSE,355.15158683271085,184.292356025329,223.0270829451746,230.65891510722727,574.2067599442161,256.09569364360357,195.92925126771286,334.5359067122874,646.402794884808,374.0055560036815,529.6773840892849,524.247312088196,342.4232718033842
RS,,,,,,,,,,,,,
DH,0.1162950005443321,0.09712056223492926,0.1047498424950513,0.12019324460734883,0.2555670869147753,0.20055337953395658,0.17455843622928438,0.2522414729045099,0.3693217668077464,0.4171383047375205,0.29848510561622504,0.41734284790523485,0.37073979420843806
B,0.026309831690575016,0.18093154181434767,0.11212594601029811,0.4662521708765442,1.4533942348798181,0.1399055825685513,0.4769865305613602,0.7140597354067931,1.6234430530379156,0.24842636021647985,2.146260521608667,1.6729366203911897,0.9819677445129539
BH,0.0004619280168328861,0.12451397559563891,0.04855548603203128,3.781392962937681,11.307934262874474,0.1694711559670247,7.052665270385957,12.728692394652663,24.8800285870917,0.19915244714039027,22.967370198995752,22.785381040645316,19.418968484964232
D,3.745657524002864,0.255324330056293,0.26961277002813877,0.05804190162315649,0.15850288922646286,0.9174739433980836,0.05509359491480875,0.16903041042209746,0.22304219006978665,1.9990355536137479,0.12187757972721787,0.010114347360847044,0.2455653308248795
H,,,,,,,,,,,,,
DBCV,0.08578039503067325,0.27972139140917734,0.2806993897834187,-0.15285042371125693,-0.253332831733402,0.18891538771170013,0.38784496328732104,0.542612534605775,0.6771798274141906,0.1725332733217457,0.15403687433430838,0.21816464181157086,0.32807585747040247
I,4891.253879574059,0.9177356095307078,2.108626405464567,0.07040704318586058,0.3735804374159341,3.1899902372755924,0.06422783477857359,0.22812075410030533,0.6026185857144921,184.26424554229158,0.2137789107413001,0.20717941196320708,0.25631968541837846
C,0.5796282036544421,0.18334916460055545,0.370422473517637,0.14798480784704487,0.12717863152259123,0.3713116923501836,0.16147430859848427,0.15510143705829976,0.13064081082325063,0.5088981702348693,0.11861413776831677,0.1225766248742595,0.15033742955141727
CDbw,0.5005813735288981,0.5863393657105466,0.2520772299936465,0.7448774869377356,0.6430075137717665,0.22649883066265067,0.6403599973142509,0.44114715681433636,0.3312265745048419,0.38116297192362203,0.0,0.18538655576146698,0.2320108815031473
VIASCKDE,0.4720976193140532,0.3878138429927427,0.32826604039753127,0.535409293517129,0.559622574714586,0.40004521183598496,0.6019800059061127,0.5638143080703416,0.5578655944672176,0.5465843745012198,,0.5998722914047193,0.6156140939019508
COP,0.3536265813773316,0.1485630777401131,0.18006617719231896,0.2397433768176084,0.26137815008412524,0.1939522120585446,0.2666900417516595,0.27299828968571277,0.2642046358662414,0.2909710970637095,0.28160191217092406,0.28211300085889607,0.2709375899009625
Sym,0.0022099774683098923,0.006935623395596512,0.005956441417399721,0.005059707052845945,0.010675244766175086,0.007279412993104619,0.004708638003508921,0.008038548511932449,0.012589032415957628,0.008656333311492648,0.009456278791413208,0.008771122001986788,0.00912216397889
CS,0.8891863474384366,0.9529303882076182,1.183735672309055,1.0080683389202285,1.222287852071135,1.4543213202984533,1.2903057159060443,1.5029878947926696,1.855400727900167,1.0399043265803756,1.030029989037717,1.9352738439275377,1.9390479066902213
SF,0.3637257833570865,0.18514809707648305,0.19974707461821462,0.19046135870283187,0.29938171972064254,0.24192991890317106,0.1672123125295233,0.2339488315491216,0.3254733919387748,0.3553528798821658,0.3246465790751668,0.20061773735726718,0.25543752681822507
SD,6337.227485071749,2744.7686231325692,3407.8941406410127,4576.487667536536,11339.5382608765,6679.828550960374,7067.325799856853,11814.24053968262,19916.626637447396,20814.04207854494,13745.537958756835,25491.246735970373,17440.240436342727
SDbw,1.6116837044409957,0.23530480440183646,0.3259920488603581,0.6673858922350713,0.9687736336279987,0.5427246255239027,0.8627508963969223,1.1374476861921687,1.0830177507635728,1.2568805395339746,0.8018429625801411,1.1211506570396266,1.1285554580950692
XB*,123.277218020116,25.29900548112263,65.49674586295845,18.065890449651754,13.185602622107039,14.053950626221313,4.702975881076826,3.970212808938286,18.10688095307007,1.1808930797415376,0.97635293982207,72.39184178042125,5.346605229034295
S,-0.5138077074670238,0.06341467913219499,-0.005177911672484106,0.10810925866375376,0.1568620247257567,0.10514812327600233,0.10596570935069231,0.21594344578814023,0.2910372300618558,-0.0594401174221247,0.09537663726777239,0.32271581546792405,0.20299317613495635
DB,1.3322903020039496,1.0390763771296267,1.111071117990061,1.5598718785818124,2.2383281610368293,1.3065829273430158,1.4688461760884586,1.4641811040326187,3.130080094117312,1.1104674667556391,0.8293392414714368,7.163613016497162,1.9269969994340344
CH,2.3898726942149295,65.97021339897502,28.190362900706038,49.11261146890843,140.34928596901585,52.34208641183717,49.01893425523455,86.25290282202546,191.52809232160484,31.702782320548817,134.82698868842428,131.70328038568255,135.5629170068796
AD-S,-0.32080577502663776,0.2405798358024495,0.13643482654232794,0.3126824939373375,0.2612609204551966,0.1336393433689278,0.5587363656621445,0.5189467911235289,0.4813176134734931,-0.21872672464816745,0.5614103687781605,0.5314429841264541,0.5139088718744508
