,labels_unbalance_MeanShift_params1,labels_unbalance_MeanShift_params10,labels_unbalance_MeanShift_params11,labels_unbalance_MeanShift_params12,labels_unbalance_MeanShift_params13,labels_unbalance_MeanShift_params14,labels_unbalance_MeanShift_params15,labels_unbalance_MeanShift_params16,labels_unbalance_MeanShift_params17,labels_unbalance_MeanShift_params18,labels_unbalance_MeanShift_params19,labels_unbalance_MeanShift_params2,labels_unbalance_MeanShift_params20,labels_unbalance_MeanShift_params21,labels_unbalance_MeanShift_params22,labels_unbalance_MeanShift_params23,labels_unbalance_MeanShift_params24,labels_unbalance_MeanShift_params25,labels_unbalance_MeanShift_params26,labels_unbalance_MeanShift_params27,labels_unbalance_MeanShift_params28,labels_unbalance_MeanShift_params29,labels_unbalance_MeanShift_params3,labels_unbalance_MeanShift_params30,labels_unbalance_MeanShift_params31,labels_unbalance_MeanShift_params32,labels_unbalance_MeanShift_params33,labels_unbalance_MeanShift_params34,labels_unbalance_MeanShift_params35,labels_unbalance_MeanShift_params36,labels_unbalance_MeanShift_params37,labels_unbalance_MeanShift_params38,labels_unbalance_MeanShift_params39,labels_unbalance_MeanShift_params4,labels_unbalance_MeanShift_params40,labels_unbalance_MeanShift_params41,labels_unbalance_MeanShift_params42,labels_unbalance_MeanShift_params43,labels_unbalance_MeanShift_params44,labels_unbalance_MeanShift_params45,labels_unbalance_MeanShift_params46,labels_unbalance_MeanShift_params5,labels_unbalance_MeanShift_params6,labels_unbalance_MeanShift_params7,labels_unbalance_MeanShift_params8,labels_unbalance_MeanShift_params9
cSIL,0.943739715808457,0.8888904886681462,0.8889263045895234,0.8881452648765292,0.9049435262183607,0.9051188043317425,0.8843227511678158,0.8888904886681462,0.8676915860528522,0.8735450618050772,0.9460718818778139,0.9529215491377804,0.8838430017371599,0.9229677222697055,0.9430470722443373,0.9430470722443373,0.9430470722443373,0.9430470722443373,0.9430470722443373,0.9540848184086388,0.9540848184086388,0.8969684399957716,0.9149633072490464,0.9260434839881979,0.8968990038168696,0.9260434839881977,0.8969684399957716,0.9430470722443373,0.8969684399957716,0.9430470722443373,0.9352635439115109,0.9352635439115109,0.8969684399957716,0.9323460748015918,0.8968990038168696,0.8968990038168696,0.8968990038168696,0.8968990038168696,0.8968990038168696,0.8968990038168696,0.8968990038168696,0.9056444898124713,0.9190351214501263,0.9049435262183607,0.9051188043317425,0.8843227511678158
GD43,6.137293355597106,9.951830587872353,12.745871115678677,9.951830587872353,11.97737990590361,11.371946148817223,10.987977175637951,9.951830587872353,9.201244678756291,9.71209836282841,8.762894207724937,7.478572690662567,5.622768743376432,3.4553226699407134,5.392131113949916,5.392131113949916,5.392131113949916,5.392131113949916,5.392131113949916,6.917552377633292,6.917552377633292,4.454648186132376,7.240892431567492,3.352953619393278,4.422106613732258,3.352953619393278,4.454648186132376,5.392131113949916,4.454648186132376,5.392131113949916,4.987295624396773,4.987295624396773,4.454648186132376,8.090600812841888,4.422106613732258,4.422106613732258,4.422106613732258,4.422106613732258,4.422106613732258,4.422106613732258,4.422106613732258,7.864136039542462,9.381020160767303,11.97737990590361,11.371946148817223,10.987977175637951
GD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04807593377044109,0.0,0.054424943222808664,0.1103235115165785,0.1572527935604909,0.1572527935604909,0.1572527935604909,0.1572527935604909,0.1572527935604909,0.03818775978227205,0.03818775978227205,0.308887182051404,0.0,0.10729686809121183,0.3076544882119144,0.10729686809121183,0.308887182051404,0.1572527935604909,0.308887182051404,0.1572527935604909,0.21963785155798932,0.21963785155798932,0.308887182051404,0.0,0.3076544882119144,0.3076544882119144,0.3076544882119144,0.3076544882119144,0.3076544882119144,0.3076544882119144,0.3076544882119144,0.0,0.0,0.0,0.0,0.0
PS,-238.67313877955218,-81.07272829129393,-81.11251719710985,-81.0772546300308,-104.11194993138758,-112.12122855687001,-81.11219188771169,-81.07272829129393,-50.34028941659204,-52.274468195548465,-3.9039559674047637,-258.5762738371427,-8.413725588042013,-1.368026946426673,-2.2239573348642376,-2.2239573348642376,-2.2239573348642376,-2.2239573348642376,-2.2239573348642376,-2.904770663960762,-2.904770663960762,-0.5257672435490288,-162.12729663955588,-1.3684694356340388,-0.5291786352112473,-1.3684694356340388,-0.5257672435490288,-2.2239573348642376,-0.5257672435490288,-2.2239573348642376,0.6506926919338133,0.6506926919338133,-0.5257672435490288,-180.286502052741,-0.5291786352112473,-0.5291786352112473,-0.5291786352112473,-0.5291786352112473,-0.5291786352112473,-0.5291786352112473,-0.5291786352112473,-129.0976920161998,-132.09990780128385,-104.11194993138758,-112.12122855687001,-81.11219188771169
rCIP,3942.76590509656,573.5463094645918,660.4737179013522,585.7528795345271,770.1197925790252,851.116671987473,583.8382871037276,573.5463094645918,225.5487957778456,217.35311651836219,1.4582873532472376,3195.955568840033,6.877489134061488,0.005299348850814406,0.0002713688823811466,0.0002713688823811466,0.0002713688823811466,0.0002713688823811466,0.0002713688823811466,0.0002713688823816069,0.0002713688823816069,0.01027781670080442,2632.6422499766795,0.005258380768921136,0.00906916762012993,0.005258380768921135,0.01027781670080442,0.0002713688823811466,0.01027781670080442,0.0002713688823811466,0.01488593432746884,0.01488593432746884,0.01027781670080442,1852.3322819407838,0.00906916762012993,0.00906916762012993,0.00906916762012993,0.00906916762012993,0.00906916762012993,0.00906916762012993,0.00906916762012993,1263.4535585907101,1285.968509073377,770.1197925790252,851.116671987473,583.8382871037276
WB,1.3147395867292715,0.6168127875709458,0.6165785014794837,0.6168499945581833,0.7686279405104844,0.8238795060914262,0.6172190885624074,0.6168127875709458,0.41274987055483003,0.4254381145609793,0.10905053006001882,1.153756571928297,0.1491717160310303,1.232568211063184,1.4097409229807967,1.4097409229807967,1.4097409229807967,1.4097409229807967,1.4097409229807967,0.10087933186171218,0.10087933186171218,1.0332371271147414,1.1583642510630148,1.2326400771813382,1.033231247462837,1.232640077181338,1.0332371271147414,1.4097409229807967,1.0332371271147414,1.4097409229807967,0.8446346465855863,0.8446346465855863,1.0332371271147414,1.2253786824076203,1.033231247462837,1.033231247462837,1.033231247462837,1.033231247462837,1.033231247462837,1.033231247462837,1.033231247462837,0.936711878222617,0.9578523724639202,0.7686279405104844,0.8238795060914262,0.6172190885624074
XB,3.099200058375124,0.6459689054722824,0.7052682664204829,0.6460075936982065,0.98937667158036,1.0959940007071303,0.9499607251229266,0.6459689054722824,0.5906973316678774,0.5273353177490971,0.03323675236185759,2.8137529354486484,0.10188568253360272,0.20221723341516443,0.1948695948987756,0.1948695948987756,0.1948695948987756,0.1948695948987756,0.1948695948987756,0.0345727515876948,0.0345727515876948,0.12000460990619233,2.6631146550816687,0.20256855718719155,0.12088018630218159,0.20256855718719155,0.12000460990619233,0.1948695948987756,0.12000460990619233,0.1948695948987756,0.04639859393273394,0.04639859393273394,0.12000460990619233,2.037592302514173,0.12088018630218159,0.12088018630218159,0.12088018630218159,0.12088018630218159,0.12088018630218159,0.12088018630218159,0.12088018630218159,2.275208770914977,1.5991875492860064,0.98937667158036,1.0959940007071303,0.9499607251229266
SSE,7.341312740750253,9.714821478931682,9.711157732658982,9.715403316857635,9.552599860869275,9.539245728669052,9.72117513281181,9.714821478931682,10.161571976715924,10.106847963875147,16.331960628958186,5.958556355690354,15.476464059699687,269.79107407416336,259.54934556407494,259.54934556407494,259.54934556407494,259.54934556407494,259.54934556407494,16.988447355433063,16.988447355433063,280.0504445319373,9.397456553553424,269.80369347565573,280.0491780442107,269.80369347565573,280.0504445319373,259.54934556407494,280.0504445319373,259.54934556407494,299.7074035925551,299.7074035925551,280.0504445319373,8.97666688641671,280.0491780442107,280.0491780442107,280.0491780442107,280.0491780442107,280.0491780442107,280.0491780442107,280.0491780442107,9.470208898244314,9.471871747825105,9.552599860869275,9.539245728669052,9.72117513281181
RS,0.9157985444509047,0.755638546335802,0.7669672012682535,0.7544654168141612,0.8058318001569191,0.8182182309422208,0.7614330843266378,0.755638546335802,0.6938592697253798,0.7052215443341486,0.59560190306004,0.9279672087889261,0.5270271088941227,0.2552103336857009,0.4331615068156391,0.4331615068156391,0.4331615068156391,0.4331615068156391,0.4331615068156391,0.6110274010083332,0.6110274010083332,0.09025357168166476,0.8635759678057542,0.26871397157578897,0.09400718106000244,0.26871397157578897,0.09025357168166476,0.4331615068156391,0.09025357168166476,0.4331615068156391,-0.1110964646012497,-0.1110964646012497,0.09025357168166476,0.8858796867609381,0.09400718106000258,0.09400718106000258,0.09400718106000258,0.09400718106000258,0.09400718106000258,0.09400718106000258,0.09400718106000258,0.8365923427763824,0.8428569745693025,0.8058318001569191,0.8182182309422208,0.7614330843266378
DH,3.301335153863636e-05,0.0003531728002193292,0.0003433866059305339,0.00035404518462237695,0.00021619996061670934,0.00018009505560689028,0.00034822602805677433,0.0003531728002193292,0.0007456757919172352,0.0006936302249371913,0.011595065195861436,2.4690470187430785e-05,0.00713632022183054,0.04605101814417992,0.030426038646424694,0.030426038646424694,0.030426038646424694,0.030426038646424694,0.030426038646424694,0.013505413324321916,0.013505413324321916,0.07220950968746061,9.010883972562767e-05,0.04509955911063825,0.07201737503346428,0.04509955911063826,0.07220950968746061,0.030426038646424694,0.07220950968746061,0.030426038646424694,0.12328750313068337,0.12328750313068337,0.07220950968746061,6.474201896701791e-05,0.07201737503346428,0.07201737503346428,0.07201737503346428,0.07201737503346428,0.07201737503346428,0.07201737503346428,0.07201737503346428,0.00014013455772026478,0.00012893289185416,0.00021619996061670934,0.00018009505560689028,0.00034822602805677433
