,labels_ring_DBSCAN_params1,labels_ring_DBSCAN_params11,labels_ring_DBSCAN_params12,labels_ring_DBSCAN_params13,labels_ring_DBSCAN_params16,labels_ring_DBSCAN_params17,labels_ring_DBSCAN_params18,labels_ring_DBSCAN_params21,labels_ring_DBSCAN_params22,labels_ring_DBSCAN_params23,labels_ring_DBSCAN_params26,labels_ring_DBSCAN_params27,labels_ring_DBSCAN_params28,labels_ring_DBSCAN_params29,labels_ring_DBSCAN_params31,labels_ring_DBSCAN_params32,labels_ring_DBSCAN_params33,labels_ring_DBSCAN_params34,labels_ring_DBSCAN_params36,labels_ring_DBSCAN_params37,labels_ring_DBSCAN_params38,labels_ring_DBSCAN_params39,labels_ring_DBSCAN_params41,labels_ring_DBSCAN_params42,labels_ring_DBSCAN_params43,labels_ring_DBSCAN_params44,labels_ring_DBSCAN_params46,labels_ring_DBSCAN_params47,labels_ring_DBSCAN_params48,labels_ring_DBSCAN_params49,labels_ring_DBSCAN_params50,labels_ring_DBSCAN_params51,labels_ring_DBSCAN_params52,labels_ring_DBSCAN_params53,labels_ring_DBSCAN_params54,labels_ring_DBSCAN_params55,labels_ring_DBSCAN_params6,labels_ring_DBSCAN_params7
cSIL,,,,,0.5083641599194801,0.5770837226815214,,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,,
GD43,,,,,0.27717749829042726,0.27717749829042726,,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,,
GD53,,,,,0.027312112962872725,0.024600826266853473,,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,,
PS,,,,,0.5134017540433489,-0.4130907170462961,,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,,
rCIP,,,,,0.37736387636028135,0.5918435566132315,,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,,
WB,,,,,5.583468274589287,6.803772800151836,,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,,
XB,,,,,1.6190571320061518,1.6018055417700092,,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,,
SSE,514.3395975513004,451.3387108336222,946.3490038816919,490.75841059445963,278.87276517507894,275.9012834541966,698.1191807982499,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,959.2918326496244,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,1046.959090251237,504.22256095568935
RS,,,,,-1.0119769573916295,-0.9710349389266921,,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,,
DH,0.08112208008001803,0.032993225443019365,0.1552036459227436,0.15755487372668456,0.452378065814247,0.36124289117406694,0.12326521620454182,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.31913669587335464,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.036720144999181435,0.07942559569789603
