,labels_jain_DBSCAN_params11,labels_jain_DBSCAN_params16,labels_jain_DBSCAN_params17,labels_jain_DBSCAN_params21,labels_jain_DBSCAN_params22,labels_jain_DBSCAN_params23,labels_jain_DBSCAN_params26,labels_jain_DBSCAN_params27,labels_jain_DBSCAN_params28,labels_jain_DBSCAN_params29,labels_jain_DBSCAN_params31,labels_jain_DBSCAN_params32,labels_jain_DBSCAN_params33
cSIL,0.9886407559434603,0.8836912138173451,0.8698062474567246,0.8769186364550045,0.9069581636780484,0.8944198170198168,0.7872641774111064,0.8106505108674501,0.9138452204525294,0.9907055749933598,0.8240676717116208,0.8217593575607491,0.7709736875184644
GD43,146.26073235430266,3.6996485327045794,3.597025170834123,0.26616425132992055,0.6081822907547393,8.269635305824396,0.4580737660360863,0.4822288959146744,2.3260476317746193,41.9263594542656,1.3109139305251762,1.2855861390967815,0.8115399423539736
GD53,0.2610253588675961,0.010750051528464028,0.021803082638943334,0.002055340268009932,0.007056023464691975,0.14223596334777444,0.0026541530467921455,0.007199260883199054,0.4778409926549739,0.41349480448405385,0.2933596514582575,0.2918031050736058,0.054148444269331616
PS,-1.6521075592137238,-15.399817761626904,-14.021149814610416,-10.010175466201058,-0.8696886321068199,-2.431155038855186,-6.3692320705891685,-1.9225038745025502,1.0108139776969842,1.4406414494952589,0.7987485435620819,0.7813400711892524,0.217711765748118
rCIP,1.9760059007597555e-05,14.198404649873124,20.204521727324813,4.285210263243627,0.024918716321293284,1.7481042150387327,2.532203292824642,0.2084558224409948,0.0010110795063387045,6.561513447283901e-25,0.06727029270548243,0.07227546925971307,0.296173654194188
WB,0.006941613491712371,0.5792348535270888,0.31109411418944005,8.030774087314253,5.492780999623002,0.2825050563054643,8.008256301078822,6.201704462136082,7.504802045305329,0.09677362282543997,2.739732774307482,2.843745644225645,5.195310465208623
XB,0.03695189195189788,0.6283207746912587,0.6090977209456216,11.514889846470968,2.5622447279254,0.21315259087669525,3.369025656255165,3.329728327765118,0.16227042264309138,0.010582109762213793,0.4701144661617564,0.49021856696891036,1.1982132764104667
SSE,0.005081208185161747,2.8638214386996945,1.0682206927046882,56.72089444406522,56.53967131437238,1.6947115596702471,77.57931797424553,76.37215436791601,74.6400857612751,0.5974573414211708,91.86948079598301,91.14152416258128,77.67587393985693
RS,0.9932534028732538,0.770161664245614,0.8323902020279399,0.4164920715176713,0.28221932158637714,0.7679698207154292,0.2649165170986475,0.22548280163890658,0.15596325590575805,0.9182679670896234,0.08777752278027708,0.08680826576522759,0.13748797398207016
DH,0.022322201273815227,0.06654433646000993,0.07294998940826651,0.08530903093603898,0.1820579301911822,0.13688343787209117,0.13411562855608894,0.18899427772522176,0.2780661487389308,0.11884266593723508,0.35824399601233464,0.35351805889272975,0.32221089780796264
