,labels_twodiamonds_DBSCAN_params11,labels_twodiamonds_DBSCAN_params16,labels_twodiamonds_DBSCAN_params17,labels_twodiamonds_DBSCAN_params21,labels_twodiamonds_DBSCAN_params22,labels_twodiamonds_DBSCAN_params23,labels_twodiamonds_DBSCAN_params28,labels_twodiamonds_DBSCAN_params29,labels_twodiamonds_DBSCAN_params34,labels_twodiamonds_DBSCAN_params40
cSIL,,,,,,,,,,
GD43,,,,,,,,,,
GD53,,,,,,,,,,
PS,,,,,,,,,,
rCIP,,,,,,,,,,
WB,,,,,,,,,,
XB,,,,,,,,,,
SSE,641.8478492011633,310.31734365927696,559.2994364126608,415.26853678174547,746.0206921934357,699.0432702200926,827.2043767463699,707.0441555212308,824.4735501086537,674.7972232849731
RS,,,,,,,,,,
DH,0.04705399280903255,0.08085675163130761,0.07756721721403904,0.470559753892866,0.2960631808708625,0.13766149938488265,0.3307181402090841,0.29582036925832444,0.6525683391300783,0.6536473483688986
B,0.10414783420671463,0.5971440887090678,0.3698580238229177,1.098683753696615,1.7543532396258077,0.5963435217302745,1.5134122083460306,0.16232892459126283,3.136156191002986,2.1121561587356665
BH,0.00042583731911756444,0.12294453301807566,0.030305759271578636,93.65673408892634,18.41503065083305,0.1691827966035788,15.923141903096477,0.10917454085996532,59.96469349508303,32.31474905121987
D,0.8878542812016972,0.004705415398907276,0.22531095976026796,0.2054972978105619,0.0092609496247929,0.06703917878673352,0.027037634083602224,2.2016382528073652,0.016194743484683978,0.16818505451079493
H,,,,,,,,,,
DBCV,0.10956160357404807,0.17207630604892585,0.37090777142470654,-0.777149337232634,-0.5356041682418619,0.14812361471996513,-0.4173578107277944,0.10611925387533443,-0.28263550391531356,0.3442018930085553
I,1494.5992614673173,0.0924539449761165,1.3877994416609636,0.08226474071665975,0.1454395102362942,2.862920668411808,0.2908591464544322,431.39624708974014,0.2692508714889185,0.5793115745769032
C,0.4957295968618701,0.2652383704482959,0.4672709788246364,0.4661813454764616,0.13198987850202734,0.46504511733864906,0.10887511396777645,0.5355261896295609,0.09920534896676843,0.17597998424250044
CDbw,0.8545266428500767,0.27011087714107074,0.429837481006647,0.2908007809798673,0.2595968996610959,0.49831724260639215,0.19927715646022343,0.7971430187200998,0.07496945453588741,0.03970304307189473
VIASCKDE,0.46872289053007954,0.3713930529779617,0.3564264217012936,0.5571731080098516,0.5123284779882183,0.43137268458899486,0.5261469746293516,0.5568872579388728,0.6166115709771539,0.5405857647775423
COP,0.3451497699864802,0.259527747015071,0.26921237708803575,0.3434599303734267,0.2914737982259702,0.26440855724766854,0.26786117358462413,0.3249483197388465,0.30522563313088275,0.32001899205296785
Sym,0.004124994257721246,0.002953803294073553,0.0032056519559313687,0.016157751991106386,0.013022662508130611,0.005059970659980392,0.01566165795534274,0.014079652562930534,0.027237788514696586,0.007992117457210778
CS,0.6755138656382507,1.1309722845185661,0.9142324931148164,1.8196714284359177,1.360942840718799,1.0564591573212805,1.238333428903565,0.984705309518066,2.8210077454461655,2.6824935782030526
SF,0.32230978624563245,0.027489014815609614,0.08390747082851746,0.22912958442922216,0.16708230778946653,0.14330685190578618,0.15072006603269006,0.32565630167236725,0.15205452736491432,0.2031750851441494
SD,58982.2818344648,47272.01937045739,43346.13706966565,867080.3342820215,422370.1970182354,104211.15534483074,438460.6951595043,349327.48445176205,1990784.1633728032,1172735.9787157422
SDbw,0.2623876992509934,0.12391632989495525,0.160825148535836,1.2928941711004382,0.7223657635037566,0.27309842587139677,0.6598301326813232,0.9213153852874774,2.0868025035610893,1.529213309084827
XB*,234.05210705964868,490.11884649389646,65.29500871453291,20.670640702384595,10.449756071452056,91.14880131684164,2.4718633654357896,4.983417386789377,4.9672688115832555,4.959144569378434
S,-0.611204372003405,0.025820727425651828,-0.14503236142383588,-0.2943114574292999,-0.22432202657183653,-0.18764739559317684,0.13424924100937904,-0.3969271734698117,0.4603455211507647,0.3096109423336892
DB,2.0072241306650622,2.0681251769358084,1.2476019139810774,4.658922171697332,1.804682252855017,1.9643916493911395,1.4360960114342656,1.37708134172324,2.6846555925810214,2.6293186924863448
CH,3.6698796171540526,46.39963721900259,18.239404380665654,7.151242721517139,155.84740867707347,32.280317895893305,293.6928089734231,19.992766705583822,448.9223965606775,286.04608414038006
AD-S,-0.15048680312695187,0.25828902208890187,0.10249836319947009,0.09010762269388278,0.11162867870565972,0.04546061837404326,0.12624396797963935,-0.0791894320040387,0.16641168054404024,0.10772957502077532
AD-DB,1.185528652725589,1.3337928151485823,1.4254589339641432,1.4751199925119693,1.514359768116354,1.5310917299232811,1.7637472617954164,1.5175272456857072,1.6246411967644858,1.873188317558717
AD-CH,3.349847861194172,19.708938046017987,12.323405827367116,8.622471217471933,135.6133821131607,41.38285466875159,159.16675054633026,141.65302817555204,463.1732261893189,416.0721643024793
AD-idea,8.536987662202451,7193679.505493411,682.117901000291,2.1382053900819793,8.732937341873276,42.11306788135522,3.9232298668630396,1.2897275880473094,1.4343262601181332,1.3389772673712885
