,labels_olivetti_HDBSCAN_params1,labels_olivetti_HDBSCAN_params10,labels_olivetti_HDBSCAN_params11,labels_olivetti_HDBSCAN_params12,labels_olivetti_HDBSCAN_params13,labels_olivetti_HDBSCAN_params14,labels_olivetti_HDBSCAN_params15,labels_olivetti_HDBSCAN_params16,labels_olivetti_HDBSCAN_params17,labels_olivetti_HDBSCAN_params18,labels_olivetti_HDBSCAN_params19,labels_olivetti_HDBSCAN_params2,labels_olivetti_HDBSCAN_params20,labels_olivetti_HDBSCAN_params21,labels_olivetti_HDBSCAN_params22,labels_olivetti_HDBSCAN_params23,labels_olivetti_HDBSCAN_params24,labels_olivetti_HDBSCAN_params25,labels_olivetti_HDBSCAN_params26,labels_olivetti_HDBSCAN_params27,labels_olivetti_HDBSCAN_params28,labels_olivetti_HDBSCAN_params29,labels_olivetti_HDBSCAN_params3,labels_olivetti_HDBSCAN_params30,labels_olivetti_HDBSCAN_params31,labels_olivetti_HDBSCAN_params32,labels_olivetti_HDBSCAN_params33,labels_olivetti_HDBSCAN_params34,labels_olivetti_HDBSCAN_params35,labels_olivetti_HDBSCAN_params4,labels_olivetti_HDBSCAN_params43,labels_olivetti_HDBSCAN_params44,labels_olivetti_HDBSCAN_params45,labels_olivetti_HDBSCAN_params46,labels_olivetti_HDBSCAN_params47,labels_olivetti_HDBSCAN_params48,labels_olivetti_HDBSCAN_params49,labels_olivetti_HDBSCAN_params5,labels_olivetti_HDBSCAN_params6,labels_olivetti_HDBSCAN_params7,labels_olivetti_HDBSCAN_params8,labels_olivetti_HDBSCAN_params9
cSIL,0.6897641471062204,0.692603578352975,0.692603578352975,0.692603578352975,0.692603578352975,0.692603578352975,0.6889932870255419,0.6889932870255419,0.6889932870255419,0.6889932870255419,0.6889932870255419,0.6897641471062204,0.6889932870255419,0.6889932870255419,0.6142238247594513,0.6142238247594513,0.6142238247594513,0.6142238247594513,0.6142238247594513,0.6142238247594513,0.6142238247594513,0.6842252144709017,0.6897641471062204,0.6842252144709017,0.6842252144709017,0.6842252144709017,0.6842252144709017,0.6842252144709017,0.6842252144709017,0.6897641471062204,0.4580248172228808,0.4580248172228808,0.4580248172228808,0.4580248172228808,0.4580248172228808,0.4580248172228808,0.4580248172228808,0.6897641471062204,0.6897641471062204,0.6897641471062204,0.692603578352975,0.692603578352975
GD43,0.02698274453155561,0.018433213610708432,0.018433213610708432,0.018433213610708432,0.018433213610708432,0.018433213610708432,0.04128389857578935,0.04128389857578935,0.04128389857578935,0.04128389857578935,0.04128389857578935,0.02698274453155561,0.04128389857578935,0.04128389857578935,0.01459484404879856,0.01459484404879856,0.01459484404879856,0.01459484404879856,0.01459484404879856,0.01459484404879856,0.01459484404879856,0.028631114128744983,0.02698274453155561,0.028631114128744983,0.028631114128744983,0.028631114128744983,0.028631114128744983,0.028631114128744983,0.028631114128744983,0.02698274453155561,0.01674960141560341,0.01674960141560341,0.01674960141560341,0.01674960141560341,0.01674960141560341,0.01674960141560341,0.01674960141560341,0.02698274453155561,0.02698274453155561,0.02698274453155561,0.018433213610708432,0.018433213610708432
GD53,0.16199929254227746,0.13983606942419308,0.13983606942419308,0.13983606942419308,0.13983606942419308,0.13983606942419308,0.4617761951295469,0.4617761951295469,0.4617761951295469,0.4617761951295469,0.4617761951295469,0.16199929254227746,0.4617761951295469,0.4617761951295469,0.16302565760565904,0.16302565760565904,0.16302565760565904,0.16302565760565904,0.16302565760565904,0.16302565760565904,0.16302565760565904,0.45958787523728006,0.16199929254227746,0.45958787523728006,0.45958787523728006,0.45958787523728006,0.45958787523728006,0.45958787523728006,0.45958787523728006,0.16199929254227746,0.4768671464480207,0.4768671464480207,0.4768671464480207,0.4768671464480207,0.4768671464480207,0.4768671464480207,0.4768671464480207,0.16199929254227746,0.16199929254227746,0.16199929254227746,0.13983606942419308,0.13983606942419308
PS,-1.4320878078535306,0.06444407565080873,0.06444407565080873,0.06444407565080873,0.06444407565080873,0.06444407565080873,1.5088232676770772,1.5088232676770772,1.5088232676770772,1.5088232676770772,1.5088232676770772,-1.4320878078535306,1.5088232676770772,1.5088232676770772,-0.7163809410429023,-0.7163809410429023,-0.7163809410429023,-0.7163809410429023,-0.7163809410429023,-0.7163809410429023,-0.7163809410429023,1.1104275457519435,-1.4320878078535306,1.1104275457519435,1.1104275457519435,1.1104275457519435,1.1104275457519435,1.1104275457519435,1.1104275457519435,-1.4320878078535306,1.0956001271812095,1.0956001271812095,1.0956001271812095,1.0956001271812095,1.0956001271812095,1.0956001271812095,1.0956001271812095,-1.4320878078535306,-1.4320878078535306,-1.4320878078535306,0.06444407565080873,0.06444407565080873
WB,12.18474266710504,28.324688468792083,28.324688468792083,28.324688468792083,28.324688468792083,28.324688468792083,4.05909737902152,4.05909737902152,4.05909737902152,4.05909737902152,4.05909737902152,12.18474266710504,4.05909737902152,4.05909737902152,21.581751451179194,21.581751451179194,21.581751451179194,21.581751451179194,21.581751451179194,21.581751451179194,21.581751451179194,9.906276286833306,12.18474266710504,9.906276286833306,9.906276286833306,9.906276286833306,9.906276286833306,9.906276286833306,9.906276286833306,12.18474266710504,24.66799214383844,24.66799214383844,24.66799214383844,24.66799214383844,24.66799214383844,24.66799214383844,24.66799214383844,12.18474266710504,12.18474266710504,12.18474266710504,28.324688468792083,28.324688468792083
XB,0.6903912251892516,1.0550465242914224,1.0550465242914224,1.0550465242914224,1.0550465242914224,1.0550465242914224,0.463495548469594,0.463495548469594,0.463495548469594,0.463495548469594,0.463495548469594,0.6903912251892516,0.463495548469594,0.463495548469594,1.5248918481359681,1.5248918481359681,1.5248918481359681,1.5248918481359681,1.5248918481359681,1.5248918481359681,1.5248918481359681,0.5536051836823755,0.6903912251892516,0.5536051836823755,0.5536051836823755,0.5536051836823755,0.5536051836823755,0.5536051836823755,0.5536051836823755,0.6903912251892516,1.272237007578627,1.272237007578627,1.272237007578627,1.272237007578627,1.272237007578627,1.272237007578627,1.272237007578627,0.6903912251892516,0.6903912251892516,0.6903912251892516,1.0550465242914224,1.0550465242914224
SSE,59330.66478543954,120881.17185715558,120881.17185715558,120881.17185715558,120881.17185715558,120881.17185715558,4588.862355471744,4588.862355471744,4588.862355471744,4588.862355471744,4588.862355471744,59330.66478543954,4588.862355471744,4588.862355471744,143190.82290291038,143190.82290291038,143190.82290291038,143190.82290291038,143190.82290291038,143190.82290291038,143190.82290291038,36304.05059511429,59330.66478543954,36304.05059511429,36304.05059511429,36304.05059511429,36304.05059511429,36304.05059511429,36304.05059511429,59330.66478543954,174569.50914856204,174569.50914856204,174569.50914856204,174569.50914856204,174569.50914856204,174569.50914856204,174569.50914856204,59330.66478543954,59330.66478543954,59330.66478543954,120881.17185715558,120881.17185715558
RS,-7.0578349291924924,-1.0986622591779946,-1.0986622591779946,-1.0986622591779946,-1.0986622591779946,-1.0986622591779946,-0.29362497170228097,-0.29362497170228097,-0.29362497170228097,-0.29362497170228097,-0.29362497170228097,-7.0578349291924924,-0.29362497170228097,-0.29362497170228097,-2.0909145108317078,-2.0909145108317078,-2.0909145108317078,-2.0909145108317078,-2.0909145108317078,-2.0909145108317078,-2.0909145108317078,-0.23971090257541391,-7.0578349291924924,-0.23971090257541391,-0.23971090257541391,-0.23971090257541391,-0.23971090257541391,-0.23971090257541391,-0.23971090257541391,-7.0578349291924924,-0.5555350018710992,-0.5555350018710992,-0.5555350018710992,-0.5555350018710992,-0.5555350018710992,-0.5555350018710992,-0.5555350018710992,-7.0578349291924924,-7.0578349291924924,-7.0578349291924924,-1.0986622591779946,-1.0986622591779946
DH,0.016190079123066983,0.13104989806358955,0.13104989806358955,0.13104989806358955,0.13104989806358955,0.13104989806358955,0.63353221917776,0.63353221917776,0.63353221917776,0.63353221917776,0.63353221917776,0.016190079123066983,0.63353221917776,0.63353221917776,0.09613499714947076,0.09613499714947076,0.09613499714947076,0.09613499714947076,0.09613499714947076,0.09613499714947076,0.09613499714947076,0.6332743647576741,0.016190079123066983,0.6332743647576741,0.6332743647576741,0.6332743647576741,0.6332743647576741,0.6332743647576741,0.6332743647576741,0.016190079123066983,0.8039991908178925,0.8039991908178925,0.8039991908178925,0.8039991908178925,0.8039991908178925,0.8039991908178925,0.8039991908178925,0.016190079123066983,0.016190079123066983,0.016190079123066983,0.13104989806358955,0.13104989806358955
B,0.42777098575180916,0.8422922809708427,0.8422922809708427,0.8422922809708427,0.8422922809708427,0.8422922809708427,0.9669442168234567,0.9669442168234567,0.9669442168234567,0.9669442168234567,0.9669442168234567,0.42777098575180916,0.9669442168234567,0.9669442168234567,0.9279789980512061,0.9279789980512061,0.9279789980512061,0.9279789980512061,0.9279789980512061,0.9279789980512061,0.9279789980512061,0.7317461984401628,0.42777098575180916,0.7317461984401628,0.7317461984401628,0.7317461984401628,0.7317461984401628,0.7317461984401628,0.7317461984401628,0.42777098575180916,1.614700578630636,1.614700578630636,1.614700578630636,1.614700578630636,1.614700578630636,1.614700578630636,1.614700578630636,0.42777098575180916,0.42777098575180916,0.42777098575180916,0.8422922809708427,0.8422922809708427
