,labels_line_MeanShift_params1,labels_line_MeanShift_params10,labels_line_MeanShift_params11,labels_line_MeanShift_params12,labels_line_MeanShift_params13,labels_line_MeanShift_params14,labels_line_MeanShift_params15,labels_line_MeanShift_params16,labels_line_MeanShift_params17,labels_line_MeanShift_params18,labels_line_MeanShift_params19,labels_line_MeanShift_params2,labels_line_MeanShift_params20,labels_line_MeanShift_params21,labels_line_MeanShift_params22,labels_line_MeanShift_params23,labels_line_MeanShift_params24,labels_line_MeanShift_params25,labels_line_MeanShift_params26,labels_line_MeanShift_params27,labels_line_MeanShift_params28,labels_line_MeanShift_params29,labels_line_MeanShift_params3,labels_line_MeanShift_params30,labels_line_MeanShift_params31,labels_line_MeanShift_params32,labels_line_MeanShift_params4,labels_line_MeanShift_params5,labels_line_MeanShift_params6,labels_line_MeanShift_params7,labels_line_MeanShift_params8,labels_line_MeanShift_params9
cSIL,0.8723225862129088,0.8913665953615934,0.9077149135217468,0.8981408453877826,0.902099530338486,0.9013880792952863,0.9076324201787372,0.8913665953615934,0.9078277855923327,0.9051758624878123,0.9068494052109786,0.8602474694572981,0.9167543113508902,0.9207278122145858,0.9133519967770561,0.9186292751556895,0.9080337270692651,0.9235699871743065,0.9090067280197494,0.8963118190615327,0.9011145888961156,0.8985777272102085,0.8437051837454534,0.8970728446979519,0.8985777272102085,0.8970728446979519,0.8439635089843999,0.8924353759090072,0.888005187979599,0.902099530338486,0.9013880792952863,0.9076324201787372
GD43,9.08475408880529,4.999705663867555,3.592335018835878,2.848743605658231,3.0489556036934857,5.045277799810757,9.05368158203213,4.999705663867555,3.6967490930878837,5.628429320107013,3.691427182822687,10.251524243416377,6.642801448385069,4.441935160257391,3.5835566822232456,4.618840354304305,2.942328339838571,6.0995822307316585,5.787017121142198,2.982287512154366,2.9254230491883213,2.9531663881096972,8.38389149076562,2.9730563906444445,2.9531663881096972,2.9730563906444445,8.260837902293854,8.560438142074856,6.121903188764448,3.0489556036934857,5.045277799810757,9.05368158203213
GD53,0.0,0.08682726733231423,0.050549105970000965,0.041621857670290106,0.03753030779811391,0.06235823008049503,0.12244674142698375,0.08682726733231423,0.055203500112851044,0.07128789661244661,0.055203500112851044,0.0,0.11694639273862326,0.08085456570718035,0.05728131563400349,0.10377429044921625,0.05221932181711685,0.11652055708469777,0.0901616943887585,0.44441867462287976,0.42873953127842873,0.43657585071299576,0.16987025377604956,0.44176656877488285,0.43657585071299576,0.44176656877488285,0.1673770029599129,0.1439434619767021,0.10606562231207169,0.03753030779811391,0.06235823008049503,0.12244674142698375
PS,-24.219381349258818,-5.442683960924514,0.12374927849195011,-0.9631910611599533,-0.987436076460108,-2.0195476575861853,-3.352671725493654,-5.442683960924514,0.15882279455420423,-0.9872128074944346,0.16638738773932005,-28.23222926811247,0.24845990936833795,1.0065395495029934,0.8706740847404287,1.9229882543294958,1.2402893942551163,1.5150785554048238,-0.9091309080951876,1.6081055643277948,1.5456472032351898,1.576271948028983,-11.906892790385163,1.5973556503271067,1.576271948028983,1.5973556503271067,-11.899370530723692,-6.589825496887938,-6.566466322066003,-0.987436076460108,-2.0195476575861853,-3.352671725493654
rCIP,94.29638583708314,17.780072206256808,4.72610923372393,7.873158519819015,6.896202439722908,9.402418849231209,9.640592029325106,17.780072206256808,4.8405204547673915,6.889457776385776,4.9025724230371885,144.25654848095448,4.319206736171037,2.722036679276845,2.5864741122248294,1.6189798003466527,2.0252501027247822,2.2492850705613163,7.013175751488601,0.028791642064566886,0.02843693897526126,0.028308347508228325,67.71344909904741,0.028496116340633294,0.028308347508228325,0.028496116340633294,67.46938050816156,20.009759423152133,22.286516893618497,6.896202439722908,9.402418849231209,9.640592029325106
WB,0.11471683570759118,0.15200935018512668,0.2595865897535052,0.268150681194476,0.2573635088873784,0.19760227618700837,0.1511248927875495,0.15200935018512668,0.25979345767893924,0.20667105780607814,0.26406884654186213,0.11663289412419164,0.21735919369551976,0.27914606683197357,0.305150964062869,0.3369782239967239,0.42094713436200465,0.25168770799958917,0.20437294799899888,1.0019187555153808,0.9966026944189982,0.9992538611453302,0.12641806222693575,1.0006739748357312,0.9992538611453302,1.0006739748357312,0.12653130993093165,0.1303844783783388,0.1412736408293244,0.2573635088873784,0.19760227618700837,0.1511248927875495
XB,0.5960327484093362,0.28225087184407593,0.1840040082057355,0.26538378204963087,0.22264551351371986,0.15473232120097444,0.11048706133533084,0.28225087184407593,0.17388998857532698,0.1407896098538828,0.17715735553975553,0.5349049748180106,0.12087307037341573,0.13700292875223752,0.16245323652694582,0.11891805527456957,0.18515921713984868,0.101239942573299,0.1317349114632155,0.11939665425725689,0.11589293412859646,0.11771210484291991,0.3306833922424317,0.11880801968429669,0.11771210484291991,0.11880801968429669,0.3309775568778132,0.19102898809985822,0.21005940599304762,0.22264551351371986,0.15473232120097444,0.11048706133533084
SSE,0.5306989571634767,1.7426977339766174,4.981615710537859,4.518251285671707,4.34215602186535,2.9930720824729873,2.074061804593923,1.7426977339766174,4.985443560470836,3.508427408180657,5.064505834916858,0.47627166976153923,4.195652910658524,6.193423622329923,6.742471448085965,8.796426238024992,10.818131205041986,5.608730716788342,3.470386734288695,46.49790986451872,46.333248496848604,46.41543954196648,0.9716212305806405,46.45940594438761,46.41543954196648,46.45940594438761,0.9724855515950239,1.3834017152080862,1.4976955452654857,4.34215602186535,2.9930720824729873,2.074061804593923
RS,0.9109497873224552,0.8547373555087432,0.772519468258564,0.7846394631652378,0.7900036665952624,0.8163418707958161,0.8424805566824234,0.8547373555087432,0.7713797652256827,0.8011293288051042,0.7699053240857843,0.9092301960350289,0.7828408422821387,0.7482150323001207,0.7419603965174569,0.697272687116599,0.6689719173071713,0.7578716042649641,0.8014834253950789,0.3554816287961917,0.37450052405073886,0.36423431207331686,0.8731009122384193,0.3584125706987796,0.36423431207331686,0.3584125706987796,0.8728463449755817,0.8666925694143737,0.8591698084027811,0.7900036665952624,0.8163418707958161,0.8424805566824234
DH,0.04523846916290235,0.1008053710440345,0.15468152223080248,0.1427760327949171,0.14004913194551588,0.1285601466439771,0.11425402621067113,0.1008053710440345,0.15549698526704753,0.13831584305826058,0.1559651575445367,0.04302412346822495,0.1505661786011061,0.1656129554679173,0.17147755418524982,0.19517857997070256,0.2006241413228541,0.16737878046311225,0.1393290464951621,0.38932872484287995,0.3793644180567213,0.38480999056573373,0.08107421996935163,0.3878467588387571,0.38480999056573373,0.3878467588387571,0.08135691752805999,0.0953834864372084,0.09797322899817924,0.14004913194551588,0.1285601466439771,0.11425402621067113
