,labels_x1_SpectralClustering_params1,labels_x1_SpectralClustering_params10,labels_x1_SpectralClustering_params11,labels_x1_SpectralClustering_params12,labels_x1_SpectralClustering_params13,labels_x1_SpectralClustering_params14,labels_x1_SpectralClustering_params15,labels_x1_SpectralClustering_params16,labels_x1_SpectralClustering_params17,labels_x1_SpectralClustering_params18,labels_x1_SpectralClustering_params19,labels_x1_SpectralClustering_params2,labels_x1_SpectralClustering_params20,labels_x1_SpectralClustering_params21,labels_x1_SpectralClustering_params22,labels_x1_SpectralClustering_params23,labels_x1_SpectralClustering_params24,labels_x1_SpectralClustering_params25,labels_x1_SpectralClustering_params26,labels_x1_SpectralClustering_params27,labels_x1_SpectralClustering_params28,labels_x1_SpectralClustering_params29,labels_x1_SpectralClustering_params3,labels_x1_SpectralClustering_params30,labels_x1_SpectralClustering_params31,labels_x1_SpectralClustering_params32,labels_x1_SpectralClustering_params33,labels_x1_SpectralClustering_params34,labels_x1_SpectralClustering_params35,labels_x1_SpectralClustering_params36,labels_x1_SpectralClustering_params37,labels_x1_SpectralClustering_params38,labels_x1_SpectralClustering_params39,labels_x1_SpectralClustering_params4,labels_x1_SpectralClustering_params40,labels_x1_SpectralClustering_params41,labels_x1_SpectralClustering_params42,labels_x1_SpectralClustering_params43,labels_x1_SpectralClustering_params44,labels_x1_SpectralClustering_params45,labels_x1_SpectralClustering_params46,labels_x1_SpectralClustering_params47,labels_x1_SpectralClustering_params48,labels_x1_SpectralClustering_params5,labels_x1_SpectralClustering_params6,labels_x1_SpectralClustering_params7,labels_x1_SpectralClustering_params8,labels_x1_SpectralClustering_params9
cSIL,0.9391397465387532,0.937413665183214,0.937413665183214,0.937413665183214,0.9593422711859748,0.9593422711859748,0.9593422711859748,0.9593422711859748,0.9593422711859748,0.9593422711859748,0.9593422711859748,0.9391397465387532,0.9593422711859748,0.9593422711859748,0.9593422711859748,0.9593422711859748,0.9593422711859748,0.757254468624584,0.7892247425950762,0.8324683470255517,0.8236694816959163,0.8324683470255517,0.9208127016017342,0.8324683470255517,0.8166712895863959,0.7258307404819867,0.8166712895863959,0.7258307404819867,0.8166712895863959,0.7258307404819867,0.7758183685813311,0.8173470935480094,0.8722026661403166,0.9208127016017342,0.8678050167405267,0.7700660111948354,0.8602752453666053,0.8077958356796213,0.6974983409335492,0.8077958356796213,0.6974983409335492,0.8077958356796213,0.6974983409335492,0.9208127016017342,0.9208127016017342,0.937413665183214,0.937413665183214,0.937413665183214
GD43,3.049997628909202,3.2823895376574956,3.2823895376574956,3.2823895376574956,6.856792571588086,6.856792571588086,6.856792571588086,6.856792571588086,6.856792571588086,6.856792571588086,6.856792571588086,3.049997628909202,6.856792571588086,6.856792571588086,6.856792571588086,6.856792571588086,6.856792571588086,1.6297147297790957,1.753688796238091,1.943930831944313,1.8986006215964597,1.943930831944313,2.0630893750829036,1.943930831944313,1.8583188066221326,0.9450432561683598,1.8583188066221326,0.9450432561683598,1.8583188066221326,0.9450432561683598,3.227626888258921,0.7542566759825949,2.06315522005515,2.0630893750829036,2.0232279109602116,2.976094195121567,2.351692278533561,1.035213812551616,0.8924841873734939,1.035213812551616,0.8924841873734939,1.035213812551616,0.8924841873734939,2.0630893750829036,2.0630893750829036,3.2823895376574956,3.2823895376574956,3.2823895376574956
GD53,0.3290108177817326,0.3495801310900278,0.3495801310900278,0.3495801310900278,0.23831401088648665,0.23831401088648665,0.23831401088648665,0.23831401088648665,0.23831401088648665,0.23831401088648665,0.23831401088648665,0.3290108177817326,0.23831401088648665,0.23831401088648665,0.23831401088648665,0.23831401088648665,0.23831401088648665,0.11131230629632284,0.12274831973465464,0.11691849754934867,0.11995214068694633,0.11691849754934867,0.3784071000756579,0.11691849754934867,0.11187129947664155,0.04624384472234506,0.11187129947664155,0.04624384472234506,0.11187129947664155,0.04624384472234506,0.1348001069148709,0.04009999101572005,0.08215898157965867,0.3784071000756579,0.0839612581420563,0.178998375940631,0.09105960133373997,0.056434875027980995,0.04497804629642982,0.056434875027980995,0.04497804629642982,0.056434875027980995,0.04497804629642982,0.3784071000756579,0.3784071000756579,0.3495801310900278,0.3495801310900278,0.3495801310900278
PS,1.677654436508246,1.7544134983419344,1.7544134983419344,1.7544134983419344,1.6339956859644424,1.6339956859644424,1.6339956859644424,1.633995685964443,1.6339956859644424,1.633995685964443,1.6339956859644424,1.677654436508246,1.633995685964443,1.6339956859644424,1.633995685964443,1.6339956859644424,1.633995685964443,0.47684893444408416,0.48590904839544125,0.5179388611438367,0.5146826022469783,0.5179388611438367,1.296702055555865,0.5179388611438367,0.5078962277866386,0.9126796379296693,0.5078962277866386,0.9126796379296693,0.5078962277866386,0.9126796379296693,-0.8351869016723372,-1.0037606138049804,-0.31226766652252513,1.296702055555865,-0.3225238900106141,0.13396959327845337,-0.21221242831014453,0.5720456393263516,0.7093182998996972,0.5720456393263516,0.7093182998996972,0.5720456393263516,0.7093182998996972,1.296702055555865,1.296702055555865,1.7544134983419344,1.7544134983419344,1.7544134983419344
rCIP,0.0157712373983902,0.019359869147109014,0.019359869147109014,0.019359869147109014,0.00041055496104145295,0.00041055496104145295,0.00041055496104145295,0.00041055496104145295,0.00041055496104145295,0.00041055496104145295,0.00041055496104145295,0.0157712373983902,0.00041055496104145295,0.00041055496104145295,0.00041055496104145295,0.00041055496104145295,0.00041055496104145295,1.583199439699396,1.0500224563961151,0.43689353988991075,0.5682389076800273,0.43689353988991075,0.05118649924991675,0.43689353988991075,0.79840175563525,0.4547403244976549,0.79840175563525,0.4547403244976549,0.79840175563525,0.4547403244976549,1.597493598854293,2.9878988258268797,2.6291954750283586,0.05118649924991675,2.6869673705554815,0.9129455110232384,3.1658305584157116,1.432513914977577,1.6408277216719178,1.432513914977577,1.6408277216719178,1.432513914977577,1.6408277216719178,0.05118649924991675,0.05118649924991675,0.019359869147109014,0.019359869147109014,0.019359869147109014
WB,0.5764702262129306,0.5636336749696543,0.5636336749696543,0.5636336749696543,0.18859816251038417,0.18859816251038417,0.18859816251038417,0.18859816251038417,0.18859816251038417,0.18859816251038417,0.18859816251038417,0.5764702262129306,0.18859816251038417,0.18859816251038417,0.18859816251038417,0.18859816251038417,0.18859816251038417,0.22104645478100063,0.21650567803532705,0.20893198594531845,0.210351693943788,0.20893198594531845,1.2542083696136448,0.20893198594531845,0.21300033099445864,0.45413541057145007,0.21300033099445864,0.45413541057145007,0.21300033099445864,0.45413541057145007,0.21263166210857537,0.738754685281211,0.23177332714314147,1.2542083696136448,0.23060119286359734,0.19558062949756544,0.23128593697040287,0.29406763634481287,0.45141303628144924,0.29406763634481287,0.45141303628144924,0.29406763634481287,0.45141303628144924,1.2542083696136448,1.2542083696136448,0.5636336749696543,0.5636336749696543,0.5636336749696543
XB,0.07005714554671032,0.06949524929920982,0.06949524929920982,0.06949524929920982,0.051335642705118395,0.051335642705118395,0.051335642705118395,0.051335642705118395,0.051335642705118395,0.051335642705118395,0.051335642705118395,0.07005714554671032,0.051335642705118395,0.051335642705118395,0.051335642705118395,0.051335642705118395,0.051335642705118395,0.8045695676288352,0.6812945383281905,0.5360370021287283,0.5655666119450719,0.5360370021287283,0.1175820346512792,0.5360370021287283,0.5974089189445688,0.35232167980064905,0.5974089189445688,0.35232167980064905,0.5974089189445688,0.35232167980064905,0.4385185984565142,1.247466983076189,0.42469201042274685,0.1175820346512792,0.4394846257355172,0.4064933973907343,0.3764631845792317,0.5543257535110411,0.49462090963381034,0.5543257535110411,0.49462090963381034,0.5543257535110411,0.49462090963381034,0.1175820346512792,0.1175820346512792,0.06949524929920982,0.06949524929920982,0.06949524929920982
SSE,19.93196701335087,19.585712323036113,19.585712323036113,19.585712323036113,5.269095523013269,5.269095523013269,5.269095523013269,5.269095523013269,5.269095523013269,5.269095523013269,5.269095523013269,19.93196701335087,5.269095523013269,5.269095523013269,5.269095523013269,5.269095523013269,5.269095523013269,4.665109353796568,4.574198502203709,4.422129237824569,4.450676676228934,4.422129237824569,34.333868793360296,4.422129237824569,4.503883946670136,9.082812669625241,4.503883946670136,9.082812669625241,4.503883946670136,9.082812669625241,3.633869297782513,11.467823342702289,3.9465075871013933,34.333868793360296,3.927429042135387,3.353437039692505,3.9385754940425,4.948301480198309,7.376721963292901,4.948301480198309,7.376721963292901,4.948301480198309,7.376721963292901,34.333868793360296,34.333868793360296,19.585712323036113,19.585712323036113,19.585712323036113
RS,0.5990241892916476,0.5852744807729686,0.5852744807729686,0.5852744807729686,0.8343243760152184,0.8343243760152184,0.8343243760152184,0.8343243760152184,0.8343243760152184,0.8343243760152184,0.8343243760152184,0.5990241892916476,0.8343243760152184,0.8343243760152184,0.8343243760152184,0.8343243760152184,0.8343243760152184,0.805918054617621,0.80897826947501,0.8204781264722593,0.8180271304499506,0.8204781264722593,0.47686462349244796,0.8204781264722593,0.8175849020422447,0.5528567787492997,0.8175849020422447,0.5528567787492997,0.8175849020422447,0.5528567787492997,0.8070444016551035,0.6293214326458623,0.8245319674652961,0.47686462349244796,0.8241509569934142,0.8016123414054782,0.8125157241986211,0.6959174805498645,0.5256952188598827,0.6959174805498645,0.5256952188598827,0.6959174805498645,0.5256952188598827,0.47686462349244796,0.47686462349244796,0.5852744807729686,0.5852744807729686,0.5852744807729686
DH,0.27606481180216164,0.2873015504509256,0.2873015504509256,0.2873015504509256,0.17049143996010255,0.17049143996010255,0.17049143996010255,0.17049143996010255,0.17049143996010255,0.17049143996010255,0.17049143996010255,0.27606481180216164,0.17049143996010255,0.17049143996010255,0.17049143996010255,0.17049143996010255,0.17049143996010255,0.17407795920885183,0.17256547886583468,0.16681345023597868,0.16825243909996154,0.16681345023597868,0.26914591378741726,0.16681345023597868,0.16832009809960335,0.23578501158806284,0.16832009809960335,0.23578501158806284,0.16832009809960335,0.23578501158806284,0.16623578250835558,0.20657835871142494,0.15148615471057678,0.26914591378741726,0.15191801249202064,0.17275449852719033,0.15715056566562774,0.19524522305166356,0.22993670456655618,0.19524522305166356,0.22993670456655618,0.19524522305166356,0.22993670456655618,0.26914591378741726,0.26914591378741726,0.2873015504509256,0.2873015504509256,0.2873015504509256
