,labels_s2_MeanShift_params1,labels_s2_MeanShift_params10,labels_s2_MeanShift_params11,labels_s2_MeanShift_params12,labels_s2_MeanShift_params13,labels_s2_MeanShift_params14,labels_s2_MeanShift_params15,labels_s2_MeanShift_params16,labels_s2_MeanShift_params17,labels_s2_MeanShift_params18,labels_s2_MeanShift_params19,labels_s2_MeanShift_params2,labels_s2_MeanShift_params20,labels_s2_MeanShift_params27,labels_s2_MeanShift_params28,labels_s2_MeanShift_params3,labels_s2_MeanShift_params37,labels_s2_MeanShift_params38,labels_s2_MeanShift_params4,labels_s2_MeanShift_params5,labels_s2_MeanShift_params6,labels_s2_MeanShift_params7,labels_s2_MeanShift_params8,labels_s2_MeanShift_params9
cSIL,0.9209105859552258,0.7709971522790666,0.813964194292101,0.813964194292101,0.802382967329499,0.8038017153482234,0.8140542144447606,0.7709971522790666,0.8496115753386778,0.8415769854959093,0.8123830648403298,0.9209105859552258,0.7702661212383225,0.8087488877223171,0.8243693657019535,0.9211677986842218,0.8462911216169418,0.8354587095417951,0.919715638891598,0.8569645770288261,0.8589036425793659,0.802382967329499,0.8038017153482234,0.8140542144447606
GD43,5.821349339924914,1.903672506224961,2.4006242246079177,2.4006242246079177,2.3589795250416983,2.397973125490546,2.396096398252827,1.903672506224961,2.2220881775835695,1.8131105295199845,2.3638508030375722,5.821349339924914,1.4079378837932914,2.4444547017707765,2.300492261685217,5.764787121244505,2.3320288697509657,2.0157915217124165,6.048022675194441,2.8898496342610835,2.9527365829822414,2.3589795250416983,2.397973125490546,2.396096398252827
GD53,0.10934612107811245,0.21875618069478747,0.30590755124854513,0.30590755124854513,0.20674861465680733,0.20843619373605388,0.3054078288324714,0.21875618069478747,0.21740856519898344,0.2537585378139582,0.3063980792127138,0.10934612107811245,0.1566827009324919,0.31580146646558777,0.1853250262584358,0.1082836768145709,0.25461038116451107,0.27913215352952014,0.11360387104573096,0.15563755062142628,0.15563755062142628,0.20674861465680733,0.20843619373605388,0.3054078288324714
PS,-1.131040149426182,2.3893943803347373,2.408791612523334,2.408791612523334,0.8040569400081294,0.810405493487216,2.4017070214583542,2.3893943803347373,2.0108384852816616,1.831940294943195,2.3912880750945487,-1.131040149426182,1.1418692896105536,2.488576366547566,1.829298735743185,-1.1583220004328663,2.1922762226729415,1.9101325868191719,-0.6115749180875472,0.5946686940212861,0.6477455236189463,0.8040569400081294,0.810405493487216,2.4017070214583542
rCIP,0.2976043860682208,0.4941903900022918,0.32158369722770597,0.32158369722770597,1.7950834898580688,1.7897249285285806,0.3214802721154301,0.4941903900022918,0.22822466448220413,0.11650926974651965,0.3289171189977592,0.2976043860682208,0.24288935022168212,0.3359091555967928,0.5499059562483997,0.2933869446531924,0.24433359226308254,0.0951051062317254,0.39923010051215,0.8993270952802858,0.9586386343526663,1.7950834898580688,1.7897249285285806,0.3214802721154301
WB,0.4574109389898728,1.488911180560998,1.2288033748981206,1.2288033748981206,1.1243108810889528,1.1214659953602264,1.2282263812824865,1.488911180560998,1.386650174763675,1.9154369156408957,1.2289657794223803,0.4574109389898728,1.9046334492105195,1.242860615871531,1.2351490851780564,0.4571804051891457,1.3497587711377599,1.7747481558692808,0.4591374370447505,0.9417592528513177,0.9469651120921204,1.1243108810889528,1.1214659953602264,1.2282263812824865
XB,0.12666183193241828,0.32376245737658305,0.2885910287663534,0.2885910287663534,0.4052734079310621,0.3978141650131726,0.28862823663242665,0.32376245737658305,0.21669483868791944,0.23577640430562963,0.29414149447240734,0.12666183193241828,0.4439013315121067,0.2903716228339064,0.28490948153551354,0.12660001346071448,0.20900058592417597,0.21097317537927104,0.12712473596242654,0.22658469839073284,0.21812145750697667,0.4052734079310621,0.3978141650131726,0.28862823663242665
SSE,73.42469967952952,532.5043004497995,457.8296675599775,457.8296675599775,257.7193927727981,257.1395308365935,457.6570845025339,532.5043004497995,597.4124879333544,904.3402993118623,457.8782381880313,73.42469967952952,748.5910365000465,462.024435998618,396.1850235800522,73.38886407972609,585.5286052156666,862.6058951603238,73.6930408906525,219.83802393240816,220.93755435875076,257.7193927727981,257.1395308365935,457.6570845025339
RS,0.5809306629495136,-0.10468621005063358,0.03617695294630345,0.03617695294630345,0.07031821558139177,0.0724619952079752,0.03679591810989068,-0.10468621005063358,0.07144452166189565,0.026534215119839097,0.035958425777911585,0.5809306629495136,-0.063095736280276,0.019609364577348815,0.06597694419996906,0.5817761269688047,0.049040813601297285,-0.0038394373184235317,0.5764526242527105,0.22123931400029842,0.21943090988335381,0.07031821558139177,0.0724619952079752,0.03679591810989068
DH,0.011611292704128006,0.09942007832969113,0.0927295840828861,0.0927295840828861,0.03478729264725137,0.03473629210874385,0.09271489705553063,0.09942007832969113,0.1306430406606208,0.22468664555580467,0.09307937578470313,0.011611292704128006,0.145511123395574,0.09370756955282725,0.06834839493873161,0.011605254768311533,0.13409773029260916,0.23223315923006674,0.011692153242828735,0.030606216066959714,0.030777138057665132,0.03478729264725137,0.03473629210874385,0.09271489705553063
