,labels_spiral_MeanShift_params1,labels_spiral_MeanShift_params10,labels_spiral_MeanShift_params11,labels_spiral_MeanShift_params12,labels_spiral_MeanShift_params13,labels_spiral_MeanShift_params14,labels_spiral_MeanShift_params15,labels_spiral_MeanShift_params16,labels_spiral_MeanShift_params19,labels_spiral_MeanShift_params2,labels_spiral_MeanShift_params20,labels_spiral_MeanShift_params22,labels_spiral_MeanShift_params25,labels_spiral_MeanShift_params26,labels_spiral_MeanShift_params3,labels_spiral_MeanShift_params4,labels_spiral_MeanShift_params5,labels_spiral_MeanShift_params6,labels_spiral_MeanShift_params7,labels_spiral_MeanShift_params8,labels_spiral_MeanShift_params9
cSIL,0.8421481922395676,0.808896653231031,0.8103623887582666,0.8043678012111902,0.808659270029478,0.8306959377662946,0.8096773161955321,0.808896653231031,0.8104039516492407,0.8220822602282045,0.8042925141107194,0.6647435125814425,0.7689771300464238,0.7339174893227892,0.8205832814574608,0.8047697973158023,0.8070005636136726,0.7473406625430693,0.808659270029478,0.8306959377662946,0.8096773161955321
GD43,4.131344296254334,2.1534647599503542,2.2351561557883213,2.0408930236803213,2.3770290484474907,3.12688994782538,1.988868751939193,2.1534647599503542,2.2583279468797515,3.2852088162056323,2.0970395729359006,1.1751190449309292,1.4510028328125102,1.582383028847105,2.8669526197084085,2.75283643244549,2.32011658040956,1.767634341082962,2.3770290484474907,3.12688994782538,1.988868751939193
GD53,0.13093759122280868,0.44849925621553577,0.47493428707127766,0.42963389827376136,0.1937029040882929,0.25746790354711824,0.38526705280665274,0.44849925621553577,0.4819599561700574,0.0810784229428199,0.4539392998172147,0.47828904304513437,0.23852168911554403,0.3552174655490372,0.2479649335386756,0.20631327615365685,0.40295717943903725,0.3564172741304247,0.1937029040882929,0.25746790354711824,0.38526705280665274
PS,-1.071797462848422,2.485926368097184,2.4824820397165555,2.7338899370266754,0.7086178432511778,-0.6979326201733074,2.2065495049182586,2.485926368097184,2.528366027737605,-4.065757573047531,2.629670780686142,1.659020896135575,1.8936025207158966,2.367454125732425,-1.5695565394230986,0.1870623158296988,2.748707598794188,2.700263279000808,0.7086178432511778,-0.6979326201733074,2.2065495049182586
rCIP,6.377590156068498,0.1654008843298692,0.1670314857359766,0.16080411715964743,2.0432832566595516,4.026023337776037,0.17352009333140148,0.1654008843298692,0.16602237930549724,12.36404077059995,0.16105467270597137,0.06154607310290278,0.3528325598191609,0.7124283922948795,3.066805254592804,3.9878188624452098,0.43976216709735194,0.6322955210464337,2.0432832566595516,4.026023337776037,0.17352009333140148
WB,1.115713830268896,2.089117906406406,2.064404307564697,2.1533043531217255,1.4598502780130838,1.3409390552096874,2.132875938903495,2.089117906406406,2.0607871267843234,1.1786702052464804,2.169635173244427,4.202014199621069,2.311152279961563,1.8252649027479737,1.4126589158024343,1.3397187026245245,1.7396404883869419,1.7651505559342804,1.4598502780130838,1.3409390552096874,2.132875938903495
XB,0.2492557320004314,0.23917015199825056,0.23955513049453847,0.24449115759583445,0.3483911034273769,0.26995332987508946,0.23802995645094685,0.23917015199825056,0.23905121912759167,0.3493032864238227,0.24730580133786378,0.5083304488693471,0.3368611002507634,0.5594740074241275,0.32090114425631955,0.3243865162934996,0.2582201550979424,0.4550388674616971,0.3483911034273769,0.26995332987508946,0.23802995645094685
SSE,8.759173730609573,61.60575476473025,61.1740496350007,62.70764193812258,19.117461193868113,14.032410914561204,62.359937532138574,61.60575476473025,61.11050983053958,7.63140730230789,62.98362625654017,101.67767419315138,54.956712638408916,40.1335184261619,15.80604733630554,14.02083350759857,45.4857814576291,39.15661416737642,19.117461193868113,14.032410914561204,62.359937532138574
RS,-0.0706645242696337,-0.2262830724655558,-0.21849594108706624,-0.25534934061446785,-0.22819479137156098,-0.19081624256056118,-0.21793431979364086,-0.2262830724655558,-0.21783834617329262,-0.09408658534835414,-0.2600546930380949,-0.34159299876087645,-0.3229422179889044,-0.3234947789603439,-0.19673962216126883,-0.20366623436569,-0.2030101980735033,-0.30515342607738566,-0.22819479137156098,-0.19081624256056118,-0.21793431979364086
DH,0.2159838944638025,0.5291895651294142,0.5282810926689353,0.5340271170662892,0.3082558938518645,0.2693161161200677,0.5278642904290012,0.5291895651294142,0.5279947852057367,0.19168568741257613,0.5348402150123014,0.6596737170102824,0.477960276289888,0.4421498769418522,0.27411615597420325,0.2679676543564982,0.46891949864419075,0.43981679462248285,0.3082558938518645,0.2693161161200677,0.5278642904290012
B,0.05834214427496451,0.4650682309951042,0.4576943077272643,0.4826931158656715,0.1223179369150016,0.08718220876026837,0.461556357077044,0.4650682309951042,0.4576856505301141,0.04865035047660293,0.485229056621755,0.9912851085754937,0.3943711158146523,0.2893878241374827,0.09208329838208672,0.08903193780193164,0.32958207183094246,0.27994790823309945,0.1223179369150016,0.08718220876026837,0.461556357077044
BH,0.48662076281164296,20.535251588243415,20.39134987833357,20.902547312707522,1.9117461193868113,1.0794162241970156,20.786645844046195,20.535251588243415,20.370169943513194,0.3468821501049041,20.994542085513388,50.83883709657569,13.739178159602229,8.02670368523238,1.317170611358795,1.0785256544306594,11.371445364407275,7.831322833475284,1.9117461193868113,1.0794162241970156,20.786645844046195
D,0.35916522346042346,0.2892487343899862,0.3015936564658365,0.27766306156632803,0.2775597095983064,0.29924636291247625,0.29137201491381587,0.2892487343899862,0.3015040499851672,0.24233870770351099,0.27079498780063405,0.2670871988773581,0.17996295035442714,0.2793268985465212,0.27714490542109765,0.24215290978069343,0.2684627399639306,0.27033753644229863,0.2775597095983064,0.29924636291247625,0.29137201491381587
H,2.7457970338973343,0.5701168663365764,0.5671380787455315,0.5850343880456731,1.8201658173838067,2.146536769836173,0.5626098784142329,0.5701168663365764,0.566766343150547,3.791177535245236,0.5890521653916808,0.669112648817213,0.8577382401654681,1.2775491843836042,2.1385593561090834,2.4477107429956484,0.7584166844424267,1.2229163622159955,1.8201658173838067,2.146536769836173,0.5626098784142329
DBCV,-0.4243578666059486,-0.9375822401710604,-0.9577508774416049,-0.9004853764102267,-0.8665608283568482,-0.8641741859010733,-0.9658312681640058,-0.9375822401710604,-0.933808089560496,-0.31192481361459173,-0.851332602186321,-0.9105188679696042,-0.9389424462428801,-0.9432593570289771,-0.8685238037592703,-0.705712358353374,-0.9400504632245824,-0.9134158370982078,-0.8665608283568482,-0.8641741859010733,-0.9658312681640058
I,0.15887908886393687,0.24414460956558162,0.2468844008995737,0.23764923719361764,0.21251489232763554,0.16253614315122827,0.2425089196125541,0.24414460956558162,0.24717294713067398,0.14544153268320067,0.23675699042168194,0.25336781542755116,0.3050735675295496,0.2875514997762914,0.18671544416622157,0.1846139833256981,0.28932099634191927,0.28155549648171946,0.21251489232763554,0.16253614315122827,0.2425089196125541
