,labels_dense_DBSCAN_params1,labels_dense_DBSCAN_params11,labels_dense_DBSCAN_params12,labels_dense_DBSCAN_params16,labels_dense_DBSCAN_params21,labels_dense_DBSCAN_params22,labels_dense_DBSCAN_params26,labels_dense_DBSCAN_params27,labels_dense_DBSCAN_params31,labels_dense_DBSCAN_params32,labels_dense_DBSCAN_params36,labels_dense_DBSCAN_params37,labels_dense_DBSCAN_params38,labels_dense_DBSCAN_params41,labels_dense_DBSCAN_params42,labels_dense_DBSCAN_params43,labels_dense_DBSCAN_params46,labels_dense_DBSCAN_params49,labels_dense_DBSCAN_params55,labels_dense_DBSCAN_params6,labels_dense_DBSCAN_params7
cSIL,0.9778869538170086,0.9105323433075125,0.886270596937669,0.9889640393431027,0.9685225549419858,0.9984372535055475,0.9255656404378246,0.9919462099158433,0.7907688250652599,0.8589463917089943,0.8974635238533064,0.834547759956048,0.9366030919866883,0.9151218070274942,0.9047719421683627,0.9231218815153519,0.8978604553304081,0.9638382183101817,0.9325615784850144,0.9010448358959248,0.9105893059394374
GD43,572.6293357291197,20.481827855825664,29.880748503886316,33.147353397108176,18.682539009831334,186.01914344554112,4.475453228829957,67.42571984288125,1.0099868729911217,4.659349685525543,1.715317669092699,1.1889518273591082,3.6017134087472966,1.9468058668468298,2.281161331039385,2.7970402096651683,1.627710747744346,5.710384599392984,4.861718176225862,59.841510800094134,137.14717887335655
GD53,0.20465495062079656,0.047108670451279665,0.46453576988246176,0.1025281623843521,0.09323184229802954,0.48580789750993764,0.02886556124863947,0.36966712707555516,0.009005130313612742,0.047114751354761814,0.009491002796716469,0.010600313875391365,0.02596786964306746,0.012138942761785043,0.24237885875779386,0.22371171237762835,0.49257486811590295,0.19584231546085118,0.3983529035127392,0.06521170104280105,0.2935585615605368
PS,1.1112090700202102,-1.7345011651365587,1.0490830079368174,-1.0557541322223751,-5.708617919863157,1.0133687222225316,-6.630689747556982,-0.11868957962147253,-1.2812237127595647,-2.583754997703926,0.5717508405901007,0.3275206934168207,0.9545121076595919,1.342097790590951,1.8555255849676295,1.7182706830068453,0.978753337607147,1.4633687222225316,1.402393112466434,0.13595460917953095,1.502820360463947
rCIP,84.51057348798156,11.205245296047172,5.83898880784786,1.3484850940730687e-17,0.6593640054324043,8.596492358962679e-222,0.9965334473585226,2.5084320207363257e-20,0.8810840414174897,1.589386823904237,0.09421960706393359,0.319619376100987,0.024579156588055068,0.010211933170073262,0.00546789505985355,0.0019835343810914226,0.0009056253043379027,1.175725501310306e-06,0.004242233748596026,122.9958062987436,6.918255606830429
WB,0.026231935314451192,0.08907643764610872,5.4711843250833905,0.14210397455908688,0.09239207737343655,0.09551294952209945,0.13470441383051648,0.05309272381659021,0.9305444911282619,0.2153025105746836,0.9604449696178721,0.8670790679116835,0.24951330370766006,1.061352359200109,0.729018693241314,0.5493346022568623,26.6387844373007,0.23690763668892942,0.6351925419647341,0.5857147136772647,0.447920179001855
XB,0.04051724980964446,0.3844828460832275,0.19891771265019254,0.06494009036201835,0.06738704629287326,0.0021658265197754974,0.16924457867749632,0.012295159389122751,0.4595067543391546,0.12208725500480151,0.17045037356197434,0.36787725268781946,0.06428680850157119,0.11866127361076667,0.09083131776243492,0.06732739249906987,0.19875126129758328,0.026323070743214376,0.06733296408646562,0.1697249059434143,0.11784077273468373
SSE,0.00013020571931130837,0.0948939145506948,0.09234119976740102,0.3328011590697396,0.40331623373915587,0.3306583487082317,0.6652231506216877,0.35486491810075,12.152124651381106,2.057166301767187,18.565381887474427,15.355966990887323,5.116469517111633,25.6315240782597,23.988283042678415,17.007530580520488,91.23160893982943,6.970603806661959,17.648262185041354,0.004691949651413403,0.0017771499578682418
RS,0.9743743904900037,0.9631865938216182,0.13172767819315542,0.9348425301187587,0.934065177583006,0.9341397582868198,0.8661156922728065,0.9510625175836146,0.5159847727074854,0.68787239640838,0.49063457228336993,0.49545101404755926,0.7189473306292552,0.4267094697673786,0.4351078854070868,0.5038104315763863,0.03704108916762518,0.7059409811078411,0.48341208192711843,0.5597278594919252,0.6074041120100034
DH,0.058667732885676525,0.05203291281879255,0.3562081965528922,0.044636776736804676,0.046668088070610084,0.04532358463941588,0.06889497236224348,0.04622397138541448,0.1556084035814007,0.14306344441804383,0.1793297124043302,0.20349585306670878,0.18632174555419698,0.20696413707748848,0.29472808007218004,0.26901955910932385,0.2780639991072201,0.19766073916359667,0.2878511192690892,0.16884371294902284,0.2417060027221963
