,labels_yeast_HDBSCAN_params1,labels_yeast_HDBSCAN_params10,labels_yeast_HDBSCAN_params11,labels_yeast_HDBSCAN_params12,labels_yeast_HDBSCAN_params13,labels_yeast_HDBSCAN_params14,labels_yeast_HDBSCAN_params15,labels_yeast_HDBSCAN_params16,labels_yeast_HDBSCAN_params17,labels_yeast_HDBSCAN_params18,labels_yeast_HDBSCAN_params19,labels_yeast_HDBSCAN_params2,labels_yeast_HDBSCAN_params20,labels_yeast_HDBSCAN_params21,labels_yeast_HDBSCAN_params22,labels_yeast_HDBSCAN_params23,labels_yeast_HDBSCAN_params24,labels_yeast_HDBSCAN_params25,labels_yeast_HDBSCAN_params26,labels_yeast_HDBSCAN_params27,labels_yeast_HDBSCAN_params28,labels_yeast_HDBSCAN_params29,labels_yeast_HDBSCAN_params3,labels_yeast_HDBSCAN_params30,labels_yeast_HDBSCAN_params31,labels_yeast_HDBSCAN_params32,labels_yeast_HDBSCAN_params33,labels_yeast_HDBSCAN_params34,labels_yeast_HDBSCAN_params35,labels_yeast_HDBSCAN_params36,labels_yeast_HDBSCAN_params37,labels_yeast_HDBSCAN_params38,labels_yeast_HDBSCAN_params39,labels_yeast_HDBSCAN_params4,labels_yeast_HDBSCAN_params40,labels_yeast_HDBSCAN_params41,labels_yeast_HDBSCAN_params42,labels_yeast_HDBSCAN_params5,labels_yeast_HDBSCAN_params6,labels_yeast_HDBSCAN_params7,labels_yeast_HDBSCAN_params8,labels_yeast_HDBSCAN_params9
cSIL,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.854988075421528,0.854988075421528,0.854988075421528,0.854988075421528,0.854988075421528,0.8991724148696343,0.854988075421528,0.854988075421528,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.854988075421528,0.854988075421528,0.854988075421528,0.854988075421528,0.8991724148696343,0.854988075421528,0.854988075421528,0.854988075421528,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343,0.8991724148696343
GD43,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,3.5458431398344152,3.5458431398344152,3.5458431398344152,3.5458431398344152,3.5458431398344152,1.8426776679885037,3.5458431398344152,3.5458431398344152,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,3.5458431398344152,3.5458431398344152,3.5458431398344152,3.5458431398344152,1.8426776679885037,3.5458431398344152,3.5458431398344152,3.5458431398344152,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037,1.8426776679885037
GD53,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.48655131131468177,0.48655131131468177,0.48655131131468177,0.48655131131468177,0.48655131131468177,0.3741553923669389,0.48655131131468177,0.48655131131468177,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.48655131131468177,0.48655131131468177,0.48655131131468177,0.48655131131468177,0.3741553923669389,0.48655131131468177,0.48655131131468177,0.48655131131468177,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389,0.3741553923669389
PS,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,1.0027129845176135,1.0027129845176135,1.0027129845176135,1.0027129845176135,1.0027129845176135,0.6638816808267753,1.0027129845176135,1.0027129845176135,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,1.0027129845176135,1.0027129845176135,1.0027129845176135,1.0027129845176135,0.6638816808267753,1.0027129845176135,1.0027129845176135,1.0027129845176135,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753,0.6638816808267753
rCIP,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,2.543527380594922,2.543527380594922,2.543527380594922,2.543527380594922,2.543527380594922,0.0003302354229391462,2.543527380594922,2.543527380594922,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,2.543527380594922,2.543527380594922,2.543527380594922,2.543527380594922,0.0003302354229391462,2.543527380594922,2.543527380594922,2.543527380594922,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462,0.0003302354229391462
WB,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,13.308226767015386,13.308226767015386,13.308226767015386,13.308226767015386,13.308226767015386,15.255965922682648,13.308226767015386,13.308226767015386,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,13.308226767015386,13.308226767015386,13.308226767015386,13.308226767015386,15.255965922682648,13.308226767015386,13.308226767015386,13.308226767015386,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648,15.255965922682648
XB,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.24235543177500177,0.24235543177500177,0.24235543177500177,0.24235543177500177,0.24235543177500177,0.11378265427317544,0.24235543177500177,0.24235543177500177,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.24235543177500177,0.24235543177500177,0.24235543177500177,0.24235543177500177,0.11378265427317544,0.24235543177500177,0.24235543177500177,0.24235543177500177,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544,0.11378265427317544
SSE,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,24.627751354970002,24.627751354970002,24.627751354970002,24.627751354970002,24.627751354970002,529.5513573789805,24.627751354970002,24.627751354970002,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,24.627751354970002,24.627751354970002,24.627751354970002,24.627751354970002,529.5513573789805,24.627751354970002,24.627751354970002,24.627751354970002,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805,529.5513573789805
RS,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-0.15197977992835343,-0.15197977992835343,-0.15197977992835343,-0.15197977992835343,-0.15197977992835343,-1.6824933201156527,-0.15197977992835343,-0.15197977992835343,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-0.15197977992835343,-0.15197977992835343,-0.15197977992835343,-0.15197977992835343,-1.6824933201156527,-0.15197977992835343,-0.15197977992835343,-0.15197977992835343,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527,-1.6824933201156527
DH,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.4526974888788252,0.4526974888788252,0.4526974888788252,0.4526974888788252,0.4526974888788252,0.17275022922667013,0.4526974888788252,0.4526974888788252,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.4526974888788252,0.4526974888788252,0.4526974888788252,0.4526974888788252,0.17275022922667013,0.4526974888788252,0.4526974888788252,0.4526974888788252,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013,0.17275022922667013
