,labels_data4_DBSCAN_params13,labels_data4_DBSCAN_params14,labels_data4_DBSCAN_params17,labels_data4_DBSCAN_params18,labels_data4_DBSCAN_params19,labels_data4_DBSCAN_params20,labels_data4_DBSCAN_params22,labels_data4_DBSCAN_params23,labels_data4_DBSCAN_params24,labels_data4_DBSCAN_params9
cSIL,,,,,,,,,,
GD43,,,,,,,,,,
GD53,,,,,,,,,,
PS,,,,,,,,,,
rCIP,,,,,,,,,,
WB,,,,,,,,,,
XB,,,,,,,,,,
SSE,605.5262680348122,561.3696889909932,999.9905219639345,982.6021881419797,681.541184202214,559.0406122907034,974.0944756864556,1060.0454581305466,969.3327738485339,580.4915270755803
RS,,,,,,,,,,
DH,0.05977213816101611,0.40877045026000414,0.2724096171160643,0.36467790795536725,0.4454343415951846,0.34659471233772554,0.4716523234279164,0.5104622413755471,0.5149581533618447,0.1586244423378969
B,0.9641322588606877,0.02221597728198419,1.4182444221144808,1.703212646678963,1.6808653395560806,0.8185669218539218,2.895908891659923,3.0758546465661265,3.014732895275191,0.03487121370629965
BH,0.010671388805196629,0.0017207361792636437,7.705853326345469,8.164081709881025,6.3304044738548715,3.0141733299624396,18.2347721738235,16.875873236602363,14.92597893934176,0.00013839632006557067
D,,,,,,,,,,
H,,,,,,,,,,
DBCV,0.23538417285342425,0.022963244713178347,0.3755903821762259,0.39459909806516635,0.6701423117244799,0.29067481089754077,0.5125295743400604,0.5097622356881977,0.5537065826636511,0.031906779434028046
I,5.69158367444679,56600.196203395135,0.8760040714191811,1.4200475882095764,1.9158463944937796,3.168418101524887,0.5897477217027557,0.6294231243847174,0.7122001434092993,468978.1544206207
C,0.4681180264008558,0.6690788529153141,0.05856348640832866,0.07814883981763886,0.1504196563470081,0.24035132152787905,0.06854639208653254,0.06501662819464898,0.061316549353403214,0.6230379078368632
CDbw,0.38795469375204134,0.38668591549177633,0.25897163437082776,0.23377399192468132,0.2882264244376908,0.37739849556691135,0.10717454563219263,0.1470826808447797,0.16663935319235865,0.9403533848147866
VIASCKDE,0.4053753810823159,0.7463133961247681,0.6442219083031624,0.5828619503028778,0.5962148502906289,0.5286684450735729,0.7324697888433229,0.7089375939313501,0.7077158740611369,0.6862840751482339
COP,0.35470562527360017,0.35670854528766804,0.3224709085568133,0.32909966555912595,0.3250104565243449,0.33468372532730123,0.26614195496100806,0.2615374070151088,0.28864555426848576,0.3512893570305361
Sym,0.0014419274559186515,0.0034246212780469254,0.034803925615846894,0.01429795351599695,0.009972134045346186,0.008951418853455646,0.035545253857265986,0.030469532812949597,0.024754454531637583,0.003986093325756717
CS,1.465559515131927,1.6306326491788192,1.7253718143048742,1.7561570124338408,1.8656041701015909,2.029510861021655,2.382558710671366,2.552082609367396,2.2980693514339974,1.4319425825180006
SF,0.25336855221729415,0.42505156100753616,0.244242426231299,0.2659919775689177,0.28925906668529167,0.2954268897009391,0.25076044918428986,0.23232432183656715,0.22782260586754355,0.4249678185314474
SD,8876045.142960269,101061393.13582124,76013791.61812411,104527133.3896874,123866213.85813029,90948620.18098566,137299483.4164892,188612246.99945024,192243339.1822346,43055005.151302025
SDbw,0.3599953332850394,1.8487328298168428,0.7684918962747831,1.113012956267081,1.350272821514233,1.038188289717481,1.3695223648535955,1.57709451050254,1.612555995449036,1.2492147823269093
XB*,247.64438146916186,2.591264971113663,25.511781475148503,10.643497533301403,5.1517841301395055,5.972585100923938,9.832846944366015,4.421945963395898,5.926600160501846,61.922385216817666
S,-0.2794613940235042,-0.3135851431238158,0.2893477894428445,0.36341355554009974,0.32491836478972175,0.17494540254835553,0.47331554004464327,0.4498580767165147,0.4579715074306788,-0.6783188529630859
DB,1.502353383068206,1.3035768994719423,1.3617995841759722,2.2082290536418685,1.9959751695760966,1.7004185597947359,2.919802300140297,1.7374510486637402,2.196935880317198,1.1144423838067814
CH,18.739992067437747,6.235888987154083,647.701025042868,605.3122473329315,472.245385310897,277.6624823808584,1291.8995436693203,1125.5984990893196,973.7263452232356,4.494609948037293
AD-S,-0.06598414536737884,-0.21208220070263703,0.4724194830710841,0.459777526615478,0.3302187829715247,0.14656233020635867,0.5934170399770202,0.5894796189432068,0.5662060394473251,-0.4370753293045923
AD-DB,1.6998312687626072,1.9267523271178277,1.3610219152684075,1.3186803712355308,2.048520256396989,2.015124240894596,1.357764383645077,1.3778902152467005,1.6539461917191796,1.6014742160477586
AD-CH,25.02314718225464,8.964804948202213,352.79502619701566,481.73909573369906,495.6914738567418,324.743863513652,705.4891699330328,701.7234693918869,686.4704686855449,4.992924542330579
AD-idea,468.33159822579836,1.0874306513347471,48.451244026232054,19.868534039691216,11.709355063291015,5.529918654753276,15.56827106028901,15.82510244217413,16.0119949431039,1.2215503662706673
