,labels_fuzzyx_DBSCAN_params1,labels_fuzzyx_DBSCAN_params11,labels_fuzzyx_DBSCAN_params12,labels_fuzzyx_DBSCAN_params16,labels_fuzzyx_DBSCAN_params17,labels_fuzzyx_DBSCAN_params18,labels_fuzzyx_DBSCAN_params21,labels_fuzzyx_DBSCAN_params24,labels_fuzzyx_DBSCAN_params35,labels_fuzzyx_DBSCAN_params6
cSIL,0.9999494556930898,0.9419775328636371,0.9464947141009216,0.8068287235470025,0.6007751845200419,0.9121973571099468,0.8522485239336959,0.9011998509392734,0.821690061638511,0.9872711830885857
GD43,20660.823259866662,25.152603550543095,27.79464920853353,0.14813705658021872,0.2366221044496284,2.5849926978309368,1.3772528164108149,1.8825091156371834,1.3562970544136523,190.44976542267676
GD53,0.33091571302795536,0.004539348524722625,0.08668526259032978,0.0003946021620736473,0.001042276441796937,0.022839807754546484,0.4984671759985756,0.036131934846642136,0.4728018435289087,0.03099738053279568
PS,2.5019386213614756,-71.47255444320844,-4.063761542824694,-6.473107160600256,-5.8940080987854016,-14.296135978546753,0.966455141975618,-6.836511827766924,1.0226528385536278,-1.6905634179640585
rCIP,0.0,224.81898719894286,7.990939969210121,2.36172786635726,5.758222285416897,16.14418103766227,0.025786072977639664,5.5157687875055394,0.03156513945979299,0.019001019846296256
WB,0.0002665266401733748,0.05347064115402765,0.02838523164935769,28.621703869388547,7.6858116227992666,0.4286224495485505,191.74355944023225,0.6426280912004458,12.627195112563005,0.002809267430277171
XB,6.022649863984974e-05,0.17653443389419407,0.18607175651864025,26.934204182990353,12.14736556168352,0.9504568090562729,0.2940824296266757,0.8453244786104865,0.3335725660778718,0.027025532126075474
SSE,5.250532826834255e-05,0.084938468897298,0.025289200280856856,307.73177602803935,170.55318306447867,4.1750188482123445,434.2915009626202,10.164228548468765,344.9914551991868,0.001964732333695808
RS,0.9997334970365398,0.9590210471610591,0.9767391484755853,0.0980986596085852,0.13250943250711955,0.821706172400857,0.003641868718598528,0.7412735862912053,0.06146332296273886,0.9974735352429851
DH,0.005843054050496014,0.016742090058409886,0.03578789336582509,0.11472194968178845,0.1684787863561763,0.0729114253891779,0.3336207076760115,0.11479136160424055,0.39300771914577787,0.010591163245391402
B,8.884221339112495e-05,0.000615252886554299,0.001812523766412067,0.37485424895955194,0.37015724739190436,0.0145089694601266,0.2965059533138932,0.03528183593000577,0.37377454253320036,0.00022211687547004058
BH,1.7501776089447516e-05,0.00084938468897298,0.0018063714486326325,30.773177602803933,18.950353673830968,0.21973783411643924,217.14575048131007,0.9240207771335243,172.49572759959344,0.00013098215557972052
D,51.250294863918896,0.3371595951854056,0.3746603683646745,0.04344991585960242,0.04912551867515786,0.09276971990469392,0.48153212261646844,0.16650624134352615,0.07323027656746649,1.2885009779792003
H,0.00015163204741922866,5.4718741508766175,0.6848320797643369,1.0876204565562915,1.9009050320772953,1.5905001347461245,0.228871111916554,1.0279830404325683,0.27056966793332426,0.18887163207254368
DBCV,0.9999999999915894,0.8994142793971147,0.8686319906128902,-0.6737006709674292,-0.5449607343566185,0.462331646896078,-0.7857348209176578,0.09392684127203182,-0.7319926344099518,0.9807259022373119
I,389.932165277305,0.8917392326560082,3.7520408365909494,0.08441342326606613,0.05585138094997527,0.5565122806656837,0.38349174951906895,0.5729292811340987,0.3281432170439389,52.84993220693528
C,0.0,0.00151991022351112,0.0024674645307268166,0.291228954499839,0.22829624477238122,0.02072103849750413,0.39794843175522143,0.04521426292638664,0.3088305930644985,0.0
CDbw,322.60251831081194,25.231925350466376,40.2358277579124,12.295774920614944,3.4622101582138356,2.1895057793492003,1.8243078945508726,1.2548146280798416,0.029816026020575603,93.59281230858333
VIASCKDE,0.5029564665162582,0.37964428872621964,0.4652917529342096,0.5379207544424709,0.5606820807751562,0.5497447298165088,0.6402808678108072,0.5606521349272341,0.6190281938853552,0.4581001761698385
COP,0.2751278078436715,0.21435429533693634,0.13935282313308414,0.27007093830232204,0.2330964363295751,0.09985316969019843,0.2374651044105722,0.13299795735473113,0.2491610623510849,0.26300402401316186
Sym,4127.250626854609,0.45305575803897924,8.723116384973308,0.00871025668097719,0.002080501485500741,0.10215925961477766,0.03984276381055729,0.07372073420543891,0.02321065898718968,81.82190652736031
CS,0.013852015056465303,0.424849500469068,0.17439601928079404,0.6053188328470747,1.3298172324504711,0.6755279759752345,0.7645360964059724,0.7193751223711632,0.8939137871149087,0.05650006759059852
