,labels_ring_SpectralClustering_params1,labels_ring_SpectralClustering_params10,labels_ring_SpectralClustering_params11,labels_ring_SpectralClustering_params12,labels_ring_SpectralClustering_params13,labels_ring_SpectralClustering_params14,labels_ring_SpectralClustering_params15,labels_ring_SpectralClustering_params16,labels_ring_SpectralClustering_params17,labels_ring_SpectralClustering_params18,labels_ring_SpectralClustering_params19,labels_ring_SpectralClustering_params2,labels_ring_SpectralClustering_params20,labels_ring_SpectralClustering_params21,labels_ring_SpectralClustering_params22,labels_ring_SpectralClustering_params23,labels_ring_SpectralClustering_params24,labels_ring_SpectralClustering_params25,labels_ring_SpectralClustering_params26,labels_ring_SpectralClustering_params27,labels_ring_SpectralClustering_params28,labels_ring_SpectralClustering_params29,labels_ring_SpectralClustering_params3,labels_ring_SpectralClustering_params30,labels_ring_SpectralClustering_params31,labels_ring_SpectralClustering_params32,labels_ring_SpectralClustering_params33,labels_ring_SpectralClustering_params34,labels_ring_SpectralClustering_params35,labels_ring_SpectralClustering_params36,labels_ring_SpectralClustering_params4,labels_ring_SpectralClustering_params5,labels_ring_SpectralClustering_params6,labels_ring_SpectralClustering_params7,labels_ring_SpectralClustering_params8,labels_ring_SpectralClustering_params9
cSIL,0.7481279189990081,0.6808611042681818,0.6910339263839991,0.6808611042681818,0.7452953143115808,0.8229803502099787,0.1510475235163178,0.1510475235163178,0.14875635073276058,0.14875635073276058,0.7527860819104695,0.6306605464486209,0.790339606890159,0.7527860819104695,0.790339606890159,0.7527860819104695,0.790339606890159,0.8193974265677328,0.7011761072560918,0.6641641860447831,0.6620467242207805,0.6649278521347843,1.723685959575949e-06,0.6632317910288116,0.6633723085837085,0.663441406179776,0.6633723085837085,0.663441406179776,0.6633723085837085,0.663441406179776,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,0.6910339263839991,0.6808611042681818,0.6910339263839991
GD43,1.0255133173045432,1.0742278028650483,1.136638406947034,1.0742278028650483,0.8847548613271023,1.028556623654353,0.5304603938184764,0.5304603938184764,0.5489068759986746,0.5489068759986746,1.5521849403659462,0.9007623464206578,1.9027329841846938,1.5521849403659462,1.9027329841846938,1.5521849403659462,1.9027329841846938,1.0041460525031378,0.9864335997331161,1.3150726533726744,1.315223789518587,1.3566872114611948,0.0009488270780049281,1.3302768801657923,1.360512324381386,1.3272124533347032,1.360512324381386,1.3272124533347032,1.360512324381386,1.3272124533347032,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,1.136638406947034,1.0742278028650483,1.136638406947034
GD53,0.4930351451894936,0.41590671281455716,0.4336468012983009,0.41590671281455716,0.2981594910082352,0.013379114917662787,0.17833315429863106,0.17833315429863106,0.18709760573632922,0.18709760573632922,0.393948568150643,0.39497567593251054,0.4845709525649989,0.393948568150643,0.4845709525649989,0.393948568150643,0.4845709525649989,0.13531578558429924,0.1655816927273223,0.1622490894836193,0.16156944621707253,0.16982912173763234,0.2602074025546607,0.16727246634862727,0.17252177932010004,0.1650237776656586,0.17252177932010004,0.1650237776656586,0.17252177932010004,0.1650237776656586,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.4336468012983009,0.41590671281455716,0.4336468012983009
PS,0.977567505183992,1.2259949848487943,1.2180738665136233,1.2259949848487943,1.0507578241768298,0.39968172125886714,1.3163745308672063,1.3163745308672063,1.3275806172212061,1.3275806172212061,1.1304403715860725,1.2071498167498949,1.1247182032245877,1.1304403715860725,1.1247182032245877,1.1304403715860725,1.1247182032245877,0.1865566630673381,0.7568585644707513,0.939075401914593,0.9395634673033413,0.9447187111121786,1.9633687222225316,0.9407540227267255,0.9440099378209554,0.9419697234052236,0.9440099378209554,0.9419697234052236,0.9440099378209554,0.9419697234052236,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.2180738665136233,1.2259949848487943,1.2180738665136233
rCIP,0.08738208187700512,0.04938689413692295,0.04469472688320978,0.04938689413692295,0.13853241276896633,0.1547904396787031,0.24914746033139049,0.24914746033139049,0.24982824811042137,0.24982824811042134,0.05077089685519316,0.1075728235719877,0.05596771577239946,0.05077089685519316,0.05596771577239946,0.05077089685519316,0.05596771577239946,0.1817968237307531,0.2670329763067427,0.008154504431237245,0.008300467428508691,0.007817084786462822,0.3318411546106944,0.008253514669997058,0.008318248201444552,0.008307530414990529,0.008318248201444552,0.008307530414990529,0.008318248201444552,0.008307530414990529,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.04469472688320978,0.04938689413692295,0.04469472688320978
WB,71.90968689948726,5.250333548074875,5.203790350881924,5.250333548074875,7.004884665681733,28.41856594869123,4.739007265203171,4.739007265203171,4.747959601165937,4.747959601165937,3.062284065254004,6.634923815185113,3.1571300896426595,3.062284065254004,3.1571300896426595,3.062284065254004,3.1571300896426595,4.823743004384686,3.0886535216149262,2.078630362885469,2.0915790256105193,2.074161969005387,1256987.8297265866,2.083848694610779,2.0831422412118474,2.082996150881431,2.0831422412118474,2.082996150881431,2.0831422412118474,2.082996150881431,1256987.8297265866,1256987.8297265866,1256987.8297265866,5.203790350881924,5.250333548074875,5.203790350881924
XB,0.4963206589802611,0.43245947368783144,0.4209632223297688,0.43245947368783144,0.452613636446759,0.49398373116426914,0.8218824635434808,0.8218824635434808,0.7984219049487491,0.7984219049487491,0.2912071905159762,0.5227789172460655,0.2682008893671006,0.2912071905159762,0.2682008893671006,0.2912071905159762,0.2682008893671006,0.7439713434948624,0.3441828780612017,0.26461932997606685,0.2658757758794237,0.25994085101281333,157123.47871582332,0.264054198129494,0.2615761912651988,0.26309753326235724,0.2615761912651988,0.26309753326235724,0.2615761912651988,0.26309753326235724,157123.47871582332,157123.47871582332,157123.47871582332,0.4209632223297688,0.43245947368783144,0.4209632223297688
SSE,465.70488657939404,346.62003968982566,345.76695545432625,346.62003968982566,335.13027445292664,432.952807366507,293.1074652588744,293.1074652588744,293.32185785556544,293.32185785556544,241.78755941659958,367.7919250145676,245.43636340289478,241.78755941659958,245.43636340289478,241.78755941659958,245.43636340289478,261.67128722094884,208.55960853827133,163.68025440967114,164.34979059282466,163.4485447731492,478.65661877842865,163.9504214061991,163.91387355115762,163.90631461444826,163.91387355115762,163.90631461444826,163.91387355115762,163.90631461444826,478.65661877842865,478.65661877842865,478.65661877842865,345.76695545432625,346.62003968982566,345.76695545432625
RS,0.008361942371034709,-0.556265991217925,-0.5271150067813952,-0.556265991217925,-0.6378350492399921,0.010855462441742758,-1.3697442208920583,-1.3697442208920583,-1.3726986598034945,-1.3726986598034945,-0.6556918641274839,-0.691270576125948,-0.5316663907253212,-0.6556918641274839,-0.5316663907253212,-0.6556918641274839,-0.5316663907253212,-0.2633604532178541,-1.0027503007512983,-0.8940742427322075,-0.9021529167781394,-0.8917778582352706,-0.9999968177944599,-0.8980706726435093,-0.8977508518504353,-0.8972089687694635,-0.8977508518504353,-0.8972089687694635,-0.8977508518504353,-0.8972089687694635,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.5271150067813952,-0.556265991217925,-0.5271150067813952
DH,0.4071234307185497,0.6144388315085164,0.6076100716739596,0.6144388315085164,0.4452099658685893,0.30818709805297784,0.614487068059238,0.614487068059238,0.6148222502749892,0.6148222502749889,0.5176521459371639,0.6444520202554658,0.4960400853790416,0.5176521459371639,0.4960400853790416,0.5176521459371639,0.4960400853790416,0.34561758666515335,0.47578923296500975,0.47400665853151946,0.47499624316775796,0.47364769710587606,0.7581180507926714,0.47454292254894304,0.474655229332745,0.4745823086979806,0.474655229332745,0.4745823086979806,0.474655229332745,0.4745823086979806,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.6076100716739596,0.6144388315085164,0.6076100716739596
