,labels_data3_MeanShift_params1,labels_data3_MeanShift_params10,labels_data3_MeanShift_params11,labels_data3_MeanShift_params12,labels_data3_MeanShift_params13,labels_data3_MeanShift_params14,labels_data3_MeanShift_params15,labels_data3_MeanShift_params16,labels_data3_MeanShift_params17,labels_data3_MeanShift_params18,labels_data3_MeanShift_params19,labels_data3_MeanShift_params2,labels_data3_MeanShift_params20,labels_data3_MeanShift_params21,labels_data3_MeanShift_params22,labels_data3_MeanShift_params24,labels_data3_MeanShift_params27,labels_data3_MeanShift_params28,labels_data3_MeanShift_params29,labels_data3_MeanShift_params3,labels_data3_MeanShift_params30,labels_data3_MeanShift_params4,labels_data3_MeanShift_params5,labels_data3_MeanShift_params6,labels_data3_MeanShift_params7,labels_data3_MeanShift_params8,labels_data3_MeanShift_params9
cSIL,0.7783550025313348,0.8864142423973278,0.9845884626477539,0.9845884626477539,0.8864142423973278,0.8085909151103717,0.8864142423973278,0.8864142423973278,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.7892755325313964,0.9845884626477539,0.9845884626477539,0.9845884626477539,0.9237581860429372,0.9845884626477539,0.9845884626477539,0.9237581860429372,0.8058413688747361,0.9237581860429372,0.7606869621975799,0.8864142423973278,0.8864142423973278,0.8864142423973278,0.8085909151103717,0.8864142423973278
GD43,5.400879831248853,5.742831737304973,24.32368088924076,24.32368088924076,5.742831737304973,5.538189938086797,5.742831737304973,5.742831737304973,24.32368088924076,24.32368088924076,24.32368088924076,3.5447646978364338,24.32368088924076,24.32368088924076,24.32368088924076,2.392245111061128,24.32368088924076,24.32368088924076,2.392245111061128,5.749834198780624,2.392245111061128,4.385557557416621,5.742831737304973,5.742831737304973,5.742831737304973,5.538189938086797,5.742831737304973
GD53,0.1891300372204594,0.4412111365646052,0.4772190205400619,0.4772190205400619,0.4412111365646052,0.3448405662292235,0.4412111365646052,0.4412111365646052,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.11947239834207038,0.4772190205400619,0.4772190205400619,0.4772190205400619,0.34540976040011406,0.4772190205400619,0.4772190205400619,0.34540976040011406,0.17176399521071875,0.34540976040011406,0.1661914615756194,0.4412111365646052,0.4412111365646052,0.4412111365646052,0.3448405662292235,0.4412111365646052
PS,-3.3867822471878,0.7802310906017753,2.605310364352943,2.605310364352943,0.7802310906017753,-0.90258085457144,0.7802310906017753,0.7802310906017753,2.6053103643529427,2.6053103643529427,2.6053103643529427,-7.826987661159681,2.6053103643529427,2.6053103643529427,2.6053103643529427,1.4626190970351254,2.6053103643529427,2.6053103643529427,1.4626190970351254,-3.2701430154927436,1.4626190970351254,-5.150611202468957,0.7802310906017753,0.7802310906017753,0.7802310906017753,-0.90258085457144,0.7802310906017753
rCIP,4.631240608848235,0.6022446232322969,7.649543316126107e-11,7.649543316126107e-11,0.6022446232322969,1.20727796425264,0.6022446232322969,0.6022446232322969,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,13.588814404987524,7.649543316126107e-11,7.649543316126107e-11,7.649543316126107e-11,5.745298166132382e-23,7.649543316126107e-11,7.649543316126107e-11,5.745298166132382e-23,3.8399687281047297,5.745298166132382e-23,6.294747610625549,0.6022446232322969,0.6022446232322969,0.6022446232322969,1.20727796425264,0.6022446232322969
WB,0.19017268781688534,0.12514405314946483,0.09758260181881684,0.09758260181881684,0.12514405314946483,0.1515056842276477,0.12514405314946483,0.12514405314946483,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.25260346403728945,0.09758260181881684,0.09758260181881684,0.09758260181881684,0.901451890483802,0.09758260181881684,0.09758260181881684,0.901451890483802,0.1875502419750773,0.901451890483802,0.22206506171933507,0.12514405314946483,0.12514405314946483,0.12514405314946483,0.1515056842276477,0.12514405314946483
XB,0.37786408777249453,0.3250476390030376,0.018815640412351585,0.018815640412351585,0.3250476390030377,0.39642242977723335,0.3250476390030376,0.3250476390030376,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.6030081196958916,0.018815640412351585,0.018815640412351585,0.018815640412351585,0.10011119042362389,0.018815640412351585,0.018815640412351585,0.10011119042362389,0.3613593868747989,0.10011119042362389,0.536622427282421,0.3250476390030377,0.3250476390030377,0.3250476390030377,0.39642242977723335,0.3250476390030376
SSE,17.727883028702966,20.33382827993021,21.115314335050535,21.115314335050535,20.33382827993021,19.712549534181875,20.33382827993021,20.33382827993021,21.115314335050535,21.115314335050535,21.115314335050535,13.818438731633574,21.115314335050535,21.115314335050535,21.115314335050535,208.24531224745698,21.115314335050535,21.115314335050535,208.24531224745698,17.4897978243052,208.24531224745698,16.13987277078782,20.33382827993021,20.33382827993021,20.33382827993021,19.712549534181875,20.33382827993021
RS,0.856012879888425,0.8889425121331186,0.9054944862786825,0.9054944862786825,0.8889425121331186,0.8696523967180431,0.8889425121331186,0.8889425121331186,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.8122903809224723,0.9054944862786825,0.9054944862786825,0.9054944862786825,0.5180888762951085,0.9054944862786825,0.9054944862786825,0.5180888762951085,0.8660348409950795,0.5180888762951085,0.8252647757511741,0.8889425121331186,0.8889425121331186,0.8889425121331186,0.8696523967180431,0.8889425121331186
DH,0.11882458690936507,0.12605876634632598,0.13076958957163828,0.13076958957163828,0.12605876634632598,0.12607138417355215,0.12605876634632598,0.12605876634632598,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.10838075423252011,0.13076958957163826,0.13076958957163826,0.13076958957163826,0.26150949874850105,0.13076958957163826,0.13076958957163826,0.26150949874850105,0.11626589916107616,0.26150949874850105,0.1185480331198309,0.12605876634632598,0.12605876634632598,0.12605876634632598,0.12607138417355215,0.12605876634632598
B,0.02135569469363817,0.020403853452236945,0.021743892789826334,0.021743892789826334,0.02040385345223695,0.02129212647217913,0.020403853452236945,0.020403853452236945,0.021743892789826334,0.021743892789826334,0.021743892789826334,0.01818147396288204,0.021743892789826334,0.021743892789826334,0.021743892789826334,0.1804889974985108,0.021743892789826334,0.021743892789826334,0.1804889974985108,0.022779842088572352,0.1804889974985108,0.02026531734932079,0.02040385345223695,0.02040385345223695,0.02040385345223695,0.02129212647217913,0.020403853452236945
