,labels_zigzag_outliers_DBSCAN_params1,labels_zigzag_outliers_DBSCAN_params11,labels_zigzag_outliers_DBSCAN_params12,labels_zigzag_outliers_DBSCAN_params16,labels_zigzag_outliers_DBSCAN_params17,labels_zigzag_outliers_DBSCAN_params18,labels_zigzag_outliers_DBSCAN_params19,labels_zigzag_outliers_DBSCAN_params21,labels_zigzag_outliers_DBSCAN_params22,labels_zigzag_outliers_DBSCAN_params23,labels_zigzag_outliers_DBSCAN_params24,labels_zigzag_outliers_DBSCAN_params26,labels_zigzag_outliers_DBSCAN_params27,labels_zigzag_outliers_DBSCAN_params28,labels_zigzag_outliers_DBSCAN_params29,labels_zigzag_outliers_DBSCAN_params31,labels_zigzag_outliers_DBSCAN_params32,labels_zigzag_outliers_DBSCAN_params33,labels_zigzag_outliers_DBSCAN_params34,labels_zigzag_outliers_DBSCAN_params35,labels_zigzag_outliers_DBSCAN_params36,labels_zigzag_outliers_DBSCAN_params37,labels_zigzag_outliers_DBSCAN_params38,labels_zigzag_outliers_DBSCAN_params39,labels_zigzag_outliers_DBSCAN_params40,labels_zigzag_outliers_DBSCAN_params41,labels_zigzag_outliers_DBSCAN_params42,labels_zigzag_outliers_DBSCAN_params43,labels_zigzag_outliers_DBSCAN_params44,labels_zigzag_outliers_DBSCAN_params45,labels_zigzag_outliers_DBSCAN_params46,labels_zigzag_outliers_DBSCAN_params47,labels_zigzag_outliers_DBSCAN_params48,labels_zigzag_outliers_DBSCAN_params49,labels_zigzag_outliers_DBSCAN_params50,labels_zigzag_outliers_DBSCAN_params51,labels_zigzag_outliers_DBSCAN_params52,labels_zigzag_outliers_DBSCAN_params53,labels_zigzag_outliers_DBSCAN_params6,labels_zigzag_outliers_DBSCAN_params7
cSIL,,,,,,,,0.6462017505397124,,,,0.6823684796845694,,,,0.6823684796845694,0.6823684796845694,0.6823684796845694,,,0.6823684796845694,0.6823684796845694,0.6823684796845694,,,0.6823684796845694,0.6823684796845694,0.6823684796845694,,,0.6966127986647664,0.6966127986647664,0.6966127986647664,,,0.9229730413146405,0.9229730413146405,0.9229730413146405,,
GD43,,,,,,,,0.40754360801667716,,,,0.5016882349506928,,,,0.5016882349506928,0.5016882349506928,0.5016882349506928,,,0.5016882349506928,0.5016882349506928,0.5016882349506928,,,0.5016882349506928,0.5016882349506928,0.5016882349506928,,,0.7558100540247881,0.7558100540247881,0.7558100540247881,,,1.8468757228319508,1.8468757228319508,1.8468757228319508,,
GD53,,,,,,,,0.00045643309375999994,,,,0.0003087972944076957,,,,0.0003087972944076957,0.0003087972944076957,0.0003087972944076957,,,0.0003087972944076957,0.0003087972944076957,0.0003087972944076957,,,0.0003087972944076957,0.0003087972944076957,0.0003087972944076957,,,0.0003720500240691421,0.0003720500240691421,0.0003720500240691421,,,0.0004012917317053363,0.0004012917317053363,0.0004012917317053363,,
PS,,,,,,,,-1.1322571925521463,,,,-0.6331060926685164,,,,-0.6331060926685164,-0.6331060926685164,-0.6331060926685164,,,-0.6331060926685164,-0.6331060926685164,-0.6331060926685164,,,-0.6331060926685164,-0.6331060926685164,-0.6331060926685164,,,-0.283534200303765,-0.283534200303765,-0.283534200303765,,,0.4447081089613698,0.4447081089613698,0.4447081089613698,,
rCIP,,,,,,,,1.233803599002374,,,,1.1782000956463852,,,,1.1782000956463852,1.1782000956463852,1.1782000956463852,,,1.1782000956463852,1.1782000956463852,1.1782000956463852,,,1.1782000956463852,1.1782000956463852,1.1782000956463852,,,0.5111571311439836,0.5111571311439836,0.5111571311439836,,,0.0001334098439989098,0.0001334098439989098,0.0001334098439989098,,
WB,,,,,,,,2.3858819876710657,,,,5.258488843738181,,,,5.258488843738181,5.258488843738181,5.258488843738181,,,5.258488843738181,5.258488843738181,5.258488843738181,,,5.258488843738181,5.258488843738181,5.258488843738181,,,5.206826261711916,5.206826261711916,5.206826261711916,,,5.666311816832373,5.666311816832373,5.666311816832373,,
XB,,,,,,,,2.3829143925071263,,,,1.2967577601883602,,,,1.2967577601883602,1.2967577601883602,1.2967577601883602,,,1.2967577601883602,1.2967577601883602,1.2967577601883602,,,1.2967577601883602,1.2967577601883602,1.2967577601883602,,,0.9150453798065458,0.9150453798065458,0.9150453798065458,,,0.20611679760339943,0.20611679760339943,0.20611679760339943,,
SSE,517.2797351151269,357.66439694586217,386.531592862263,287.0653353764445,367.28521174371065,421.79019406483553,174.15627003088878,34.545458896337045,287.0419617785762,433.1374104630579,177.49145650478846,62.23981892391141,387.2739483507847,372.6330129229873,177.49145650478846,62.23981892391141,62.23981892391141,62.23981892391141,177.49145650478846,177.49145650478846,62.23981892391141,62.23981892391141,62.23981892391141,201.8458054148057,177.49145650478846,62.23981892391141,62.23981892391141,62.23981892391141,151.69482996588377,177.49145650478846,68.66792006227793,68.66792006227793,68.66792006227793,132.07700800604127,174.05000685284926,79.38837511568045,79.38837511568045,79.38837511568045,453.7099995354272,512.8292568806444
RS,,,,,,,,0.20136236407736954,,,,0.031713013503014774,,,,0.031713013503014774,0.031713013503014774,0.031713013503014774,,,0.031713013503014774,0.031713013503014774,0.031713013503014774,,,0.031713013503014774,0.031713013503014774,0.031713013503014774,,,0.20146790571195827,0.20146790571195827,0.20146790571195827,,,0.26660336493266645,0.26660336493266645,0.26660336493266645,,
DH,0.15817807414693172,0.08291437927784415,0.11161717714643653,0.09003847656589205,0.10182562460417287,0.18791308201873375,0.44269831148433575,0.18065123636690322,0.217811889226922,0.17326255999698714,0.449696786748283,0.18931592957527288,0.1533589211716215,0.14812992811551604,0.449696786748283,0.18931592957527288,0.18931592957527288,0.18931592957527288,0.449696786748283,0.449696786748283,0.18931592957527288,0.18931592957527288,0.18931592957527288,0.39542369462851373,0.449696786748283,0.18931592957527288,0.18931592957527288,0.18931592957527288,0.5700128633668772,0.449696786748283,0.18620638762227545,0.18620638762227545,0.18620638762227545,0.654274219618256,0.4770931900044246,0.18566164997424714,0.18566164997424714,0.18566164997424714,0.06823388469402702,0.14978688973933282
B,0.1558997263669131,0.8078406386562058,0.36913707960952485,2.060969143736194,1.5684127190604085,0.6891963041981576,0.7470127404610534,0.16568059087855183,1.5095205318417497,0.8923936921554456,0.9138268314872184,0.2878613494070358,1.6316103886876747,1.382372176045429,0.9138268314872184,0.2878613494070358,0.2878613494070358,0.2878613494070358,0.9138268314872184,0.9138268314872184,0.2878613494070358,0.2878613494070358,0.2878613494070358,1.8189293258766033,0.9138268314872184,0.2878613494070358,0.2878613494070358,0.2878613494070358,3.3276227144505808,0.9138268314872184,0.25027926060405215,0.25027926060405215,0.25027926060405215,3.4144399464989585,0.9380958855052882,0.20457263928036462,0.20457263928036462,0.20457263928036462,0.1846706792908883,0.09418876473262008
BH,2.176528656868998e-05,0.008672092405122733,0.00555119645940655,0.03139092128587204,0.025421187942716264,0.061113824009301695,0.06081971316920015,5.75757648272284,1.8084776306291095,0.06080320391480182,0.11251019419385229,12.447963784782281,10.180590311669514,0.0733237799579104,0.11251019419385229,12.447963784782281,12.447963784782281,12.447963784782281,0.11251019419385229,0.11251019419385229,12.447963784782281,12.447963784782281,12.447963784782281,0.4305430374190097,0.11251019419385229,12.447963784782281,12.447963784782281,12.447963784782281,15.558043441142559,0.11251019419385229,17.166980015569482,17.166980015569482,17.166980015569482,22.886758300978922,0.35890281721260026,26.46279170522681,26.46279170522681,26.46279170522681,0.0001278594617405612,0.00011362796561740512
D,53.26091953497806,0.2538848920781355,0.5290777730800325,0.1412849306240177,0.4589960000779407,1.7328730607670904,2.1457181983101257,0.08598992414594343,0.25947628891660024,1.3026854513792046,1.418556115637473,0.13730712317486746,0.14901494424630907,0.7812754564512107,1.418556115637473,0.13730712317486746,0.13730712317486746,0.13730712317486746,1.418556115637473,1.418556115637473,0.13730712317486746,0.13730712317486746,0.13730712317486746,0.5196729824496004,1.418556115637473,0.13730712317486746,0.13730712317486746,0.13730712317486746,0.1385216424117076,1.418556115637473,0.19861671474740347,0.19861671474740347,0.19861671474740347,0.1385216424117076,0.521143305818837,0.5201774559537701,0.5201774559537701,0.5201774559537701,0.9706139829021104,71.73217485917876
H,,,,,,,,1.1548940706481357,,,,0.7454724312695844,,,,0.7454724312695844,0.7454724312695844,0.7454724312695844,,,0.7454724312695844,0.7454724312695844,0.7454724312695844,,,0.7454724312695844,0.7454724312695844,0.7454724312695844,,,0.5734748775712077,0.5734748775712077,0.5734748775712077,,,0.18790325901695396,0.18790325901695396,0.18790325901695396,,
DBCV,0.0499998234223628,0.3373029379400045,0.18733167332974823,0.7915900802083033,0.6564390388493665,0.45243708000851346,0.2958737515453818,0.40179179064053283,0.3727734952872137,0.4976357689020187,0.35565397168012913,0.8427588238285278,0.8993542803080752,0.6353295370611403,0.35565397168012913,0.8427588238285278,0.8427588238285278,0.8427588238285278,0.35565397168012913,0.35565397168012913,0.8427588238285278,0.8427588238285278,0.8427588238285278,0.5913275199140049,0.35565397168012913,0.8427588238285278,0.8427588238285278,0.8427588238285278,0.7357148501929051,0.35565397168012913,0.49079254140068634,0.49079254140068634,0.49079254140068634,0.3837485677650636,0.2418585004528108,0.7315846605823826,0.7315846605823826,0.7315846605823826,0.14874763352039963,0.05520054641601741
I,4661142.870791917,60.478925937448714,558.2480689589573,1.7544004848996522,10.384340858910383,214.08579572238054,158.99054637817193,0.8501287620583599,1.1438619874157203,113.8792402376607,75.84408518983389,0.6989811742575406,0.49662159805582784,15.275397874423561,75.84408518983389,0.6989811742575406,0.6989811742575406,0.6989811742575406,75.84408518983389,75.84408518983389,0.6989811742575406,0.6989811742575406,0.6989811742575406,3.686245364690864,75.84408518983389,0.6989811742575406,0.6989811742575406,0.6989811742575406,0.13504095492767043,75.84408518983389,0.8142293627189362,0.8142293627189362,0.8142293627189362,0.06984021217410014,35.07535257136504,1.0043536258978156,1.0043536258978156,1.0043536258978156,20891.90147834789,1592391.5526944827
C,0.3986653693991009,0.3804963340998463,0.38857278780327625,0.02699858977727704,0.2280456414047016,0.3183171162808141,0.5548981370787842,0.17213021697004208,0.05064866474465895,0.3012552801342344,0.5149133030800674,0.311586271196502,0.30665898752424803,0.21163793715651955,0.5149133030800674,0.311586271196502,0.311586271196502,0.311586271196502,0.5149133030800674,0.5149133030800674,0.311586271196502,0.311586271196502,0.311586271196502,0.3984890598627417,0.5149133030800674,0.311586271196502,0.311586271196502,0.311586271196502,0.33934475290947996,0.5149133030800674,0.2926889029337389,0.2926889029337389,0.2926889029337389,0.3177192891580607,0.5105859939224273,0.14142219293007216,0.14142219293007216,0.14142219293007216,0.3372329643118089,0.23064547357402906
CDbw,1.2664496401797158,0.839320319824061,1.4608409464877001,0.4322611901418977,0.7938746084981088,1.8465762939656376,0.5680308440341043,11.988521902972897,0.7374513754646814,1.4338062313596867,0.5091913090429178,16.22340632372651,0.0,1.1401238742904551,0.5091913090429178,16.22340632372651,16.22340632372651,16.22340632372651,0.5091913090429178,0.5091913090429178,16.22340632372651,16.22340632372651,16.22340632372651,0.49765819890034646,0.5091913090429178,16.22340632372651,16.22340632372651,16.22340632372651,0.16928240425269508,0.5091913090429178,20.963328625640372,20.963328625640372,20.963328625640372,0.1230339718213145,0.45604846401347626,28.196038338766428,28.196038338766428,28.196038338766428,1.1597920785139744,1.86714114481508
VIASCKDE,0.48655230926112075,0.3712855891078314,0.37610211762604356,0.5115049837259705,0.5208013490577241,0.6712110774538581,0.4669294897071727,0.7031820887484853,0.6358551847614888,0.6810842901631973,0.6085822463697484,0.7017976399250975,,0.6188474343849193,0.6085822463697484,0.7017976399250975,0.7017976399250975,0.7017976399250975,0.6085822463697484,0.6085822463697484,0.7017976399250975,0.7017976399250975,0.7017976399250975,0.606861381850415,0.6085822463697484,0.7017976399250975,0.7017976399250975,0.7017976399250975,0.6988511204780601,0.6085822463697484,0.5273163321993223,0.5273163321993223,0.5273163321993223,0.5243698127522849,0.5947663793902759,0.560273903166322,0.560273903166322,0.560273903166322,0.38097749458292257,0.5285745736096951
COP,0.25216407092473,0.1758886846144677,0.1831257288365418,0.12603953963547446,0.14774331517182923,0.16553529674499018,0.22599112959003656,0.17509021615614928,0.13828717150080277,0.15959405929393133,0.21927850448648345,0.16442448168132684,,0.14248789177370996,0.21927850448648345,0.16442448168132684,0.16442448168132684,0.16442448168132684,0.21927850448648345,0.21927850448648345,0.16442448168132684,0.16442448168132684,0.16442448168132684,0.19605079754368263,0.21927850448648345,0.16442448168132684,0.16442448168132684,0.16442448168132684,0.23666142051962205,0.21927850448648345,0.17847729623893538,0.17847729623893538,0.17847729623893538,0.2529069379455305,0.22206111287601915,0.2121703643797174,0.2121703643797174,0.2121703643797174,0.22753615956660325,0.23844738784196978
