,labels_flame_DBSCAN_params21,labels_flame_DBSCAN_params26,labels_flame_DBSCAN_params27,labels_flame_DBSCAN_params33,labels_flame_DBSCAN_params38,labels_flame_DBSCAN_params44
cSIL,0.8957440525930597,0.8434242589847745,0.8822267414396947,0.9774229566344712,0.6701996328904483,0.8722137786638466
GD43,10.262531227822182,1.6080685189531316,2.34644699201907,16.67291230342937,0.9607854310638517,2.33902202972852
GD53,0.21667825259688375,0.02469247231529531,0.07043644828229632,0.46050565766979584,0.37654209505739494,0.2457483273015418
PS,-1.186234878052892,-4.5877201596605115,-3.879533927055443,1.8665945286741445,1.5058523823532504,1.7226575661937842
rCIP,4.959541988043394,5.177804881636714,3.882768469725124,1.0611453117599076e-10,0.11259435765727746,0.04830552521068135
WB,0.08780939562494378,1.595431032649566,0.538365409209815,0.18608624143277042,4.274990744263739,1.6046741527747925
XB,0.27011886099826043,0.8550133971229842,0.7953333005249286,0.023200640270560863,0.48736091875004695,0.17951048826980198
SSE,0.1070679179505622,10.54273185581631,2.6930392556833063,1.9399880287732383,74.37646856072901,28.481441851185316
RS,0.9198894349709351,0.32674031027591766,0.7218859608025373,0.8305361657287466,-0.1741633896863216,0.2228751681107939
DH,0.09519832350056112,0.1834350234130466,0.1370074535210978,0.19014847143681493,0.5953193567008476,0.3714505861292125
B,0.016569147714781417,0.11657274217610694,0.04837076294802965,0.04790553760747518,0.9035597791913456,0.2945196733614907
BH,0.015295416850080314,0.9584301687105736,0.29922658396481183,0.969994014386619,37.18823428036451,9.493813950395106
D,0.3364867051958879,0.15719164855676243,0.26544801994025274,1.6835929328114758,0.13543798578922067,0.3203591532831643
H,0.7180111047813018,1.4338335967015838,1.0169712376864128,0.045137292565040274,0.5545311787507878,0.335877371943261
DBCV,0.9075248774781451,0.10436882970697821,0.6358420910909192,0.9647091674455395,0.28159787644322953,0.14239637834929225
I,3.3370697976258477,0.21991464034749542,0.8763928636429721,4.615362776620133,0.272575284977396,0.3720308742402824
C,0.011050747688025627,0.059941478706172516,0.028139397680462655,0.0,0.26586666111844137,0.08735055983096023
CDbw,3.6448508782481737,1.3264909009661308,2.033788472571849,0.7582892907290343,0.0551872576688872,0.18879279412915725
VIASCKDE,0.22464176683474013,0.34218943975529403,0.36688755347499374,0.5305192399847646,0.4047476986135071,0.4040081756837686
COP,0.3095080659947764,0.2216431870372502,0.1849284111465005,0.23278639243339583,0.288988691086537,0.24956601700912298
Sym,2.5851725007125044,0.05832452523833516,0.24251048273141568,1.1855141331816248,0.018614327002664355,0.05686314843743819
CS,0.5488660994868345,0.8892309393102141,0.7209481333711049,0.3513913916058475,1.5535500840017649,0.8331984247647249
SF,0.5103011495798278,0.21949503895521694,0.34361465311556827,0.5732917981281682,0.3510138347355154,0.37521229019702307
SD,265.6799968278937,141.18657217687934,142.31556159743724,63.26822103581569,822.9262354575823,367.0387045514487
SDbw,0.43271491353983127,0.32796084223436706,0.25445383554541606,0.06354128193673642,1.5922784731814659,0.8327450000884546
XB*,0.4021102752806457,1.2108661461296142,1.1809436293580777,0.025190396560987326,0.6471532999195752,0.2369828544756463
S,0.49475547983401075,0.1821271950251624,0.49752556273827503,0.8006538746330619,0.3310950402990427,0.4240547449583846
DB,0.5670085939824542,0.698663825464148,0.6129307947017365,0.2833069624813828,1.1344349355192795,0.6611744217065967
CH,265.72706903707575,121.34651767333645,198.51758335823547,612.6191765831658,109.47392123081691,179.47568950493294
AD-S,0.5326703380767792,0.17703327498031063,0.4201838348148902,0.8987737812154067,0.13866894101450045,0.271045426903832
AD-DB,0.9317844012112123,1.5418964772639037,1.39355653077478,0.2024705956835559,1.684675411117932,1.4668502125093077
AD-CH,32.90433386359445,46.25505380465718,46.83207419905275,295.7562935251353,253.27083040894968,167.35627893162587
AD-idea,1.3343657764593047,0.7097277593254734,1.4354941668958492,97.57474414581927,1.4249005112282978,2.94257176107025
