,labels_data6_DBSCAN_params13,labels_data6_DBSCAN_params17,labels_data6_DBSCAN_params18,labels_data6_DBSCAN_params19,labels_data6_DBSCAN_params21,labels_data6_DBSCAN_params22,labels_data6_DBSCAN_params23,labels_data6_DBSCAN_params24,labels_data6_DBSCAN_params25,labels_data6_DBSCAN_params26,labels_data6_DBSCAN_params27,labels_data6_DBSCAN_params28,labels_data6_DBSCAN_params29,labels_data6_DBSCAN_params30,labels_data6_DBSCAN_params31,labels_data6_DBSCAN_params32
cSIL,,,,,0.7855974998025966,0.7855974998025966,,,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966
GD43,,,,,1.6600455321084904,1.6600455321084904,,,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904
GD53,,,,,0.4970293216638734,0.4970293216638734,,,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734
PS,,,,,1.9633687222225316,1.9633687222225316,,,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316
rCIP,,,,,0.0651237423752268,0.0651237423752268,,,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268
WB,,,,,2.183305948400548,2.183305948400548,,,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548
XB,,,,,0.27291324355006846,0.27291324355006846,,,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846
SSE,1411.4976477778962,843.1383172966114,1796.9252730319904,1509.8034308265605,328.472797377564,328.472797377564,936.4324725375081,1084.3638047551801,328.472797377564,328.472797377564,328.472797377564,328.472797377564,328.472797377564,328.472797377564,328.472797377564,328.472797377564
RS,,,,,-0.04381844184039099,-0.04381844184039099,,,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099
DH,0.045799361395619194,0.44897930523595064,0.1511801973668064,0.0980167070554763,0.5498533443906571,0.5498533443906571,0.4183683680761532,0.5888789495321699,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571
B,0.37200378777249027,1.3843835954483341,2.5865727360720134,0.9860630421603062,0.5469203277556484,0.5469203277556484,2.2937115730680295,3.5128064176970843,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484
BH,0.0012926807142659169,45.75161838975277,3.1434005434196868,0.049168198336000765,164.236398688782,164.236398688782,108.811164283712,107.99773014140703,164.236398688782,164.236398688782,164.236398688782,164.236398688782,164.236398688782,164.236398688782,164.236398688782,164.236398688782
D,0.4858266236377454,0.11808801605339285,0.055244185444107516,0.2850011575003187,0.04943438475177525,0.04943438475177525,0.04081498593459263,0.10102421976126301,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525
H,,,,,0.42879843199538115,0.42879843199538115,,,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115
DBCV,0.19101618839864806,0.2588188690444932,0.17215621689779806,0.1920109064284264,0.8992038914314919,0.8992038914314919,0.9034565564278629,0.8629794216238151,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919
I,292.0258543563666,0.2528064862123965,0.2580555123070318,21.156666012811463,0.5746790625403364,0.5746790625403364,0.25947413365242983,0.2638203817269064,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364
C,0.5035380091246595,0.16628023216520546,0.14596723745358822,0.458329328642264,0.16269411574851894,0.16269411574851894,0.1621330244445467,0.16216575605305347,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894
CDbw,0.6497418021128294,0.12280152912714408,0.33451504733110377,0.8412591918647563,0.07003363018411672,0.07003363018411672,63.26613782682698,0.10721542460116056,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672
VIASCKDE,0.492253864803453,0.6126964999855778,0.5042293917577585,0.5261707701032204,0.7676169363591198,0.7676169363591198,0.7567414792130919,0.7282170194314768,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198
COP,0.4828802574707469,0.43384035265959875,0.37175249489794576,0.432114886938577,0.5208984186527135,0.5208984186527135,0.5279140740725219,0.5330468366454592,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135
