,labels_zigzag_noisy_DBSCAN_params11,labels_zigzag_noisy_DBSCAN_params16,labels_zigzag_noisy_DBSCAN_params17,labels_zigzag_noisy_DBSCAN_params18,labels_zigzag_noisy_DBSCAN_params21,labels_zigzag_noisy_DBSCAN_params22,labels_zigzag_noisy_DBSCAN_params23,labels_zigzag_noisy_DBSCAN_params24,labels_zigzag_noisy_DBSCAN_params26,labels_zigzag_noisy_DBSCAN_params27,labels_zigzag_noisy_DBSCAN_params28,labels_zigzag_noisy_DBSCAN_params29,labels_zigzag_noisy_DBSCAN_params31,labels_zigzag_noisy_DBSCAN_params32,labels_zigzag_noisy_DBSCAN_params33,labels_zigzag_noisy_DBSCAN_params34,labels_zigzag_noisy_DBSCAN_params38,labels_zigzag_noisy_DBSCAN_params39,labels_zigzag_noisy_DBSCAN_params40,labels_zigzag_noisy_DBSCAN_params44,labels_zigzag_noisy_DBSCAN_params45,labels_zigzag_noisy_DBSCAN_params49,labels_zigzag_noisy_DBSCAN_params50,labels_zigzag_noisy_DBSCAN_params6
cSIL,,,,,,,,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,,,,,,,
SSE,215.18078896187637,334.6317990537744,265.0384763044573,270.1235718605732,315.50823572027844,342.99837117960715,272.40494482530175,273.4576712756209,323.6577223283766,298.19330230165355,273.76362275942637,272.3909371478986,184.9092172798304,241.36709130775606,358.6337140110139,272.0110824898121,234.73830153134043,306.7825771523172,272.4033327411487,314.7800120781521,275.23781013708503,346.9520520647535,265.775125185948,279.6327829954038
RS,,,,,,,,,,,,,,,,,,,,,,,,
DH,0.1044695263117771,0.07312052435299336,0.3475476823844666,0.4250179831836522,0.11045653880784119,0.12169188253581836,0.43253654431696625,0.42443708833532345,0.2644871520628797,0.18720261476687208,0.32713498667205815,0.4322226095120431,0.5837089025441269,0.5579839248928364,0.2350822963411285,0.4374608023793331,0.7202275186218781,0.3277092548827017,0.4412159895936779,0.5149135442891498,0.44948476009035154,0.5376076271986665,0.5417888038380928,0.2645321028464796
B,0.2042475626581949,1.3614822029340656,0.9357081433812416,0.7435293655112598,1.5656663127996322,1.642010579466719,0.8645145355241072,0.7989405075728984,1.9899516443013014,1.8010699820764273,0.7404284281262058,0.8642450697839937,1.1146739725059054,2.9337208060054656,1.8576009651888052,0.9063841960856045,2.323767912281079,1.2935094837759686,0.9213609532914655,2.403333139273091,0.9738219339340881,2.341958961085964,1.3672379997014974,0.04267231647670961
BH,0.0021719574801191874,0.0326653097595755,0.18748898825959479,0.17117321995423898,0.06848927107345183,0.0703127038970605,0.2809037862030552,0.18709169296469796,0.7484386326121576,0.2745197157200926,0.24186253966737284,0.2767385004258259,49.29353566953409,28.169567158263263,0.3434958742032542,0.3486597064135954,30.29828363530619,0.49765336664994575,0.385603894754278,5.7466953079697,0.5600925870078216,10.386974279554344,3.369140827966209,4.611575418496236e-05
D,0.21018944788432553,0.038729258237523,1.309053899843756,1.5956616153471372,0.18112710902132442,0.18839715632884943,1.1919248992945823,1.6194527094933089,0.06562282844907884,0.16057091954317193,0.9659687394042489,1.1925476255745764,0.33846602635400824,0.13356521506779487,0.09589467543352494,0.9441118599131841,0.1711151219391537,0.688398846759076,0.8735730803271764,0.041793009595502306,0.6861879073278254,0.01837737192330739,0.19342226343761718,53.47941021755668
H,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.11023992696536646,0.6002126464725663,0.3327882716505827,0.28591377161548354,0.6746825355282892,0.6016884878677122,0.33164155545478996,0.302574575680105,0.5610059153636979,0.5671429857134358,0.3698067206748776,0.3317954292685394,-0.515851585348074,0.7022422102900916,0.5607578384028777,0.34709807430784795,-0.43044689729168645,0.49122992840709134,0.34953951145696477,0.42057409860657335,0.3642244896342136,-0.37460199098295455,0.28747698000150695,0.029999999992945867
I,601.0123555464617,3.0099301741691136,59.353691737930056,170.91173404655862,1.324841233477572,3.2838536113293837,94.0060938817403,147.72655924922745,0.9890588878161521,0.9351266666934358,51.32360665693324,94.89556613110385,0.12164247521889905,0.16965891176939968,3.3666823648620268,74.27986069397483,0.15731753609831295,13.093748981908872,66.32071414673153,0.6984992992133993,48.820501795907184,0.3045403003926456,6.35702991135977,2552734.485478125
C,0.5607679651112789,0.3366439978659403,0.494498624056566,0.5064003578718111,0.13695710877626427,0.29725930373932835,0.48043205349916324,0.49694363111735035,0.05702474029346815,0.08878518310691025,0.4479164025907162,0.4804713651943568,0.42525017559849093,0.44208364206861506,0.23495594304256898,0.46987028076444315,0.2029334808860668,0.3699688155907906,0.4669251495542859,0.1837217490780207,0.452881323604511,0.09384654264531407,0.3656169436693882,0.552502810071474
CDbw,0.7495880247858374,0.5439841940859035,0.6559349924822484,0.74042178687665,0.3080013614387999,0.5199639626751326,0.6925046375821885,0.7308152331859865,0.29279675455778276,0.2697303854734909,0.6450328590335981,0.6777403201161957,0.12131004117355824,0.33633397272388194,0.6443501595719237,0.6654143092880506,0.07998831895490799,0.7520568007728121,0.6269275515037112,0.12909734305914602,0.585574215517018,0.0979855152692678,0.2851138524903254,0.7643117130941275
