,labels_sonar_MeanShift_params1,labels_sonar_MeanShift_params11,labels_sonar_MeanShift_params13,labels_sonar_MeanShift_params15,labels_sonar_MeanShift_params17,labels_sonar_MeanShift_params19,labels_sonar_MeanShift_params2,labels_sonar_MeanShift_params21,labels_sonar_MeanShift_params23,labels_sonar_MeanShift_params25,labels_sonar_MeanShift_params3,labels_sonar_MeanShift_params4,labels_sonar_MeanShift_params5,labels_sonar_MeanShift_params7,labels_sonar_MeanShift_params8,labels_sonar_MeanShift_params9
cSIL,0.8457339113605169,0.7439685644564391,0.7052105710104787,0.7301503153113444,0.7147680990037953,0.777762609915091,0.8385480923601512,0.7303647666063914,0.739744183253686,0.7740596586820726,0.7460920329255244,0.8349266603166973,0.7052105710104787,0.7160761282491316,0.8349266603166973,0.7052105710104787
GD43,0.13148445334358844,0.14512377867767345,0.11731479066539521,0.12350857005173535,0.13776287132955906,0.21052409010242434,0.1364647050465735,0.12343267761288958,0.19338116287916152,0.2312818157431288,0.13565860833809687,0.1914557577555635,0.11731479066539521,0.11656689488436008,0.1914557577555635,0.11731479066539521
GD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2172559392450895,0.2170671563843405,0.0,0.0,0.0,0.0,0.0,0.0
PS,-22.082307180101534,-3.6876863258452026,-6.406373191756267,-2.411141437162023,-1.5522232421740556,-0.04654163537124617,-20.86787979247951,-2.420534356067937,0.5619794594224946,0.8031810254158922,-7.847398990535978,-11.480300868378286,-6.406373191756267,-5.740202866546857,-11.480300868378286,-6.406373191756267
rCIP,1.8023556625468288e-27,3.300395236791723e-29,1.5275297836214259e-28,2.8519252605018756e-29,1.7594426412627908e-29,1.6464464763200247e-30,1.6729417951734882e-27,2.9581711181838693e-29,5.208476275015031e-31,8.577877137311782e-32,2.1883917758128254e-28,3.9964895868939187e-28,1.5275297836214259e-28,1.3070122435749575e-28,3.9964895868939187e-28,1.5275297836214259e-28
WB,31.237793476324953,27.928371114598676,33.21832546824847,27.95213033039778,26.292801777878537,30.714507773473244,30.987079223583926,28.801972859135823,34.11262552433573,93.2768602900928,32.98127516289115,31.507525752980744,33.21832546824847,32.6442812380048,31.507525752980744,33.21832546824847
XB,1.7642658580056354,1.3741128523121438,2.127404342693605,1.8744507242607171,1.5019325538781918,0.56161143841496,1.6500735798942519,1.863229036144294,0.6070359869966488,0.4585750649608729,1.2376638499136323,0.885125395144591,2.127404342693605,2.158290268801421,0.885125395144591,2.127404342693605
SSE,837.9945725900599,1505.580034934355,1423.8208312054526,1585.3260192273199,1650.3411623235415,1800.7179071972737,855.2593303688803,1597.747927791301,1926.5758531837932,2085.4118356389663,1291.1968815840992,1067.895952868021,1423.8208312054526,1444.4920426441306,1067.895952868021,1423.8208312054526
RS,-4.91235382079504,-2.810364486099985,-4.260342775646208,-2.4384973417771865,-2.5001275463227213,-1.8747570293244198,-5.04191644554887,-2.443754024816068,-1.5098079610501491,-0.6129136417826304,-5.142693170646919,-4.435961111804775,-4.260342775646208,-3.9210874309518267,-4.435961111804775,-4.260342775646208
DH,0.0033336519987170383,0.028302384298958285,0.020143443822088807,0.036510317933659775,0.05606577701942301,0.07817845792588277,0.0036892367670337007,0.03650260446326433,0.15170819714816067,0.192063581651001,0.014296883228931178,0.006516373765505184,0.020143443822088807,0.021012199717865585,0.006516373765505184,0.020143443822088807
B,0.3684778544422732,0.4461515577489721,0.48735074549617396,0.47426776395406384,0.4526476177427422,0.4806357092035373,0.37502244062051193,0.47794327597680103,0.4927429767885937,0.4627970436545487,0.4804181267590846,0.42140689923201435,0.48735074549617396,0.483020531350281,0.42140689923201435,0.48735074549617396
BH,17.10193005285836,125.46500291119624,83.75416654149721,158.532601922732,206.2926452904427,300.11965119954556,18.197007029125107,159.7747927791301,481.6439632959482,695.1372785463219,58.69076734473179,33.371748527125646,83.75416654149721,90.28075266525815,33.371748527125646,83.75416654149721
D,0.2920785077655957,0.36220021039620726,0.19818747525868965,0.31080996577796066,0.34658373619709604,0.5180281015608141,0.2920785077655957,0.31711893531221413,0.5687574706126637,0.5589488626874576,0.20953915968543457,0.4518918783885452,0.19818747525868965,0.19818747525868965,0.4518918783885452,0.19818747525868965
H,6.916381578617548,2.8952404575913433,4.898866574225855,2.416805893348979,2.2645916993312385,1.260776279350928,6.990913181956357,2.4201461500393764,1.007868192480086,0.5390944839020028,5.352239565793765,4.565049179645202,4.898866574225855,4.351226659222915,4.565049179645202,4.898866574225855
DBCV,-0.0016394119829522755,-0.6180114303494137,-0.4248934867252357,-0.6626663649077289,-0.6855520537177135,-0.20940558038488444,-0.0007084705483694834,-0.6609604718425964,0.06267089464845524,0.3659418797629975,0.12779615326720342,-0.22432672339709717,-0.4248934867252357,-0.45424414195404067,-0.22432672339709717,-0.4248934867252357
I,0.08409399716601192,0.5221485215137023,0.27654109156819023,0.633888529741218,0.9280937574224831,1.269543506402286,0.08837374736431991,0.6295247454938908,2.122518894833555,3.5110581802461347,0.18710117195385953,0.11519711530117645,0.27654109156819023,0.3075626891984442,0.11519711530117645,0.27654109156819023
C,0.10180417975193325,0.11177829987245803,0.11326651573221808,0.12002367722394851,0.11560196343950749,0.11865558328048999,0.10237713509131707,0.12391730478694249,0.12134414545384621,0.18143070105114764,0.09782273986426475,0.08972866171987724,0.11326651573221808,0.11502409124261134,0.08972866171987724,0.11326651573221808
VIASCKDE,,,,,,,,,,,,,,,,
