,labels_trajectories_MeanShift_params1,labels_trajectories_MeanShift_params10,labels_trajectories_MeanShift_params11,labels_trajectories_MeanShift_params12,labels_trajectories_MeanShift_params13,labels_trajectories_MeanShift_params14,labels_trajectories_MeanShift_params15,labels_trajectories_MeanShift_params16,labels_trajectories_MeanShift_params17,labels_trajectories_MeanShift_params18,labels_trajectories_MeanShift_params19,labels_trajectories_MeanShift_params2,labels_trajectories_MeanShift_params20,labels_trajectories_MeanShift_params27,labels_trajectories_MeanShift_params28,labels_trajectories_MeanShift_params29,labels_trajectories_MeanShift_params3,labels_trajectories_MeanShift_params30,labels_trajectories_MeanShift_params4,labels_trajectories_MeanShift_params5,labels_trajectories_MeanShift_params6,labels_trajectories_MeanShift_params7,labels_trajectories_MeanShift_params8,labels_trajectories_MeanShift_params9
cSIL,0.8602477804264016,0.9234002402212903,0.923820215351823,0.9236724362550724,0.9235755350699378,0.9235755350699378,0.9234002402212903,0.9234002402212903,0.9232407876778765,0.9232407876778765,0.9231847762822062,0.8601845182533876,0.9231881189852015,0.9232407876778765,0.92325408694189,0.9235602894418908,0.9078992492868672,0.8582789676582889,0.9048410017775077,0.9234502767673718,0.923447336274449,0.9235755350699378,0.9235755350699378,0.9234002402212903
GD43,4.536629540568225,5.836854917277149,5.627458003407461,5.445441531866056,5.4232440537537965,5.4232440537537965,5.836854917277149,5.836854917277149,3.4331263582859717,3.4331263582859717,3.4535677774599236,4.536629540568225,3.4531513891561256,3.4331263582859717,3.426352529232571,3.172890155908912,3.7798011679892585,1.8073910292519528,3.849918931729674,5.368256519677091,5.368256519677091,5.4232440537537965,5.4232440537537965,5.836854917277149
GD53,0.13670675960057938,0.36407767373113764,0.32379348120863,0.3075850191875981,0.3058025210063929,0.3058025210063929,0.36407767373113764,0.36407767373113764,0.19853947474301684,0.19853947474301684,0.20177307330682873,0.13670675960057938,0.20156839082840933,0.19853947474301684,0.1975875418762021,0.16334451441585507,0.2093196366207903,0.20276608606478783,0.21470906874042095,0.30147358315075484,0.30147358315075484,0.3058025210063929,0.3058025210063929,0.36407767373113764
PS,-2.2072959204770983,2.2554480275743947,2.2753894730548367,2.2762478290913335,2.256935679621657,2.256935679621657,2.2554480275743947,2.2554480275743947,3.1685461054816897,3.1685461054816897,3.1654608534593924,-2.217525120501513,3.165360591446524,3.1685461054816897,3.169633036491001,3.2110782185094657,1.0540772584276967,2.0329304611098022,1.071418748150685,2.258145219914054,2.2566738907370336,2.256935679621657,2.256935679621657,2.2554480275743947
rCIP,1.3350323923296383,0.3352334427425069,0.30242221455046814,0.30942074795350033,0.3089569288668502,0.3089569288668502,0.3352334427425069,0.3352334427425069,0.0048979118414575334,0.0048979118414575334,0.005103262669917767,1.3327476081439589,0.005110150982491661,0.0048979118414575334,0.004822864111289694,0.002372723405553705,0.40030228794474965,0.010636999114062627,0.5063117728218107,0.31128972301889374,0.3112854104545925,0.3089569288668502,0.3089569288668502,0.3352334427425069
WB,0.3610039784043864,0.4307434978368696,0.42685490860082587,0.42698768297194817,0.42776929327022656,0.42776929327022656,0.4307434978368696,0.4307434978368696,0.5424152822536825,0.5424152822536825,0.5431473938533223,0.36100482901190273,0.5431103825050596,0.5424152822536825,0.542215987006821,0.5368327590357203,0.45478263135991637,1.4171120265168673,0.4558256121999633,0.4279653590340192,0.428016450923509,0.42776929327022656,0.42776929327022656,0.4307434978368696
XB,0.3011598739703341,0.1245276347065906,0.12365169684900817,0.1238340729890095,0.12411154481292178,0.12411154481292178,0.1245276347065906,0.1245276347065906,0.0937842808779687,0.0937842808779687,0.09365481249331477,0.3011605610233897,0.09367177975596537,0.0937842808779687,0.09382054846222147,0.09567236470107253,0.2668587262487067,0.18739183633297968,0.25777502301035604,0.12429809800937504,0.12431176700735302,0.12411154481292178,0.12411154481292178,0.1245276347065906
SSE,181.39104115228383,452.77245382174596,449.00649878865033,449.13517485277794,449.89253180960566,449.89253180960566,452.77245382174596,452.77245382174596,681.6565908716084,681.6565908716084,682.4666452495487,181.39145496992643,682.4256998287206,681.6565908716084,681.4360328426461,675.4711383125843,402.20068499104025,1831.4131461151492,403.0579492667175,450.0824794400823,450.1319747791094,449.89253180960566,449.89253180960566,452.77245382174596
RS,0.6887063219450946,0.6054282885976583,0.6112697612801501,0.6117428086197412,0.6113556755448984,0.6113556755448984,0.6054282885976583,0.6054282885976583,0.5202387540190546,0.5202387540190546,0.5195577199215219,0.6887928461854516,0.5195864829526662,0.5202387540190546,0.520432129308734,0.5266882862493277,0.6395990333924675,0.12547744619525225,0.6348524862662598,0.6113197436620263,0.6112894243398047,0.6113556755448984,0.6113556755448984,0.6054282885976583
DH,0.1455428355086606,0.2248817518409583,0.2231601886318257,0.22297812060519956,0.22300332870315434,0.22300332870315434,0.2248817518409583,0.2248817518409583,0.26228268377546404,0.26228268377546404,0.26243978163966813,0.14552928607660065,0.2624354755844653,0.26228268377546404,0.26223547695336336,0.2605295485638728,0.19455194885741908,0.39154396405103564,0.19733534333095035,0.22299021984391298,0.22299458288005314,0.22300332870315434,0.22300332870315434,0.2248817518409583
