,labels_ionosphere_DBSCAN_params36,labels_ionosphere_DBSCAN_params46,labels_ionosphere_DBSCAN_params51,labels_ionosphere_DBSCAN_params52
cSIL,,,,
GD43,,,,
GD53,,,,
PS,,,,
rCIP,,,,
WB,,,,
XB,,,,
SSE,4905.660189604148,7424.751131862256,7432.6738253704525,6354.14730804592
RS,,,,
DH,0.316713785362009,0.10307917507984023,0.01493071686718432,0.1261947969228995
B,0.02653571494034884,0.08517468482310227,0.38942927265929667,0.19614819972652872
BH,0.09665382131805554,0.4111117298050595,1.4632146712255942,3.3656025198809285
D,4.885430723369478,2.1595023357712613,0.5754557717074213,1.0003750860132032
H,,,,
DBCV,0.008571428571409252,0.0780296842813957,0.11356638185301532,0.1729709586765188
I,1597.4024603952137,37702.30753577877,115.0243370304622,1889.122902595808
C,0.5924728163991758,0.5652992695392418,0.5699688699411953,0.5791083832990755
VIASCKDE,0.01342323908265147,0.01714739670756914,0.04435690155644872,0.026243792933328396
COP,0.3993056367660461,0.39799404819195444,0.42115162633558995,0.3991655989797053
Sym,0.00029278588195568,0.0004849986742004941,0.0001854354590286118,0.0004799002938256156
CS,3.0776984077224947,0.9410533274114743,0.8844817547204291,1.1667413036367478
SF,0.0451928005888913,0.03406359321832353,0.0014634233619846837,0.020437611664967492
SD,265.7020505283937,157.03671768272977,61.495506034885175,172.70802706706627
SDbw,3.5900138605038823,0.38385938072988757,0.11133976707889745,0.3769316128932312
XB*,232.15514498602147,3.3030110332369182,10.047117715435295,4.288639626492351
S,-0.23124537061782235,-0.3198420783025641,-0.23876216056231792,-0.19107120353735302
DB,1.3632295088279562,1.4393061431864864,1.5051779456619305,1.7046706804874692
CH,2.9085497895632857,5.5786631124921655,5.958028950007382,11.555358280657492
AD-S,-0.04578014425355237,-0.007994320141262562,0.08471962456027808,0.0629272731683259
AD-DB,2.9998307536850155,2.6332634814735214,2.589360821698825,2.845848284113563
AD-CH,2.0104457161157505,3.931478028605282,13.714422038100144,52.79682071789485
AD-idea,1.0086661848527079,1.3145916700739477,2.0947629571280726,1.809163456167438
