,labels_parabolic_SpectralClustering_params1,labels_parabolic_SpectralClustering_params10,labels_parabolic_SpectralClustering_params11,labels_parabolic_SpectralClustering_params12,labels_parabolic_SpectralClustering_params13,labels_parabolic_SpectralClustering_params14,labels_parabolic_SpectralClustering_params15,labels_parabolic_SpectralClustering_params16,labels_parabolic_SpectralClustering_params17,labels_parabolic_SpectralClustering_params18,labels_parabolic_SpectralClustering_params19,labels_parabolic_SpectralClustering_params2,labels_parabolic_SpectralClustering_params20,labels_parabolic_SpectralClustering_params21,labels_parabolic_SpectralClustering_params22,labels_parabolic_SpectralClustering_params23,labels_parabolic_SpectralClustering_params24,labels_parabolic_SpectralClustering_params25,labels_parabolic_SpectralClustering_params26,labels_parabolic_SpectralClustering_params27,labels_parabolic_SpectralClustering_params28,labels_parabolic_SpectralClustering_params29,labels_parabolic_SpectralClustering_params3,labels_parabolic_SpectralClustering_params30,labels_parabolic_SpectralClustering_params31,labels_parabolic_SpectralClustering_params32,labels_parabolic_SpectralClustering_params33,labels_parabolic_SpectralClustering_params34,labels_parabolic_SpectralClustering_params35,labels_parabolic_SpectralClustering_params36,labels_parabolic_SpectralClustering_params4,labels_parabolic_SpectralClustering_params5,labels_parabolic_SpectralClustering_params6,labels_parabolic_SpectralClustering_params7,labels_parabolic_SpectralClustering_params8,labels_parabolic_SpectralClustering_params9
cSIL,0.8629432067311935,0.8656249889231575,0.8656249889231575,0.8656249889231575,0.8552781755858659,0.4533677209882894,0.8389175161010719,0.8314499042213491,0.7732752943154969,0.7709161385219238,0.8281984972037851,0.8629432067311935,0.7781677184423121,0.8281984972037851,0.7781677184423121,0.8281984972037851,0.7781677184423121,0.8648642271777032,0.8438264823956235,0.8553306095683035,0.8381572700451827,0.8537018484541897,0.8643458690018181,0.8287072432620122,0.8115539928129363,0.8130457291279614,0.8115539928129363,0.8130457291279614,0.8115539928129363,0.8130457291279614,0.8642514257408852,0.864555248960323,0.864555248960323,0.8656249889231575,0.8656249889231575,0.8656249889231575
GD43,2.788610864016557,2.837235277955992,2.837235277955992,2.837235277955992,1.9684629266513831,0.3988963557968972,1.984799888523422,1.9293503036464699,1.642720991342787,1.6903882312133267,1.806670510173034,2.788610864016557,1.4223582449919623,1.806670510173034,1.4223582449919623,1.806670510173034,1.4223582449919623,3.1792675029591124,3.067760528932452,3.046753093121335,3.007182488033264,3.032352059587017,2.807764775994142,2.9618920732149383,2.205709593897058,2.1309741767749757,2.205709593897058,2.1309741767749757,2.205709593897058,2.1309741767749757,2.8104423214544325,2.8044400415041983,2.8044400415041983,2.837235277955992,2.837235277955992,2.837235277955992
GD53,0.49721576142622637,0.4966378985858825,0.4966378985858825,0.4966378985858825,0.32122073601575735,0.09286967566470762,0.3870374947904634,0.37580902901323054,0.41601070840942356,0.4388156940847865,0.30512521668553977,0.49721576142622637,0.2589946882837891,0.30512521668553977,0.2589946882837891,0.30512521668553977,0.2589946882837891,0.2569928261250996,0.34769149441914543,0.29213377789431116,0.36798793300920796,0.29591309586359515,0.49599670202372764,0.3839290856545239,0.1932026916662727,0.16764694904771013,0.1932026916662727,0.16764694904771013,0.1932026916662727,0.16764694904771013,0.4967618631543468,0.4945548525840029,0.4945548525840029,0.4966378985858825,0.4966378985858825,0.4966378985858825
PS,1.9514402927990724,1.9593767062544676,1.9593767062544676,1.9593767062544676,1.6471496868154425,1.5599704257849292,1.68777728276748,1.684694737697959,1.488682818816369,1.5642271483957375,1.7910934119674724,1.9514402927990724,1.9195218161678462,1.7910934119674724,1.9195218161678462,1.7910934119674724,1.9195218161678462,1.3064312567385947,1.2783928531605961,1.270427340463341,1.256324468769857,1.2685078044464433,1.920315884649146,1.2917915411180423,2.281586486941741,2.5023913765057064,2.281586486941741,2.5023913765057064,2.281586486941741,2.5023913765057064,1.924153035948022,1.9593767062544676,1.9593767062544676,1.9593767062544676,1.9593767062544676,1.9593767062544676
rCIP,0.0087261891168844,0.006403516565082977,0.006403516565082977,0.006403516565082977,0.04410771805146445,0.2725574672894849,0.050013463042287536,0.05075043824381873,0.08155839187863288,0.08173421597895435,0.08189267534028119,0.0087261891168844,0.1235350099876922,0.08189267534028119,0.1235350099876922,0.08189267534028119,0.1235350099876922,0.08153950251344017,0.10263906201948807,0.09716906463559524,0.11025469150695177,0.09702764250711975,0.007564412890323474,0.1328045457477821,0.22260764188961385,0.2308119018297876,0.22260764188961385,0.2308119018297876,0.22260764188961385,0.2308119018297876,0.0076543727266339765,0.00743200812853507,0.00743200812853507,0.006403516565082977,0.006403516565082977,0.006403516565082977
WB,1.2705947016892443,1.2418555797127062,1.2418555797127062,1.2418555797127062,1.3063077957953777,2.192948934207459,1.3765184570987372,1.3539141333624132,1.5417854512046782,1.4883680731064062,1.4283067584810758,1.2705947016892443,1.509083635000624,1.4283067584810758,1.509083635000624,1.4283067584810758,1.509083635000624,1.0375749931204432,1.0182381227903992,1.0266603733623476,1.0198850894953564,1.0248124467595932,1.2563749932402024,1.0301983510299428,0.9751843298686247,1.0142322313634575,0.9751843298686247,1.0142322313634575,0.9751843298686247,1.0142322313634575,1.2572257326092275,1.2533181570413556,1.2533181570413556,1.2418555797127062,1.2418555797127062,1.2418555797127062
XB,0.15881862003499797,0.1552313265362984,0.1552313265362984,0.1552313265362984,0.27163047199790263,0.7817986846831884,0.29938301138211454,0.31191650773781954,0.43678250465839685,0.4418292922710118,0.2738294870792354,0.15881862003499797,0.35276687748438756,0.2738294870792354,0.35276687748438756,0.2738294870792354,0.35276687748438756,0.18841104851663576,0.21629919215258933,0.20803849636565602,0.22868502421606643,0.20520383425596755,0.15697086346793424,0.22869143698779879,0.20913911285647585,0.20930423390705366,0.20913911285647585,0.20930423390705366,0.20913911285647585,0.20930423390705366,0.15709035528952298,0.1566641429710909,0.1566641429710909,0.1552313265362984,0.1552313265362984,0.1552313265362984
SSE,200.17623932994155,197.3829539159272,197.3829539159272,197.3829539159272,156.30492609675872,217.59388263804593,162.06360284225826,160.22986873025275,174.91600240172698,170.8653874831532,166.19425547137456,200.17623932994155,172.447631390634,166.19425547137456,172.447631390634,166.19425547137456,172.447631390634,106.1280504862967,104.5515082823521,105.23966848919594,104.6862592785489,105.08887675894718,198.80032383137757,105.52806011129701,100.99729748008531,104.22338603995584,100.99729748008531,104.22338603995584,100.99729748008531,104.22338603995584,198.8829802288985,198.50297007438797,198.50297007438797,197.3829539159272,197.3829539159272,197.3829539159272
RS,0.22299321539013178,0.23385090442528852,0.23385090442528852,0.23385090442528852,0.24669016444955438,-0.7592357944012476,0.21430022169657215,0.1990559155180824,0.09363995471142465,0.0940570594294712,0.13376913148144487,0.22299321539013178,0.017912329035330455,0.13376913148144487,0.017912329035330455,0.13376913148144487,0.017912329035330455,0.3073663828734495,0.2584398674422175,0.2895437863155863,0.24837229312786313,0.28307694897755414,0.22849985831253422,0.22486623163815198,0.1615129751985825,0.14872916363522395,0.1615129751985825,0.14872916363522395,0.1615129751985825,0.14872916363522395,0.2281416232272483,0.22953093262272492,0.22953093262272492,0.23385090442528852,0.23385090442528852,0.23385090442528852
DH,0.4450307940142759,0.4415767345926151,0.4415767345926151,0.4415767345926151,0.36892357805657705,0.5309527783289862,0.37653861631247565,0.3834639393975505,0.41346346122088096,0.4153592918419202,0.40241426961829574,0.4450307940142759,0.4422169268207203,0.40241426961829574,0.4422169268207203,0.40241426961829574,0.4422169268207203,0.32201145977406825,0.33677799887764676,0.3275857265191923,0.33945418121619364,0.32965510594509667,0.44302816058875744,0.3467243235956035,0.37447383799674017,0.3751005619180378,0.37447383799674017,0.3751005619180378,0.37447383799674017,0.3751005619180378,0.4431601812832351,0.4428459614857825,0.4428459614857825,0.4415767345926151,0.4415767345926151,0.4415767345926151
