,labels_pathbased_DBSCAN_params16,labels_pathbased_DBSCAN_params17,labels_pathbased_DBSCAN_params21,labels_pathbased_DBSCAN_params22,labels_pathbased_DBSCAN_params26,labels_pathbased_DBSCAN_params27,labels_pathbased_DBSCAN_params28,labels_pathbased_DBSCAN_params33,labels_pathbased_DBSCAN_params34,labels_pathbased_DBSCAN_params38,labels_pathbased_DBSCAN_params39,labels_pathbased_DBSCAN_params44,labels_pathbased_DBSCAN_params45,labels_pathbased_DBSCAN_params50
cSIL,0.8912496485326924,0.9378199748579388,0.8810796892324507,0.8819322350385086,0.8723955197301965,0.9008881358258547,0.8958756995331174,0.9307526706696305,0.956313698627355,0.8331002538605314,0.9322727622112683,0.9203126762381547,0.9484450435092533,0.9224245480628325
GD43,3.4466502652078526,27.08127066722638,1.5249785488081131,3.0859546546485572,2.2164484917443334,3.0019351297913293,3.3201688632002484,6.909477824303007,10.582553965425173,1.4349839306502228,7.080854356240224,5.556028631209467,9.17161953002758,5.7837263262232215
GD53,0.012892471123392814,0.27085532161314585,0.008935810649200366,0.022005283712323666,0.013035563125445161,0.02972128299479173,0.1449256676922437,0.45441012794296887,0.4444029254080366,0.4802770876013313,0.46622006190501725,0.4980467225656951,0.4504726139662609,0.46960567265556113
PS,-15.230494959713559,0.8599511545473036,-16.67325311196018,-1.2469921474936956,-12.578865493699112,-3.2856252038754428,0.016145681500282394,1.9314538286055103,1.6260193246321701,1.0064721704983937,1.921702055555865,1.9040466883242266,1.6633687222225315,1.9539347599583805
rCIP,20.90215583682308,2.232087367382848,8.20420787397143,4.325010567102481,9.989267563202581,0.6496275941737863,0.6726245395673565,0.0015463279908190704,5.047351386399423e-05,1.5512035413698793e-06,0.0016986294856820344,0.012270718129355606,0.000193896423431015,0.008938718093338365
WB,0.4224002798786964,0.04667921208370006,1.2787186767748184,0.7611908353932163,1.4551993966433703,1.158519761651465,0.42642108768408044,0.5939404573418542,0.39319156184358534,15.876948305942644,0.5803406430334201,0.6934303671170627,0.4591758295597472,0.6723532416312252
XB,0.4527274077402494,0.10464708235281671,1.6797589267681263,0.5114964663865496,0.5895455940588201,0.4041179032688537,0.4729547805074741,0.07422303392406458,0.047125590207308526,0.3144809103697403,0.07250974082264552,0.08659780466142222,0.055609529531457265,0.0840422674620464
SSE,0.6238547470772501,0.06487113827932033,5.4297744972003175,3.7982935009013223,10.654944351365785,8.611484655564393,3.0491866987151073,10.780491862638481,5.164105649057279,86.20068942440952,11.240149526275063,21.24906489710724,6.637231051936747,16.55144415905482
RS,0.8432108731572479,0.9571911191572391,0.6803656456335953,0.6744201475695483,0.49316642828883206,0.6171917095801139,0.755751949156192,0.5413222861091268,0.6818721845139462,0.03341764133850473,0.54950393408982,0.48515868531568085,0.635359320383709,0.49665448492242387
DH,0.06711475892991321,0.08970115086422614,0.07683636198997092,0.17571401727488606,0.11572536121978995,0.13512054367443752,0.18376633893625866,0.3307789505734093,0.2637342989997108,0.3674110604938307,0.32779328259875246,0.3566145708581846,0.2865482434836122,0.35063676916194114
B,0.02078458775938405,0.010124299409583303,0.03675160935772953,0.12653878307803215,0.04839677372763802,0.06110151494734704,0.06543695808202711,0.15002897677522375,0.09185572697796769,0.3443872339190511,0.1465125056474388,0.17455845730265693,0.10928870471098476,0.16968918793160678
BH,0.029707368908440474,0.01621778456983008,0.24680793169092355,0.6330489168168869,0.5919413528536547,1.0764355819455493,1.016395566238369,5.390245931319241,2.58205282452864,43.10034471220475,5.6200747631375325,10.62453244855362,3.318615525968373,8.27572207952741
D,0.174753244875903,0.7224252914560798,0.16170155184677798,0.2862304802941657,0.16068410203068137,0.24094916552567183,0.24499098739843306,0.6134356707900441,0.9862715435817764,0.5120555714563999,0.6148227523577076,0.5650891639296052,0.8311430457023536,0.5581030295628993
H,1.8646719663571094,0.24941505824833998,2.035737228287671,0.5953531240492774,1.9474121933448552,0.6366384847900797,0.29953999981966095,0.13830856091871058,0.0871724477762551,0.2612944673837516,0.13536246863821527,0.15937423171130294,0.10291155583049083,0.1550511419200999
DBCV,0.5812686161341564,0.8089403549465843,0.2179744392327825,0.5620502832410732,0.29534825383944513,0.2511477546740693,0.7435545061392448,0.6303840030978513,0.9334704115434972,0.9226366349587828,0.824119202783086,-0.12369721653661915,0.8458217966249529,0.5602662757130266
I,0.4846020376081664,5.265121293651307,0.19240598507620887,0.28912241782787945,0.19736076829870144,0.5021787724352388,0.8586317524650335,0.9380397564043639,1.2930944685217938,0.3248722478309603,1.0008415823320442,1.114518963349095,1.1242259993430586,1.0112282647790902
C,0.0391846899061262,0.005458265573726466,0.034555471116295026,0.04555858872853593,0.029060278684223128,0.02373945175333901,0.027074933188761207,0.015022566825559174,0.0017992461188156932,0.2707500921330918,0.013368313033991594,0.028222253835973335,0.004318023634647133,0.024992172049855835
CDbw,11.73328184882378,12.274640816663107,9.335612851290081,1.9406020021364179,1.785326356892913,9.293287149905353,1.455979855036758,0.046976624242047405,0.30860776685199687,1.0006932197990837,0.04851224580848629,0.03067138833470949,0.19896352153755012,0.031615632818938734
VIASCKDE,0.4032244339309822,0.4864773632044044,0.47195029581356,0.563940436587883,0.5059177431453489,0.592766475234287,0.5648952758277651,0.6126013428757734,0.5813101504331926,0.5742759757913319,0.6024911281404169,0.534741605428139,0.6371800502440035,0.5496478486140359
COP,0.2069603328610042,0.1527322766288439,0.18701019344012926,0.21182411626875997,0.17798109963376899,0.18095674231743902,0.20264798751075097,0.2228291381429853,0.21604023230909142,0.28420769311694194,0.1931544339642729,0.21322608719893546,0.21761484496880065,0.20539288344976842
Sym,0.24148588937438153,8.874004936933428,0.06866281946857015,0.15155724995775008,0.05306239027212148,0.1431692263154304,0.39765361305425584,0.21365519475432312,0.4315096101004359,0.08052535940247404,0.20935176306014014,0.11782770347463327,0.3458545527607501,0.14739295004561612
CS,0.5612855637711225,0.2885909579969257,0.5570600150367291,0.7244997504210723,0.7438801395775098,0.539927977741794,0.6268341598654977,0.6865490225432179,0.5020286967927831,0.8737878876879263,0.6848301984626317,0.736479872544507,0.5595859183553245,0.7445562683913122
SF,0.38558889616814174,0.5905726564380309,0.237607383572647,0.45167681784044866,0.16684354570900561,0.3769567177559333,0.5303412183881588,0.5088197476136308,0.5398056772468579,0.404424983826871,0.5085829731338207,0.48446010960045194,0.5297904018771378,0.49364679451202154
SD,3679.5689004492806,846.8107745921487,6600.670910404114,16478.08654967974,11261.63679208143,21167.869879339465,12546.668625652233,77714.8439616336,47930.55768450062,241262.53839334086,88518.41888499564,103106.56416878286,58554.51303333724,103931.09962688375
SDbw,0.1706223999039708,0.6934373840968212,0.08738936685476799,0.7395136611801467,0.14361395273403652,0.1835946474346538,0.5133813666636303,0.6907996743570924,0.37590613518501315,0.853525844486922,0.6970708907628878,0.9210361328793367,0.495322437224403,0.8850786579908042
XB*,1.353754962024525,0.1305628484502926,2.735458376887581,0.7009950043128105,0.8910868227951043,0.5102684639316247,0.6248692059278615,0.08166965188480571,0.05302124211270584,0.327395287520758,0.07776342841872161,0.08693743050382136,0.061723540796225024,0.08948174218892833
S,0.37965294316650133,0.6688367577891883,0.26237943480894316,0.45835025094484844,0.23402928305798215,0.31686356692914514,0.6406494684476531,0.6535423916679696,0.7213955931379805,0.39999075930728895,0.658111233597074,0.6274093154352387,0.6985771501628991,0.633279729102949
DB,0.609990346412475,0.43773459798306336,0.575177020391651,0.6636541747716717,0.5828807241696446,0.5550324358212989,0.5679788263792455,0.49575979353246047,0.39124188114434977,0.6387262989759465,0.4899099382895803,0.5269701474546616,0.4257937331133119,0.5191588238996365
