,labels_parabolic_DBSCAN_params11,labels_parabolic_DBSCAN_params12,labels_parabolic_DBSCAN_params16,labels_parabolic_DBSCAN_params17,labels_parabolic_DBSCAN_params18,labels_parabolic_DBSCAN_params19,labels_parabolic_DBSCAN_params21,labels_parabolic_DBSCAN_params23,labels_parabolic_DBSCAN_params24,labels_parabolic_DBSCAN_params28,labels_parabolic_DBSCAN_params29,labels_parabolic_DBSCAN_params30,labels_parabolic_DBSCAN_params35,labels_parabolic_DBSCAN_params40,labels_parabolic_DBSCAN_params6
cSIL,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,
SSE,431.29009964816066,1158.5390191862266,521.2466128703741,466.36982438830165,585.1469557633495,1174.170540259505,534.6970380346786,691.2831486236878,1216.9103001611775,917.2593004080971,858.345888720778,1393.805978363463,1207.5987711000457,1008.8833002938698,659.7953658033537
RS,,,,,,,,,,,,,,,
DH,0.026470957111172207,0.09745176298648955,0.1241156654575153,0.14201791243830209,0.15711318182748668,0.22053350393109053,0.5782995126731382,0.3036676001329623,0.32140219111030294,0.6850381811801843,0.2850903215717888,0.3579434452901859,0.4159624650102625,0.56098101757034,0.061294562657991485
B,0.03303701138476138,0.03274211033631487,1.0212038302904054,1.067548306867594,0.14434617379702303,0.14731981089340232,5.068102303034084,1.6986361000020265,1.003845355329044,3.482540243077329,1.429954405091759,0.7073239652945417,1.4040828242812144,2.658504847889851,0.021348117813741466
BH,0.0012115239471149372,0.001296059885658068,2.9129733452705544,2.228478086999786,0.4955900565488248,0.04285251358320036,124.86038616674186,14.094330708482731,2.440359824284221,83.97454853287422,10.418441380253357,1.1972093375154074,10.441941699569943,49.16179590624557,0.00011356680604594123
D,0.23276855490741508,0.6497406214831595,0.0517053804032758,0.05551928331436295,0.5881738386954621,5.336351034985571,0.11457393408874628,0.02866261953143921,0.8283109873880271,0.014905854821544851,0.09360014611473388,1.7633199469180334,0.4580196308717576,0.05203516524122283,2.238312050930858
H,,,,,,,,,,,,,,,
DBCV,0.2925299805089421,0.0569335921570681,-0.37334003125736676,-0.14919942291912783,-0.05884061847075078,0.06080785825286644,-0.8330598876854834,-0.052082210696092306,0.10718223569151664,-0.42989048424650156,-0.11201668830803166,0.26323454257949613,0.5366450144091652,-0.5900002309180844,0.05646057324016409
I,9.502460228953435,17221.685941738913,0.05739615652264902,0.12469178412885501,6.914287255809477,2705.358557007527,0.011878898264119248,0.15415851000016242,25.56060833250033,0.24630510004935757,0.5509211207627059,182.61648951800683,8.249735900975338,0.6151176301805107,44711.36360965063
C,0.459875242575941,0.46200578256699076,0.10180748906002429,0.12832198639870881,0.3495415429925847,0.4469997764489961,0.4989850920406802,0.1321615533524328,0.30545720613751814,0.16791009679726512,0.11798969783328273,0.3560031769371901,0.18280367308711176,0.09215969988865672,0.504013097330429
CDbw,0.3394719376933443,0.6901579330642023,0.339530688082013,0.31745074117685956,0.52195722756434,0.9398803154619181,0.2451536978224378,0.25728025927404563,0.7016889762176163,0.055810729186478975,0.3105356378105698,1.0947942924712954,0.35995197296547493,0.09672630667025006,0.5901207223215619
VIASCKDE,0.32218939256177326,0.549112422768308,0.48741950818231633,0.42511126976285546,0.5154462950718735,0.5584460906177139,0.5489987172838849,0.4812935596582288,0.6093378340756409,0.5555810754780958,0.5451986092155243,0.6181910196979786,0.6395869305367384,0.6321200485764686,0.5187706855389016
COP,0.40126671862482644,0.47155197345274524,0.32668523345137207,0.2988008342592121,0.32401968827839667,0.4254877328356631,0.4881361687349169,0.35512303538400425,0.33375840394442324,0.40449088173392644,0.3466192588220816,0.3642168368893547,0.32238385028447614,0.39799688505569897,0.48282518568581007
Sym,0.001556363118559824,0.009495121077547278,0.002638812635435593,0.003496094499850284,0.009855145990394961,0.02041410616205478,0.004966427732195514,0.0033810351305353934,0.026055385331116343,0.003559171512447306,0.007489564227002587,0.033429074134228236,0.030107877893220412,0.008639254569275527,0.00552770119006416
CS,0.677197658835856,1.3978858623837775,1.2991057202310985,1.4914524501537159,1.0634430562099428,1.5941657612629088,3.9021818806777926,2.0247322701253196,1.3376887919652158,2.998003488942465,1.3755539960874343,0.8970337908431599,1.2681895128650942,2.1916996821762686,0.7371139079101631
SF,0.1862640871410326,0.3674239231881511,0.11267978913819143,0.13683400548750924,0.2708058903986442,0.3632372209755462,0.19790366770365464,0.17225729183711969,0.33877475436367244,0.1729071355737768,0.21595407579383308,0.3721524718126311,0.3367843176418329,0.22377613464369928,0.37347087010534064
SD,227213.16314547815,1738806.730639737,1123757.5673906647,1250804.796259307,1748739.0966656806,3745701.1449814686,11347733.134021865,3968951.659446489,4852328.522149369,16137849.392245248,3994977.638065586,5964202.949377465,7448770.97862699,13666070.462613901,1093617.6259147285
SDbw,0.18828560190025243,0.9677433495457043,0.3418066502213012,0.42912601050521776,0.45700128138853524,1.0091136048231681,2.1716096948512718,0.7911155710854506,0.9302760931834922,1.477711659540953,0.7305015157425461,1.231846157124349,1.0822426041010864,1.377267796071502,0.5954904647522559
XB*,964.9782965644907,296.0702535839059,108.93137760316294,67.71360701715868,10.062883281770878,47.44154841819462,34.495841030103755,7.613496995599844,5.048934927848138,3.1732079355252556,5.0339638101017785,0.67966157112298,0.7275072443783899,1.732745552036271,1048.450699194179
