,labels_data7_DBSCAN_params13,labels_data7_DBSCAN_params17,labels_data7_DBSCAN_params18,labels_data7_DBSCAN_params19,labels_data7_DBSCAN_params21,labels_data7_DBSCAN_params22,labels_data7_DBSCAN_params23,labels_data7_DBSCAN_params24,labels_data7_DBSCAN_params25,labels_data7_DBSCAN_params26,labels_data7_DBSCAN_params27,labels_data7_DBSCAN_params28
cSIL,0.9901861658146208,0.8909262712969939,0.9138796864901013,0.9834865627018662,1.7802421742318941e-06,1.7802421742318941e-06,0.8834462851605204,0.9008915693545315,1.7802421742318941e-06,1.7802421742318941e-06,1.7802421742318941e-06,1.7802421742318941e-06
GD43,131.0179096926323,0.210202578056198,4.851809348933315,80.21382061959838,0.000918248541013863,0.000918248541013863,0.708137950367676,1.1286256422104284,0.000918248541013863,0.000918248541013863,0.000918248541013863,0.000918248541013863
GD53,0.16224295761631446,0.0008841199321640133,0.03145248581462533,0.40872267801554474,0.314020080127793,0.314020080127793,0.011845373573008201,0.010777877463295374,0.314020080127793,0.314020080127793,0.314020080127793,0.314020080127793
PS,0.6358937151272385,-31.567540577246714,-3.973420593344102,0.9975517928823139,1.9633687222225316,1.9633687222225316,-7.001889129640459,0.4082851742691427,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316
rCIP,1.6972879560478636e-05,26.48227379689767,7.279848715862323,2.3117206605532267e-06,0.30091934496403683,0.30091934496403683,3.697230741615705,0.06357705207687271,0.30091934496403683,0.30091934496403683,0.30091934496403683,0.30091934496403683
WB,0.006191475482310256,10.750585695505272,0.4315648785476711,0.03450321888338113,1772496.8913894773,1772496.8913894773,3.9316261182310606,10.189244073702604,1772496.8913894773,1772496.8913894773,1772496.8913894773,1772496.8913894773
XB,0.03221791764509438,14.478610400129181,0.2644971779794903,0.027248207527079665,221562.11142368466,221562.11142368466,1.3642623254642452,0.845192876404967,221562.11142368466,221562.11142368466,221562.11142368466,221562.11142368466
SSE,0.009838421531345579,104.20799421989483,3.4289959150263627,0.1169246193667679,527.8358103109085,527.8358103109085,120.75810190023955,107.45551136941211,527.8358103109085,527.8358103109085,527.8358103109085,527.8358103109085
RS,0.9941075016445572,0.3933959613590578,0.7173479156285318,0.9658338134835741,-0.9999977432990121,-0.9999977432990121,0.11017313330701081,0.12938831165952985,-0.9999977432990121,-0.9999977432990121,-0.9999977432990121,-0.9999977432990121
DH,0.020240724334612645,0.06786131705301074,0.11446673508579383,0.06422739929193219,0.9023514190634171,0.9023514190634171,0.18382598004269604,0.2636875421407967,0.9023514190634171,0.9023514190634171,0.9023514190634171,0.9023514190634171
B,0.0006844815119435916,0.14546952047500458,0.024261943878858733,0.005148801698388679,444012.2473420534,444012.2473420534,0.15734086457797405,0.27798451146284964,444012.2473420534,444012.2473420534,444012.2473420534,444012.2473420534
BH,0.000983842153134558,2.977371263425567,0.2637689165404894,0.019487436561127985,263.9179051554542,263.9179051554542,10.063175158353296,35.81850378980404,263.9179051554542,263.9179051554542,263.9179051554542,263.9179051554542
D,1.6019162981459296,0.06770966333821778,0.2051114734903056,1.5322933563555456,0.3854980009910286,0.3854980009910286,0.11798606209529311,0.34540280060017853,0.3854980009910286,0.3854980009910286,0.3854980009910286,0.3854980009910286
H,0.09683451071351623,3.5583083153349993,1.0459060112612868,0.09902503775710336,1.9999860963428784,1.9999860963428784,1.2840289676129701,0.24498685147487914,1.9999860963428784,1.9999860963428784,1.9999860963428784,1.9999860963428784
DBCV,0.9850151666796345,0.7735146298830398,0.30429771009412504,0.9767694403140467,0.75296445050874,0.75296445050874,0.43440535025273846,0.923677343360539,0.75296445050874,0.75296445050874,0.75296445050874,0.75296445050874
I,35.66898931827546,0.017611596681802365,0.7929494732850682,4.702459248907462,5.95584962242698e-07,5.95584962242698e-07,0.1103209302717829,0.1210538752524372,5.95584962242698e-07,5.95584962242698e-07,5.95584962242698e-07,5.95584962242698e-07
C,-2.6145204913896844e-18,0.16954360892526246,0.024766337698471683,1.1019104547057072e-17,0.4358987619282769,0.4358987619282769,0.14988424055350708,0.1531029779656814,0.4358987619282769,0.4358987619282769,0.4358987619282769,0.4358987619282769
CDbw,70.36201644508505,3.9430591910159625,2.057077627930677,9.50765596770932,0.03730599141835129,0.03730599141835129,0.35254370291457887,1.4206947535468302,0.03730599141835129,0.03730599141835129,0.03730599141835129,0.03730599141835129
VIASCKDE,0.5620817658669989,0.6231500100810745,0.5769547005910524,0.5727852548853608,0.7456717142778656,0.7456717142778656,0.701010408002534,0.7959655784766826,0.7456717142778656,0.7456717142778656,0.7456717142778656,0.7456717142778656
COP,0.3624375940104422,0.3826635849213517,0.31330922105693476,0.3001746665735148,0.5461686773551464,0.5461686773551464,0.37256165012803755,0.4417131757012855,0.5461686773551464,0.5461686773551464,0.5461686773551464,0.5461686773551464
Sym,27.875840722580197,0.010987251388666538,0.21631792542757397,3.1579301960274804,4.279254616051696e-05,4.279254616051696e-05,0.021934701828461387,0.06268045714090092,4.279254616051696e-05,4.279254616051696e-05,4.279254616051696e-05,4.279254616051696e-05
CS,0.10617696868124704,0.7991846937837338,0.6136342048321225,0.27850374987412224,954.7575498617388,954.7575498617388,0.8728568941421522,0.7082947085069206,954.7575498617388,954.7575498617388,954.7575498617388,954.7575498617388
SF,0.600549455351318,0.1353565233631362,0.37258063794793217,0.5747072035401668,0.2229332896484374,0.2229332896484374,0.15351398353424595,0.4329243407192701,0.2229332896484374,0.2229332896484374,0.2229332896484374,0.2229332896484374
SD,4928.007515465183,130789.64421803494,288457.6562795221,1922.1210923749932,8011737.650094641,8011737.650094641,574356.6593548232,2301057.6732345168,8011737.650094641,8011737.650094641,8011737.650094641,8011737.650094641
SDbw,0.06417191808445168,0.32445782656078503,0.16943591064959967,0.08003133976314203,2.000017201750293,2.000017201750293,0.6505695644365523,5.266498794742749,2.000017201750293,2.000017201750293,2.000017201750293,2.000017201750293
XB*,0.05213901068452586,26.33171715006693,0.600370926641484,0.02963620947110628,352783.3496085954,352783.3496085954,2.319234295690352,0.913020518138022,352783.3496085954,352783.3496085954,352783.3496085954,352783.3496085954
S,0.8813639144709158,0.07991100483614083,0.49675813352686965,0.8294058211599246,0.11245631130059798,0.11245631130059798,0.1317973724583521,0.2883724088891916,0.11245631130059798,0.11245631130059798,0.11245631130059798,0.11245631130059798
DB,0.14477385604992418,0.599114143260463,0.4951756437353625,0.23570164025716947,892.4091926389871,892.4091926389871,0.6624572108318705,0.576379186632251,892.4091926389871,892.4091926389871,892.4091926389871,892.4091926389871
CH,8434.535898822018,81.10365234058096,1071.8743723772136,3164.9221010100437,0.0011260950638030834,0.0011260950638030834,261.6543999331563,79.05395083025962,0.0011260950638030834,0.0011260950638030834,0.0011260950638030834,0.0011260950638030834
AD-S,0.9196672448897414,0.6448746968682127,0.30485739147995633,0.8962400074874528,0.6941918394282138,0.6941918394282138,0.498184189648909,0.7756902487089321,0.6941918394282138,0.6941918394282138,0.6941918394282138,0.6941918394282138
AD-DB,0.15706692984301684,1.1002915912412097,1.2409863015679727,0.2046723604478554,0.6116163211435725,0.6116163211435725,1.3760293859898296,0.3545655019771097,0.6116163211435725,0.6116163211435725,0.6116163211435725,0.6116163211435725
AD-CH,272.840413266401,81.38905438032994,113.87122267351742,401.3863934188796,1631.7419360784634,1631.7419360784634,218.71408882184156,349.2073413396184,1631.7419360784634,1631.7419360784634,1631.7419360784634,1631.7419360784634
AD-idea,16634098414.153301,4819184.43932958,19344.172491684152,986006.2480287215,10.803427032170815,10.803427032170815,180.83818706331087,271.24621895537945,10.803427032170815,10.803427032170815,10.803427032170815,10.803427032170815
