,labels_mk2_DBSCAN_params1,labels_mk2_DBSCAN_params11,labels_mk2_DBSCAN_params12,labels_mk2_DBSCAN_params16,labels_mk2_DBSCAN_params17,labels_mk2_DBSCAN_params18,labels_mk2_DBSCAN_params2,labels_mk2_DBSCAN_params21,labels_mk2_DBSCAN_params22,labels_mk2_DBSCAN_params23,labels_mk2_DBSCAN_params24,labels_mk2_DBSCAN_params26,labels_mk2_DBSCAN_params27,labels_mk2_DBSCAN_params28,labels_mk2_DBSCAN_params29,labels_mk2_DBSCAN_params31,labels_mk2_DBSCAN_params32,labels_mk2_DBSCAN_params33,labels_mk2_DBSCAN_params34,labels_mk2_DBSCAN_params6,labels_mk2_DBSCAN_params7
cSIL,0.9961895769518769,0.9673803081687848,0.9742503318672094,0.8390424031749512,0.8879761463839829,0.9304657036010617,0.999986390299741,0.7091987381408742,0.7293038466846543,0.8421105174583015,0.955494443940027,0.10409909445377827,0.4173297510777333,0.6414988858912123,0.8940553981345755,-0.17938205723204947,0.12523290150119365,0.2489523497733686,0.6629127039806728,0.9851982158174537,0.9919957551549712
GD43,301.40008162727537,1.249225803573454,21.72894217984788,0.6001197480630174,0.6237072695041768,4.091316545036528,32901.195192018706,0.31061288026049616,0.2851777636319326,0.3387874636632431,9.907900288282164,0.08266445515707956,0.2201821141554349,0.35588584848404503,5.435770461427213,0.09239529369481797,0.09504365273819272,0.12336792589366603,0.5807002633585391,20.620163115173277,279.80341669879886
GD53,0.007663634465470945,3.459608505136985e-05,0.019003860998616416,9.582791993598559e-05,0.0011138206257347598,0.01877058042770009,0.3810389541311905,0.0024020600832793306,0.0007547708960889545,0.001439922570560941,0.08899063411778936,0.11573613950240848,0.0037102623109826656,0.006198709540914454,0.2391161558939137,0.2559917514954895,0.16582689067739254,0.034110054571970326,0.02736578596018954,0.0009206142065520954,0.1649172166655636
PS,-20.145662787749348,-119.10495042154713,-25.907339625601935,-51.52215413466997,-45.98715971336315,-7.810026615946775,1.677654436508246,-20.400112160908012,-25.182451515375725,-19.75224832501231,0.6638539261309252,-2.755648927994722,-7.279645098979793,-12.28902525142071,2.1805510487330073,1.564970997464165,-0.5975109913920288,-1.799988089628394,-3.810602116746546,-63.419484988581246,-1.1683665557562164
rCIP,459.35933786946083,1477.4475690400811,231.23789374918934,53.54085685360667,40.47640909786962,14.001908725558025,0.0,14.512539072412835,21.941238000136742,28.499963685900816,0.9457430018815968,5.32447573032163,6.8129469631483275,7.342540210018946,0.14524948304832241,0.9541122349247801,1.1293192140886756,3.6033135931686653,2.9467998624360603,1392.0765308116233,36.96545420334088
WB,0.0011384283887968995,0.35351648872913427,0.06717735054567746,3.806712952303474,3.0999786001221055,0.45843985567336865,0.0001194480506708456,9.166007144967047,9.717696698018768,4.712072784170249,0.2220986055166923,12.319783477334651,9.876239517966154,6.073724529521837,1.0930212422174839,140.2411890653866,95.35658260707166,15.615991434105789,5.211564389106765,0.014127476364007848,0.0026368819162817096
XB,0.04534467072919713,1.4071226586472112,0.14392144244071978,2.2720722803570585,1.7540927914242876,0.29524789503962073,1.4516256157915266e-05,4.9086581110208645,5.21369926622563,5.128427849199933,0.16075525308648803,37.456920894563844,7.607018405430845,5.2624857315119895,0.13165303915361237,22.63714911753792,22.190551548383684,10.603999930276208,2.9733436445417594,0.2712918487253371,0.029899508645361353
SSE,0.0011706889106470428,0.7577198772593865,0.13657363982033766,26.46543609965724,19.697774972738273,1.7790878939007793,0.00011087714284954373,123.94670507105579,108.74740152213232,35.13761252451405,0.5946932875100722,289.17342436521034,204.6393088566554,84.09123946967583,6.682591639712546,466.96254426565616,457.75006189553517,309.4796998382267,55.622626160672766,0.019194765306539373,0.002677529168487729
RS,0.9989910852914589,0.9109534070669727,0.9547055197730993,-0.032811226986215476,0.2648684891217583,0.7599303895917674,0.9998880170165961,-0.9849649320590746,-0.7445536276557201,0.11975324625363083,0.8437809830896797,-3.3918721577242406,-2.3436317952066363,-0.8221942859055907,0.2518346071103434,-2.1899367932984743,-2.1499690872439814,-2.737333587588011,-0.5525770899446641,0.9892458380924682,0.9974087628893101
DH,0.0035784772894008484,0.015530395863123717,0.023435454976832176,0.07450906872368789,0.0703198859979937,0.08595055452944284,0.003936219322317776,0.17409711313559817,0.13793605756694222,0.10818732471983163,0.1349198785066424,0.5801946367557297,0.34540873478543005,0.20758662725864296,0.3563887358191114,0.959310716064988,0.6896586495316711,0.5529362502441572,0.2936289114533918,0.007285214031885043,0.011782763372150812
B,3.3175787677619974e-05,0.0026410007921930123,0.0013903401315357841,0.043355900342826305,0.04053908887517755,0.021293761101219322,3.3897419784969695e-05,0.17386753301881422,0.16004208405656326,0.10829121183317919,0.044014886070778345,0.7487526920891954,0.32083549226956193,0.17383417827625472,0.23488656963802682,22.995017235682475,1.3504905278572574,0.7295384136493144,0.27645022507620975,0.0001615213873761546,0.00024066850803831802
BH,2.601530912548984e-05,0.005571469685730782,0.0029689921700073404,0.4268618725751168,0.35174598165604054,0.11119299336879872,5.543857142477187e-05,4.767180964271376,3.507980694262332,1.3514466355582326,0.14867332187751806,36.14667804565129,15.741485296665799,4.671735526093102,2.2275305465708484,155.6541814218854,114.43751547388379,44.211385691175245,6.180291795630308,0.0001760987642801777,0.00022312743070731077
