,labels_ionosphere_DBSCAN_params36,labels_ionosphere_DBSCAN_params46,labels_ionosphere_DBSCAN_params51,labels_ionosphere_DBSCAN_params52
cSIL,0.6222147603727841,0.996609281609655,0.9393910317159914,0.985942848440858
GD43,3.2053093036052553,25.16686079980972,1.9332837923254673,6.558448588168414
GD53,0.413739999282015,0.2324348359186489,0.09306143500964613,0.2410091169666577
PS,1.3383687222225316,0.9972353964778122,-7.164926262483048,0.8990243645311173
rCIP,1.9507385856926399e-13,3.5391307959846063e-16,6.65112236769284e-13,1.1818132593450683e-15
WB,6.373407046408829,0.046899481738504264,0.4315959148854789,0.19795419564284866
XB,0.6320734260901318,0.005042825161230906,0.1665904964316632,0.021724010781906816
SSE,0.28996146395416666,1.644446919220238,19.02179072593273,13.462410079523714
RS,-0.25781274477864435,0.9652586808217496,0.7739434494743785,0.8628898898494194
DH,0.5990496657132558,0.030776231305111996,0.009100347160203472,0.06397184456756158
B,1.280501872337847,0.005029798842145797,0.02247624794845144,0.017961811503235087
BH,0.1449807319770833,0.5481489730734127,1.5851492271610603,4.487470026507904
D,0.5170007319837694,4.268496467930952,0.5754557717074213,2.072355052225667
H,0.652212158043771,0.010158048601623984,0.714478842977901,0.04193285450647507
DBCV,0.27272727272665803,0.9753710535174464,0.4055942209036262,0.9459349302622122
I,0.01459487652647161,143.14179695061478,6.187649060747215,31.678245262409472
C,0.35290103894958075,0.0,0.007421938413133761,0.0
VIASCKDE,0.23344011520271168,0.25527818541480946,0.16732188699528844,0.11422583282301861
COP,0.3985481073788998,0.32365269717877376,0.3496228787287424,0.3753062062579054
Sym,0.48172733114956395,1.296533768940079,0.033844579760664656,0.16582422478882136
CS,1.4541468237875181,0.12056446806870356,0.4559021758023374,0.2541272076397748
SF,0.5332098955423188,0.8556868686228807,0.040716492886036626,0.618575316307613
SD,263.883965083236,5.527275391442615,9.051946792001933,22.148991449555325
SDbw,1.887510016336241,0.011728533098025963,inf,0.03894064312953949
XB*,0.763853419039738,0.00582166215626445,0.23960001651094315,0.024500078166331065
S,0.17313959126577808,0.9088911456526939,0.4676904463081619,0.8204543257590888
DB,1.3520380711135844,0.10475554841511808,0.4866578561971271,0.20893067047066527
CH,2.824235117721268,799.5823964343014,217.37504592247092,462.2281417317641
AD-S,0.35984321414819276,0.9431254387424133,0.5125312355497481,0.8803886001975557
AD-DB,1.187791365988042,0.10969910240988744,0.7639773439569121,0.2304398840369939
AD-CH,3.834287956940705,69.82529756078063,29.55483098147037,85.32848876647263
AD-idea,1.3159440109426659,1411.8228489237772,502.81729117845885,649.9098836463543
