,labels_flame_SpectralClustering_params1,labels_flame_SpectralClustering_params10,labels_flame_SpectralClustering_params11,labels_flame_SpectralClustering_params12,labels_flame_SpectralClustering_params13,labels_flame_SpectralClustering_params14,labels_flame_SpectralClustering_params15,labels_flame_SpectralClustering_params16,labels_flame_SpectralClustering_params17,labels_flame_SpectralClustering_params18,labels_flame_SpectralClustering_params19,labels_flame_SpectralClustering_params2,labels_flame_SpectralClustering_params20,labels_flame_SpectralClustering_params21,labels_flame_SpectralClustering_params22,labels_flame_SpectralClustering_params23,labels_flame_SpectralClustering_params24,labels_flame_SpectralClustering_params25,labels_flame_SpectralClustering_params26,labels_flame_SpectralClustering_params27,labels_flame_SpectralClustering_params28,labels_flame_SpectralClustering_params29,labels_flame_SpectralClustering_params3,labels_flame_SpectralClustering_params30,labels_flame_SpectralClustering_params31,labels_flame_SpectralClustering_params32,labels_flame_SpectralClustering_params33,labels_flame_SpectralClustering_params34,labels_flame_SpectralClustering_params35,labels_flame_SpectralClustering_params36,labels_flame_SpectralClustering_params37,labels_flame_SpectralClustering_params38,labels_flame_SpectralClustering_params39,labels_flame_SpectralClustering_params4,labels_flame_SpectralClustering_params40,labels_flame_SpectralClustering_params41,labels_flame_SpectralClustering_params42,labels_flame_SpectralClustering_params43,labels_flame_SpectralClustering_params44,labels_flame_SpectralClustering_params45,labels_flame_SpectralClustering_params46,labels_flame_SpectralClustering_params47,labels_flame_SpectralClustering_params48,labels_flame_SpectralClustering_params5,labels_flame_SpectralClustering_params6,labels_flame_SpectralClustering_params7,labels_flame_SpectralClustering_params8,labels_flame_SpectralClustering_params9
cSIL,0.6900918292214613,0.7202039425850173,0.7204393358529009,0.7202039425850173,0.8375623166417259,0.8315683369725062,0.8362977669193995,0.8321773762322646,0.8396379978286298,0.8349766633134438,0.8367628347846384,0.681309530137934,0.8316938451121653,0.8367628347846384,0.8316938451121653,0.8367628347846384,0.8316938451121653,0.8876397137729735,0.878535813260168,0.8863677525779755,0.8781700994593112,0.8800622644230487,0.7214944014669584,0.8698842362974396,0.8788409020361263,0.8651448867596652,0.8788409020361263,0.8651448867596652,0.8788409020361263,0.8651448867596652,0.8679285497610723,0.8614808711909834,0.8681477802388791,0.7271987916279701,0.8579528778851719,0.8561653042294713,0.8444612799617615,0.8473082696492442,0.8329767385445503,0.8473082696492442,0.8329767385445503,0.8473082696492442,0.8329767385445503,0.7275400245690181,0.7275400245690181,0.7204393358529009,0.7202039425850173,0.7204393358529009
GD43,1.0105698489490833,1.3362074894107738,1.356775426735068,1.3362074894107738,1.9418146433970875,1.9916007470683545,1.8125717487468844,1.8977539090896962,1.9217865888814945,1.9314129869142613,2.2438741893765193,0.9887439610145451,2.1822908044848597,2.2438741893765193,2.1822908044848597,2.2438741893765193,2.1822908044848597,2.9464988706381026,3.137510445140771,3.214897425606123,3.0516293541550406,3.0753279602967587,1.3875252740695059,2.9647842913381384,3.2030120574907066,3.248450106948597,3.2030120574907066,3.248450106948597,3.2030120574907066,3.248450106948597,2.4245340254011394,2.294686820177602,2.308015843679006,1.402778536355676,2.126028491971186,2.127608648001533,2.230731103967111,2.7729433886166075,2.43767527079907,2.7729433886166075,2.43767527079907,2.7729433886166075,2.43767527079907,1.4612133244644308,1.4612133244644308,1.356775426735068,1.3362074894107738,1.356775426735068
GD53,0.38300781601265826,0.44382447868497826,0.45062875013278114,0.44382447868497826,0.27156283719067953,0.3036991060061941,0.24520044403085306,0.27908442526364574,0.2606858647046334,0.2787438718157899,0.36901715075406416,0.38154808834127574,0.3766148536367204,0.36901715075406416,0.3766148536367204,0.36901715075406416,0.3766148536367204,0.19580173465087547,0.29536385663124803,0.24009942532145181,0.29287326973003985,0.2814217645808383,0.4614813527728855,0.34281408372347,0.3017191019813951,0.39627909737687494,0.3017191019813951,0.39627909737687494,0.3017191019813951,0.39627909737687494,0.12708334499229268,0.1532508796662233,0.1400044856940992,0.458692491829039,0.15846280448065855,0.17073951034942456,0.2530322381068839,0.348311077289835,0.3321152941468764,0.348311077289835,0.3321152941468764,0.348311077289835,0.3321152941468764,0.4765750727916871,0.4765750727916871,0.45062875013278114,0.44382447868497826,0.45062875013278114
PS,1.5018302606840699,1.9145882344176535,1.8833687222225315,1.9145882344176535,2.1486357399256133,2.367630663518571,1.986649110137861,2.2077514628761348,2.081632558922151,2.188586527333059,2.309267468877205,1.52181028066409,2.6572726482900775,2.309267468877205,2.6572726482900775,2.309267468877205,2.6572726482900775,1.955105221932245,2.262489840142735,2.1287036300219335,2.206528766611037,2.2072725232044283,1.9305818369766299,2.2111170672514957,2.2922451002334885,2.515028504872533,2.2922451002334885,2.515028504872533,2.2922451002334885,2.515028504872533,1.3676122445247085,1.3232855883143861,1.2667139461771169,1.8531325017500906,1.1965297006285522,1.220044833417799,1.2846196148670292,1.715230746582649,1.981870322826754,1.715230746582649,1.981870322826754,1.715230746582649,1.981870322826754,1.9145882344176535,1.9145882344176535,1.8833687222225315,1.9145882344176535,1.8833687222225315
rCIP,0.09278536278782314,0.044903428329574537,0.045133353053588295,0.044903428329574537,0.06858477360935089,0.07896275579076475,0.05924282445978908,0.0671467292064114,0.06383345836010584,0.06651023134520155,0.08982664761996632,0.100991896865777,0.09408829765567922,0.08982664761996632,0.09408829765567922,0.08982664761996632,0.09408829765567922,0.12649942874339645,0.16148961072970275,0.13633735309729925,0.17394626930267065,0.1585340513612502,0.03517830239908677,0.20562243403404343,0.15991339129348472,0.22795285363474793,0.15991339129348472,0.22795285363474793,0.15991339129348472,0.22795285363474793,0.4799345769209225,0.4705422837498709,0.4553745769615316,0.03157047820809628,0.4732084158902976,0.4914167891026684,0.45548134842859317,0.4412637939541539,0.5618305959956162,0.4412637939541539,0.5618305959956162,0.4412637939541539,0.5618305959956162,0.028093765813024002,0.028093765813024002,0.045133353053588295,0.044903428329574537,0.045133353053588295
WB,4.00019482595825,3.077275081266523,3.079463207748135,3.077275081266523,1.832824882040744,1.8126280065734668,1.9519328277461936,1.861292283452546,1.8354598059676326,1.831849099529828,1.750667724268165,4.077266551155973,1.7813534621966238,1.750667724268165,1.7813534621966238,1.750667724268165,1.7813534621966238,1.4082888922312737,1.269621087806495,1.3459305992864203,1.2641616180132713,1.2850463667076581,3.0823681210050715,1.2349192684383823,1.2644357101561663,1.2203879109699551,1.2644357101561663,1.2203879109699551,1.2644357101561663,1.2203879109699551,1.3892584645038126,1.330652459820466,1.3575158469343918,3.014987086450772,1.3224241224785698,1.318128813127317,1.2720477938081054,1.2983531860386033,1.3016860667133143,1.2983531860386033,1.3016860667133143,1.2983531860386033,1.3016860667133143,2.997978501609034,2.997978501609034,3.079463207748135,3.077275081266523,3.079463207748135
XB,0.45502216145275093,0.3844189730425914,0.3842646146821133,0.3844189730425914,0.2027819290385488,0.20563625199035113,0.21493477881074086,0.2119985432139327,0.20331973724939803,0.20750999670954237,0.20265349883336672,0.46874408162768855,0.21027539542995105,0.20265349883336672,0.21027539542995105,0.20265349883336672,0.21027539542995105,0.1528867459022483,0.15526618314327753,0.14861606305430058,0.15338342043624545,0.15291698357092673,0.3851889884547657,0.16456524534869713,0.15616269526698484,0.16486574529568587,0.15616269526698484,0.16486574529568587,0.15616269526698484,0.16486574529568587,0.24316760117501035,0.2624212555112409,0.23842318485864286,0.3755909694240888,0.2752438194506996,0.2802066213673906,0.30309370633662364,0.24241564213284045,0.2605826466145245,0.24241564213284045,0.2605826466145245,0.24241564213284045,0.2605826466145245,0.374513095630691,0.374513095630691,0.3842646146821133,0.3844189730425914,0.3842646146821133
SSE,75.76372040757653,68.87809506743622,68.8973791688321,68.87809506743622,43.09882344090114,42.80277171948013,44.795627468857646,43.51192971288559,43.13726455807516,43.084577033343784,41.878832943686646,76.24411370569818,42.33940525089092,41.878832943686646,42.33940525089092,41.878832943686646,42.33940525089092,29.592208130640742,27.380428463803863,28.611778311060775,27.290964660487077,27.632202143601717,68.92295470388333,26.808596588441507,27.29546060598576,26.56688419705507,27.29546060598576,26.56688419705507,27.29546060598576,26.56688419705507,24.710304413177212,23.88700332087486,24.26626621279423,68.32208925168892,23.77018915946081,23.709089632067183,23.048335713257508,23.42671200593886,23.47442662886877,23.42671200593886,23.47442662886877,23.42671200593886,23.47442662886877,68.16785548157885,68.16785548157885,68.8973791688321,68.87809506743622,68.8973791688321
RS,-0.15880563887430696,-0.215917954539002,-0.21782897928713055,-0.215917954539002,-0.06110164541616573,-0.09637995601833194,-0.042331644588302395,-0.07786554619643607,-0.04602732185765869,-0.06871742159525332,-0.0769194125448424,-0.17712055060067988,-0.11625501928785902,-0.0769194125448424,-0.11625501928785902,-0.0769194125448424,-0.11625501928785902,0.13789191533301046,0.11529345387666912,0.13089617106830137,0.11169796104631355,0.11263578677762676,-0.21124932963492357,0.096012321926986,0.11704061505185138,0.07637090223119238,0.11704061505185138,0.07637090223119238,0.11704061505185138,0.07637090223119238,0.13021521865310504,0.1328697010445625,0.13994385599016454,-0.19568308369120108,0.13208643671567563,0.13089632748398453,0.08856685205910685,0.010737218223469376,-0.029139944096550862,0.010737218223469376,-0.029139944096550862,0.010737218223469376,-0.029139944096550862,-0.19816444804613326,-0.19816444804613326,-0.21782897928713055,-0.215917954539002,-0.21782897928713055
DH,0.5887549819812936,0.6033002334014431,0.6033472853227013,0.6033002334014431,0.46773979696780926,0.4791223401201453,0.45760423295065894,0.47136969767712644,0.4631129914557723,0.46968387926922917,0.47817172232503663,0.5958361807182756,0.48728718500500195,0.47817172232503663,0.48728718500500195,0.47817172232503663,0.48728718500500195,0.36671498097586175,0.38067519508688624,0.37159307844724715,0.38250915143107894,0.3804295522689356,0.6035937425420465,0.38955493047264883,0.38116585288627824,0.39886892820458925,0.38116585288627824,0.39886892820458925,0.38116585288627824,0.39886892820458925,0.3345656336858826,0.3381243176163982,0.33534503259754134,0.5976147287731918,0.3407775973386212,0.342021658594251,0.3514053257787449,0.3659371725531919,0.38228045802152477,0.3659371725531919,0.38228045802152477,0.3659371725531919,0.38228045802152477,0.5983586808317256,0.5983586808317256,0.6033472853227013,0.6033002334014431,0.6033472853227013
