,labels_a2_DBSCAN_params13,labels_a2_DBSCAN_params14,labels_a2_DBSCAN_params15,labels_a2_DBSCAN_params16,labels_a2_DBSCAN_params17,labels_a2_DBSCAN_params18,labels_a2_DBSCAN_params19,labels_a2_DBSCAN_params20,labels_a2_DBSCAN_params23,labels_a2_DBSCAN_params24,labels_a2_DBSCAN_params5,labels_a2_DBSCAN_params9
cSIL,0.8563710714883325,0.8697127806854587,0.9651761576371163,0.9998644285406451,0.8175081189409164,0.8855731976172206,0.8954603679519558,0.9131980977795287,0.762363293322172,0.762363293322172,0.9999064796922328,0.9499657605103453
GD43,3.2681404033514796,8.89481183617724,23.84385350720117,2639.600404775823,0.6826347386804715,2.340871198663012,2.0423597828922193,4.556205740811057,1.0175855293243323,1.0175855293243323,8817.20800302307,40.220446983472996
GD53,0.004169635464748618,0.024185332008162776,0.10359528466610689,0.462528816783119,0.014707895313602469,0.040463574379733566,0.0369861066381285,0.07739517384263801,0.4512980963817322,0.4512980963817322,0.31595605073243044,0.03147051297344782
PS,-67.67969385953383,-49.13359725520087,-15.009344027272865,1.9633687222225316,-4.548612622880949,-7.854150785642212,-10.916194878332682,-13.036815054603462,1.0921582298552988,1.0921582298552988,1.3274059452191689,-75.7837097997329
rCIP,933.9716147873968,503.7354751185818,34.725551175137255,0.0,1.1886586926968048,1.3906783315800109,1.7340640560973095,1.64272818930628,0.04493672260533026,0.04493672260533026,0.0,731.6000448131381
WB,0.4321764577298623,0.132863891211783,0.019426292194660057,0.0010847177663139871,1.9314351669486038,0.84514356421809,0.7937407642732215,0.5027765712766965,8.181123658794638,8.181123658794638,0.0001229945944464782,0.0159056281660883
XB,4.011258496668648,0.9161617500037258,0.2705441066141359,0.0001355897207892484,1.2490807979010967,0.33739802818962267,0.3916347931888701,0.21449333333049936,0.4134638236026351,0.4134638236026351,0.00020475953127730405,0.25972026819660976
SSE,10.168477891603597,2.3019159267660014,0.2420254999778617,0.009058044367497266,460.22139498345496,123.33301121321719,99.97499314326606,51.57230195346018,2497.5083291529986,2497.5083291529986,0.0003014592700424429,0.06575349847322434
RS,0.8087905919302638,0.9187149638276167,0.984228414411084,0.9989158702211022,0.14458644005974358,0.47628283188390125,0.5430923221993986,0.6402836797278982,-0.02051573940139729,-0.02051573940139729,0.9998770518023216,0.986962712139428
DH,0.00034714966517096886,0.00039007811318019826,0.0007927915650928042,0.014557645069961867,0.020409249041888615,0.006753418117947828,0.005193248443603716,0.003713459894542064,0.5005219216556395,0.5005219216556395,0.0007267812477839294,7.488344471347886e-05
B,0.004273901403250553,0.001875823329656374,0.000717241214573983,0.0002854520437668387,0.1277059102538816,0.03491685294331686,0.03005196519440657,0.01683234379353535,0.5184232638415734,0.5184232638415734,2.1328601683765484e-05,0.0001466014924526537
BH,0.10067799892676825,0.029511742650846166,0.008345706895788335,0.004529022183748634,41.838308634859544,6.16665056066086,4.346738832315916,1.841867926909292,1248.754164576499,1248.754164576499,5.024321167374047e-05,0.0005345812884001979
D,0.10602210106988565,0.15367034569745672,0.3041211785351688,32.097247790799436,0.09886178650411875,0.16852708767786442,0.16369479683981694,0.21830298067818293,0.2770752077032399,0.2770752077032399,25.960395596208834,0.2757907690313159
H,11.604543188190826,8.910990507585714,0.98317693511707,0.00027114243619257705,1.709177209503608,2.060496232501899,2.156435671961509,2.296414133411012,0.37697369669556163,0.37697369669556163,0.0005611207749841983,5.930746775850972
DBCV,0.23978486597677048,0.4386134020030841,0.8019683368911,0.9999103461863713,-0.05240560484112236,0.3429018131321617,0.40829093043749787,0.33951129541218955,-0.6653440429758034,-0.6653440429758034,0.9999027730408329,0.8514449221660235
I,0.14677542129861493,0.6118162812339717,8.868193503915181,876.5573527692338,0.3101406640365701,0.38725822905812596,0.37577708200799503,0.45488522461483144,0.37950089852700675,0.37950089852700675,3569.3232127429806,3.344558956133925
C,0.003985295765599494,0.003522959089600385,0.0009224935659086764,1.834245329908753e-18,0.0969936975210655,0.025028616133344873,0.025025200927614268,0.013162076314945753,0.3025696239384056,0.3025696239384056,0.0,0.0005179973519978815
CDbw,0.0,7.7295667898629805,14.337098703277938,48.59568842925699,0.5382365472990613,0.14776770888349688,0.19964264903532958,0.23817589161201105,0.08752534840462595,0.08752534840462595,392.25731629487467,21.998269486760044
VIASCKDE,,0.5413136844139247,0.5600257411120066,0.4488789139654868,0.7589741614848342,0.7264629645274592,0.7113164036047981,0.6891258364288646,0.8186845949872096,0.8186845949872096,0.5704395791467742,0.45878876662991164
COP,0.07356458330334026,0.07016853186839955,0.05877884999115071,0.2554313859686702,0.22548707949218025,0.15205118713997684,0.14122386715602522,0.11438025511674146,0.3630778956728252,0.3630778956728252,0.09326153170281512,0.09551265388898622
Sym,0.01195178044121778,0.05572268303297741,0.9726732971431106,216.620596663625,0.0028619487217036023,0.00730997269260396,0.006692314417114827,0.011555221452563862,0.002390042581511501,0.002390042581511501,1234.7755410475181,0.6037402652552748
CS,0.7841915203064617,0.644024625383392,0.21417130193830725,0.025187669412273118,1.12087731766282,0.8775697711296784,0.8338456479989904,0.771395140178414,1.1723502555071674,1.1723502555071674,0.014570886569841152,0.37968017705001667
SF,0.07597591005851445,0.18324436321651916,0.4785559789882816,0.6981675681786308,0.1504412529664897,0.12285021171975452,0.12530678072846602,0.118402556330225,0.341557707854069,0.341557707854069,0.6549059641990069,0.3520258576318094
SD,503445.6090439317,268324.8751942336,29488.035129339532,907.9928151735878,23482927.384547494,7514858.732313536,5556181.310599905,3567412.1809526137,139636692.7793415,139636692.7793415,118.62089494470524,45190.890473192834
SDbw,0.023093003615267237,0.026724498436175876,0.018274801802464234,0.0005513092288640011,0.3957807798094674,0.14312997723874837,0.11790372971820037,0.07010768412647111,1.511611245543008,1.511611245543008,2.0688723381835626e-05,0.01474927192976208
