,labels_ring_outliers_MeanShift_params1,labels_ring_outliers_MeanShift_params10,labels_ring_outliers_MeanShift_params11,labels_ring_outliers_MeanShift_params12,labels_ring_outliers_MeanShift_params13,labels_ring_outliers_MeanShift_params14,labels_ring_outliers_MeanShift_params15,labels_ring_outliers_MeanShift_params16,labels_ring_outliers_MeanShift_params17,labels_ring_outliers_MeanShift_params18,labels_ring_outliers_MeanShift_params19,labels_ring_outliers_MeanShift_params2,labels_ring_outliers_MeanShift_params20,labels_ring_outliers_MeanShift_params21,labels_ring_outliers_MeanShift_params22,labels_ring_outliers_MeanShift_params23,labels_ring_outliers_MeanShift_params24,labels_ring_outliers_MeanShift_params25,labels_ring_outliers_MeanShift_params26,labels_ring_outliers_MeanShift_params27,labels_ring_outliers_MeanShift_params28,labels_ring_outliers_MeanShift_params29,labels_ring_outliers_MeanShift_params3,labels_ring_outliers_MeanShift_params30,labels_ring_outliers_MeanShift_params31,labels_ring_outliers_MeanShift_params32,labels_ring_outliers_MeanShift_params4,labels_ring_outliers_MeanShift_params5,labels_ring_outliers_MeanShift_params6,labels_ring_outliers_MeanShift_params7,labels_ring_outliers_MeanShift_params8,labels_ring_outliers_MeanShift_params9
cSIL,0.9095294863175071,0.9191485557012605,0.9262191314475262,0.923397032896699,0.9053291030013678,0.9112175969189842,0.9255600850435521,0.9191485557012605,0.9238647033255855,0.9177975832565461,0.9273740044225416,0.9032038477277531,0.9262063729175908,0.9190344464086189,0.9204974430710247,0.9121539382643307,0.9247004676192775,0.9185884281047351,0.9246221602634233,0.9150266954746866,0.9146526003925894,0.8995904031406979,0.9085405869673534,0.8973074141216785,0.9141102082919811,0.9133899980252163,0.9098474170888352,0.92771257029082,0.9248368984148241,0.9053291030013678,0.9112175969189842,0.9255600850435521
GD43,7.962894282692556,5.231955772479851,4.393426358655455,5.248705044847881,5.463309695334991,8.942825713286158,4.713640776907116,5.231955772479851,5.369765427797119,4.5821863876318485,5.484000519660494,13.389883841415772,5.434560216615754,3.511638862677056,3.8292026772681296,3.7480205054265356,4.5187434597672445,4.23541642803459,4.898547807386143,4.742962692258902,3.992729819266569,3.3303205885827207,7.092243821309843,2.8969476704380224,4.525515073188066,4.2496408755441,5.665694820193504,4.635420086384151,4.526202802611878,5.463309695334991,8.942825713286158,4.713640776907116
GD53,0.019351941355549712,0.006347172343205388,0.004985756305298422,0.00626644404697057,0.01086353225230524,0.017352097719113956,0.004985756305298422,0.006347172343205388,0.004701901954556011,0.004576148724082549,0.005800588433278464,0.042609874909868416,0.006347172343205388,0.00309849254365394,0.003414294463601529,0.17478399741962602,0.0041659083657815815,0.17491158008435795,0.004513488296789491,0.21711309349057584,0.14195996106597428,0.15674425094609315,0.011813779988177345,0.132674797588782,0.18604669018147454,0.20551448697757727,0.011813779988177345,0.006347172343205388,0.006347172343205388,0.01086353225230524,0.017352097719113956,0.004985756305298422
PS,-25.10510015700156,-11.695548157174647,-9.191746457756066,-10.381769896530624,-15.23262842782168,-19.21726134232381,-9.21761324741823,-11.695548157174647,-7.045931802111298,-8.29293795465032,-9.169779969295677,-29.997968012219008,-11.457231975216391,-5.981986187307136,-7.150321027422939,-2.7924151391226193,-8.179737060279951,-3.703381173901539,-8.100286890634251,-2.6830853682514575,-3.8855518506373703,-1.9497817517551055,-15.24433718659297,-1.9492499167079405,-2.72805303745302,-2.7571056599696,-21.575949355676414,-13.641052630979358,-13.677171549870895,-15.23262842782168,-19.21726134232381,-9.21761324741823
rCIP,100.18418695794716,13.209600030723287,7.407161975127,10.255377616219622,36.78371719612494,60.023111340468574,7.509818945515548,13.209600030723287,3.5755139265716385,5.807906272504761,7.06510905174728,205.46066557208317,13.28919879839233,2.255808302232989,4.468086750489544,0.8914967318028884,6.557122653765543,1.5450116137860495,6.024049030790545,0.846349206970173,1.7366708758782559,0.425268475191762,31.750979293663452,0.43715462059209587,0.8288373742961282,0.8624235446874822,82.09995018104368,19.827880313214564,20.799545080908803,36.78371719612494,60.023111340468574,7.509818945515548
WB,0.42858933801163623,0.9580149585113362,0.9775005644193135,0.9690615515573711,0.6774781042433697,0.5052755836501417,0.9727654276438725,0.9580149585113362,0.9143241002804718,0.9324952552819479,0.9503180602880894,0.28846624339974736,0.9508225541176657,0.9903169357540944,0.9627315540572081,1.0006024996748057,0.9212049540707106,0.9486274720408694,0.9150418230733455,0.9875595905791146,0.9587402507464957,1.1184452961336213,0.6581468818923029,1.1493677809201057,0.9952623828180182,0.9994711467574162,0.6983079329466163,0.9676427084754459,0.970233128311457,0.6774781042433697,0.5052755836501417,0.9727654276438725
XB,0.20428844312174896,0.21181646793405204,0.2125577157476937,0.21960632367614852,0.31867228252555274,0.18658642977231946,0.18381902181330811,0.21181646793405204,0.1359214091484246,0.16802825295563517,0.179829970261983,0.18636024452659028,0.19492170400791425,0.16012125442771846,0.14788814620099466,0.11232115210425755,0.1415629909848775,0.10651197706113605,0.14051403844251426,0.09367087206124415,0.11695008292710676,0.12283811115188281,0.2174313635888864,0.1191218755399909,0.09943172842788954,0.10568215808787783,0.2854140797057045,0.24512292114088954,0.2577500955768984,0.31867228252555274,0.18658642977231946,0.18381902181330811
SSE,5.876122539971556,24.450148001710428,28.039851312320458,26.1734558406544,13.692036190415081,8.419374793971624,27.91229488021953,24.450148001710428,30.1165752156631,28.620800494805938,27.306570934489546,3.1263715929571507,24.276308740651125,34.93992674976209,31.60111082511325,45.856715931731365,28.29566467779332,39.7103348822582,28.117972383741755,45.31807548833717,40.096628668746604,56.216199455639746,13.31269466696622,57.57520121864765,45.63635203845818,45.810049462389514,11.152140072268015,22.21036841476083,22.266937786733102,13.692036190415081,8.419374793971624,27.91229488021953
RS,0.6979936957638775,0.4554063000768736,0.3768957765913575,0.4070942112002781,0.5582157063769444,0.632688816444399,0.37724195904105984,0.4554063000768736,0.3158416494016416,0.3452541281375719,0.3889145919074012,0.7428937574359465,0.4562624796256915,0.23014065288191674,0.29347396399060927,0.053192258523978395,0.3599468428188221,0.14202275840917028,0.35635249487095366,0.05172825090398458,0.14163840229069344,-0.07968967223112654,0.5718743456027087,-0.09599898126851021,0.05749389126185029,0.05624409258595368,0.6436388809140235,0.5315650289832863,0.5162692296574782,0.5582157063769444,0.632688816444399,0.37724195904105984
DH,0.07125761713559327,0.11670519875570386,0.1302676401427212,0.12421993557565983,0.09820112847723464,0.08457643651574447,0.13037576442721205,0.11670519875570386,0.15104056398752405,0.14284123900809884,0.13023732079299552,0.06067172914363071,0.11768105141843481,0.16245129981401094,0.15179741996243307,0.21502919747571345,0.14185250023058055,0.19701353634555,0.14253685107616498,0.21658158208066247,0.1967243356694538,0.23945094962716523,0.09713584749416357,0.2395517141343289,0.21572043983032033,0.21530033410073074,0.08046463143552861,0.10482823275841652,0.10671050565783662,0.09820112847723464,0.08457643651574447,0.13037576442721205
