,labels_s2_DBSCAN_params1,labels_s2_DBSCAN_params10,labels_s2_DBSCAN_params11,labels_s2_DBSCAN_params12,labels_s2_DBSCAN_params13,labels_s2_DBSCAN_params14,labels_s2_DBSCAN_params15,labels_s2_DBSCAN_params16,labels_s2_DBSCAN_params17,labels_s2_DBSCAN_params18,labels_s2_DBSCAN_params19,labels_s2_DBSCAN_params20,labels_s2_DBSCAN_params24,labels_s2_DBSCAN_params5,labels_s2_DBSCAN_params6,labels_s2_DBSCAN_params7,labels_s2_DBSCAN_params8,labels_s2_DBSCAN_params9
cSIL,0.9999977667451744,0.970032693459463,0.9812756650567345,0.9994047465560719,0.899367593969742,0.9466072820641134,0.9859144837175062,0.9955959802771105,0.7788834764700527,0.9287086311557124,0.9371634894367776,0.8506984672814775,0.6871296340840078,0.9055184198254344,0.9998459902039007,0.999916549060581,0.9999026398674067,0.9118884577703519
GD43,325836.7942641615,24.646289722913025,62.52434539514226,844.153234083386,3.1260071380970613,17.400914316256596,29.885348642354824,164.63866558898513,0.11943069159342096,2.7163784823437855,2.7549556433125844,1.4019573293780099,0.9443303606936997,58.05392567499435,3074.294902276684,6826.929687942451,8586.82287658398,8.65803634615864
GD53,0.3590583709635799,0.03259461885774929,0.07832027209643207,0.1690810672742551,0.004210506081848383,0.047386129832536816,0.15555629330470225,0.22154132738577398,0.0007881793407991713,0.03726572438509912,0.031618417086176506,0.0606222129905905,0.46987755378565255,0.028564109211024924,0.09995412739645805,0.148508832279324,0.36049788712919606,0.00969215525438215
PS,1.338438391132119,-10.616310840534569,-5.88431171868467,-2.703911502982232,-60.358989961099596,-6.731975107019288,-3.7352126162219315,-3.4695950446401818,-8.488105279066026,-2.8567805295119846,-4.660565116018317,-3.2972284578053785,1.029521580282904,-39.609370089412145,-2.111317740360608,-0.2683968626982165,1.579039590808739,-76.98311628830203
rCIP,0.0,23.971976612975862,76.57380383609483,4.560612271347159e-242,174.1176210767646,9.79953143005431,0.013453851264976011,1.2913629401651367e-26,19.793327119784063,0.4084330736433164,0.37677440724458605,5.9714271678534505,0.09202709778003343,3216.2979012961014,0.0,0.0,0.0,791.9781039502883
WB,7.962749401277222e-06,0.01233366665680042,0.00528408362044377,0.0029402405030104976,0.4315641035243243,0.0695171082485997,0.03795672577754448,0.023722872552052684,10.8041719550709,0.7288722358772235,0.5521867009458652,0.30730494052610574,20.207959851978348,0.004912476680440471,0.0008359433199536838,0.00042464040455178476,0.0003839500547980358,0.07930241997008469
XB,3.153933012725641e-06,0.2891218013442177,0.13550946924998908,0.0009805056704382314,3.608708554877166,0.302646661639839,0.15075814330658577,0.006883552697571029,38.52201110447332,0.22618448258947194,0.16872180841296353,1.264838943851654,0.5880335914903504,0.4629490606359607,0.0002730391040497055,0.00011313152151507429,0.000117228113015043,1.1841487103644495
SSE,2.0882540975261977e-05,0.2626836801716277,0.10115652537930733,0.06661525956554876,9.144876259301126,3.881695626814892,2.0472922052314613,1.1431569743913907,1067.7621457956184,120.66583752658053,75.26377593952955,37.42898566880294,2096.759887698653,0.02832815126669536,0.01003664501465689,0.0044118047872262,0.0018941181887962186,0.737032568645777
RS,0.9999920401375938,0.9924784346790939,0.995868083669402,0.9974850488887523,0.8712262551714848,0.9438682012173986,0.9657910414610774,0.9780514584584128,0.10913912657522443,0.5472716480484461,0.6800957126696494,0.7591672098565416,0.0035832199575944494,0.9974431937218082,0.9993238283028265,0.9996233967327487,0.999641625759568,0.9748497988482361
DH,0.00017677813705058499,0.0009344987039185009,0.0008901934518380748,0.0011108146744525926,0.0004426526788263753,0.0027383747609325128,0.00277494056969653,0.002456121329248838,0.0116777765619805,0.013844727369175287,0.009726597137137128,0.0077330915120825796,0.48127998724327153,0.00012677367508684198,0.0005519749777959943,0.0006751990877900217,0.0044235616820044905,0.00016014407631009938
B,1.1695564476073083e-06,0.000583885182016864,0.00030410763188166295,0.00020266563664128067,0.005986319105826254,0.0036253934099209476,0.0022340629482294947,0.0014465242305749411,0.3224492937660585,0.05151256830621041,0.03792641375106196,0.019250028012019887,0.665762185449277,0.0001058931501823825,5.569936781064189e-05,3.958069780774174e-05,0.00010317639664047553,0.0008999635983835088
BH,3.4804234958769963e-06,0.013825456851138306,0.005950383845841607,0.005551271630462397,0.12357940890947464,0.20429976983236275,0.12795576282696633,0.07621046495942606,88.98017881630152,10.055486460548378,5.3759839956806825,2.4952657112535293,1048.3799438493268,0.0005665630253339071,0.0008363870845547409,0.0004902005319140224,0.0006313727295987394,0.008570146147043918
D,161.81145906964028,0.26260229006448677,0.39088222770501446,6.024495821902231,0.10128958056020841,0.3001279621071987,0.4423357273144359,2.2166563846881404,0.03090071904323239,0.18996438718217823,0.1488192182258621,0.06085623353824258,0.2853170837953974,0.17730437155521625,13.041958473344804,23.34391507796348,25.251143722193525,0.12180654166797776
H,1.339952850149175e-05,0.5500915293038592,0.2879727912597649,0.0071425694889405335,6.322592049668961,0.9167368936526391,0.2206740737812347,0.06604588083047686,1.7576068207950117,0.8194902601432575,0.8029612097929926,1.4034170624978441,0.4027527027563009,4.218913798644823,0.0018480559390654954,0.0007510559174128818,0.0002920709779851101,6.871653079795095
DBCV,0.9999956959801286,0.8935804248906792,0.7755171041241918,0.9995708534085587,-0.07075191581847909,0.7575374536948254,0.951174424839659,0.9950148078525795,-0.6307183981404478,0.12318859639646307,0.27273065989630657,0.49783653036964093,-0.60110806825084,0.4457451208683484,0.999863836710493,0.9999277175587916,0.9998987349195003,0.19145118816157852
I,52585.01807906165,18.517547517661693,45.217914936067295,117.442960220656,0.16236723153572713,3.0861592417795145,6.7431764832056995,11.34997102998162,0.06734477584012591,0.581682053886232,0.6847389497577218,1.0109101285776327,0.20816746229476046,17.889846379531903,409.10289669687796,798.3314218814236,719.0595696801706,0.7464269909887531
C,0.0,0.000790774927960004,0.0004327620329342795,0.0,0.0038554715760938255,0.0008921960167469433,0.00024587972092457265,0.0,0.24440114464565485,0.03290858334617429,0.023157625730560703,0.007413973494160486,0.39439927655085416,0.0008024728399404305,0.0,0.0,0.0,0.0026492758624311863
CDbw,3009.2916435684124,27.165985260582392,27.50101356847005,20.625471402341002,0.0,5.547547682847808,4.944196254282879,4.836182169075089,3.4962277137754065,0.31751054129385065,0.6376519364415313,0.8773745967836252,0.04661464643968172,119.09332438164405,73.5133803898242,82.86572577809685,69.27897287061565,27.030123897929684
VIASCKDE,0.6508790742733876,0.7208857618242165,0.6868404682964575,0.7216580819149706,,0.7393308872803335,0.7380395800619237,0.7236673038918154,0.6748029013626939,0.7147256237197596,0.7134951111693001,0.7140302325681014,0.7148341313918471,0.5653437929053903,0.7025557865796479,0.6608095114421473,0.6438578513585582,0.5957985986466242
COP,0.0822349258504892,0.036682585761839005,0.03401373216313029,0.03361420268966841,0.08165143571779837,0.07470267532682472,0.06547226406568316,0.05319095565230396,0.2805686508335653,0.14276438213158538,0.12429328953286363,0.10554289324053662,0.3097616389135749,0.050364608225925624,0.02914708235621573,0.03540410055493507,0.12010287861754732,0.05315542767054214
Sym,20425.467318295654,1.6723469455141344,4.136546316410566,8.759715700819354,0.01678163959990854,0.14550962061286965,0.30925149683024894,0.5799434020841374,0.0017665972520917099,0.012922414283893483,0.012726825740380497,0.031154924823199533,0.0023500253121711626,3.637406963207556,50.73367072130321,124.04296270154767,501.97082614230226,0.1320458112591255
CS,0.002891652827628562,0.12801411503108837,0.07558078683210798,0.06009752945727084,0.6527809248634707,0.3567036435342654,0.23037504036820658,0.16834558309581993,0.9825331378417324,0.7755772441952185,0.6695648461549923,0.6330142353131138,1.1997369964477749,0.41269110629537586,0.028907346969387293,0.021124117064642622,0.023125461082922814,0.5871318562434207
SF,0.6548187447907368,0.5674640768053971,0.5871394578382299,0.609330724650972,0.20491236682836267,0.43935451331596886,0.49284437095053935,0.5246540720663353,0.2600545432128277,0.266474045545918,0.2943961203955121,0.30800778235638915,0.39220230785886345,0.5659059358913558,0.626824981930775,0.636756959069859,0.6467528913735093,0.3785059110131339
SD,2211.8744763824757,818827.5600407082,479397.4227957968,373980.5993986742,3653873.928388586,6277437.996805282,4428802.065785181,2864367.0113072656,181767383.30679488,98389654.13602515,53081012.31431639,34763251.76543696,1167993577.7425778,158069.37173588434,104278.43416828377,63316.92975202963,129468.58832178722,629403.3535256152
SDbw,1.4383308186705412e-06,0.028636683035255437,0.02896822993814052,0.00021381610883460154,0.028894528909923348,0.025664135469271303,0.01137691374368274,0.0014898468223307495,0.3105348251609784,0.17802047297174983,0.10275949263340406,0.05663221880046364,1.469835097981325,0.09979230407058545,5.8082381473731907e-05,4.278358393432818e-05,0.00010843501932378364,0.039544901335226326
XB*,3.771676510624634e-06,0.6747227601655694,0.2575011669915221,0.0017733544724345767,5.948548926884764,0.3969728884204623,0.2022750917471804,0.009572679630977913,55.66334654646795,0.5430230968489942,0.5691566574148221,4.205655683665754,0.6257306682908691,0.9152398529418541,0.0004917136463091881,0.00017978861038694786,0.00014267100376011362,3.155246096052816
S,0.9979925876568757,0.8557295533194574,0.8554906585523216,0.967660788803407,0.2701743034184322,0.7296982239820815,0.8700864473713849,0.9142204529953164,-0.14917819029881363,0.5916604095290653,0.6130791526865855,0.6345261979444623,0.15986710920891375,0.4861104227402378,0.9830912332562197,0.9877632538961114,0.987092139324925,0.38417062143447095
DB,0.0025312026768398617,0.23050302067727313,0.14793357114000177,0.042096967414296214,0.5510819771495116,0.3320519108865048,0.1794695606572045,0.11525613402331708,0.7656248056933531,0.5172149655477529,0.4057262064423677,0.6140300692297813,0.848721951709037,0.5236600312778453,0.021836459598709515,0.01607200191730143,0.01642128641794258,0.5275425401825775
CH,5123858.348908444,84385.10677633107,152214.1884523114,221503.21601443566,8059.057673233866,36882.207977862636,55333.18861526255,73843.7434354524,493.5467205203921,6931.255920209033,8528.609268056802,14294.782034211936,492.6771466752154,133147.0203731153,422821.18538147886,598741.8937874394,367235.26468610193,22607.721927021223
AD-S,0.999043700850239,0.8983446930127152,0.8546469969707436,0.9909535380952402,0.46556642321244407,0.8254547326489236,0.9482635012007478,0.979489229771497,0.3962586462407071,0.5889649705221432,0.7214267933837112,0.7558799795191121,0.33213407680268775,0.4931060511273979,0.9944385061310852,0.9957818201357196,0.9955571049445537,0.4779869055000672
AD-DB,0.0018607997110538517,0.34692704675117625,0.31344902802334584,0.018276607593531148,0.992359452241944,0.47986587581153833,0.1533726267209885,0.04403742143771911,1.1051301049038191,0.8815701618567745,0.5064818159017948,0.5333202035999369,1.0069374248571632,0.9043225293183926,0.011361319725827183,0.008265606811368668,0.008903087023287756,0.9014502030850288
AD-CH,7846.536926832143,5149.676380222068,5684.998709943896,6494.549099184825,1017.8877016730409,4793.291872478235,6694.292797160607,6520.884887429857,505.1681307349321,1478.02014237661,2230.73478291443,2725.514355983472,2624.044278903896,1938.319671498659,5757.2442392166595,6618.652579912208,8546.59022454215,2516.0898204614195
AD-idea,1.2029525864601219e+18,2.879549118916717e+24,3.271273709428378e+28,3.929744583172355e+24,1130139463497983.2,3.4673380916856586e+18,7.4633332913276444e+22,1.4098715291123367e+25,255.9349883194779,1711207.2317885421,17393211157.579117,1470426585604.502,4.518654170577885,2759110831734825.0,1.517643781683315e+27,3.454626910820825e+21,11011003.80079238,8.034660924492967e+20
