,labels_ring_MeanShift_params1,labels_ring_MeanShift_params10,labels_ring_MeanShift_params11,labels_ring_MeanShift_params12,labels_ring_MeanShift_params13,labels_ring_MeanShift_params14,labels_ring_MeanShift_params15,labels_ring_MeanShift_params16,labels_ring_MeanShift_params17,labels_ring_MeanShift_params18,labels_ring_MeanShift_params19,labels_ring_MeanShift_params2,labels_ring_MeanShift_params20,labels_ring_MeanShift_params21,labels_ring_MeanShift_params22,labels_ring_MeanShift_params23,labels_ring_MeanShift_params24,labels_ring_MeanShift_params3,labels_ring_MeanShift_params4,labels_ring_MeanShift_params5,labels_ring_MeanShift_params6,labels_ring_MeanShift_params7,labels_ring_MeanShift_params8,labels_ring_MeanShift_params9
cSIL,0.8899003634104565,0.9141732488124934,0.9108269844497843,0.913764833711609,0.9145008262806325,0.9163262458234744,0.9137643873848046,0.9141732488124934,0.9090064767428232,0.9141030769905987,0.9088838819421983,0.9016317410054787,0.914367396532507,0.8967096159310658,0.914463242439605,0.9116679544826054,0.914463242439605,0.9094795339728976,0.9135208512182643,0.9156724289566935,0.9154172364995096,0.9145008262806325,0.9163262458234744,0.9137643873848046
GD43,4.718859795775703,5.463670929356772,3.545852404692346,4.569947051122432,5.027003250654256,5.386403994094859,4.332628466259115,5.463670929356772,3.271558938957739,4.024754949633282,2.962143770039493,8.682635497951381,4.102743470711032,2.544893941213178,4.669456985905458,4.666241364316434,4.669456985905458,4.245506862106236,3.549399484195364,5.15118540207162,5.226232379926834,5.027003250654256,5.386403994094859,4.332628466259115
GD53,0.09913698141562036,0.23795009976157785,0.19333146005980217,0.21899847153520563,0.1810469470567198,0.1850122658907893,0.2362290619231831,0.23795009976157785,0.18180182167977738,0.1908516227136868,0.16270522144039337,0.16945514890041924,0.2251403191124221,0.1370060673693168,0.2531535695177214,0.25121022466510623,0.2531535695177214,0.1108836418994367,0.08272905141911553,0.17454043560375015,0.16774401549172463,0.1810469470567198,0.1850122658907893,0.2362290619231831
PS,-14.947421198122118,-5.13354983312252,-1.535500503516298,-3.899742991873297,-7.527886571865787,-8.642687736949338,-1.4787478293328222,-5.13354983312252,-1.587968571929236,-3.9296680278844645,-1.6253672979786784,-16.251736929164906,-2.6797827402094754,-0.6832154233328571,-1.451224234977397,-1.5166973417561216,-1.451224234977397,-11.079821824072855,-15.443553576773718,-7.521003150897018,-8.671999079318995,-7.527886571865787,-8.642687736949338,-1.4787478293328222
rCIP,40.278531336860055,3.988809475713954,0.9223190656116516,2.729558968142922,7.790280356487711,10.719211945912717,0.859971352516705,3.988809475713954,0.9361781337111706,2.672706122538348,0.9576986034958159,52.91538123901736,1.6171050779247997,0.4913135695399738,0.8570685179765694,0.8428727523391906,0.8570685179765694,17.289865620602868,36.78118311256408,7.589320890408814,10.467009187105813,7.790280356487711,10.719211945912717,0.859971352516705
WB,0.7212129579859906,0.8615786427301539,0.9634942816867874,0.8819929861344857,0.8646951923086339,0.8764022158054195,0.9362786976596184,0.8615786427301539,0.9754456649293357,0.8927070824016546,0.9968618356165131,0.5146075552050726,0.9002431082438063,1.0866527520016267,0.9302459877770959,0.9375417302340155,0.9302459877770959,0.9397484114681813,1.0270527911774607,0.870372389792069,0.8790115203554303,0.8646951923086339,0.8764022158054195,0.9362786976596184
XB,0.33223480002820766,0.14456163709826664,0.10516984957925561,0.13986616548873215,0.20941116621877073,0.17229519165063095,0.10251039209424649,0.14456163709826664,0.11132049775842576,0.12093172207575914,0.11001190885323817,0.19254591396287496,0.11522895913713617,0.12816436304246545,0.10085443258817002,0.10005016716893321,0.10085443258817002,0.2611626095806917,0.32898041788385873,0.1936122753711814,0.1835306081770851,0.20941116621877073,0.17229519165063095,0.10251039209424649
SSE,15.892938659884695,34.767798497547815,51.45132404640107,38.79550857890648,29.852278021942862,28.198779697117732,50.150260962292386,34.767798497547815,52.02017639014919,39.228157910518185,53.03574552402141,10.047915461797732,43.524992586361506,64.32010568499415,49.86078863000395,50.21081659006015,49.86078863000395,26.55396655933356,23.379710100624358,30.035975699698582,28.27777578329746,29.852278021942862,28.198779697117732,50.150260962292386
RS,0.5526869983810702,0.27559720719032504,0.011824735523441023,0.20218223446578615,0.3843458860635924,0.4198816747612905,0.02815732965498464,0.27559720719032504,0.007702404481670493,0.2028765152432939,0.003973819543473759,0.5911358251707723,0.12591598861638026,-0.13034435146999243,0.02870923624972039,0.02426470346865075,0.02870923624972039,0.46730464413352113,0.5669713505712387,0.3839961659986411,0.41948558968584587,0.3843458860635924,0.4198816747612905,0.02815732965498464
DH,0.10715905404852949,0.18429509751670092,0.2490563410146268,0.2018700137525773,0.156670506977556,0.14683218297098116,0.24806923259568578,0.18429509751670092,0.24893626110649117,0.2009364593756989,0.24802769969368632,0.09880120000680748,0.22228649024438307,0.2807548943380521,0.24841314623223873,0.24865791261999853,0.24841314623223873,0.13019093657584033,0.10535980383226178,0.15600090044463855,0.1465701255308366,0.156670506977556,0.14683218297098116,0.24806923259568578
