,labels_data6_DBSCAN_params13,labels_data6_DBSCAN_params17,labels_data6_DBSCAN_params18,labels_data6_DBSCAN_params19,labels_data6_DBSCAN_params21,labels_data6_DBSCAN_params22,labels_data6_DBSCAN_params23,labels_data6_DBSCAN_params24,labels_data6_DBSCAN_params25,labels_data6_DBSCAN_params26,labels_data6_DBSCAN_params27,labels_data6_DBSCAN_params28,labels_data6_DBSCAN_params29,labels_data6_DBSCAN_params30,labels_data6_DBSCAN_params31,labels_data6_DBSCAN_params32
cSIL,0.9698661770705947,0.8131644718505825,0.8954738525778603,0.9407217412583625,0.7855974998025966,0.7855974998025966,0.7875442042692312,0.789344931091118,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966,0.7855974998025966
GD43,60.08675935073708,0.8367423915853165,0.425066762571169,7.738874128770652,1.6600455321084904,1.6600455321084904,1.6802430197446256,1.6927870799177793,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904,1.6600455321084904
GD53,0.11054923208306058,0.044325695092382496,0.003755682248426789,0.06187532825113297,0.4970293216638734,0.4970293216638734,0.49911430059759626,0.499010533019166,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734,0.4970293216638734
PS,-10.68599335430346,0.6639676930964795,-10.695822232647263,-8.760314060530765,1.9633687222225316,1.9633687222225316,1.9593687222225316,1.9573566981744355,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316
rCIP,12.647905133624372,0.4759053707317163,11.084622905992777,14.192760600296083,0.0651237423752268,0.0651237423752268,0.06294163955477693,0.06096402598685551,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268,0.0651237423752268
WB,0.010665410891664114,2.434878659270787,1.79717580622226,0.0658506247902492,2.183305948400548,2.183305948400548,2.158158750613317,2.134990207975843,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548,2.183305948400548
XB,0.09318431870129308,0.847032101554348,4.81382893314979,0.24003644972457575,0.27291324355006846,0.27291324355006846,0.2697687604179882,0.2668713499330083,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846,0.27291324355006846
SSE,0.042658463570775254,228.75809194876385,53.437809238134676,0.9341957683840143,328.472797377564,328.472797377564,326.43349285113595,323.99319042422115,328.472797377564,328.472797377564,328.472797377564,328.472797377564,328.472797377564,328.472797377564,328.472797377564,328.472797377564
RS,0.9899166245509569,0.0722122463995687,0.5863064090123985,0.950546932169004,-0.04381844184039099,-0.04381844184039099,-0.038039449447505425,-0.03265199006060324,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099,-0.04381844184039099
DH,0.015901738241738742,0.33256188508054757,0.10164298593886635,0.04806027956929254,0.5498533443906571,0.5498533443906571,0.5474010469082214,0.5451818203138744,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571,0.5498533443906571
B,0.0003799937671128759,0.31377772226457173,0.10361718911286974,0.0038460389955939246,0.5469203277556484,0.5469203277556484,0.5406187583614014,0.5348128485268463,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484,0.5469203277556484
BH,0.0013330769865867267,57.18952298719096,3.3398630773834173,0.05189976491022303,164.236398688782,164.236398688782,163.216746425568,161.99659521211055,164.236398688782,164.236398688782,164.236398688782,164.236398688782,164.236398688782,164.236398688782,164.236398688782,164.236398688782
D,0.4858266236377454,0.11808801605339285,0.06850963612385005,0.2850011575003187,0.04943438475177525,0.04943438475177525,0.07537819148383139,0.11132208868238748,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525,0.04943438475177525
H,0.9612782211280518,0.6437227866977081,1.4996305429680283,1.0350134387356555,0.42879843199538115,0.42879843199538115,0.42491102518679247,0.42130944412667237,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115,0.42879843199538115
DBCV,0.9409664453135372,0.2687631038883626,0.2022987272594572,0.4936013018725614,0.8992038914314919,0.8992038914314919,0.9052670906090811,0.867316001631975,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919,0.8992038914314919
I,13.014632296027779,0.365478800266937,0.20831227427962395,3.861175564218645,0.5746790625403364,0.5746790625403364,0.5823994418604289,0.5890812047042031,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364,0.5746790625403364
C,0.00029082749641012374,0.15173413028215382,0.0770147640051993,0.00533493162593882,0.16269411574851894,0.16269411574851894,0.1602207890385928,0.15793010674821187,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894,0.16269411574851894
CDbw,40.20779761182287,0.31364075070640995,1.6469964832589594,6.850335466293729,0.07003363018411672,0.07003363018411672,0.0785159458228162,0.07973564285902332,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672,0.07003363018411672
VIASCKDE,0.48814625012257057,0.711451965366847,0.6339408657163298,0.5583069635468896,0.7676169363591198,0.7676169363591198,0.7746513429144732,0.7409768619103035,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198,0.7676169363591198
COP,0.3143938213080794,0.4297334435884179,0.3540491372649263,0.34628512185780996,0.5208984186527135,0.5208984186527135,0.5191798628154325,0.522538127491009,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135,0.5208984186527135
