,labels_mk2_DBSCAN_params1,labels_mk2_DBSCAN_params11,labels_mk2_DBSCAN_params12,labels_mk2_DBSCAN_params16,labels_mk2_DBSCAN_params17,labels_mk2_DBSCAN_params18,labels_mk2_DBSCAN_params2,labels_mk2_DBSCAN_params21,labels_mk2_DBSCAN_params22,labels_mk2_DBSCAN_params23,labels_mk2_DBSCAN_params24,labels_mk2_DBSCAN_params26,labels_mk2_DBSCAN_params27,labels_mk2_DBSCAN_params28,labels_mk2_DBSCAN_params29,labels_mk2_DBSCAN_params31,labels_mk2_DBSCAN_params32,labels_mk2_DBSCAN_params33,labels_mk2_DBSCAN_params34,labels_mk2_DBSCAN_params6,labels_mk2_DBSCAN_params7
cSIL,,,,,,,,,,,,0.10409909445377827,,,,-0.17938205723204947,0.12523290150119365,,,,
GD43,,,,,,,,,,,,0.08266445515707956,,,,0.09239529369481797,0.09504365273819272,,,,
GD53,,,,,,,,,,,,0.11573613950240848,,,,0.2559917514954895,0.16582689067739254,,,,
PS,,,,,,,,,,,,-2.755648927994722,,,,1.564970997464165,-0.5975109913920288,,,,
rCIP,,,,,,,,,,,,5.32447573032163,,,,0.9541122349247801,1.1293192140886756,,,,
WB,,,,,,,,,,,,12.319783477334651,,,,140.2411890653866,95.35658260707166,,,,
XB,,,,,,,,,,,,37.456920894563844,,,,22.63714911753792,22.190551548383684,,,,
SSE,612.3349461732073,858.602140690251,707.4950288841283,1218.7001818551273,1243.333915780553,722.079908799653,707.5229660216685,1487.2005114661115,1546.85410473096,1154.9087689201938,567.0545648019339,289.17342436521034,1402.3955069348344,1112.8887959112858,616.3190476069195,466.96254426565616,457.75006189553517,797.8072809666139,848.2960791736987,766.475401903105,607.3982168596094
RS,,,,,,,,,,,,-3.3918721577242406,,,,-2.1899367932984743,-2.1499690872439814,,,,
DH,0.027849090465710945,0.023468716312988903,0.04533843882061953,0.09042462241123163,0.08789197640351701,0.1376003706739372,0.40620015773108,0.19757108808934104,0.16587003944743428,0.13877880144996438,0.33038445658824317,0.5801946367557297,0.38080583061743783,0.24848304893840795,0.5152082836050669,0.959310716064988,0.6896586495316711,0.605913498358693,0.3556349733188368,0.017195030397540115,0.10031747002827682
B,0.3492695959355704,1.4559084888214593,0.5509942604282743,1.9176026547357845,1.784251859351683,0.5715651841499331,0.023492432759322755,2.158734309597773,2.2067969562419036,1.21671791103526,0.25149138092410794,0.7487526920891954,2.3377342681984623,1.6235836892431832,0.5025587603307263,22.995017235682475,1.3504905278572574,1.9531113115048389,1.0042045780587034,0.8925958121342761,0.11430239348730506
BH,2.5449758927109626e-05,0.005530802023791141,0.0029058221238369712,0.4200862872961467,0.34557499952172405,0.10465222905298703,3.6959047616514576e-05,4.590618706335399,3.398356297566634,1.3013930564634832,0.11893865750201445,36.14667804565129,14.6170934897611,4.4258547089303075,1.6706479099281364,155.6541814218854,114.43751547388379,38.68496247977834,5.562262616067278,0.00017449786642308518,0.00020596378219136377
D,0.8712066706079395,0.06929869044401595,0.263700147730767,0.08690392130693372,0.12343675193285689,0.2291207826834508,48.339766926979266,0.07898573987741354,0.006695163134749522,0.1432438914945041,0.7599411660498475,0.020759018910196787,0.01045953947563226,0.09460144284740167,0.4483264804629894,0.17352863423308434,0.17352863423308434,0.014761190281681722,0.16061603843129157,0.20801441510052196,0.9524043146332963
H,,,,,,,,,,,,5.78592241007288,,,,2.836336593061086,2.8206315982385135,,,,
DBCV,0.1577116568410447,0.628550076497393,0.3232618134707797,0.564856718909974,0.5804162591083237,0.23725565115332284,0.011999746108712808,0.551203301304265,0.6226502220897616,0.4934961296623669,0.10112385050624996,0.11715695754685974,0.3066794880046044,0.32073189498095,0.19414503952930431,-0.05024395125414466,-0.03957540449573605,0.4930504200794958,0.13519676207088754,0.42085127423175994,0.06994658948511673
I,5632.509764970521,0.5001396706165575,22.821142918825455,0.02980367812924814,0.06143032473403084,13.972757939666302,33193705.26745515,0.026491890590568206,0.024426344117802486,0.17542465446195113,135.03053190577245,0.04943134076556233,0.051254856133843375,0.08984789306439384,6.9655682686458,0.006123490411369074,0.09040945607262274,0.0745483467070186,0.3531685942384018,28.094238314180068,23672.69202904962
C,0.5883960368364867,0.5330767563999669,0.6108632896814586,0.08595690560511646,0.24074910630798396,0.627399380106126,0.6361169409664897,0.23438060628345816,0.23628050070446696,0.4630290285741569,0.6494884399091494,0.28646488708297435,0.2550707421569402,0.2837868755443823,0.6411685856708543,0.45237803914391866,0.44830053462781133,0.31576351049502094,0.5296558077080757,0.5800428152729108,0.619660880258332
CDbw,0.7136107742848667,0.35871050248747444,0.5162482753587683,0.3205630821642046,0.3694743778805415,0.4778097476983808,0.599343725788925,0.3391624789557613,0.2828211203706563,0.0,0.4278915128764684,0.4264554279818804,0.13105242563923145,0.33214172736732195,0.3464798699476242,0.01015262115818823,0.7483787555168947,0.07747168944974672,0.20940699804299417,0.471929036628578,0.7089695834162684
