,labels_jain_SpectralClustering_params1,labels_jain_SpectralClustering_params10,labels_jain_SpectralClustering_params11,labels_jain_SpectralClustering_params12,labels_jain_SpectralClustering_params13,labels_jain_SpectralClustering_params14,labels_jain_SpectralClustering_params15,labels_jain_SpectralClustering_params16,labels_jain_SpectralClustering_params17,labels_jain_SpectralClustering_params18,labels_jain_SpectralClustering_params19,labels_jain_SpectralClustering_params2,labels_jain_SpectralClustering_params20,labels_jain_SpectralClustering_params21,labels_jain_SpectralClustering_params22,labels_jain_SpectralClustering_params23,labels_jain_SpectralClustering_params24,labels_jain_SpectralClustering_params25,labels_jain_SpectralClustering_params26,labels_jain_SpectralClustering_params27,labels_jain_SpectralClustering_params28,labels_jain_SpectralClustering_params29,labels_jain_SpectralClustering_params3,labels_jain_SpectralClustering_params30,labels_jain_SpectralClustering_params31,labels_jain_SpectralClustering_params32,labels_jain_SpectralClustering_params33,labels_jain_SpectralClustering_params34,labels_jain_SpectralClustering_params35,labels_jain_SpectralClustering_params36,labels_jain_SpectralClustering_params4,labels_jain_SpectralClustering_params5,labels_jain_SpectralClustering_params6,labels_jain_SpectralClustering_params7,labels_jain_SpectralClustering_params8,labels_jain_SpectralClustering_params9
cSIL,0.6647674153027676,0.8542823152121297,0.8612236902302683,0.8542823152121297,0.7897696844076455,0.7897696844076455,0.8438501020935325,0.8354837520131487,0.8788030233951457,0.8711334732316963,0.8546137544934435,0.6647674153027676,0.8561286413447086,0.8546137544934435,0.8561286413447086,0.8546137544934435,0.8561286413447086,0.5581323531757865,0.8742596111767493,0.8162642442601122,0.8449118989675279,0.8580751958771231,0.8556475316612246,0.8581727760844856,0.8698974745435281,0.8576844201040189,0.8698974745435281,0.8576844201040189,0.8698974745435281,0.8576844201040189,0.8513467427646239,0.817498406827124,0.817498406827124,0.8612236902302683,0.8542823152121297,0.8612236902302683
GD43,0.8612228994756691,2.498228232259824,2.379959754066011,2.498228232259824,0.8364401697777157,0.8364401697777157,1.9439166359203406,1.894145016396691,1.9035016231108852,1.8320747488835147,2.0796904157419216,0.8612228994756691,1.9286181745378197,2.0796904157419216,1.9286181745378197,2.0796904157419216,1.9286181745378197,0.4149880331720624,1.2214846588186121,1.533665825652635,1.757466823080198,1.4482944759198828,2.394857328841716,1.4468592363062733,2.58734243359282,2.9995648834949864,2.58734243359282,2.9995648834949864,2.58734243359282,2.9995648834949864,2.514040207632977,1.8218773000715403,1.8218773000715403,2.379959754066011,2.498228232259824,2.379959754066011
GD53,0.4658073421247943,0.4874397680723787,0.46598298965339624,0.4874397680723787,0.09097557977993867,0.09097557977993867,0.3468712102903196,0.3498532218935605,0.21340430816673103,0.19942775430818785,0.3305047912796912,0.4658073421247943,0.2583854979105726,0.3305047912796912,0.2583854979105726,0.3305047912796912,0.2583854979105726,0.02406311245538649,0.0946915157444395,0.09776615704995903,0.13403365034647227,0.1228911924723369,0.4741945969731985,0.12158219325621206,0.19918792829391385,0.2882206300765641,0.19918792829391385,0.2882206300765641,0.19918792829391385,0.2882206300765641,0.4949159269440994,0.4188900678272921,0.4188900678272921,0.46598298965339624,0.4874397680723787,0.46598298965339624
PS,1.0382966761130215,1.5240381782894772,1.4091051563310588,1.5240381782894772,1.1758804868813146,1.1758804868813146,1.3683701432231867,1.465439678611971,1.7954945088488143,1.9616369595180707,1.5145496873728908,1.0382966761130215,1.8805663929926097,1.5145496873728908,1.8805663929926097,1.5145496873728908,1.8805663929926097,1.0827295555990253,1.2272003277448564,1.2049759405677596,1.7415204629810634,1.8920796037421246,1.4613606900940175,1.8889887774017926,1.7352790900364088,2.0084083115442146,1.7352790900364088,2.0084083115442146,1.7352790900364088,2.0084083115442146,1.5573858162396257,1.8472071060609154,1.8472071060609154,1.4091051563310588,1.5240381782894772,1.4091051563310588
rCIP,0.030218198910882916,0.019927441390267087,0.016710735148928367,0.019927441390267087,0.2178815387418012,0.2178815387418012,0.04827595210265451,0.05707978898934907,0.045227966801170194,0.05886613691783127,0.04782929650297313,0.030218198910882916,0.05678784182679197,0.04782929650297313,0.05678784182679197,0.04782929650297313,0.05678784182679197,0.49352893999206776,0.5409592485291523,0.3006211910934688,0.2779898832897345,0.3009092102906203,0.020347846476835317,0.30143387835505053,0.16297497894727267,0.1729957297665214,0.16297497894727267,0.1729957297665214,0.16297497894727267,0.1729957297665214,0.021684967092992516,0.03488784020831166,0.03488784020831166,0.016710735148928367,0.019927441390267087,0.016710735148928367
WB,19.288045865629893,1.4967565946468224,1.5786332958009182,1.4967565946468224,3.880335569599441,3.880335569599441,1.4055328221419379,1.3540990991762831,1.0690996307746266,1.0408248224660914,1.1374290434585144,19.288045865629893,1.0518952031105666,1.1374290434585144,1.0518952031105666,1.1374290434585144,1.0518952031105666,3.5346754207323534,1.2981257140327673,1.0264228984192783,0.9708907766805646,0.9729629442378501,1.5611404313719834,0.9733681119912359,0.958605931059674,0.9528393893719774,0.958605931059674,0.9528393893719774,0.958605931059674,0.9528393893719774,1.4989789280384218,1.7578405324174946,1.7578405324174946,1.5786332958009182,1.4967565946468224,1.5786332958009182
XB,0.6253791438151388,0.1722686380990273,0.16832597764094204,0.1722686380990273,0.6043175379932754,0.6043175379932754,0.2557242581405159,0.2625489816820077,0.205622146530713,0.2150576606476894,0.23414883721467478,0.6253791438151388,0.22836479454405514,0.23414883721467478,0.22836479454405514,0.23414883721467478,0.22836479454405514,1.2029651281465612,0.37472864433262854,0.26296047518151155,0.19153428898132738,0.3004784565438656,0.1732269043802563,0.3011757204830768,0.15943392860063663,0.16499818095416935,0.15943392860063663,0.16499818095416935,0.15943392860063663,0.16499818095416935,0.17521792226414948,0.2188946030240503,0.2188946030240503,0.16832597764094204,0.1722686380990273,0.16832597764094204
SSE,174.48052511615418,82.42905187421451,84.94906183818678,82.42905187421451,108.60609316144131,108.60609316144131,61.43800109571702,59.888945544968436,50.595790165444555,49.60233767263438,52.94052959686249,174.48052511615418,49.99295374393225,52.94052959686249,49.99295374393225,52.94052959686249,49.99295374393225,90.33988184522514,47.1833769563475,39.324375434917954,37.61236842219981,37.676938296987544,84.42039854823526,37.68955725696223,37.228457555484994,37.047591897091145,37.228457555484994,37.047591897091145,37.228457555484994,37.047591897091145,82.49900820209535,90.0815093980658,90.0815093980658,84.94906183818678,82.42905187421451,84.94906183818678
RS,0.0090264781852272,0.1525598473846894,0.15778830660986676,0.1525598473846894,0.0014497868383349746,0.0014497868383349746,0.12899093839971237,0.1088327210114264,0.2811732266000716,0.26630158757206723,0.21130097195946204,0.0090264781852272,0.2266308377783617,0.21130097195946204,0.2266308377783617,0.21130097195946204,0.2266308377783617,-0.31206865882413215,0.3006974889148486,0.26669153798292483,0.24828869437508017,0.3077006033314532,0.14728458321597404,0.3074313674033835,0.24638279364287494,0.20075806288650647,0.24638279364287494,0.20075806288650647,0.24638279364287494,0.20075806288650647,0.1461984126444956,0.05391962180204151,0.05391962180204151,0.15778830660986676,0.1525598473846894,0.15778830660986676
DH,0.465633288695856,0.4646933639019498,0.45633623863207307,0.4646933639019498,0.3919383803321398,0.3919383803321398,0.39965818640211853,0.41044123504986535,0.3667922738778351,0.37636645272283137,0.38930663293608403,0.465633288695856,0.39086778579020054,0.38930663293608403,0.39086778579020054,0.38930663293608403,0.39086778579020054,0.3864579534929543,0.3055933566312646,0.33042291090571946,0.33950359068819846,0.32882181024481705,0.46321197301933087,0.3288060233794757,0.33382928344786983,0.349464958154102,0.33382928344786983,0.349464958154102,0.33382928344786983,0.349464958154102,0.46792654921053184,0.5047365604839107,0.5047365604839107,0.45633623863207307,0.4646933639019498,0.45633623863207307
B,0.7224464032950604,0.3209607275642533,0.2950942242177242,0.3209607275642533,0.5211252199311325,0.5211252199311325,0.2497692299488955,0.2500130637788466,0.2221443977424311,0.22390383958923607,0.2203566883777584,0.7224464032950604,0.2237786999708785,0.2203566883777584,0.2237786999708785,0.2203566883777584,0.2237786999708785,0.5557387986067669,0.21964325062746845,0.19452578476333637,0.18440939751446767,0.18755787514876168,0.31315261502974917,0.1873437262167604,0.14685674595415957,0.15762604534333594,0.14685674595415957,0.15762604534333594,0.14685674595415957,0.15762604534333594,0.3308626365359153,0.4384820475232408,0.4384820475232408,0.2950942242177242,0.3209607275642533,0.2950942242177242
BH,87.24026255807708,41.214525937107254,42.4745309190934,41.214525937107254,36.20203105381377,36.20203105381377,20.479333698572336,19.962981848322812,16.865263388481516,16.53411255754479,17.646843198954166,87.24026255807708,16.664317914644084,17.646843198954166,16.664317914644084,17.646843198954166,16.664317914644084,22.58497046130628,11.795844239086875,9.831093858729488,9.403092105549952,9.419234574246888,42.21019927411762,9.422389314240558,9.307114388871248,9.261897974272786,9.307114388871248,9.261897974272786,9.307114388871248,9.261897974272786,41.24950410104768,45.0407546990329,45.0407546990329,42.4745309190934,41.214525937107254,42.4745309190934
D,0.09209082011615456,0.4322398317468126,0.5047732477538587,0.4322398317468126,0.17832251746231328,0.17832251746231328,0.20873794182143915,0.20873794182143915,0.31034094907053017,0.3131234011488403,0.38739091513629137,0.34242062431295006,0.33346747780055863,0.38739091513629137,0.33346747780055863,0.38739091513629137,0.33346747780055863,0.1406800810071336,0.21940171011255566,0.222943536317037,0.222943536317037,0.2106938356927279,0.3987809226936064,0.2129452753915053,0.24246256850896156,0.2921359335450611,0.24246256850896156,0.2921359335450611,0.24246256850896156,0.2921359335450611,0.4228496219137028,0.27803604080090194,0.27803604080090194,0.5047732477538587,0.4322398317468126,0.5047732477538587
H,0.41420849884977434,0.29132393465969686,0.2763731821576574,0.29132393465969686,0.4995714642626073,0.4995714642626073,0.44058931363118514,0.4738460527767244,0.3476472891966545,0.3736080838505481,0.4228758448664873,0.41420849884977434,0.4227150707929678,0.4228758448664873,0.4227150707929678,0.4228758448664873,0.4227150707929678,1.0184035913184963,0.46208917164442126,0.6188312418449835,0.5627947621282069,0.5437483330841542,0.28811590609267596,0.5436703729130922,0.5065991671039846,0.5495238859188462,0.5065991671039846,0.5495238859188462,0.5065991671039846,0.5495238859188462,0.29728960517314934,0.3607247523577495,0.3607247523577495,0.2763731821576574,0.29132393465969686,0.2763731821576574
DBCV,-0.8510297795134627,-0.6841709638038156,-0.8920029393011568,-0.6841709638038156,-0.6611565587372057,-0.6611565587372057,-0.6729842539887957,-0.39300337568951954,-0.6545966635298475,-0.4340797088048857,-0.7042410866089299,-0.8510297795134628,-0.6336012586266996,-0.7042410866089299,-0.6336012586266996,-0.7042410866089299,-0.6336012586266996,-0.32796737455154623,-0.49335229148436294,-0.06410363906147322,-0.4370427689907157,-0.6447897187248115,-0.36884355796830276,-0.6100407756878179,-0.47089668405484747,-0.7314029107730766,-0.47089668405484747,-0.7314029107730766,-0.47089668405484747,-0.7314029107730766,-0.6024898332974664,-0.5229267428053447,-0.5229267428053447,-0.8920029393011568,-0.6841709638038156,-0.8920029393011568
I,0.2221833661157859,0.7473619451341781,0.7572765786075443,0.7473619451341781,0.2826374100712761,0.2826374100712761,0.7038161062687106,0.7338770969820478,0.7183832034743917,0.7452758091695447,0.791076697880076,0.2221833661157859,0.7811562015065864,0.791076697880076,0.7811562015065864,0.791076697880076,0.7811562015065864,0.24061021789119527,0.48543644970898453,0.6556076369839222,0.7424263269555712,0.7229952928815022,0.7431615111102942,0.7240378266196348,0.9778222958556531,0.9574922109939696,0.9778222958556531,0.9574922109939696,0.9778222958556531,0.9574922109939696,0.7393362685945344,0.6241517573107084,0.6241517573107084,0.7572765786075443,0.7473619451341781,0.7572765786075443
C,0.4325628674935001,0.0899041430941499,0.08877285033682149,0.0899041430941499,0.2693778339109823,0.2693778339109823,0.10223345146933369,0.10251261855516557,0.07402850767592864,0.0776499414523213,0.08214586830714159,0.4325628674935001,0.07924386058398579,0.08214586830714159,0.07924386058398579,0.08214586830714159,0.07924386058398579,0.1933506901366687,0.11405933018098004,0.06854367234115462,0.06988227311049233,0.08876620598139616,0.09185428381480135,0.08890622223572335,0.06715044039254417,0.06644730596901825,0.06715044039254417,0.06644730596901825,0.06715044039254417,0.06644730596901825,0.09206730878261961,0.13292977337519252,0.13292977337519252,0.08877285033682149,0.0899041430941499,0.08877285033682149
