,labels_d31_DBSCAN_params13,labels_d31_DBSCAN_params14,labels_d31_DBSCAN_params15,labels_d31_DBSCAN_params17,labels_d31_DBSCAN_params18,labels_d31_DBSCAN_params19,labels_d31_DBSCAN_params20,labels_d31_DBSCAN_params21,labels_d31_DBSCAN_params22,labels_d31_DBSCAN_params23,labels_d31_DBSCAN_params24,labels_d31_DBSCAN_params25,labels_d31_DBSCAN_params26,labels_d31_DBSCAN_params27,labels_d31_DBSCAN_params28,labels_d31_DBSCAN_params9
cSIL,0.859221215167021,0.9970935776916934,0.9999005343325711,0.8954030752882531,0.8794420655634045,0.9272017735668946,0.9389701474809982,0.8136216695391261,0.7604325774462747,0.5260012211644539,0.5259655766628322,0.813453414368768,0.813453414368768,0.813453414368768,0.813453414368768,0.9793433877714791
GD43,4.829961607738128,207.72701026856393,3238.1268704481076,1.15945186947088,1.335209189053774,6.187034513760116,22.421374652723856,1.116093075998592,0.784858377772418,0.3130811728222065,0.31298055874511543,1.1147389212692895,1.1147389212692895,1.1147389212692895,1.1147389212692895,93.26869269611267
GD53,0.005799071826571199,0.12881977994711566,0.4737949580646996,0.020199660342129333,0.027808768626303534,0.1114231538524776,0.34288586853538,0.4840318872716432,0.04500862849150165,0.006593588921041073,0.006596042341448581,0.48404707343269476,0.48404707343269476,0.48404707343269476,0.48404707343269476,0.08517126092108679
PS,-90.95389219006714,-2.067471839465594,1.9633687222225316,-6.03224452844473,-12.7610375126438,-10.801394801380498,-0.5415616336877077,0.9967354222558983,0.824267075668103,-0.41725017851092794,-0.41686962065956756,0.9967020555558649,0.9967020555558649,0.9967020555558649,0.9967020555558649,-12.804132205604597
rCIP,869.574291889923,2.5576610000002983e-35,0.0,0.9103440253823851,1.424584387029085,1.6012947245732454,1.229096797355074,0.04221828597899171,0.23612011910790226,1.016357660317177,1.0163259458898115,0.04213436327907248,0.04213436327907248,0.04213436327907248,0.04213436327907248,19.15022987041639
WB,0.2301676068888263,0.009805287275419588,0.0007958042524675818,1.4116447731048982,0.8877644447210452,0.29961251273082995,0.22655555675339495,23.006544203092396,4.107212316913475,5.04995792982276,5.045893409162292,23.049865365936796,23.049865365936796,23.049865365936796,23.049865365936796,0.0026358966599780804
XB,1.642291957400691,0.006171043176983093,9.947553155844775e-05,0.6999618922449082,0.4941656030113327,0.11533963067435886,0.08290711734075248,0.3594394367744505,0.6591801269011494,3.6690735754737345,3.6725405444720782,0.35977937615926325,0.35977937615926325,0.35977937615926325,0.35977937615926325,0.10422252892542795
SSE,1.8904405097851678,0.08525253922001502,0.006456514561786133,168.90535186904197,64.86951626603013,15.400953335816205,10.278855645322952,1620.5506113586387,892.360823767711,885.0919791572144,884.4148261431646,1624.6293588187696,1624.6293588187696,1624.6293588187696,1624.6293588187696,0.0096435823463585
RS,0.882406439230324,0.9912829621314158,0.9992045122737901,0.41518734833716164,0.5421325247857008,0.7249081305018327,0.7759687690184546,0.039235348784405745,-0.19778644695325748,-0.2511886917815674,-0.2509494152384742,0.03913678030736128,0.03913678030736128,0.03913678030736128,0.03913678030736128,0.997661340756771
DH,0.00022510143903273013,0.001549758059038854,0.012346050703193974,0.013372154878649983,0.005677451512395881,0.0031099491523068367,0.0027069936896696933,0.39026034857122066,0.11834297565333864,0.08144186500898981,0.08143389804032897,0.39034818755742007,0.39034818755742007,0.39034818755742007,0.39034818755742007,0.0002792061462820977
B,0.002034355685240227,0.0006573023308547451,0.00021316185333953083,0.08120017952721548,0.0368446991671114,0.009689528983647777,0.007079304181111896,0.3836471310684417,0.3508540187433125,0.44198780956159733,0.44182849795470236,0.3839857799188983,0.3839857799188983,0.3839857799188983,0.3839857799188983,0.00010392010686164671
BH,0.016020682286314987,0.0056835026146676675,0.0032282572808930658,12.99271937454169,2.9486143757286425,0.5133651111938734,0.33157598855880505,810.2753056793193,223.09020594192774,177.0183958314429,176.88296522863288,812.3146794093848,812.3146794093848,812.3146794093848,812.3146794093848,0.00033253732228822415
D,0.1565826021628637,2.91405378429426,37.21732902673971,0.14061499949901488,0.10198613641964235,0.2780485832423891,0.4729859949892979,0.4830452109544294,0.20387523657527187,0.08921822526732523,0.08911049899298283,0.4663489078281551,0.4663489078281551,0.4663489078281551,0.4663489078281551,0.5833904857614411
H,14.068741213111055,0.0435788207858918,0.00019893121379945254,1.2345148272169262,2.3774146624550307,2.163465791000631,1.8936727060991856,0.27480726938660416,0.795172105242843,1.3486420613668821,1.348860628167212,0.2749853462557961,0.2749853462557961,0.2749853462557961,0.2749853462557961,0.589109713667054
DBCV,0.4374859550812628,0.9970573886301721,0.999905662927151,0.3619058363530669,0.20205223650940515,0.4398346713199813,0.602183753255769,0.4753873811314566,-0.29097337812469226,-0.25801511647227526,-0.17040714940847565,0.30134486449633646,0.30134486449633646,0.30134486449633646,0.30134486449633646,0.956552287694611
I,0.23000547876146815,33.074712109741235,1548.171714712498,0.3065483272823057,0.3263600810227498,0.63146749559389,0.7614388403288431,0.40330145656767924,0.3320722889133098,0.22480790241831286,0.22485153249433545,0.40348924886511234,0.40348924886511234,0.40348924886511234,0.40348924886511234,80.2069208214681
