,labels_r15_HDBSCAN_params1,labels_r15_HDBSCAN_params10,labels_r15_HDBSCAN_params11,labels_r15_HDBSCAN_params12,labels_r15_HDBSCAN_params13,labels_r15_HDBSCAN_params14,labels_r15_HDBSCAN_params15,labels_r15_HDBSCAN_params16,labels_r15_HDBSCAN_params17,labels_r15_HDBSCAN_params18,labels_r15_HDBSCAN_params19,labels_r15_HDBSCAN_params2,labels_r15_HDBSCAN_params20,labels_r15_HDBSCAN_params21,labels_r15_HDBSCAN_params22,labels_r15_HDBSCAN_params23,labels_r15_HDBSCAN_params24,labels_r15_HDBSCAN_params25,labels_r15_HDBSCAN_params26,labels_r15_HDBSCAN_params27,labels_r15_HDBSCAN_params28,labels_r15_HDBSCAN_params29,labels_r15_HDBSCAN_params3,labels_r15_HDBSCAN_params30,labels_r15_HDBSCAN_params31,labels_r15_HDBSCAN_params32,labels_r15_HDBSCAN_params33,labels_r15_HDBSCAN_params34,labels_r15_HDBSCAN_params35,labels_r15_HDBSCAN_params36,labels_r15_HDBSCAN_params37,labels_r15_HDBSCAN_params38,labels_r15_HDBSCAN_params39,labels_r15_HDBSCAN_params4,labels_r15_HDBSCAN_params40,labels_r15_HDBSCAN_params41,labels_r15_HDBSCAN_params42,labels_r15_HDBSCAN_params43,labels_r15_HDBSCAN_params44,labels_r15_HDBSCAN_params45,labels_r15_HDBSCAN_params46,labels_r15_HDBSCAN_params47,labels_r15_HDBSCAN_params48,labels_r15_HDBSCAN_params49,labels_r15_HDBSCAN_params5,labels_r15_HDBSCAN_params50,labels_r15_HDBSCAN_params51,labels_r15_HDBSCAN_params52,labels_r15_HDBSCAN_params53,labels_r15_HDBSCAN_params54,labels_r15_HDBSCAN_params55,labels_r15_HDBSCAN_params56,labels_r15_HDBSCAN_params57,labels_r15_HDBSCAN_params58,labels_r15_HDBSCAN_params59,labels_r15_HDBSCAN_params6,labels_r15_HDBSCAN_params60,labels_r15_HDBSCAN_params61,labels_r15_HDBSCAN_params62,labels_r15_HDBSCAN_params63,labels_r15_HDBSCAN_params7,labels_r15_HDBSCAN_params8,labels_r15_HDBSCAN_params9
cSIL,0.9688701675949051,0.9726850548199898,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.7925074227101547,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9688701675949051,0.9831677378296517,0.7925074227101547,0.9688701675949051,0.9688701675949051,0.9688701675949051,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.8510253145080368,0.9726850548199898,0.9688701675949051,0.9726850548199898,0.9726850548199898,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.7925074227101547,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.7925074227101547,0.9688701675949051,0.9688701675949051,0.9688701675949051,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.8510253145080368,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.7925074227101547,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.9831677378296517,0.7925074227101547,0.8510253145080368,0.9726850548199898,0.9726850548199898
GD43,25.557756346490926,25.85389762019096,4.86260947279863,4.86260947279863,4.86260947279863,1.2086061202313687,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,25.557756346490926,4.86260947279863,1.2086061202313687,25.557756346490926,25.557756346490926,25.557756346490926,4.86260947279863,4.86260947279863,4.86260947279863,1.2116888747580092,25.85389762019096,25.557756346490926,25.85389762019096,25.85389762019096,4.86260947279863,4.86260947279863,4.86260947279863,1.2086061202313687,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,1.2086061202313687,25.557756346490926,25.557756346490926,25.557756346490926,4.86260947279863,4.86260947279863,4.86260947279863,1.2116888747580092,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,1.2086061202313687,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,4.86260947279863,1.2086061202313687,1.2116888747580092,25.85389762019096,25.85389762019096
GD53,0.29331287469653583,0.25770766013104307,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.4670099629551896,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.29331287469653583,0.019101844663048206,0.4670099629551896,0.29331287469653583,0.29331287469653583,0.29331287469653583,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.004223437426898328,0.25770766013104307,0.29331287469653583,0.25770766013104307,0.25770766013104307,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.4670099629551896,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.4670099629551896,0.29331287469653583,0.29331287469653583,0.29331287469653583,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.004223437426898328,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.4670099629551896,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.019101844663048206,0.4670099629551896,0.004223437426898328,0.25770766013104307,0.25770766013104307
PS,4.649098238202399,4.3696916664412715,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,1.034797293651103,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,4.649098238202399,-1.4604971321520115,1.034797293651103,4.649098238202399,4.649098238202399,4.649098238202399,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,0.5231508323883741,4.3696916664412715,4.649098238202399,4.3696916664412715,4.3696916664412715,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,1.034797293651103,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,1.034797293651103,4.649098238202399,4.649098238202399,4.649098238202399,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,0.5231508323883741,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,1.034797293651103,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,-1.4604971321520115,1.034797293651103,0.5231508323883741,4.3696916664412715,4.3696916664412715
rCIP,0.04889424654083177,0.022297766759960674,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.04556271734426705,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.04889424654083177,0.0010030946897345969,0.04556271734426705,0.04889424654083177,0.04889424654083177,0.04889424654083177,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.07045441208438352,0.022297766759960674,0.04889424654083177,0.022297766759960674,0.022297766759960674,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.04556271734426705,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.04556271734426705,0.04889424654083177,0.04889424654083177,0.04889424654083177,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.07045441208438352,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.04556271734426705,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.0010030946897345969,0.04556271734426705,0.07045441208438352,0.022297766759960674,0.022297766759960674
WB,0.11359040284424347,0.10457950671484277,0.8903031858082852,0.8903031858082852,0.8903031858082852,12.420927543474084,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.11359040284424347,0.8903031858082852,12.420927543474084,0.11359040284424347,0.11359040284424347,0.11359040284424347,0.8903031858082852,0.8903031858082852,0.8903031858082852,8.658926530367896,0.10457950671484277,0.11359040284424347,0.10457950671484277,0.10457950671484277,0.8903031858082852,0.8903031858082852,0.8903031858082852,12.420927543474084,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,12.420927543474084,0.11359040284424347,0.11359040284424347,0.11359040284424347,0.8903031858082852,0.8903031858082852,0.8903031858082852,8.658926530367896,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,12.420927543474084,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,0.8903031858082852,12.420927543474084,8.658926530367896,0.10457950671484277,0.10457950671484277
XB,0.06344954550219117,0.05802316911388586,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.3864288569080826,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.06344954550219117,0.07230127876649654,0.3864288569080826,0.06344954550219117,0.06344954550219117,0.06344954550219117,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.3848860328392663,0.05802316911388586,0.06344954550219117,0.05802316911388586,0.05802316911388586,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.3864288569080826,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.3864288569080826,0.06344954550219117,0.06344954550219117,0.06344954550219117,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.3848860328392663,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.3864288569080826,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.07230127876649654,0.3864288569080826,0.3848860328392663,0.05802316911388586,0.05802316911388586
SSE,2.005927291070613,1.8413457061748706,26.95410619655612,26.95410619655612,26.95410619655612,231.8272124731741,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,2.005927291070613,26.95410619655612,231.8272124731741,2.005927291070613,2.005927291070613,2.005927291070613,26.95410619655612,26.95410619655612,26.95410619655612,199.89828529642386,1.8413457061748706,2.005927291070613,1.8413457061748706,1.8413457061748706,26.95410619655612,26.95410619655612,26.95410619655612,231.8272124731741,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,231.8272124731741,2.005927291070613,2.005927291070613,2.005927291070613,26.95410619655612,26.95410619655612,26.95410619655612,199.89828529642386,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,231.8272124731741,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,26.95410619655612,231.8272124731741,199.89828529642386,1.8413457061748706,1.8413457061748706
RS,0.8877140343653809,0.8970109537517391,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.06834618326453647,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.8877140343653809,0.7626183613585646,0.06834618326453647,0.8877140343653809,0.8877140343653809,0.8877140343653809,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.1297080503188084,0.8970109537517391,0.8877140343653809,0.8970109537517391,0.8970109537517391,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.06834618326453647,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.06834618326453647,0.8877140343653809,0.8877140343653809,0.8877140343653809,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.1297080503188084,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.06834618326453647,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.7626183613585646,0.06834618326453647,0.1297080503188084,0.8970109537517391,0.8970109537517391
DH,0.08112071388190627,0.07811781728065412,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.3874643921714373,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.08112071388190627,0.10019691090036363,0.3874643921714373,0.08112071388190627,0.08112071388190627,0.08112071388190627,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.27088963774029584,0.07811781728065412,0.08112071388190627,0.07811781728065412,0.07811781728065412,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.3874643921714373,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.3874643921714373,0.08112071388190627,0.08112071388190627,0.08112071388190627,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.27088963774029584,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.3874643921714373,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.10019691090036363,0.3874643921714373,0.27088963774029584,0.07811781728065412,0.07811781728065412
