,labels_yeast_DBSCAN_params16,labels_yeast_DBSCAN_params21,labels_yeast_DBSCAN_params26,labels_yeast_DBSCAN_params27,labels_yeast_DBSCAN_params31,labels_yeast_DBSCAN_params32,labels_yeast_DBSCAN_params33,labels_yeast_DBSCAN_params36,labels_yeast_DBSCAN_params37,labels_yeast_DBSCAN_params38,labels_yeast_DBSCAN_params41,labels_yeast_DBSCAN_params46,labels_yeast_DBSCAN_params47,labels_yeast_DBSCAN_params51,labels_yeast_DBSCAN_params52
cSIL,0.9914853632824064,0.8787473761156344,0.8249512806138349,0.946814784011386,0.7850576768977837,0.8125389228800711,0.6936308638429516,0.8308307830717221,0.6151112773952291,0.7969554828712996,0.8088630545651114,0.8602421428249851,0.6579653153710262,0.8486361675341011,0.9562207682134639
GD43,170.57480860834832,13.476046404050686,5.10388237028748,18.927852534224826,0.8599813889438613,1.2682448091972416,2.3947888418681944,0.8555720988296177,0.7118689131352033,2.0926268901956298,0.5000135736466069,1.4657597180867186,1.0999988705680344,0.8445734681756476,2.883515921380307
GD53,0.44692943997137247,0.19792012167761178,0.09520287529515195,0.4195345616923172,0.02177662512850946,0.041186816668806026,0.12117715626106143,0.020163435940101556,0.0537251456874452,0.49429864281136926,0.02774614369397027,0.07417099476647848,0.4989036592884646,0.09704359818568604,0.15152910898144306
PS,1.9633687222225316,1.5028910275353964,-5.310196926805676,1.3479841068379161,-26.689914552104785,-6.975645150438934,0.20918459270494133,-4.94208388400537,-1.8584815209056833,0.9767416791318927,-5.4525650176429385,0.6409548989551783,0.9656889078373808,-2.7937507918011244,0.6952289916421626
rCIP,18.942900034710355,211.2379451819,2293.776956587106,15.415338834427681,1899.283549457377,379.8306179649778,29.368503771200754,50.86632030964597,20.403104722786562,1.7128196198848336,58.890508358477575,0.32461446691977985,0.7677084125175657,1.1802330239844936,1.2767436225187757e-13
WB,0.06869367893579205,0.3497088277278893,1.9291147124327677,0.6551114626659893,25.024061719385106,18.26306061679456,7.5482626842839675,97.89073507265016,32.206319501847034,58.83708669121243,116.98985670210989,157.2981087964929,593.2894631946068,35.95813021652137,33.263234288721726
XB,0.008586709866974004,0.27507209249280545,0.48325217137431814,0.06571334116248351,2.368983040731951,1.4074937255461957,0.8082282631789321,1.4609670529607834,2.5048637063790653,0.3830980922169934,3.587563376999005,0.3779918453971425,0.6850880879117249,0.9914458200230523,0.08555244740185293
SSE,0.00479703185802192,0.038618664503799124,0.5241916355668975,0.13457108591119687,45.158854018956305,29.933316665622915,6.365222318553713,215.43433745519565,166.13151308765737,99.32752592127113,320.3957238935086,401.03413277726185,389.141443483497,494.6148199259699,493.68408423713674
RS,0.9335873845071829,0.6959097070377435,-0.3310921772432836,0.5822452052189364,-2.1508011475771815,-0.8251376144715029,-0.11218909943994572,-0.6337936381747529,-0.4827319970777618,-0.11125571302193618,-0.7582648565332145,-0.22846344490852044,-0.051530322410704314,-0.995060407679631,-0.4686934219893776
DH,0.10339713116784897,0.044705344068916505,0.014653038115505012,0.27479405922740846,0.005271436445905334,0.02032880053976231,0.19291603954008615,0.02263002830116364,0.0822605525816637,0.48164102166954886,0.024531921472520545,0.16375188862220297,0.5188186302703156,0.04105000385227749,0.10868109526754981
B,0.02576012960092202,0.06992051893249482,0.12830153229431274,0.12346656110167649,0.22774248801720054,0.29927408151976553,0.4184115544486629,0.37531188842018953,0.31876695095914803,0.39449945860251673,0.3586339306308762,0.3499939137546982,0.6893309161290215,0.09377041104486193,0.08640549099372105
BH,0.0023985159290109605,0.007723732900759825,0.03083480209217045,0.06728554295559844,1.2544126116376753,2.3025628204325317,2.1217407728512376,21.543433745519565,33.22630261753148,49.663762960635566,32.03957238935086,133.67804425908727,194.5707217417485,82.43580332099499,164.56136141237891
D,4.678187180252325,0.6455592338003509,0.40996768860723976,1.2875378847312917,0.11769754361700113,0.16186465938209396,0.2682728566600997,0.1819807780452148,0.18511836731460082,0.4732460308434785,0.12984862044297113,0.40033840240143687,0.29740074250816545,0.21358043939588828,0.7910178109653037
H,0.017025185378161577,0.5945556374483495,2.7250616487264376,0.10452213315051886,6.524220077414925,2.0703180625833446,0.6474395978536106,1.2483536436290492,1.345778955051278,0.3293265339366622,1.6269196913943982,0.3603326433150574,0.44204829053686373,0.8592563454974846,0.12882634876247626
DBCV,0.999999999989437,0.7222222222069974,0.6107963898135075,0.6028313282062514,-0.0008881877823787918,-0.10852905225187584,0.027777777776899368,-0.4190500766830218,-0.415889100258132,-0.2902555722179583,-0.32668110511559495,-0.4094588675398816,-0.305927255145423,0.7806378878777739,0.9202186996927644
I,0.7329837670780608,0.09659999213081061,0.015756418055427438,0.11758553645062256,0.005692366225675195,0.012455679066821103,0.05476341928781339,0.031405245208361146,0.06340480225486773,0.09850460153504828,0.02557589437749536,0.21233576697026793,0.11008551334596295,0.28672046977064114,0.9386699468715253
C,0.0,0.010989397545693579,0.04295858806175298,1.0889731574929514e-16,0.15875411857948762,0.20049745614670192,0.20006711376530179,0.3611256707302891,0.22467616202585286,0.307105146960619,0.30451736956358566,0.3611824029279617,0.5539526677700461,0.04600147213197835,0.0022125292614485915
