,labels_pathbased_DBSCAN_params16,labels_pathbased_DBSCAN_params17,labels_pathbased_DBSCAN_params21,labels_pathbased_DBSCAN_params22,labels_pathbased_DBSCAN_params26,labels_pathbased_DBSCAN_params27,labels_pathbased_DBSCAN_params28,labels_pathbased_DBSCAN_params33,labels_pathbased_DBSCAN_params34,labels_pathbased_DBSCAN_params38,labels_pathbased_DBSCAN_params39,labels_pathbased_DBSCAN_params44,labels_pathbased_DBSCAN_params45,labels_pathbased_DBSCAN_params50
cSIL,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,
SSE,146.52922361503119,250.8639171931467,128.4272883593566,211.39352205684725,117.06058720974495,223.9437088554891,250.74029354621553,235.89294481178268,244.0452044212795,203.80309034799703,240.6919983814279,276.52226814553956,245.30073695235566,255.231552176583
RS,,,,,,,,,,,,,,
DH,0.11163100302057324,0.28651319969245315,0.11834536203835636,0.3136735049099025,0.15467477598977353,0.23655819278507892,0.432966857948531,0.6079455667222318,0.5700492166823263,0.6138183239392566,0.60522804188066,0.5902653366066857,0.5807755902066131,0.6102088479152005
B,0.1643446819583697,0.13763438358961402,0.3331192042487152,0.9058409218430032,0.4730856684045372,0.6818291593714757,0.9527451305814628,1.6976107077380445,1.2918165582795942,0.7487278676421888,1.7296901259119466,1.949767975251849,1.3901414116000237,1.9231567267364742
BH,0.028357033958056818,0.012974227655864066,0.23607715205218777,0.5426133572716173,0.5607865448087255,0.9568316283960439,0.7622966746787768,3.5934972875461604,1.72136854968576,28.733563141469833,3.746716508758355,7.083021632369079,2.212410350645582,5.517148053018274
D,0.174753244875903,1.2537880966730262,0.05531216834180892,0.26132902633329,0.16068410203068137,0.18355531674925954,0.45325225456186136,0.14148092561767678,0.3708487354129519,0.39472647006586803,0.1428862219532772,0.25717068849096536,0.3558881805259578,0.15760299944324357
H,,,,,,,,,,,,,,
DBCV,0.23328506333143398,0.08387007024529804,0.16402758805142498,0.26128758986792366,0.27855587820308875,0.16799180914653464,0.27603528488781326,0.3900369249936538,0.4308324976354603,0.746749383478346,0.5181752846930441,-0.09473800196282871,0.4328118223532368,0.39537185342959397
I,5.16023234328115,985.0351739769178,0.36322403111429985,1.9190144483027378,0.20133356472234623,1.3168880654172823,8.05760818297827,2.0758960429492097,5.778198478200918,0.28342283268699986,2.058582186786181,1.1976470561516517,4.008346292924222,1.4535874882015059
C,0.605056739101907,0.5935545101308655,0.24102348535564236,0.5092959897229301,0.041441430946405615,0.2725884974910313,0.5155458688925968,0.3104165483931145,0.46088052210125674,0.2792649901636962,0.29474045006905686,0.1289626781953339,0.4168509644080756,0.20138265435326944
CDbw,0.35395599874075456,0.5254549781090209,0.45182223131704535,0.2715645570726236,0.33386002387518576,0.7724721747549113,0.4291313790595416,0.12089962175698928,0.29205763385714806,0.1609479004438175,0.09364341685073604,0.055335024412194865,0.22911926353275866,0.06701768738156631
VIASCKDE,0.33331296607699523,0.40543978042262246,0.3836290656054191,0.42555068326647943,0.48262287128698506,0.49627417626433623,0.4147732604384825,0.568429894767232,0.43368145060351654,0.5526869538361231,0.5581537088990334,0.5155965947781502,0.4593159778628257,0.49686103713110646
COP,0.27161223485353125,0.3068066976738671,0.2224643662929783,0.2784516595285201,0.19313973791617206,0.2526989201886654,0.2891456819987099,0.27646700797185375,0.2856107945050514,0.32931137217099926,0.27328186186975717,0.24925605268301299,0.2843107993946671,0.25920933744389224
Sym,0.004011665628972566,0.012158604823719265,0.007436467190879793,0.007127817940497198,0.020409212009370344,0.012276200501604042,0.010722571174469323,0.014683387403700348,0.014137280869571472,0.015039818262230876,0.01481731967408139,0.010790684976474813,0.012571613462151294,0.012447647756588392
CS,1.1215981041554937,1.6783655324175517,0.9156868415076038,1.7047942897947426,0.9750221657470842,0.9560658186889213,1.857086121557658,2.2168536609070792,2.059888839442537,2.9762466881042204,2.16615954790698,2.0300982783622077,2.248747548636049,2.1479885326493107
SF,0.20170222856763587,0.3530779235604774,0.11280228771646883,0.23036881995517422,0.08703559258796023,0.17781802658041979,0.2886429209269752,0.2310051181254248,0.2759534589983059,0.17790761237640385,0.23205942465478013,0.21779791540751958,0.2630961136044837,0.21734612449860058
SD,23616.382240429764,80192.78972093723,28554.963210409132,82994.516589919,31312.53329378634,73943.92523735444,127977.366672943,242913.64092855353,192580.5548211326,340156.18305000186,242122.4488181548,261822.0102683306,205196.41565351243,259614.72325035438
SDbw,0.5987877379577617,1.3577667638112083,0.24582890584729822,1.252725714297327,0.23119497039440484,0.4848340246772877,1.5543105917710205,1.70218682639754,1.767398904609934,2.108627351243296,1.6918294898143569,1.5749399414575806,1.710648294554071,1.6449669846943153
XB*,57.92912233126266,26.944044687880467,197.9429990042584,18.659731263081582,8.347746382190572,7.563415558031428,11.29306822575202,4.059755645691507,4.661978737930059,16.844812833652515,3.7648821223240163,3.357005129443446,6.232875045471407,3.458267917389516
S,-0.26702913124329536,-0.4549426528272544,-0.003367215975148548,-0.06541619630590949,0.17886332836851496,0.006843804837934826,-0.0837352252813333,0.2509499820309109,0.0890817169252227,0.2132453974557476,0.2655619587345378,0.4081907983163652,0.14390441555432218,0.338029523441237
DB,2.0609150333027397,1.5168264996222207,2.304639797908605,2.5765204842064153,1.0677219974884944,1.539055956869676,1.9072066314871832,2.4296768111249913,2.261820270975861,4.724192803364629,2.345122233950738,2.114291333598502,2.543907517949711,2.2768692658753644
