,labels_x2_DBSCAN_params11,labels_x2_DBSCAN_params16,labels_x2_DBSCAN_params17,labels_x2_DBSCAN_params21,labels_x2_DBSCAN_params22,labels_x2_DBSCAN_params26,labels_x2_DBSCAN_params27,labels_x2_DBSCAN_params31,labels_x2_DBSCAN_params32,labels_x2_DBSCAN_params36,labels_x2_DBSCAN_params37,labels_x2_DBSCAN_params38,labels_x2_DBSCAN_params42,labels_x2_DBSCAN_params43,labels_x2_DBSCAN_params48
cSIL,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,
SSE,46.327604260091434,92.40823432007798,47.320972584451866,94.3135093705025,68.72136249660181,119.02722724450706,86.6414504847573,86.64542755666888,84.10499030712108,90.66168007844095,91.46929854119809,89.12624075413254,128.65435885048112,95.2481006231987,116.08843832688702
RS,,,,,,,,,,,,,,,
DH,0.49801384678520494,0.23483188350170098,0.5571547371952047,0.29160753562062247,0.5466687411093558,0.39357050704005553,0.4838130031344786,0.3677623409257517,0.4925247496963562,0.46926788828758265,0.5147118307171019,0.47209824313213333,0.5242440392943727,0.5231015114354503,0.4920730387793231
B,0.022899617484555334,0.2745537362419864,0.37275077576542276,0.6788032542544273,0.41370063841969845,1.6086266998783374,0.6168357045131497,1.5001404497266568,1.6832514136226315,1.4722301971613965,1.7079948598547037,1.6166714253914913,1.9429498286173013,1.7627973421023144,1.820299293530278
BH,0.0002162583163619611,0.031935374677052056,0.057360800052368315,0.11164071626039411,0.19619064235288922,0.2774724846160912,0.31943980668490624,1.0729376700148872,1.672234866096046,1.7568204929659146,2.011115817956142,1.8242988477154471,3.190300970430556,2.1789587432654955,2.6651123682106017
D,7.203167849918822,0.2974838100533405,0.9528074663993514,0.38350733317923447,1.7292454497827836,0.3520565019622475,2.1891407849860776,0.06268327453214866,0.04505250184295222,0.06776619866795101,0.01463071033667653,0.04505770729528623,0.07685892326946105,0.0385096307061418,0.13785507307890552
H,,,,,,,,,,,,,,,
DBCV,0.04999999999362791,0.14093702809942268,0.08619928921272377,0.3353664440339067,0.24984382487729742,0.27597096108196273,0.21654375515531524,0.561416588888314,0.6659511802025905,0.47798504297864425,0.7115479338969062,0.6784946962407881,0.5605103009102822,0.6295723009828019,0.46834499826829107
I,1033.2428947244591,2.5949171737453955,1.568643580664977,4.387868696640252,1.4133979245428725,4.54122386437725,1.0998182838719173,0.4796508190348825,0.8685041632226974,0.3948195827759823,0.7450829345196981,0.8682292097691132,0.4378793363144163,0.6669209523740103,0.5504915443626329
C,0.7291856555683552,0.5146502797617688,0.6369657054630835,0.3289770317560334,0.4634447038393231,0.24834089881626217,0.29703956445748514,0.0845749354442966,0.11442373302489832,0.05115168337790224,0.07856425321459119,0.09594666418004329,0.04103903706234323,0.06688552316940367,0.051436951937313354
CDbw,0.406328726631015,0.3146589662352749,0.26800106443679617,0.5536648782384704,0.2748368802888977,0.5077710477369062,0.26980407681110496,0.3638014667700799,0.2706969290232983,0.2914310395235769,0.2555682521692159,0.287592208887138,0.16785552156245737,0.20541730839336428,0.17869036897422283
VIASCKDE,0.27718800498810126,0.28765872760984385,0.28363087762323913,0.40711378576176077,0.38584377499413886,0.42931340589748695,0.4451514961877939,0.45830746361686264,0.4462305832319633,0.4657539039379996,0.4277597301152547,0.41331328881055984,0.46885453696182267,0.45377451131726915,0.4671203311397473
COP,0.35639820217115303,0.4289647769682761,0.4328624304507376,0.41829180621380047,0.477852264014318,0.40624363288631143,0.4260774378220476,0.3221298600744615,0.33606836471617896,0.3313488635544931,0.3345842839852898,0.3323096348133919,0.3406223219189355,0.3344944789374727,0.33982120607568495
Sym,0.006082855962199909,0.013712270443081832,0.008381229632493869,0.026421662606950645,0.02135469716155497,0.04328938125856709,0.037572858603377376,0.039711531836896796,0.0483016367532617,0.042393597731187796,0.04971661333230069,0.050554608854699784,0.04657659670084027,0.045681783392549705,0.04837315232047605
CS,5.450640517409021,1.8250347710201789,4.046919907226795,1.9297228122050072,2.3075361069059803,1.869635614847629,1.7175197440785706,1.9928017328111653,2.4077113020806595,2.2064672690285287,2.3259847150273085,2.178116552975012,2.221022624503086,2.261339284782138,2.063751650165232
SF,0.4435748501158647,0.3364140080508854,0.38689239798349084,0.32096203864371053,0.3490575053849948,0.3387374131047921,0.3674820885979969,0.2536354422869904,0.3135062757813577,0.21942184620118377,0.2896083444126031,0.3227223013966558,0.2520473987103756,0.27972789991098634,0.28840783906425693
SD,85522.5055736168,45027.9385405219,108755.54073974567,63208.5352038002,129701.99405360303,90322.40182598466,115435.11810725833,94694.74303918428,137852.46575511692,155735.93566205885,159903.15215400097,133894.43957085273,215138.87564269538,172896.8959374499,167199.97424082627
SDbw,1.8734443206575984,1.3890603730257647,2.152854639275855,1.0161154502129848,1.9294881956969998,1.3498621625934533,1.7064952532338902,1.0702041323259899,1.5863265952114212,1.486964310119397,1.531031211909443,1.614024926025864,1.7001708281119736,1.5532589435713389,1.525270365980976
XB*,43.85644683210352,27.192473649222094,27.389640980575667,20.34468516433749,5.559703760297767,7.454476737283417,2.9431280763840584,9.64944981751625,21.54016857266965,22.705038707989004,12.136926392557715,12.76316370042572,6.976482232373361,10.045160719506503,6.609252100958239
S,-0.37430233739009416,-0.0324895504273389,-0.15071720999868343,0.08229793532030892,0.10575867850621416,0.21688689431316935,0.3061613188106387,0.2274144339653406,0.39155493996645613,0.4649035406565075,0.4608689291597899,0.41166477081961783,0.5286775256596901,0.4828101075686158,0.4971662657675618
