,labels_ring_DBSCAN_params1,labels_ring_DBSCAN_params11,labels_ring_DBSCAN_params12,labels_ring_DBSCAN_params13,labels_ring_DBSCAN_params16,labels_ring_DBSCAN_params17,labels_ring_DBSCAN_params18,labels_ring_DBSCAN_params21,labels_ring_DBSCAN_params22,labels_ring_DBSCAN_params23,labels_ring_DBSCAN_params26,labels_ring_DBSCAN_params27,labels_ring_DBSCAN_params28,labels_ring_DBSCAN_params29,labels_ring_DBSCAN_params31,labels_ring_DBSCAN_params32,labels_ring_DBSCAN_params33,labels_ring_DBSCAN_params34,labels_ring_DBSCAN_params36,labels_ring_DBSCAN_params37,labels_ring_DBSCAN_params38,labels_ring_DBSCAN_params39,labels_ring_DBSCAN_params41,labels_ring_DBSCAN_params42,labels_ring_DBSCAN_params43,labels_ring_DBSCAN_params44,labels_ring_DBSCAN_params46,labels_ring_DBSCAN_params47,labels_ring_DBSCAN_params48,labels_ring_DBSCAN_params49,labels_ring_DBSCAN_params50,labels_ring_DBSCAN_params51,labels_ring_DBSCAN_params52,labels_ring_DBSCAN_params53,labels_ring_DBSCAN_params54,labels_ring_DBSCAN_params55,labels_ring_DBSCAN_params6,labels_ring_DBSCAN_params7
cSIL,0.9773672716501923,0.93963315118703,0.8981337201107275,0.8893145298839921,0.5083641599194801,0.5770837226815214,0.9760136575904411,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,0.9865076571337072,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,1.723685959575949e-06,0.9076087886651354,0.9535888897260771
GD43,277.0029055937834,0.4673200026490204,2.134092901038268,10.508473508096033,0.27717749829042726,0.27717749829042726,2.2615547232153306,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,12.713382588856465,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,0.0009488270780049281,28.90523431088725,45.828998839429474
GD53,0.05548166330562869,0.00017429193930076385,0.0019190990976396625,0.05066164777222408,0.027312112962872725,0.024600826266853473,0.012143269521056202,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.05306868605390257,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.2602074025546607,0.005448556363909364,0.047150150874836025
PS,-7.402951183711476,-63.781659554404825,-6.11608757125172,-4.383627155211235,0.5134017540433489,-0.4130907170462961,-10.418731744745148,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,0.06580187066873536,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316,-41.54726913439299,-13.151840286934345
rCIP,89.7443167626,61.16522784761054,2.494675986935493,54.383936044836254,0.37736387636028135,0.5918435566132315,0.6453471721502444,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,9.70366005550218e-10,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,0.3318411546106944,1285.3717915958157,108.98531437705152
WB,0.004831862714487076,4.495099351030289,3.9315060133814526,0.3138735188843293,5.583468274589287,6.803772800151836,1.9465574834114123,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1.3861804974527963,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,1256987.8297265866,0.06570353090871064,0.04466167718623212
XB,0.09901033949118339,18.600011886895114,1.2768712741336763,0.5621331077700771,1.6190571320061518,1.6018055417700092,1.0131652917791996,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,0.03725900506777845,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,157123.47871582332,0.37121825099255384,0.15810048690133982
SSE,0.0006520740478057906,16.67297497229227,16.317639594668172,0.3089797930871173,278.87276517507894,275.9012834541966,18.97136205873071,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,19.02395561434401,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,478.65661877842865,0.03854075128378407,0.011441021423122852
RS,0.9955418434200097,0.8581654958217707,0.6275619657608952,0.7690855601524317,-1.0119769573916295,-0.9710349389266921,0.7745539859499536,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,0.6218533319640883,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,-0.9999968177944599,0.9602679540005837,0.9666434455431235
DH,0.013018758387116806,0.0174536351529869,0.04911615452457058,0.10900805074632194,0.452378065814247,0.36124289117406694,0.055319738650745603,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.11806169264434252,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.7581180507926714,0.021377628094867516,0.03337544445408048
