,labels_ring_noisy_DBSCAN_params1,labels_ring_noisy_DBSCAN_params11,labels_ring_noisy_DBSCAN_params12,labels_ring_noisy_DBSCAN_params16,labels_ring_noisy_DBSCAN_params17,labels_ring_noisy_DBSCAN_params18,labels_ring_noisy_DBSCAN_params2,labels_ring_noisy_DBSCAN_params21,labels_ring_noisy_DBSCAN_params22,labels_ring_noisy_DBSCAN_params23,labels_ring_noisy_DBSCAN_params24,labels_ring_noisy_DBSCAN_params26,labels_ring_noisy_DBSCAN_params27,labels_ring_noisy_DBSCAN_params28,labels_ring_noisy_DBSCAN_params29,labels_ring_noisy_DBSCAN_params34,labels_ring_noisy_DBSCAN_params35,labels_ring_noisy_DBSCAN_params6,labels_ring_noisy_DBSCAN_params7,labels_ring_noisy_DBSCAN_params8
cSIL,,,,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,,,
SSE,348.93220222239745,64.42554068040192,75.48377932441925,162.94015992112588,162.94015992112588,162.94015992112588,164.56462835270338,162.95091693513723,162.95091693513723,162.95091693513723,163.06771768749138,171.480621479655,161.03888586749733,158.93805574877214,159.09045614845576,171.51304039302514,182.05592597276063,175.5004388717192,306.43307277297896,161.78414961807383
RS,,,,,,,,,,,,,,,,,,,,
DH,0.035095680942025136,0.10062026177160373,0.06848727611157489,0.9171759519545442,0.9171759519545442,0.9171759519545442,0.08987593829623343,0.9249611808696938,0.9249611808696938,0.9249611808696938,0.9233262481302474,0.6894567163748079,0.9398307719510193,0.9407301524066937,0.9391036704772352,0.9430918128571576,0.4323428344517377,0.03231259430463451,0.15329160730837912,0.15318829141110213
B,0.13590356485945781,0.09914653767920319,0.07653282228583236,25.079733790471252,25.079733790471252,25.079733790471252,0.028628123416928185,25.17972497558449,25.17972497558449,25.17972497558449,24.669381848675858,0.7739730416800994,36.82132826333226,80.07798199607875,74.58130438427067,10.797755553006933,0.7778750625693538,0.025812516730855817,0.08363519280741556,0.12814054563072694
BH,0.00010015446706869423,0.20122917956535252,0.13033046267768522,46.106858014314106,46.106858014314106,46.106858014314106,9.08677017054756e-05,46.47087632932874,46.47087632932874,46.47087632932874,46.410167998145056,35.59699298529667,47.414542208997666,47.2369948295327,47.19379308961567,48.361632586633654,2.6940191567200746,0.06679476676102025,0.12424392965854271,0.003910521569803933
D,0.1635766867002591,0.25281094050684266,0.22016218657481434,0.32253040211270756,0.32253040211270756,0.32253040211270756,1.0490732338184705,0.3188807572063182,0.3188807572063182,0.3188807572063182,0.3218886941772787,0.31101861035415024,0.29112071133651646,0.30440937446885424,0.32617745762443706,0.18267730755396597,0.25346651661788894,0.1825060857205071,0.21758918253689064,0.3300765691531993
H,,,,,,,,,,,,,,,,,,,,
DBCV,0.24002051356609425,0.5932706707861146,0.7658278497683538,0.9405847291193957,0.9405847291193957,0.9405847291193957,0.09712588420512952,0.9476947351464072,0.9476947351464072,0.9476947351464072,0.9476800594466642,0.9311007761847804,0.8682584493897901,0.8362983812433716,0.9520020530710418,0.9650785537727452,0.25227547397177513,-0.05382292583282109,-0.1697268672918625,0.19842779963397605
I,19.667048275674208,0.025141012255190512,0.01702292418416471,7.684419216352964e-07,7.684419216352964e-07,7.684419216352964e-07,99.80077461923932,2.5550035080907494e-07,2.5550035080907494e-07,2.5550035080907494e-07,3.642904526245611e-07,0.03777491004463132,3.41987450419983e-06,2.1402945081736626e-06,1.4889188559069586e-06,3.1105142720383937e-06,0.10167129216213255,0.013825879256539922,1.668754396730048,1.972279157554406
C,0.7237300912401738,0.026590684351875435,0.04190256457613827,0.32800686513704347,0.32800686513704347,0.32800686513704347,0.679456962750344,0.3295520195447942,0.3295520195447942,0.3295520195447942,0.3290703066130628,0.33726342061020015,0.33716600895702237,0.3357375691132445,0.33537173715314267,0.3407613377053139,0.017913035624417668,0.293042957110463,0.6359705853036048,0.7261315902367331
CDbw,0.36971115237931285,0.20214375895339803,0.21196598535726488,0.11350820690410068,0.11350820690410068,0.11350820690410068,0.5988570843081921,0.11807517618842303,0.11807517618842303,0.11807517618842303,0.11853486241037334,0.13296680224454022,0.11766040757557673,0.11298447476592763,0.11367197859721652,0.10205350004851631,0.13792313373427564,0.3433136362281244,1.0034248296645984,0.4724851661302962
VIASCKDE,0.4221970065377326,0.5957337970802493,0.5584518017662932,0.7628095736908276,0.7628095736908276,0.7628095736908276,0.555551370410389,0.8711091657149963,0.8711091657149963,0.8711091657149963,0.8698260102860634,0.8959970320095121,0.8948966660038763,0.8915157476192326,0.8831097870014211,0.9194472124579569,0.8817778589125006,0.4158713960241153,0.5116306109528677,0.5043184612071471
COP,0.2803791790474612,0.3037550204366968,0.3004541663622992,0.6408002446614279,0.6408002446614279,0.6408002446614279,0.2768521453566391,0.6431648138975983,0.6431648138975983,0.6431648138975983,0.6428318818012936,0.6372897701391658,0.6385239083897977,0.6464678561621262,0.6461988016812378,0.5135228796673821,0.2986475540742455,0.3432428743495514,0.36756126797317457,0.29259074615457525
Sym,0.001927075456642214,0.004899135443400047,0.002772824037800201,0.004476033485540557,0.004476033485540557,0.004476033485540557,0.0014886217172642036,0.004362963469225529,0.004362963469225529,0.004362963469225529,0.004417911244158199,0.020550961428738045,0.003225777278594867,0.0022879560692551652,0.0024307457663330172,0.005485889554203552,0.013113994423565362,0.001896129629738363,0.010235496013066987,0.0019230216604035773
