,labels_ring_noisy_DBSCAN_params1,labels_ring_noisy_DBSCAN_params11,labels_ring_noisy_DBSCAN_params12,labels_ring_noisy_DBSCAN_params16,labels_ring_noisy_DBSCAN_params17,labels_ring_noisy_DBSCAN_params18,labels_ring_noisy_DBSCAN_params2,labels_ring_noisy_DBSCAN_params21,labels_ring_noisy_DBSCAN_params22,labels_ring_noisy_DBSCAN_params23,labels_ring_noisy_DBSCAN_params24,labels_ring_noisy_DBSCAN_params26,labels_ring_noisy_DBSCAN_params27,labels_ring_noisy_DBSCAN_params28,labels_ring_noisy_DBSCAN_params29,labels_ring_noisy_DBSCAN_params34,labels_ring_noisy_DBSCAN_params35,labels_ring_noisy_DBSCAN_params6,labels_ring_noisy_DBSCAN_params7,labels_ring_noisy_DBSCAN_params8
CS,0.8465442171686334,1.407383517529071,1.2525243187832424,26.03639336771319,26.03639336771319,26.03639336771319,3.0647384944437177,27.011469449647265,27.011469449647265,27.011469449647265,26.57218733846951,3.924980720882462,31.064699799351803,45.18297585704393,44.62238171455573,19.485653836170776,1.7327189117371626,1.0460893459580334,1.0285428584876417,2.9228376027766734
SF,0.421225984121953,0.20853118308764063,0.2267026057085949,0.25466615266585524,0.25466615266585524,0.25466615266585524,0.48673790922055793,0.24716805177362866,0.24716805177362866,0.24716805177362866,0.24860621932848248,0.22042226999191927,0.23515593363427345,0.2370065489075428,0.2394586379039021,0.20617332999542104,0.16723944659630996,0.31547392899128057,0.39411943377367276,0.44091974449577165
SD,11648128.145885227,45809084.09590863,28493698.52845929,832847170.2200037,832847170.2200037,832847170.2200037,30920953.63552955,885272958.9777131,885272958.9777131,885272958.9777131,874602912.2215717,761593332.5738517,985399094.4968601,962845537.1347592,945616488.1759123,1227381183.7387614,387192060.6365719,15060991.588551398,79214301.83019985,52638449.04513273
SDbw,0.9406301131542096,0.2864108966494001,0.23956487366658524,6.310556451568432,6.310556451568432,6.310556451568432,1.7190255756396504,4.740574961807448,4.740574961807448,4.740574961807448,5.015322956808352,5.965796498218417,3.1037281803964722,3.0730680862285813,3.1226355077267614,3.528128116705013,1.3412491097988348,0.17839031998564708,0.6284614903360219,1.6191265137432718
XB*,2827.213432339141,207.47355391810882,266.1970640268411,73952.26609249761,73952.26609249761,73952.26609249761,825.0441545212439,241121.15895350915,241121.15895350915,241121.15895350915,166538.53969469707,19080.89434878639,20457.550347983197,31877.47025895026,44691.21387280252,29820.451937023645,32.619474019800144,21817.944910379912,248.18267634439144,736.4403782212554
S,-0.354771441699005,0.43053842421730276,0.45572895114276935,0.24387843103106288,0.24387843103106288,0.24387843103106288,-0.4365148891552764,0.24482913748861923,0.24482913748861923,0.24482913748861923,0.24481605227524927,0.2137129207420391,0.24497694894061386,0.24472308980590102,0.24468683278178077,0.24785099351987616,0.5261966553937489,-0.2822569795562258,-0.2051272410090443,-0.17219629556661778
DB,3.7020334453440134,1.6492049934710935,1.2677719793124709,172.58224096383006,172.58224096383006,172.58224096383006,3.4204466950472763,294.4484373116074,294.4484373116074,294.4484373116074,247.50184072913353,59.72504232673124,82.74380191079075,105.9823147285856,125.62680609682423,83.66650274638057,3.0249626302894654,6.302210333218141,3.570899848732754,4.110167706707579
CH,0.8458407739930502,131.12248256776823,74.12148856951436,1.604812400224865,1.604812400224865,1.604812400224865,0.45375609242907294,1.3708718109894535,1.3708718109894535,1.3708718109894535,1.4393994494135285,3.901978700533788,0.6962198158588286,0.3418243790132711,0.37474230828782773,1.456232318519096,525.7245295523984,10.175988786681712,7.844654676206344,1.6967963965495823
AD-S,-0.25159629746385304,0.28202084302757807,0.27286163099199645,0.5862212497242912,0.5862212497242912,0.5862212497242912,-0.0028636203526723417,0.6470610204727325,0.6470610204727325,0.6470610204727325,0.6462068317038868,0.6000855016375473,0.626074420251717,0.5877764447013903,0.5871456052894823,0.57506442898838,0.49392967187669606,0.012806677129988703,-0.30109231992722524,0.007560075939916828
AD-DB,12.107566347020015,1.8035461379862174,1.5748749326588884,1.9611035920428168,1.9611035920428168,1.9611035920428168,10.948911176904367,1.9628797733184709,1.9628797733184709,1.9628797733184709,1.9463237663895239,2.2492405544423084,2.1652078924702094,2.2015228212811535,2.1751929545086592,1.881352091793157,2.321762827659467,1.8329015428626474,7.642812690536199,8.07952703516087
AD-CH,1.0135085080752493,97.96060980734667,59.9531425704728,799.564522830915,799.564522830915,799.564522830915,0.681198047427013,921.6378820844922,921.6378820844922,921.6378820844922,920.612652234583,527.5852500737894,787.1496061880531,795.9861960239334,795.4211918699007,678.8412000951587,487.59113719506115,11.440213858556515,14.694066920934043,12.624366915075912
AD-idea,2376.265194241662,30571412.957900733,941312458.3228971,14.286518455392123,14.286518455392123,14.286518455392123,2.1477990262005373,18.768627325939153,18.768627325939153,18.768627325939153,18.714391492377626,10.083001013268923,9.949165096112832,9.906616829341834,9.877249012131285,12.33369799382776,18.63301762898693,29694666.03899597,22.88767434885367,4.592080815788658
