,labels_ionosphere_MeanShift_params10,labels_ionosphere_MeanShift_params12,labels_ionosphere_MeanShift_params14,labels_ionosphere_MeanShift_params16,labels_ionosphere_MeanShift_params18,labels_ionosphere_MeanShift_params2,labels_ionosphere_MeanShift_params20,labels_ionosphere_MeanShift_params22,labels_ionosphere_MeanShift_params24,labels_ionosphere_MeanShift_params26,labels_ionosphere_MeanShift_params28,labels_ionosphere_MeanShift_params30,labels_ionosphere_MeanShift_params32,labels_ionosphere_MeanShift_params4,labels_ionosphere_MeanShift_params6,labels_ionosphere_MeanShift_params8
cSIL,0.9406165990636804,0.894399932931424,0.935991889736303,0.9406165990636804,0.9273459722335023,0.933636676344123,0.9098367153786543,0.90698248936324,0.9430109197745985,0.9712129008442537,0.9649839098535224,0.9652236598574109,0.9635971886601878,0.9149651104730376,0.9397515538546221,0.935991889736303
GD43,0.13039206200713088,0.12227215686340433,0.12758531593649164,0.13039206200713088,0.15248081271318353,0.14575439391443484,0.10579216730246242,0.11219717977652023,0.13521372980967344,0.2727774273676806,0.2507213952188623,0.25148976500496173,0.2506009510752661,0.08675379666270676,0.13039206200713088,0.12758531593649164
GD53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PS,-32.6365772216832,-25.93391503796441,-34.08180851845371,-32.6365772216832,-21.579722768966757,-38.509161812647875,-23.883546775759946,-25.314340067789466,-19.983004792291688,-11.933138594446802,-7.742029373542293,-10.218299921117298,-7.485222228828355,-37.145854949979814,-32.7333800399367,-34.08180851845371
rCIP,5.541202301521869e-14,4.845887790990258e-14,6.983134517585087e-14,5.541202301521869e-14,2.15650979296039e-14,2.29505658790604e-13,3.238143894890046e-14,3.536496576622781e-14,7.848633313766491e-15,5.979303903727482e-17,6.88174456657091e-18,3.251170952817218e-17,6.767186247926611e-18,2.3648320150644145e-13,5.960360827678304e-14,6.983134517585087e-14
WB,31.674761166022375,42.36529339035618,31.490037720429218,31.674761166022375,51.668909175187544,21.55826428580115,48.97073311397517,47.316112559866646,55.378926171073275,83.24277813762376,85.98740745297388,83.75744734456919,86.49225338835915,26.828412543891055,31.501268521029527,31.490037720429218
XB,1.5023847561714208,1.5667126734599712,1.5339589550416763,1.5023847561714208,1.666982696924718,1.4748321849541113,1.6998955946880914,1.6371736227652443,1.8563510397588685,0.41258756207510355,0.4440761413171526,0.41889290527805983,0.4490635618096015,3.0295034076124567,1.4965897304169262,1.5339589550416763
SSE,990.9877001122346,1367.892823698088,968.7236780446634,990.9877001122346,1616.6203204333328,668.9391298907433,1527.8764182246232,1471.5015313757349,1705.3608201890784,2310.49034762058,2517.6454689304387,2373.8410990561233,2543.4756683717824,822.752624104168,987.1652443658304,968.7236780446634
RS,-2.454830817544508,-4.998498629114449,-2.765887665595719,-2.454830817544508,-3.954229011735612,-2.570979404826376,-4.560734698368855,-4.588622201627436,-3.170976471117257,-1.3546989643143446,-1.3362979421981889,-1.806069904742249,-1.342204127847906,-2.994439705940843,-2.444459566332559,-2.765887665595719
DH,0.0006123500602913601,0.0013083766707275893,0.0006382257676813539,0.0006123500602913601,0.0012573996241777153,0.0005443097744137822,0.0012704522564885373,0.0012502690108720882,0.001114030033588578,0.0011144183177512412,0.001795383186998773,0.001495889399842901,0.0019278355392921233,0.0006278401664578903,0.0006128534040258,0.0006382257676813539
B,0.1745908864791956,0.21515253670711737,0.17442114799152547,0.1745908864791956,0.23700704622246938,0.13213045653322153,0.2308220823681864,0.22782183081702798,0.24198891068414077,0.2769974020189986,0.27987358148053987,0.28039302789807,0.28069398036146537,0.1565309835696603,0.1739837853997596,0.17442114799152547
BH,13.213169334829793,22.42447251964078,12.580826987593031,13.213169334829793,29.393096735151506,7.778361975473761,26.342696865941775,24.52502552292891,32.176619248850535,62.445685070826485,89.91590960465852,69.81885585459186,94.20280253228823,10.033568586636191,13.162203258211068,12.580826987593031
D,0.16376673976039746,0.14411834894456016,0.16184838572529683,0.16376673976039746,0.13605384958548086,0.13545948962069218,0.13605384958548086,0.13605384958548086,0.13605384958548086,0.4812552707935683,0.5433916757182872,0.5286621400621752,0.5432258104592392,0.11929051876850358,0.16376673976039746,0.16184838572529683
H,3.8617093196745538,5.995615858722053,4.373050820764239,3.8617093196745538,3.9424844150097065,4.925586846548184,4.920734022938818,5.389172869393208,2.9410214988416747,0.9538933212672958,0.8696508873045958,1.1347965347990396,0.8720123069118169,5.5337729272664,3.9351056175249504,4.373050820764239
DBCV,-0.5961426209132735,-0.7118571261986637,-0.5495115727140949,-0.5961426209132735,-0.7544506574100824,-0.587178202284946,-0.7569486968416838,-0.7326886930075256,-0.7627750430684377,0.43170236017060365,0.5938524260050249,0.520656193184654,0.5956510463256142,-0.4720492010493953,-0.5930948079853016,-0.5495115727140949
I,0.07351112575039441,0.07481929582096951,0.07156316533434165,0.07351112575039441,0.07588186512856138,0.08578678258144248,0.07275072369989746,0.07131405847322811,0.07688186300643755,0.11113688302593973,0.17444294678319128,0.12691391472726632,0.1853184949465519,0.07566225645185418,0.07384762020736214,0.07156316533434165
C,0.05942184332647652,0.07658157258416189,0.06009807575671849,0.05942184332647652,0.07722543060616836,0.038449768099160064,0.07532505088546021,0.08181492242390886,0.07571088278707408,0.06503403351251931,0.06695220375662289,0.06741273516918618,0.06885692352372791,0.048816191124492876,0.06027881318733775,0.06009807575671849
VIASCKDE,,,,,,,,,,,,,,,,
COP,,,,,,,,,,,,,,,,
Sym,0.00019938770544299908,0.0001656547842610525,0.00019946567395804634,0.00019938770544299908,0.0001564022408257648,0.0002531014118026272,0.000156832133933485,0.00015761960000719292,0.00015456036395449516,0.00015509751349534223,0.0001854735834519054,0.00016347430978001532,0.000189963637467276,0.0002228681038694157,0.00019974077780901021,0.00019946567395804634
CS,0.12789254903440522,0.22393206787559436,0.1376100831481112,0.12789254903440522,0.20021690341545664,0.13599809762623669,0.21389497048439066,0.20743429158786264,0.16668661213286015,0.10918717956583625,0.11495397270330757,0.1255557837702037,0.11920220492331342,0.1570638902194189,0.12800143482980375,0.1376100831481112
SF,3.0262814698645e-08,5.2655657611921924e-12,5.463769436886423e-09,3.0262814698645e-08,2.9422464464801124e-10,2.1755310886106827e-09,3.065570020055475e-11,2.8669733254105267e-11,1.1913284692077752e-08,0.00010792148539340296,0.000382819990591754,4.53714070441924e-05,0.00037990693014433585,3.5082958760312977e-10,3.103566570406002e-08,5.463769436886423e-09
SD,45.226939770856454,82.76720285797707,47.023229599812495,45.226939770856454,84.34059688041191,43.32939359780973,86.87365571382838,79.0325570889543,73.74448141918826,62.12410015816552,72.35748660324782,83.30504135527119,75.13605174844376,51.19019777881337,44.86287094684909,47.023229599812495
SDbw,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf,inf
XB*,2.7932468994328565,2.58907777115859,2.9174958376792173,2.7932468994328565,1.9699280204497018,3.0134249062790617,2.9492902996434425,2.78092384697092,2.282470357322834,0.4582490611714388,0.4955004625635443,0.49409378548755056,0.49597687313084715,6.542844833445659,2.7932468994328565,2.9174958376792173
S,0.17199172322757436,0.1417648727477979,0.1631281468717415,0.17199172322757436,0.1147840232271432,0.19531604023564633,0.12024480459006232,0.1264091420015193,0.11096117390295404,0.1827791289587337,0.2241856754719077,0.18608200543928075,0.22297901457844896,0.14439243094188564,0.17129556212226893,0.1631281468717415
DB,0.6205186607657645,0.782555205815037,0.628889661636052,0.6205186607657645,0.6547716288512418,0.5719691681135828,0.7650144890591054,0.7715939111019315,0.6193014859194937,0.5505814354302084,0.5618292860142572,0.5709598314873094,0.5653325862489413,0.6259374983009223,0.6234385392868746,0.628889661636052
CH,8.79931547882344,6.935315281766694,8.783479642633717,8.79931547882344,5.81515978872748,12.389953050573938,6.067354685624494,6.232871600855777,5.466186497123835,3.8645327755951744,3.883428234634804,3.887126075325262,3.8780707379306287,10.11273557581724,8.847777543629764,8.783479642633717
AD-S,0.29652988428662047,0.2998522475813907,0.29998179041612805,0.29652988428662047,0.2476518488141675,0.3814114085356601,0.3251221655754115,0.3351180150487144,0.31668660098232027,0.5745071978486481,0.6959678174689711,0.7068865000685142,0.6930312059634646,0.3120277126961527,0.29543433767690486,0.29998179041612805
AD-DB,0.7743620736395855,0.9821580369088354,0.7538166075540152,0.7743620736395855,0.8781428478133009,0.7595872980402038,0.8639515812726345,0.9769072512110042,0.7329404820568405,0.5268714383987645,0.6550331941457406,0.6244775447127681,0.6577760170207968,0.7415208582478537,0.7748111856870014,0.7538166075540152
AD-CH,6.706531572654972,6.9565992831171926,6.664948778506762,6.706531572654972,6.913811684308651,6.768539736521601,6.910494863286569,6.8851476852874836,7.138891794143032,7.8997185610580605,9.09358743156006,3.994690983146473,9.24311744473692,6.406433055480195,6.707344211805359,6.664948778506762
AD-idea,0.20289029441894257,0.06342349698531757,0.20792687374742638,0.20289029441894257,0.06287162729776608,0.12951293595983732,0.057827357633889145,0.024895705314919903,0.22329514912086157,1.5548946132595585,2.477602623977946,2.2759141432304473,2.4582292254911575,0.10453301914118461,0.3330639926725225,0.20792687374742638
