,labels_lsun_DBSCAN_params11,labels_lsun_DBSCAN_params16,labels_lsun_DBSCAN_params17,labels_lsun_DBSCAN_params21,labels_lsun_DBSCAN_params22,labels_lsun_DBSCAN_params23,labels_lsun_DBSCAN_params26,labels_lsun_DBSCAN_params27,labels_lsun_DBSCAN_params28,labels_lsun_DBSCAN_params29,labels_lsun_DBSCAN_params31,labels_lsun_DBSCAN_params32,labels_lsun_DBSCAN_params33,labels_lsun_DBSCAN_params34,labels_lsun_DBSCAN_params36,labels_lsun_DBSCAN_params37,labels_lsun_DBSCAN_params38,labels_lsun_DBSCAN_params39,labels_lsun_DBSCAN_params41,labels_lsun_DBSCAN_params42,labels_lsun_DBSCAN_params43,labels_lsun_DBSCAN_params44,labels_lsun_DBSCAN_params45,labels_lsun_DBSCAN_params50
cSIL,,,,,,,,,,,,,,,,,,,0.5092413034372166,0.5092413034372166,,,,
GD43,,,,,,,,,,,,,,,,,,,0.6452622342503379,0.6452622342503379,,,,
GD53,,,,,,,,,,,,,,,,,,,0.38720306888777517,0.38720306888777517,,,,
PS,,,,,,,,,,,,,,,,,,,1.296702055555865,1.296702055555865,,,,
rCIP,,,,,,,,,,,,,,,,,,,0.13642962889211674,0.13642962889211674,,,,
WB,,,,,,,,,,,,,,,,,,,8.470139372221714,8.470139372221714,,,,
XB,,,,,,,,,,,,,,,,,,,0.7940755661457856,0.7940755661457856,,,,
SSE,310.065349798462,339.4167469806499,281.5114128755141,455.50119881240204,409.77888688125137,331.6345830918922,425.189285582082,416.70299846263015,509.1706648031609,342.30828809040463,645.1523264312367,527.1587909357761,515.2515151730752,381.56764929145385,645.1523264312367,645.1523264312367,645.1523264312367,476.332351901503,181.3857833062632,181.3857833062632,730.2467838908874,651.2334374233178,356.1840699355203,567.6386699611439
RS,,,,,,,,,,,,,,,,,,,-0.14662952349899402,-0.14662952349899402,,,,
DH,0.1304386839235362,0.0726911169090668,0.11987037134308595,0.14030779622932932,0.1645722725605673,0.29496370700886076,0.22936058867948209,0.278397406718562,0.23557979114031,0.46715311131222914,0.31538326216394436,0.44752848839569676,0.3392269312943439,0.375038461897071,0.31538326216394436,0.31538326216394436,0.31538326216394436,0.38854572199074733,0.5784122180247997,0.5784122180247997,0.36357518137741157,0.31192807231888753,0.40667931185136347,0.33295617553062784
