,labels_twodiamonds_DBSCAN_params11,labels_twodiamonds_DBSCAN_params16,labels_twodiamonds_DBSCAN_params17,labels_twodiamonds_DBSCAN_params21,labels_twodiamonds_DBSCAN_params22,labels_twodiamonds_DBSCAN_params23,labels_twodiamonds_DBSCAN_params28,labels_twodiamonds_DBSCAN_params29,labels_twodiamonds_DBSCAN_params34,labels_twodiamonds_DBSCAN_params40
cSIL,0.982843662224103,0.7987276388880655,0.9031089966940559,0.5181862370491547,0.6166438314177605,0.888616748564823,0.8017146537891939,0.9661585264160364,0.8208095009894558,0.8621853163912089
GD43,79.54120742687745,0.6124209309592722,4.139793126780065,0.5369831594454694,0.5472656925940214,2.6187576930364,1.2348586783644655,21.388680833939663,2.217889903859459,3.0755845911018187
GD53,0.07609299599573599,0.0016620082437278868,0.020498393789237703,0.0021535278070347395,0.0011989650921007998,0.03887767667409938,0.03585019013979414,0.31124458076716766,0.4923089186351455,0.4854985963662816
PS,-4.326388573126046,-49.806295875010115,-31.087397214806387,0.19385181215748581,-2.220220961620101,-9.242612607367526,-0.6590195808331931,1.512723832936483,1.9608624565583712,1.880035388889198
rCIP,3.998773351481184,102.86992630387014,29.321938110981648,0.4622645238256479,2.300541811351632,14.112468845576867,0.6309865004365458,0.006583964220976778,0.0019524847754708188,0.0022226419453107277
WB,0.008225430411447847,1.5933857769401127,0.30931077088757414,112.83555430500006,4.568139284426318,0.3825940625850041,2.5032621920047626,0.07048559984104041,1.7463350003326898,1.2793868978865306
XB,0.05870593125741193,5.548108285142387,0.45370348595494064,1.7734113343034739,3.1090734853244473,0.9176616546680753,0.7048205522312796,0.05779093659003081,0.21829153138796198,0.15962104964179777
SSE,0.012349282254409368,7.868450113156842,1.3940649264926175,374.62693635570537,147.32024520666437,3.3836559320715756,111.46199332167532,0.5458727042998266,179.8940804852491,96.9442471536596
RS,0.9921304210056353,0.4742943452717256,0.796462236924388,0.0030114714942228345,0.11042467054257701,0.7637864535174396,0.18835160107455687,0.9329243348791678,0.06769192385055696,0.21876912170896523
DH,0.013848245724869784,0.06586761513824178,0.05733269902082728,0.3242912081742876,0.20581751563930362,0.09230899061731455,0.24544589641459172,0.10423369223938295,0.5010051485727995,0.45080987391530575
B,0.00041724632015526387,0.024822453687205127,0.007173583401535492,0.6979021410799067,0.3169292710528103,0.01728872088943736,0.1848641087493498,0.01262374573855046,0.4376806959122753,0.31966928641312736
BH,0.0004410457948003346,0.1248960335421721,0.030979220588724828,124.87564545190179,21.04574931523777,0.17808715431955663,18.57699888694589,0.13646817607495665,89.94704024262455,48.4721235768298
D,0.8878542812016972,0.05870652478355038,0.20050824194326636,0.2054972978105619,0.12557627427653256,0.17574819062317992,0.08585060675176347,0.888350870179754,0.24800590127987562,0.4036071845212888
H,0.4764182125297276,9.352103992370457,4.102598437560003,0.6506062459427037,1.3285100002781967,1.9719341267442199,0.8180534948515873,0.13519242606261805,0.3583497342092531,0.2755672884047692
DBCV,0.9848234029127916,0.20394228865057878,0.7132841758167434,-0.7869866706153256,-0.5579210085852727,0.32113520806496504,-0.4275112017698278,0.903142586173059,-0.2836993765774791,0.4434162872896043
I,19.603850678462,0.0661485402396301,0.4037674168650907,0.14275781050709757,0.1752228543729482,0.6476194889193794,0.3769590435444777,6.182969079559655,0.5980693334736492,0.6572952934706953
C,0.00016465894713446166,0.042252139620958605,0.011318902537862335,0.4335524692552573,0.11094598768170555,0.01545952101596215,0.10088342966991734,0.0013024579882517054,0.09899086131868282,0.06071751621783099
CDbw,102.764746533577,9.200485028184948,1.9756620035040722,4.7778616106679515,2.8601727648961464,1.961841540269903,0.21244970249999617,3.025053704673732,0.0790023329959555,0.03297506969216878
