,labels_mk1_DBSCAN_params11,labels_mk1_DBSCAN_params16,labels_mk1_DBSCAN_params17,labels_mk1_DBSCAN_params21,labels_mk1_DBSCAN_params22,labels_mk1_DBSCAN_params23,labels_mk1_DBSCAN_params26,labels_mk1_DBSCAN_params27,labels_mk1_DBSCAN_params28,labels_mk1_DBSCAN_params31,labels_mk1_DBSCAN_params32,labels_mk1_DBSCAN_params33,labels_mk1_DBSCAN_params34,labels_mk1_DBSCAN_params36,labels_mk1_DBSCAN_params37,labels_mk1_DBSCAN_params38,labels_mk1_DBSCAN_params39,labels_mk1_DBSCAN_params41,labels_mk1_DBSCAN_params42,labels_mk1_DBSCAN_params43,labels_mk1_DBSCAN_params44,labels_mk1_DBSCAN_params45,labels_mk1_DBSCAN_params46,labels_mk1_DBSCAN_params47,labels_mk1_DBSCAN_params48,labels_mk1_DBSCAN_params49,labels_mk1_DBSCAN_params50
cSIL,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD43,,,,,,,,,,,,,,,,,,,,,,,,,,,
GD53,,,,,,,,,,,,,,,,,,,,,,,,,,,
PS,,,,,,,,,,,,,,,,,,,,,,,,,,,
rCIP,,,,,,,,,,,,,,,,,,,,,,,,,,,
WB,,,,,,,,,,,,,,,,,,,,,,,,,,,
XB,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSE,296.4778514179739,219.99703316536068,294.2883872719033,358.9986201142699,267.83420151327005,320.69754371710303,351.5282371450145,440.6728622305173,264.41512200122366,435.9130562404828,398.5615704556785,374.6811136059641,370.49128007567606,358.82389829764054,254.16959602433866,420.5182020067348,378.0424856789714,358.82389829764054,358.82389829764054,302.1621458104379,374.0972907058394,331.16070378211396,409.6538052555717,409.6538052555717,409.6538052555717,409.6538052555717,384.9334283162586
RS,,,,,,,,,,,,,,,,,,,,,,,,,,,
DH,0.2332925651248836,0.07973444235898873,0.1504781012551213,0.12665896205986923,0.18493253621903144,0.3075049265380169,0.26597083438743946,0.31524266220754554,0.2609625591299005,0.3849166191206296,0.43639582458072734,0.43890076515537646,0.3462138451218128,0.34508998484707704,0.5138020790118106,0.41984984922181606,0.44308517791503454,0.34508998484707704,0.34508998484707704,0.4559331076602848,0.3828613672645106,0.4201128271612392,0.28674882757509934,0.28674882757509934,0.28674882757509934,0.28674882757509934,0.43690199372538635
B,0.04719290871607244,0.6045682789475978,0.2945149071776945,1.6292992324442541,0.8895500546192313,0.2419508867376282,1.9967417896203485,2.3916270379021394,0.7986029986146677,2.711199970095277,2.6720407863878006,2.3737747913548786,1.797274832334765,2.159158018780077,2.1437904995226535,2.8063380355038086,2.4736082995768838,2.159158018780077,2.159158018780077,2.3311386106835092,2.1909742309479245,1.8539380802950407,2.057840880386817,2.057840880386817,2.057840880386817,2.057840880386817,2.555155399851204
BH,0.00025659388599667474,0.02117682914388311,0.012853279123285367,0.4593065430588151,0.26085959643363493,0.04188715410127233,2.260170505889524,2.0335238591381017,0.34810897420335435,5.038835094831546,4.757493672758848,4.05432761922524,1.147837020101902,24.760658648595108,24.393351504924002,5.147115933330543,4.401259464444779,24.760658648595108,24.760658648595108,24.522890553921034,5.372958882779485,2.2384382436869035,24.879639262169345,24.879639262169345,24.879639262169345,24.879639262169345,4.6292205350039355
D,8.08044655868379,0.22695038485277153,0.5529833901229694,0.11504913911601905,0.3801955347943885,2.9197445072488453,0.171889357578053,0.47555243594309077,0.8119216828851606,0.09164930429452514,0.2671964765016005,0.4080793104817928,0.682820618758222,0.17574676555677235,0.09602306167402033,0.14751428789289003,0.3029121424185616,0.17574676555677235,0.17574676555677235,0.08540553255389371,0.516990009346361,0.3824573242809677,0.17278767179136395,0.17278767179136395,0.17278767179136395,0.17278767179136395,0.29618237535002656
H,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.046592031322150465,0.40258872786732414,0.18511490458145752,-0.15255631685279825,0.22759418215328456,0.13253976270169254,0.23162840325324094,0.41259761494653147,0.11246835722213476,0.7129993381106409,0.5873718308852797,0.7721899009741094,0.3248076086265485,0.6628706323468717,0.7048091885265052,0.5058713856627995,0.5779807998585796,0.6628706323468717,0.6628706323468717,0.7967631915203811,0.5725214350035805,0.6799600832248152,0.7108096217122195,0.7108096217122195,0.7108096217122195,0.7108096217122195,0.595073684976801
I,105711.5921653911,2.890313195341416,164.69253223568265,0.37381796187964855,3.292729017822358,726.087775066164,0.7482438575606659,1.360492991890313,6.982915451505794,1.05401228984944,1.116808009111347,1.337561737116425,4.5599899208705486,0.4168384661397726,0.4234219537216871,1.0227106701322695,1.2173048987785124,0.4168384661397726,0.4168384661397726,0.4243299276347993,0.968131265587525,2.7728647965823097,0.40936990460106953,0.40936990460106953,0.40936990460106953,0.40936990460106953,1.1407501770286044
C,0.5489839610660974,0.5217207998552232,0.5043423028535164,0.11414174071344861,0.4052912263292393,0.4612649558028071,0.035048659326339736,0.08140803072756463,0.45934098835916454,0.014461776382310415,0.017583002267877818,0.03490701426697738,0.29757394458310094,0.08752732603903499,0.08761463045047982,0.013291107005406772,0.02567401867656733,0.08752732603903499,0.08752732603903499,0.08898441904103493,0.012013533998425653,0.18660614970204611,0.08519941228465681,0.08519941228465681,0.08519941228465681,0.08519941228465681,0.01906425660198174
CDbw,0.5872482776101219,0.4376702356650003,0.7379150455891935,0.4315515871089084,0.5060099269802018,0.7542839046919172,0.4472884221680064,0.3517190758981583,0.6354074333728221,0.2727199114295215,0.2609699367181316,0.3052890988049478,0.5870339816694999,0.5437204691578369,0.17636919531470688,0.2591843033814469,0.24648407336960998,0.5437204691578369,0.5437204691578369,0.23125171353619994,0.24422655212746291,0.4552563219646023,0.0,0.0,0.0,0.0,0.24763200473772876
