,labels_ecoli_HDBSCAN_params1,labels_ecoli_HDBSCAN_params10,labels_ecoli_HDBSCAN_params11,labels_ecoli_HDBSCAN_params12,labels_ecoli_HDBSCAN_params13,labels_ecoli_HDBSCAN_params14,labels_ecoli_HDBSCAN_params15,labels_ecoli_HDBSCAN_params16,labels_ecoli_HDBSCAN_params17,labels_ecoli_HDBSCAN_params18,labels_ecoli_HDBSCAN_params19,labels_ecoli_HDBSCAN_params2,labels_ecoli_HDBSCAN_params20,labels_ecoli_HDBSCAN_params21,labels_ecoli_HDBSCAN_params22,labels_ecoli_HDBSCAN_params23,labels_ecoli_HDBSCAN_params24,labels_ecoli_HDBSCAN_params25,labels_ecoli_HDBSCAN_params26,labels_ecoli_HDBSCAN_params27,labels_ecoli_HDBSCAN_params28,labels_ecoli_HDBSCAN_params29,labels_ecoli_HDBSCAN_params3,labels_ecoli_HDBSCAN_params30,labels_ecoli_HDBSCAN_params31,labels_ecoli_HDBSCAN_params32,labels_ecoli_HDBSCAN_params33,labels_ecoli_HDBSCAN_params34,labels_ecoli_HDBSCAN_params35,labels_ecoli_HDBSCAN_params36,labels_ecoli_HDBSCAN_params37,labels_ecoli_HDBSCAN_params38,labels_ecoli_HDBSCAN_params39,labels_ecoli_HDBSCAN_params4,labels_ecoli_HDBSCAN_params40,labels_ecoli_HDBSCAN_params41,labels_ecoli_HDBSCAN_params42,labels_ecoli_HDBSCAN_params43,labels_ecoli_HDBSCAN_params44,labels_ecoli_HDBSCAN_params45,labels_ecoli_HDBSCAN_params46,labels_ecoli_HDBSCAN_params47,labels_ecoli_HDBSCAN_params48,labels_ecoli_HDBSCAN_params49,labels_ecoli_HDBSCAN_params5,labels_ecoli_HDBSCAN_params50,labels_ecoli_HDBSCAN_params51,labels_ecoli_HDBSCAN_params52,labels_ecoli_HDBSCAN_params53,labels_ecoli_HDBSCAN_params54,labels_ecoli_HDBSCAN_params55,labels_ecoli_HDBSCAN_params56,labels_ecoli_HDBSCAN_params57,labels_ecoli_HDBSCAN_params58,labels_ecoli_HDBSCAN_params59,labels_ecoli_HDBSCAN_params6,labels_ecoli_HDBSCAN_params60,labels_ecoli_HDBSCAN_params61,labels_ecoli_HDBSCAN_params62,labels_ecoli_HDBSCAN_params63,labels_ecoli_HDBSCAN_params7,labels_ecoli_HDBSCAN_params8,labels_ecoli_HDBSCAN_params9
B,0.8209035334013863,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,1.7921574458928737,1.7921574458928737,1.7921574458928737,1.7921574458928737,1.7921574458928737,0.8209035334013863,1.7921574458928737,1.7921574458928737,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.3750291079949495,0.8209035334013863,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,1.7921574458928737,1.7921574458928737,1.7921574458928737,1.7921574458928737,0.8209035334013863,1.7921574458928737,1.7921574458928737,1.7921574458928737,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.4302282238588933,2.4302282238588933,0.8209035334013863,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,2.3750291079949495,1.7921574458928737,1.7921574458928737,1.7921574458928737,0.8209035334013863,1.7921574458928737,1.7921574458928737,1.7921574458928737,1.7921574458928737,0.8209035334013863,2.3750291079949495,2.3750291079949495
BH,85.06190471365751,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,14.401661978945503,14.401661978945503,14.401661978945503,14.401661978945503,14.401661978945503,85.06190471365751,14.401661978945503,14.401661978945503,25.659242915511765,25.659242915511765,25.659242915511765,25.659242915511765,25.659242915511765,25.659242915511765,25.659242915511765,24.46656307812576,85.06190471365751,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,14.401661978945503,14.401661978945503,14.401661978945503,14.401661978945503,85.06190471365751,14.401661978945503,14.401661978945503,14.401661978945503,25.659242915511765,25.659242915511765,25.659242915511765,25.659242915511765,25.659242915511765,25.659242915511765,25.659242915511765,85.06190471365751,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,24.46656307812576,14.401661978945503,14.401661978945503,14.401661978945503,85.06190471365751,14.401661978945503,14.401661978945503,14.401661978945503,14.401661978945503,85.06190471365751,24.46656307812576,24.46656307812576
D,0.9966967784506564,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.9966967784506564,0.18296494310370442,0.18296494310370442,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.19762252766645524,0.9966967784506564,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.9966967784506564,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.2022043684330044,0.9966967784506564,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.19762252766645524,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.9966967784506564,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.18296494310370442,0.9966967784506564,0.19762252766645524,0.19762252766645524
H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DBCV,0.8482400252292157,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.8482400252292157,0.4603000178838103,0.4603000178838103,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4488234333638112,0.8482400252292157,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.8482400252292157,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.4498108035435207,0.8482400252292157,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4488234333638112,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.8482400252292157,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.4603000178838103,0.8482400252292157,0.4488234333638112,0.4488234333638112
I,0.5319551816775296,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,2.474357747871861,2.474357747871861,2.474357747871861,2.474357747871861,2.474357747871861,0.5319551816775296,2.474357747871861,2.474357747871861,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.9205793361998662,1.01336583776462,0.5319551816775296,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,2.474357747871861,2.474357747871861,2.474357747871861,2.474357747871861,0.5319551816775296,2.474357747871861,2.474357747871861,2.474357747871861,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.9205793361998662,0.5319551816775296,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,1.01336583776462,2.474357747871861,2.474357747871861,2.474357747871861,0.5319551816775296,2.474357747871861,2.474357747871861,2.474357747871861,2.474357747871861,0.5319551816775296,1.01336583776462,1.01336583776462
C,0.01502047231399364,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.340185698145366,0.340185698145366,0.340185698145366,0.340185698145366,0.340185698145366,0.01502047231399364,0.340185698145366,0.340185698145366,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.2338509293063572,0.01502047231399364,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.340185698145366,0.340185698145366,0.340185698145366,0.340185698145366,0.01502047231399364,0.340185698145366,0.340185698145366,0.340185698145366,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.22784506878363905,0.01502047231399364,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.2338509293063572,0.340185698145366,0.340185698145366,0.340185698145366,0.01502047231399364,0.340185698145366,0.340185698145366,0.340185698145366,0.340185698145366,0.01502047231399364,0.2338509293063572,0.2338509293063572
VIASCKDE,,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.0483879541706936,0.0483879541706936,0.0483879541706936,0.0483879541706936,0.0483879541706936,,0.0483879541706936,0.0483879541706936,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.047835896232359815,,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.0483879541706936,0.0483879541706936,0.0483879541706936,0.0483879541706936,,0.0483879541706936,0.0483879541706936,0.0483879541706936,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.050967243067643365,0.050967243067643365,,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.047835896232359815,0.0483879541706936,0.0483879541706936,0.0483879541706936,,0.0483879541706936,0.0483879541706936,0.0483879541706936,0.0483879541706936,,0.047835896232359815,0.047835896232359815
COP,0.38165333109239086,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.38165333109239086,0.3061120630079478,0.3061120630079478,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.3256004661765664,0.38165333109239086,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.38165333109239086,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.32932184425336575,0.38165333109239086,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3256004661765664,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.38165333109239086,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.3061120630079478,0.38165333109239086,0.3256004661765664,0.3256004661765664
Sym,0.008875004773462853,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.008875004773462853,0.003149929128495073,0.003149929128495073,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.0030888591583663316,0.008875004773462853,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.008875004773462853,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.003036469693749128,0.008875004773462853,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.0030888591583663316,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.008875004773462853,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.003149929128495073,0.008875004773462853,0.0030888591583663316,0.0030888591583663316
CS,0.5935600069833961,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.4487319245580808,2.4487319245580808,2.4487319245580808,2.4487319245580808,2.4487319245580808,0.5935600069833961,2.4487319245580808,2.4487319245580808,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.7266577176175186,0.5935600069833961,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.4487319245580808,2.4487319245580808,2.4487319245580808,2.4487319245580808,0.5935600069833961,2.4487319245580808,2.4487319245580808,2.4487319245580808,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.8142954348072204,2.8142954348072204,0.5935600069833961,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.7266577176175186,2.4487319245580808,2.4487319245580808,2.4487319245580808,0.5935600069833961,2.4487319245580808,2.4487319245580808,2.4487319245580808,2.4487319245580808,0.5935600069833961,2.7266577176175186,2.7266577176175186
SF,0.2080650646414789,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.2080650646414789,0.15675023111895492,0.15675023111895492,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12523717634172715,0.2080650646414789,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.2080650646414789,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.12072850854811878,0.2080650646414789,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.12523717634172715,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.2080650646414789,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.15675023111895492,0.2080650646414789,0.12523717634172715,0.12523717634172715
SD,1889.9337775266945,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,1974.9206058890786,1974.9206058890786,1974.9206058890786,1974.9206058890786,1974.9206058890786,1889.9337775266945,1974.9206058890786,1974.9206058890786,2604.3173429658473,2604.3173429658473,2604.3173429658473,2604.3173429658473,2604.3173429658473,2604.3173429658473,2604.3173429658473,2498.6792679432083,1889.9337775266945,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,1974.9206058890786,1974.9206058890786,1974.9206058890786,1974.9206058890786,1889.9337775266945,1974.9206058890786,1974.9206058890786,1974.9206058890786,2604.3173429658473,2604.3173429658473,2604.3173429658473,2604.3173429658473,2604.3173429658473,2604.3173429658473,2604.3173429658473,1889.9337775266945,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,2498.6792679432083,1974.9206058890786,1974.9206058890786,1974.9206058890786,1889.9337775266945,1974.9206058890786,1974.9206058890786,1974.9206058890786,1974.9206058890786,1889.9337775266945,2498.6792679432083,2498.6792679432083
SDbw,0.6108241545060437,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.0951220018553636,1.0951220018553636,1.0951220018553636,1.0951220018553636,1.0951220018553636,0.6108241545060437,1.0951220018553636,1.0951220018553636,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.311665634693745,0.6108241545060437,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.0951220018553636,1.0951220018553636,1.0951220018553636,1.0951220018553636,0.6108241545060437,1.0951220018553636,1.0951220018553636,1.0951220018553636,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.3518636364879177,1.3518636364879177,0.6108241545060437,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.311665634693745,1.0951220018553636,1.0951220018553636,1.0951220018553636,0.6108241545060437,1.0951220018553636,1.0951220018553636,1.0951220018553636,1.0951220018553636,0.6108241545060437,1.311665634693745,1.311665634693745
XB*,0.18088145113930104,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,2.252019066573648,2.252019066573648,2.252019066573648,2.252019066573648,2.252019066573648,0.18088145113930104,2.252019066573648,2.252019066573648,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.398460732191962,0.18088145113930104,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,2.252019066573648,2.252019066573648,2.252019066573648,2.252019066573648,0.18088145113930104,2.252019066573648,2.252019066573648,2.252019066573648,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.5933428616087046,3.5933428616087046,0.18088145113930104,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,3.398460732191962,2.252019066573648,2.252019066573648,2.252019066573648,0.18088145113930104,2.252019066573648,2.252019066573648,2.252019066573648,2.252019066573648,0.18088145113930104,3.398460732191962,3.398460732191962
S,0.508938176695904,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.508938176695904,0.16854717448883855,0.16854717448883855,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.2506705737357582,0.508938176695904,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.508938176695904,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.25176217414188545,0.508938176695904,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.2506705737357582,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.508938176695904,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.16854717448883855,0.508938176695904,0.2506705737357582,0.2506705737357582
DB,0.5906787755844302,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,1.9765725971467436,1.9765725971467436,1.9765725971467436,1.9765725971467436,1.9765725971467436,0.5906787755844302,1.9765725971467436,1.9765725971467436,2.457482794606064,2.457482794606064,2.457482794606064,2.457482794606064,2.457482794606064,2.457482794606064,2.457482794606064,2.4035663047527147,0.5906787755844302,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,1.9765725971467436,1.9765725971467436,1.9765725971467436,1.9765725971467436,0.5906787755844302,1.9765725971467436,1.9765725971467436,1.9765725971467436,2.457482794606064,2.457482794606064,2.457482794606064,2.457482794606064,2.457482794606064,2.457482794606064,2.457482794606064,0.5906787755844302,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,2.4035663047527147,1.9765725971467436,1.9765725971467436,1.9765725971467436,0.5906787755844302,1.9765725971467436,1.9765725971467436,1.9765725971467436,1.9765725971467436,0.5906787755844302,2.4035663047527147,2.4035663047527147
CH,29.71743028794212,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,61.04338436990123,61.04338436990123,61.04338436990123,61.04338436990123,61.04338436990123,29.71743028794212,61.04338436990123,61.04338436990123,67.04647695037433,67.04647695037433,67.04647695037433,67.04647695037433,67.04647695037433,67.04647695037433,67.04647695037433,67.62293165250847,29.71743028794212,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,61.04338436990123,61.04338436990123,61.04338436990123,61.04338436990123,29.71743028794212,61.04338436990123,61.04338436990123,61.04338436990123,67.04647695037433,67.04647695037433,67.04647695037433,67.04647695037433,67.04647695037433,67.04647695037433,67.04647695037433,29.71743028794212,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,67.62293165250847,61.04338436990123,61.04338436990123,61.04338436990123,29.71743028794212,61.04338436990123,61.04338436990123,61.04338436990123,61.04338436990123,29.71743028794212,67.62293165250847,67.62293165250847
