,labels_data7_DBSCAN_params13,labels_data7_DBSCAN_params17,labels_data7_DBSCAN_params18,labels_data7_DBSCAN_params19,labels_data7_DBSCAN_params21,labels_data7_DBSCAN_params22,labels_data7_DBSCAN_params23,labels_data7_DBSCAN_params24,labels_data7_DBSCAN_params25,labels_data7_DBSCAN_params26,labels_data7_DBSCAN_params27,labels_data7_DBSCAN_params28
cSIL,,,,,1.7802421742318941e-06,1.7802421742318941e-06,,,1.7802421742318941e-06,1.7802421742318941e-06,1.7802421742318941e-06,1.7802421742318941e-06
GD43,,,,,0.000918248541013863,0.000918248541013863,,,0.000918248541013863,0.000918248541013863,0.000918248541013863,0.000918248541013863
GD53,,,,,0.314020080127793,0.314020080127793,,,0.314020080127793,0.314020080127793,0.314020080127793,0.314020080127793
PS,,,,,1.9633687222225316,1.9633687222225316,,,1.9633687222225316,1.9633687222225316,1.9633687222225316,1.9633687222225316
rCIP,,,,,0.30091934496403683,0.30091934496403683,,,0.30091934496403683,0.30091934496403683,0.30091934496403683,0.30091934496403683
WB,,,,,1772496.8913894773,1772496.8913894773,,,1772496.8913894773,1772496.8913894773,1772496.8913894773,1772496.8913894773
XB,,,,,221562.11142368466,221562.11142368466,,,221562.11142368466,221562.11142368466,221562.11142368466,221562.11142368466
SSE,1330.0418624897661,1042.9910869005814,718.995746941554,728.091931312599,527.8358103109085,527.8358103109085,1029.611917104314,962.8655173245497,527.8358103109085,527.8358103109085,527.8358103109085,527.8358103109085
RS,,,,,-0.9999977432990121,-0.9999977432990121,,,-0.9999977432990121,-0.9999977432990121,-0.9999977432990121,-0.9999977432990121
DH,0.11606929489982176,0.09345296216118129,0.1802948224029071,0.21827513233862875,0.9023514190634171,0.9023514190634171,0.24764708134022434,0.46294032121371564,0.9023514190634171,0.9023514190634171,0.9023514190634171,0.9023514190634171
B,0.10392620462665292,1.0839850720084208,0.6249218623518307,0.19703177545147565,444012.2473420534,444012.2473420534,1.3048494046446917,0.23985955740506185,444012.2473420534,444012.2473420534,444012.2473420534,444012.2473420534
BH,0.0008944019573950526,2.89466650610819,0.24492827964474015,0.016703517052395415,263.9179051554542,263.9179051554542,9.28908476155689,26.86387784235303,263.9179051554542,263.9179051554542,263.9179051554542,263.9179051554542
D,1.6019162981459296,0.06770966333821778,0.2051114734903056,2.314497564275485,0.3854980009910286,0.3854980009910286,0.2182063283547358,0.7665502340413114,0.3854980009910286,0.3854980009910286,0.3854980009910286,0.3854980009910286
H,,,,,1.9999860963428784,1.9999860963428784,,,1.9999860963428784,1.9999860963428784,1.9999860963428784,1.9999860963428784
DBCV,0.05614586450073916,0.6822399035568412,0.13389099244141503,0.09474663571046253,0.75296445050874,0.75296445050874,0.41485710949136523,0.49878576541469105,0.75296445050874,0.75296445050874,0.75296445050874,0.75296445050874
I,16662.822767872032,0.022569764599183875,7.232549628665821,834.2330966207118,5.95584962242698e-07,5.95584962242698e-07,0.10642966057736235,0.4557213068234012,5.95584962242698e-07,5.95584962242698e-07,5.95584962242698e-07,5.95584962242698e-07
C,0.5730177813363879,0.2064498336611102,0.6166441953864992,0.6146952112163202,0.4358987619282769,0.4358987619282769,0.15787485170055826,0.4017225786768526,0.4358987619282769,0.4358987619282769,0.4358987619282769,0.4358987619282769
CDbw,0.8265053827869527,0.2969062596487095,0.3408345358836892,0.7724468552153616,0.03730599141835129,0.03730599141835129,0.17911814436349696,0.11264443369427184,0.03730599141835129,0.03730599141835129,0.03730599141835129,0.03730599141835129
VIASCKDE,0.5935540436458412,0.4978566096857642,0.5126142852248008,0.5712860441464467,0.7456717142778656,0.7456717142778656,0.664267300435674,0.7325932859869337,0.7456717142778656,0.7456717142778656,0.7456717142778656,0.7456717142778656
COP,0.4729426027254025,0.4097840966880332,0.46526960288021646,0.47231727889218567,0.5461686773551464,0.5461686773551464,0.39710085374250703,0.5346607544120733,0.5461686773551464,0.5461686773551464,0.5461686773551464,0.5461686773551464
Sym,0.00662277234116598,0.0034199460933423864,0.0076553067678802435,0.007208550571177458,4.279254616051696e-05,4.279254616051696e-05,0.006314233673357502,0.007564006842697841,4.279254616051696e-05,4.279254616051696e-05,4.279254616051696e-05,4.279254616051696e-05
