,labels_ecoli_DBSCAN_params26,labels_ecoli_DBSCAN_params31,labels_ecoli_DBSCAN_params32,labels_ecoli_DBSCAN_params36,labels_ecoli_DBSCAN_params37,labels_ecoli_DBSCAN_params41,labels_ecoli_DBSCAN_params42,labels_ecoli_DBSCAN_params43,labels_ecoli_DBSCAN_params46,labels_ecoli_DBSCAN_params47,labels_ecoli_DBSCAN_params48,labels_ecoli_DBSCAN_params51,labels_ecoli_DBSCAN_params55
cSIL,0.9140651388932575,0.8628056823957626,0.9665688699718344,0.7939208187681084,0.47645136670186616,0.7937301640049441,0.7454978210247949,0.9662260752516771,0.9225206676038468,0.834599621535543,0.9024830266090097,0.9080956742076007,0.9155600912578832
GD43,26.844000789983138,3.8156546781007767,26.615337931089567,1.050204219130298,1.3602806981616635,1.1139417806226162,1.1905084815251714,6.5508383696581065,1.569025259943726,1.753842199793015,3.2720255833262812,0.758458620776296,3.039264569978901
GD53,0.47671226247893705,0.08981673682375617,0.47935747214841457,0.04655191535876582,0.10501710389570507,0.03531287763365808,0.168246062804255,0.4588100983939795,0.49451990777106986,0.4518707353984597,0.4339204751401039,0.04651224970378753,0.4455129804007222
PS,1.9633687222225316,-0.9412174999766223,1.796702055555865,-10.71116639763737,-0.46859403786669984,-2.9915823123635503,-1.2603329764407054,1.0985038573576666,0.9747755663289954,1.448748839181596,1.379292317808594,0.3509220577998442,1.2989391920211895
rCIP,81.53600533979021,391.1324287218905,4.902314653305848,367.59882679541045,77.94704347641922,20.267993471215537,19.505299619202155,0.0001453245871470965,2.483232417386857e-23,0.023070519149318795,0.15467993780249897,0.0003350314190766649,0.01242366716828559
WB,0.7519283302868007,0.638592552132097,0.28018925172856274,2.393050422912055,1.804863316097966,2.862715100413138,1.3726034114051062,0.9260044923236821,26.943528032869235,1.8965205494079795,1.0860131401714173,23.050817820294128,1.1071228188175095
XB,0.09399104128585006,0.27985530509758416,0.03473420475973918,1.2117206729377341,1.1730849098077176,0.7358367994979728,0.9612010215125358,0.04855749180268742,0.1502236108452557,0.20860961744177764,0.13760004959717925,0.5651323884613865,0.10413960506288285
SSE,0.020131815908375386,0.5766517640312538,0.10272836085662548,10.584434581659824,5.25129351618311,41.01849691411195,24.925407871873226,8.485847223243152,175.89404171526144,80.82520051322184,29.178840208636718,240.25570261781817,41.060181009527696
RS,0.45352622594758063,0.5405928611056531,0.7552986664996487,0.22574789925683134,0.19778853788505757,0.06938944868321269,0.2524663968181756,0.5488862233831239,0.03224473551874253,0.08152111857508705,0.3010398352316943,-0.07947240313448993,0.3736496161167841
DH,0.3257986526489334,0.026658638044443888,0.22269996822973256,0.011696453789299066,0.0995906549187728,0.03213747543714866,0.08096712049376639,0.23070161973965736,0.2695533787349559,0.4953408429096026,0.18356616387065952,0.14826266839721036,0.37282058676939067
B,0.2819731238575503,0.06442713125607133,0.0842098843992948,0.10400144907850263,0.16557363715190315,0.15151187979262004,0.15003931676099116,0.06294445625288703,0.154814337168039,0.37546285152315134,0.17992106296730914,0.16966178080350464,0.1686531253937087
BH,0.010065907954187693,0.07208147050390674,0.051364180428312735,0.661527161353739,1.3128233790457777,5.127312114263995,4.985081574374646,4.242923611621576,87.94702085763073,40.412600256610915,9.726280069545572,80.08523420593939,20.530090504763848
D,1.25390225524511,0.3644841859583291,1.913929807483761,0.20252569349358723,0.234619553868978,0.23449041885355068,0.24795751868473334,1.3444637317219381,0.8842679581815759,0.4861208410891261,0.6157206125095889,0.34558650920904915,0.6643479193904479
H,0.1717992602111464,0.9567049922332023,0.06685214342573463,2.894483823329934,1.1198780019739794,1.2662942832926904,1.215044635096023,0.06629479156206165,0.1361248224024107,0.3275703662755444,0.2840812906805723,0.2513936379017596,0.16672194467769383
DBCV,0.9999999999482053,0.8170952386223217,0.9281693698904572,0.2679429704138767,0.2230264749648627,-0.055322746658675676,0.30143067099528686,0.9178963405569887,0.9632867789538088,0.4433244605798776,0.5805200744970967,0.9373932316788537,0.5866655422726533
I,0.03214634747254457,0.38577740749956485,0.5820248798258858,0.10942187250159972,0.30302804348948553,0.3795289991231865,0.48210277881153163,1.225100438298355,1.1654261712093625,0.83115671664817,0.7150392092439932,0.5794770873157459,1.3402139722596498
C,0.0,0.01960238953628366,0.0,0.05430223439192149,0.12116595841007193,0.05688748310733887,0.03092476458318037,0.00037572734521315896,0.005695588726746513,0.0741020495417329,0.012502325535065742,0.024276200183374865,0.017966987492436522
VIASCKDE,0.25513354867010135,0.24835781163535328,0.3428485525516151,0.1765139292348535,0.1653741613958025,0.1107167564030531,0.11854042609253455,0.1948369195857435,0.07638828457230167,0.07584544734892605,0.1054306106576606,0.06573246227635977,0.10560970995877234
COP,0.42739574412780484,0.4050897640823516,0.2606526419906341,0.36141674060927514,0.3693774656017758,0.3685024387734904,0.28261727406816334,0.3136857574823268,0.4038153101970546,0.30960424967040706,0.3462413802718541,0.37642739949878373,0.3318738676733951
Sym,5.023232781780339,0.46595175714163267,3.133875656982649,0.020198103206650976,0.10779075657201348,0.015259464115514399,0.025176923027450105,0.16846269200502248,0.015296944269704259,0.017199221832727946,0.03169230450252101,0.007362739186346189,0.036328133275401804
CS,0.5856638050348904,0.5471730569049224,0.3680694871269728,0.8825995096269731,0.8921035338015848,0.72276439128796,1.1938771426409032,0.38877855439291975,0.5173935627673819,1.0937337750105711,0.7211162486959448,0.7398266008022092,0.7058055358271966
SF,0.5921422579827966,0.3680135718808333,0.5769293164633078,0.09325117324599952,0.38847317866212494,0.1413225878205442,0.23618695284673263,0.4919978625628407,0.3357601897122592,0.3478757857927678,0.3351089384382139,0.24581859751847412,0.4174087326545528
SD,155.6049098490658,175.86041904894998,53.86365475175366,153.34914796479904,773.13499110078,338.0237941649357,322.9354114544422,681.9785263524186,1149.8611308821721,1006.0807934065976,496.9369989121772,1077.7282328257988,824.0997825495119
SDbw,2.223671800261061,0.25721307592868636,0.2754598510520805,0.15327430677305368,0.6483076882009216,0.2752413121020739,0.40924063902097574,0.242469810346427,0.5144006041073818,0.8116295107910245,0.3985987360547089,0.4894735124874207,0.4370845439688955
