,labels_s4_DBSCAN_params1,labels_s4_DBSCAN_params10,labels_s4_DBSCAN_params11,labels_s4_DBSCAN_params12,labels_s4_DBSCAN_params13,labels_s4_DBSCAN_params14,labels_s4_DBSCAN_params15,labels_s4_DBSCAN_params16,labels_s4_DBSCAN_params17,labels_s4_DBSCAN_params18,labels_s4_DBSCAN_params19,labels_s4_DBSCAN_params20,labels_s4_DBSCAN_params5,labels_s4_DBSCAN_params6,labels_s4_DBSCAN_params7,labels_s4_DBSCAN_params8,labels_s4_DBSCAN_params9
cSIL,0.9111064529624924,0.9456031121203042,0.9790880313596395,0.9992701562299134,0.8734752827289685,0.9338016686102565,0.9911137882907674,0.9808772219206836,0.8776419308010391,0.7290662280084386,0.7611781166237681,0.6999358241348008,0.9440125093811664,0.9997267718294514,0.9998852108407043,0.9998497256188856,0.9232840058490458
GD43,1117.5725820582247,24.90196371594841,64.8588697242244,794.428745452119,3.1454087354548776,15.333645206475742,70.30584937589718,24.467103316609567,0.3247523183696658,1.3230779125708776,1.209970509172406,0.1383353822186239,36.49378424248052,1501.3724248043875,4556.241172226704,5981.634999725352,9.631433763500876
GD53,0.28405520133725737,0.041563012938466114,0.09883824370366823,0.12179687834312285,0.00485181935258143,0.033279614145682715,0.11102711350133217,0.0890365266492295,0.001074822698239787,0.4993656205052455,0.013865228029130448,0.0029370545056264094,0.019848774733795024,0.060677683182671985,0.16700407308832826,0.4422540517051921,0.01103258282201284
PS,0.24976055683644838,-10.313866875554845,-4.631210591414614,-1.3577614035495258,-106.21879702815346,-13.372029373948369,-5.099380310978731,-6.4089121670432405,-4.911702634008089,0.9646407171345519,0.4536447325168834,-4.528622688473561,-23.75585735263605,-2.8673796595685097,0.5617450152057941,1.4112853888891983,-56.71320925666194
rCIP,60639.65823248563,60.43848764147959,13.391818267341215,3.3697921185518547e-165,489.0058523845262,30.26596184126087,4.736793982523703e-19,8.9455547291419,1.2296261890199005,0.13951715125740116,0.5741506075016493,67.26196401377871,979.3365768463848,0.0,0.0,0.0,471.3657159982032
WB,2.6662962918525115e-05,0.016768681971438226,0.007841725362824506,0.004331144450318306,1.2297755424086223,0.11795811801899389,0.05403566873591319,0.04020384003829986,540.2260921436134,852.9649438053115,20.094786101892787,5.497397357016821,0.011190821057304678,0.0020501933843695224,0.0007173090217553734,0.001530030822435237,0.1152131655943849
XB,0.1822247098695071,0.5293433101707526,0.14269365091347194,0.0017112283849258071,2.6401804231307366,0.3361776907347467,0.01637375775980234,0.25755744642063527,8.622212836260134,0.5411060904442315,0.6514926565025894,56.01554743057427,0.5347188346868966,0.0007841023878966917,0.00018281957239382122,0.0001634482489263666,1.610943998359728
SSE,2.1682733252333204e-05,0.23447039346064824,0.12234356856668882,0.0672562360282167,9.158916223336814,2.8279380832781102,1.6259206517509075,1.0841346156868528,1332.1208252280487,1243.3745206480671,1007.2509280293692,394.19486932700556,0.06505600138292653,0.02101014749447116,0.00745738663987295,0.004648773119636781,0.7786005989641109
RS,0.9999744091285905,0.9917636155121606,0.9952092357908633,0.9970420019687928,0.6760009837765577,0.9237765953151323,0.9588130021406925,0.9729998508570394,-0.011801368315214698,-0.00020197038358293158,0.02614407734153257,0.16878918915759764,0.9966672576370251,0.9989180253359496,0.9994623167914116,0.9985941642917633,0.9698604292822984
DH,0.0005065514989259594,0.0011498823257872523,0.0020562850446078675,0.0028403827429866065,0.00036974025300663964,0.0025008147224920784,0.003465162864487229,0.0027288982057406216,0.01752686911115117,0.41841688325563103,0.14211059222564107,0.023779302602059776,0.0003050319914279606,0.001295410267354212,0.0025702268361250742,0.015148264525304767,0.00030073944493428544
