,labels_statlog_MeanShift_params1,labels_statlog_MeanShift_params10,labels_statlog_MeanShift_params11,labels_statlog_MeanShift_params12,labels_statlog_MeanShift_params13,labels_statlog_MeanShift_params14,labels_statlog_MeanShift_params15,labels_statlog_MeanShift_params16,labels_statlog_MeanShift_params17,labels_statlog_MeanShift_params18,labels_statlog_MeanShift_params19,labels_statlog_MeanShift_params2,labels_statlog_MeanShift_params20,labels_statlog_MeanShift_params21,labels_statlog_MeanShift_params22,labels_statlog_MeanShift_params3,labels_statlog_MeanShift_params4,labels_statlog_MeanShift_params5,labels_statlog_MeanShift_params6,labels_statlog_MeanShift_params7,labels_statlog_MeanShift_params8,labels_statlog_MeanShift_params9
cSIL,0.660029452643582,0.6983370575144608,0.859180093423646,0.8046218806682351,0.692787945650758,0.843222946359474,0.7841913270196749,0.6983370575144608,0.8335428283449681,0.8792256609691941,0.8328728021375049,0.8423475410320883,0.8796798429510664,0.6753507468741138,0.8255594009066148,0.6801408643523322,0.8428268456764607,0.7025844314114544,0.7482457382326518,0.692787945650758,0.843222946359474,0.7841913270196749
GD43,0.2450332802536869,0.36488593658952384,0.6302891294967741,0.3363569365422484,0.277278125007325,0.6119581417787829,0.4116287817541426,0.36488593658952384,0.6813585039064541,0.8433350862121339,0.6829207110742519,0.5467617529619064,0.8437969678567602,0.356875194660738,0.5093478413568246,0.3086133436209855,0.5321737694091951,0.47339349559289035,0.32294653814034585,0.277278125007325,0.6119581417787829,0.4116287817541426
GD53,0.10012869547576451,0.0,0.4683745735851342,0.0,0.0,0.0,0.0,0.0,0.2713194535630723,0.4600971282883921,0.27805397613403493,0.0,0.4598919313478436,0.06919805643477506,0.0,0.09493998650879276,0.0,0.2582831851080535,0.0,0.0,0.0,0.0
PS,-0.5723181774275372,-5.008703428142944,1.05437290632295,-1.8001177209224553,-5.902919884491059,-23.845350763592155,-1.2074815001257573,-5.008703428142944,0.9144605883900935,1.1459084047622141,0.9204927458356937,-34.07152289499256,1.1452384106078006,-6.48333281571713,-18.778929584216467,-1.97943320396552,-27.33136394388271,-1.0854657526989735,-7.699057896411381,-5.902919884491059,-23.845350763592155,-1.2074815001257573
rCIP,2.2870465329995188e-05,3.9568764658824986e-05,1.4480163221606738e-07,5.514189526628394e-06,0.00016568204657873878,0.0006420965762641664,6.243467949509292e-06,3.9568764658824986e-05,8.892362271858693e-08,4.104743440808319e-08,9.583239384742305e-08,0.0012504192935654888,3.974573374255472e-08,6.563528971057158e-05,0.00026746619140644435,9.666153893807723e-05,0.0008526655211337975,9.37964680579407e-06,7.806716812403661e-05,0.00016568204657873878,0.0006420965762641664,6.243467949509292e-06
WB,4.644677189181216,6.293704721548496,6.068477628278736,4.828362844526851,4.149990085085443,7.874329981955086,6.837922563225579,6.293704721548496,3.6957295922214413,2.564623670010358,3.692992602748136,8.3814385716309,2.5656161975684317,4.7984403574347425,8.713309806468676,3.2559883359793753,8.380371725087297,3.1187952621159223,6.594128024257175,4.149990085085443,7.874329981955086,6.837922563225579
XB,1.1491548929484008,1.1719680269055148,0.23198413626302866,0.5769208249830255,0.5368771298737817,0.5482459175748856,0.7527840029507898,1.1719680269055148,0.26364407645762855,0.1673861401668848,0.26330112207634443,1.067119536502754,0.16702551789992898,0.7294232463538541,0.6630272994715978,0.5473915644153207,0.7679826638431804,0.47739851583736087,1.4235832822927361,0.5368771298737817,0.5482459175748856,0.7527840029507898
SSE,2633.315707147488,2271.3263879281776,4965.500202670977,2694.9462563624325,1134.501175508879,983.2038742476636,3516.4486056842334,2271.3263879281776,3643.989601346497,3709.3132950105646,3642.779975721767,846.3284538110241,3709.9421391810756,1523.155278389645,1379.0606063803773,1177.4767452263604,964.2169759611131,1851.842215765088,1700.951319799918,1134.501175508879,983.2038742476636,3516.4486056842334
RS,-1.0088299000919816,-1.7290612607542322,0.0030178051765833323,-1.0226765528211752,-2.4932968815250875,-2.3801759777542832,-0.8974417693633836,-1.7290612607542322,-0.4193331656320209,0.09451848060216719,-0.4259522090051072,-2.3805361791148503,0.09657424852053934,-2.783917734548906,-2.431216023098274,-1.829974449643145,-2.2147546428886695,-1.5296362022527328,-2.2424425756888113,-2.4932968815250875,-2.3801759777542832,-0.8974417693633836
DH,0.07514800216125953,0.029673909691007257,0.42846381061375727,0.05121632508583147,0.017099741401197504,0.0038892171586873397,0.07124707959924577,0.029673909691007257,0.22815652346783383,0.43196211831614095,0.22930490865677094,0.0027417095560611318,0.43098820405966254,0.023575463206788928,0.005942774943340334,0.02581443977047213,0.003326032544994233,0.059390048524685414,0.015208726960672447,0.017099741401197504,0.0038892171586873397,0.07124707959924577
B,0.4035119118246507,0.20617413007260574,0.27412320314104827,0.18223213729131135,0.1541073572902607,0.10785730310645121,0.2392137694075392,0.20617413007260574,0.25910441005080453,0.22674221583188162,0.26087092066939666,0.09853308525382451,0.22605082043920605,0.1754599815802711,0.1336313238513866,0.17586310282960485,0.10978691650476294,0.17866840740672157,0.15811942550876643,0.1541073572902607,0.10785730310645121,0.2392137694075392
BH,376.18795816392685,189.27719899401484,2482.7501013354886,384.9923223374904,56.72505877544394,21.848974983281412,586.0747676140389,189.27719899401484,1214.6632004488322,1854.6566475052825,1214.2599919072557,14.847867610719721,1854.9710695905376,95.19720489935281,41.78971534485991,78.49844968175735,19.677897468594146,231.480276970636,89.5237536736799,56.72505877544394,21.848974983281412,586.0747676140389
