,labels_statlog_MeanShift_params1,labels_statlog_MeanShift_params10,labels_statlog_MeanShift_params11,labels_statlog_MeanShift_params12,labels_statlog_MeanShift_params13,labels_statlog_MeanShift_params14,labels_statlog_MeanShift_params15,labels_statlog_MeanShift_params16,labels_statlog_MeanShift_params17,labels_statlog_MeanShift_params18,labels_statlog_MeanShift_params19,labels_statlog_MeanShift_params2,labels_statlog_MeanShift_params20,labels_statlog_MeanShift_params21,labels_statlog_MeanShift_params22,labels_statlog_MeanShift_params3,labels_statlog_MeanShift_params4,labels_statlog_MeanShift_params5,labels_statlog_MeanShift_params6,labels_statlog_MeanShift_params7,labels_statlog_MeanShift_params8,labels_statlog_MeanShift_params9
D,0.18277593213364104,0.20562392168538238,0.5302773217212688,0.3481018639220009,0.13983857098936844,0.21644794687468255,0.37142621587662955,0.20562392168538238,0.43312202590283516,0.38911503791797236,0.43042535685476313,0.20917701485970788,0.3889114555382206,0.2674488565874649,0.2816465879039814,0.16221080445816138,0.1976716941331066,0.2420086931086958,0.24011350740026927,0.13983857098936844,0.21644794687468255,0.37142621587662955
H,2.151639659228922,3.4356666018137414,0.2549717207860861,1.3811592534963262,5.293785443283467,6.372407348459253,1.2807601770302166,3.4356666018137414,0.5044965545745316,0.2346699085337303,0.5065750586577396,8.295500912078584,0.23366335415028067,4.853768140140884,5.470369090029754,4.254882720861343,6.664574400825219,2.229000428302382,4.64466065140899,5.293785443283467,6.372407348459253,1.2807601770302166
DBCV,-0.8478236834746232,-0.793538107129905,-0.8687862145977683,-0.7839154579512627,-0.4469665588945241,-0.48394332518727823,-0.8283448105240642,-0.793538107129905,-0.8535979753513752,-0.8571825632837161,-0.8515256877039963,-0.43971572087308947,-0.8544074213534204,-0.57350955547517,-0.36347609220203103,-0.45957723421626706,-0.4502903829503072,-0.8101018552147953,-0.6276984864289035,-0.4469665588945241,-0.48394332518727823,-0.8283448105240642
I,0.5488547227260745,0.3930566920643816,3.471007721644586,0.967396417277312,0.32542017654377225,0.07295011347320098,0.7542956511689572,0.3930566920643816,2.1591641876021535,4.476092880405403,2.142137973530299,0.05391003490355293,4.486449007541394,0.3196343473964043,0.09879967944846033,0.4914923800028047,0.06192377292831859,0.9239170550183937,0.20810650116329146,0.32542017654377225,0.07295011347320098,0.7542956511689572
C,0.16653984775823824,0.07569360897785657,0.1947145397692473,0.06702091805421091,0.047715707721817394,0.04065092979469803,0.06912904401009572,0.07569360897785657,0.050530626839485206,0.05055564029258047,0.05212508849373452,0.039324190662702437,0.05025803729309401,0.048937649647245327,0.04515946323718266,0.04866302725637326,0.04219773770903898,0.04795681773741296,0.05509232983845368,0.047715707721817394,0.04065092979469803,0.06912904401009572
VIASCKDE,0.12723096844656298,,0.11822426154438144,,,,,,0.12244678783892174,0.12345711691433219,0.12261599916656146,,0.1234783549810735,,,,,0.12592636539431362,,,,
COP,0.330590923884367,0.43683561759795864,0.38438508845516034,0.40074601254541836,0.3947361583566149,0.43970942503861277,0.43098870341046636,0.43683561759795864,0.3737693159071725,0.32742395659737994,0.37381200612143645,,0.32739101503466006,0.40809768566248716,0.44721599011509144,0.3795845323310374,,0.35998004256907806,0.429390010235181,0.3947361583566149,0.43970942503861277,0.43098870341046636
Sym,0.0003320874250519451,0.00029296562424558134,0.000488861937767726,0.0004386115714971573,0.00034739144450546765,0.0001854030681235039,0.00027672397160955983,0.00029296562424558134,0.0004646450459473575,0.000660707886508911,0.0004620143374844893,0.0001631650584598214,0.0006617214661143708,0.0003306303580880637,0.00019769977502256204,0.0004024104095732819,0.00017099932480252601,0.0005107084625576355,0.00025234170637919825,0.00034739144450546765,0.0001854030681235039,0.00027672397160955983
CS,1.801219532844475,1.13619772142626,1.2964828221160014,1.0147855974986841,1.3994075240491362,0.7164347511900565,1.0783803379872015,1.13619772142626,1.0823493097489714,1.1262968214143052,1.0835033601244386,0.6922671169637593,1.1251176765522,1.427145493369672,0.7828938886902075,1.5512722272496065,0.6802713585802209,1.3795876245251044,0.9834679338602785,1.3994075240491362,0.7164347511900565,1.0783803379872015
SF,0.0036125382876592838,0.0002795921258851308,0.15857401593327858,0.0062936393555353964,2.8298526595360585e-06,8.576673438120963e-08,0.012339759687153062,0.0002795921258851308,0.049674416173897895,0.19543033786692976,0.049162337366255415,1.705608043689466e-08,0.19593777827942171,3.813524650730926e-06,6.9843511174561e-07,4.643326241127177e-05,1.3046031910324274e-07,0.0006389716440931004,1.3707623878755903e-05,2.8298526595360585e-06,8.576673438120963e-08,0.012339759687153062
SD,31092.783982400375,27084.45516801836,42344.17021654485,33553.124235280855,21143.018722380326,10631.109257508622,32658.59379867122,27084.45516801836,47833.07494659446,44655.32757627874,47973.19784396372,8332.381782697945,44589.10396927723,32408.341979411136,14389.741574392161,22415.648056348098,8810.71950528713,38597.389207611915,20395.0623173404,21143.018722380326,10631.109257508622,32658.59379867122
SDbw,0.5227056826313305,inf,0.60535566200601,inf,inf,inf,0.4073465315075234,inf,0.6672772145531486,0.8002378160171421,0.6705877017934009,inf,0.7974626406884141,inf,inf,inf,inf,inf,inf,inf,inf,0.4073465315075234
XB*,1.9468832240909626,1.4216351071877773,0.24764808910027442,0.9933672129142332,1.7916225694180166,0.881193635578987,0.8117166908821974,1.4216351071877773,0.28508339382486503,0.1819030481559167,0.2842933867139422,1.4830851743436677,0.18159213775550853,1.40032390892775,0.9830751432831715,1.5954578580813967,1.2110498309498077,0.774539216790246,2.045700353941351,1.7916225694180166,0.881193635578987,0.8117166908821974
S,0.17889468799534278,0.25318065327393147,0.40037253286100694,0.3249842276481087,0.21575079385699675,0.21348313321430093,0.2460332065238275,0.25318065327393147,0.4215977040888864,0.485427056321452,0.4210622227020333,0.21053530666144063,0.4858688486898932,0.22270426045204275,0.14145197125957648,0.2823572286410357,0.2020928295805764,0.3724332011905111,0.2523242802631793,0.21575079385699675,0.21348313321430093,0.2460332065238275
DB,1.2303213770360002,1.285851567510025,0.6707814830306154,1.1254045147962597,1.1195826634020096,0.8108598249393225,1.0387327315577621,1.285851567510025,0.8875772524766564,0.6808589101908625,0.8891624898170617,0.8111908776661827,0.6791333973576836,1.282365874430961,0.9030716891076093,1.210935225653835,0.784011332853717,1.2044598555836838,1.164934125552316,1.1195826634020096,0.8108598249393225,1.0387327315577621
CH,522.2106728212856,359.4934231342174,686.8279419169932,502.3441854104657,524.0342259903225,265.0874891476284,365.0231451030925,359.4934231342174,845.4352305905356,1625.189710575808,846.061808430081,246.4054499960715,1624.5609939437672,460.14951432685973,242.97956769863086,681.4915603071826,248.13189297737733,761.4661891098102,330.87518551463296,524.0342259903225,265.0874891476284,365.0231451030925
AD-S,0.031410707170465506,0.2197624486657415,0.5703138507869026,0.44919391661521324,0.18675810447367558,0.11241217339831065,0.5034014386810854,0.2197624486657415,0.5660048981152236,0.6519346242658617,0.5630903930370695,0.07556667628293855,0.6524774188666878,0.1546081127341563,0.13588881507413,0.2662175244225656,0.09447817099060632,0.2716371428753997,0.16254384037529637,0.18675810447367558,0.11241217339831065,0.5034014386810854
AD-DB,3.3026484027764367,1.784332116791328,0.6087221034978041,1.3170010125629443,1.923664776847282,1.4002427642564153,1.1975360213760715,1.784332116791328,1.2123407007469436,0.6244335860064016,1.2153833195535935,1.3362141103704428,0.6222085194029698,1.9221345917951331,1.4979677468754182,1.765151501353521,1.4453960655087335,1.8202716112710262,1.516503606088437,1.923664776847282,1.4002427642564153,1.1975360213760715
AD-CH,270.4050161092015,295.546929038555,1347.4733290392692,513.558960243925,196.54485710624442,90.80440190906641,392.51438837609993,295.546929038555,942.8780778565156,1860.5909264897857,943.5102616740764,72.75506502937563,1859.6591039974428,228.87896738393638,110.09139866398918,264.1366495583335,84.37704334827083,478.7627734964433,187.56216954092727,196.54485710624442,90.80440190906641,392.51438837609993
AD-idea,1.2075289466050294,3.884975736919249,9.81134227652222,7.391308212156683,3.972506099442832,10.846696053692874,5.14460355663989,3.884975736919249,8.499662120819435,10.102936278605057,8.226252433585175,2.4146111869173934,10.203838236301792,1.1377547180577003,0.5283234290705905,15.554957690607765,17.206036338724445,6.050635484410052,0.47535110093694594,3.972506099442832,10.846696053692874,5.14460355663989
