,labels_sonar_SpectralClustering_params1,labels_sonar_SpectralClustering_params10,labels_sonar_SpectralClustering_params11,labels_sonar_SpectralClustering_params12,labels_sonar_SpectralClustering_params13,labels_sonar_SpectralClustering_params14,labels_sonar_SpectralClustering_params15,labels_sonar_SpectralClustering_params16,labels_sonar_SpectralClustering_params17,labels_sonar_SpectralClustering_params18,labels_sonar_SpectralClustering_params19,labels_sonar_SpectralClustering_params2,labels_sonar_SpectralClustering_params20,labels_sonar_SpectralClustering_params21,labels_sonar_SpectralClustering_params22,labels_sonar_SpectralClustering_params23,labels_sonar_SpectralClustering_params24,labels_sonar_SpectralClustering_params25,labels_sonar_SpectralClustering_params26,labels_sonar_SpectralClustering_params27,labels_sonar_SpectralClustering_params28,labels_sonar_SpectralClustering_params29,labels_sonar_SpectralClustering_params3,labels_sonar_SpectralClustering_params30,labels_sonar_SpectralClustering_params31,labels_sonar_SpectralClustering_params32,labels_sonar_SpectralClustering_params33,labels_sonar_SpectralClustering_params34,labels_sonar_SpectralClustering_params35,labels_sonar_SpectralClustering_params36,labels_sonar_SpectralClustering_params4,labels_sonar_SpectralClustering_params5,labels_sonar_SpectralClustering_params6,labels_sonar_SpectralClustering_params7,labels_sonar_SpectralClustering_params8,labels_sonar_SpectralClustering_params9
cSIL,0.7375135947393072,0.7375135947393072,0.7375135947393072,0.7375135947393072,0.6038250468956899,0.6038250468956899,0.3556312949070332,0.36043109733918327,0.3988288565002012,0.376390667897782,0.6682550250281398,0.7375135947393072,0.6673359281639829,0.6682550250281398,0.6673359281639829,0.6682550250281398,0.6673359281639829,0.47591942663295494,0.5042233609430473,0.37096396599388154,0.37160988556616803,0.37374760406024793,0.4612846492936705,0.3460415827345717,0.6601174939879418,0.6157194853020733,0.6601174939879418,0.6157194853020733,0.6601174939879418,0.6157194853020733,0.4582044348422516,0.4635110654542957,0.4564268008878276,0.7375135947393072,0.7375135947393072,0.7375135947393072
GD43,0.23411741802751174,0.23411741802751174,0.23411741802751174,0.23411741802751174,0.1579641971602455,0.1579641971602455,0.11916808055224769,0.12051819614200067,0.12143714133271898,0.12322389741294983,0.19056043744812157,0.23411741802751174,0.1935577858247457,0.19056043744812157,0.1935577858247457,0.19056043744812157,0.1935577858247457,0.15601565496711672,0.13620788668619782,0.09823795227307525,0.09853415926179565,0.09841284332328376,0.14335401365950246,0.10383347992444085,0.15683986097529723,0.14840146015186334,0.15683986097529723,0.14840146015186334,0.15683986097529723,0.14840146015186334,0.14322285764147122,0.14383408948995569,0.1423415844617612,0.23411741802751174,0.23411741802751174,0.23411741802751174
GD53,0.49219242352749476,0.49219242352749476,0.49219242352749476,0.49219242352749476,0.41452352121351327,0.41452352121351327,0.314779557827664,0.31172698260110104,0.3015799389005891,0.29478526334696165,0.34107501994865774,0.49219242352749476,0.36404342844232,0.34107501994865774,0.36404342844232,0.34107501994865774,0.36404342844232,0.13833105881679905,0.2714342482919293,0.2521792834413316,0.24796201397311401,0.2662176916259518,0.45729319680355485,0.31909236562094495,0.21017530104396498,0.2760808516748957,0.21017530104396498,0.2760808516748957,0.21017530104396498,0.2760808516748957,0.4590373083556949,0.45751205305698095,0.456360775558496,0.49219242352749476,0.49219242352749476,0.49219242352749476
PS,0.9930716925195613,0.9930716925195613,0.9930716925195613,0.9930716925195613,1.0654370588662865,1.0654370588662865,2.548084018380535,2.593247919800808,2.1906966956534415,2.7003857030002454,0.830356596294777,0.9930716925195613,0.8451561532063723,0.830356596294777,0.8451561532063723,0.830356596294777,0.8451561532063723,0.7400260246939179,0.9287051948850674,2.0504639661501014,2.0683157180211174,2.16917809277337,1.5156075281926809,2.2931689196882843,0.4037634347194969,0.38191443354653953,0.4037634347194969,0.38191443354653953,0.4037634347194969,0.38191443354653953,1.5511549817645163,1.4927804869284138,1.5883687222225316,0.9930716925195613,0.9930716925195613,0.9930716925195613
rCIP,5.401692062921282e-32,5.401692062921282e-32,5.401692062921282e-32,5.401692062921282e-32,2.308607007996827e-30,2.308607007996827e-30,8.486598423600487e-30,8.479683813537768e-30,6.83081065406724e-30,8.444995569979174e-30,1.7996054882825035e-30,5.401692062921282e-32,1.480967619664852e-30,1.7996054882825035e-30,1.480967619664852e-30,1.7996054882825035e-30,1.480967619664852e-30,2.6883416643765804e-29,1.3935931830770195e-29,1.8507326150162346e-29,1.8912598294436358e-29,1.6793001200121992e-29,1.9212149371466336e-30,1.8867799317864587e-29,1.0065213899651811e-29,8.67341352552886e-30,1.0065213899651811e-29,8.67341352552886e-30,1.0065213899651811e-29,8.67341352552886e-30,1.9481043258907915e-30,1.9038857821454592e-30,2.0910249784549004e-30,5.401692062921282e-32,5.401692062921282e-32,5.401692062921282e-32
WB,32.37521813230743,32.37521813230743,32.37521813230743,32.37521813230743,10.418755308037612,10.418755308037612,8.702786142050805,8.628597460136806,7.869001783377421,8.178367752665167,16.95276401986327,32.37521813230743,15.33384121797874,16.95276401986327,15.33384121797874,16.95276401986327,15.33384121797874,12.24928269374467,10.73658927585448,8.333462464849113,8.331995480208672,8.250560987980922,10.254094698947418,9.247473975002677,20.105135726113524,18.113200201584174,20.105135726113524,18.113200201584174,20.105135726113524,18.113200201584174,10.186871932081791,10.314716734576306,10.061680754210004,32.37521813230743,32.37521813230743,32.37521813230743
XB,0.4534805424412514,0.4534805424412514,0.4534805424412514,0.4534805424412514,1.0807017051008023,1.0807017051008023,1.2768367501122246,1.2493083814314105,1.140640863116944,1.1390998928670992,0.7266181530971401,0.4534805424412514,0.7175175127920332,0.7266181530971401,0.7175175127920332,0.7266181530971401,0.7175175127920332,1.0593121370884475,1.3923430921515687,1.5912436702653228,1.5688742445041826,1.5817517738003277,1.1751063590371045,1.7879225760400659,1.0516239958975369,1.1954283242588446,1.0516239958975369,1.1954283242588446,1.0516239958975369,1.1954283242588446,1.1875344071157201,1.1672719381584133,1.1907314502023676,0.4534805424412514,0.4534805424412514,0.4534805424412514
SSE,2027.248903590059,2027.248903590059,2027.248903590059,2027.248903590059,1671.2577668257454,1671.2577668257454,1600.6960618769326,1597.1757419193164,1558.3672670638562,1574.8096808808145,1828.8466210170157,2027.248903590059,1800.2686957353517,1828.8466210170157,1800.2686957353517,1828.8466210170157,1800.2686957353517,1622.6180284392908,1568.227964611276,1454.388061377128,1454.305017614488,1449.6639394355761,1801.1750623431058,1502.5532647547957,1795.3009547381475,1763.1262979421037,1795.3009547381475,1763.1262979421037,1795.3009547381475,1763.1262979421037,1799.237245467009,1802.9044592825448,1795.5708147886971,2027.248903590059,2027.248903590059,2027.248903590059
RS,-0.395599388287221,-0.395599388287221,-0.395599388287221,-0.395599388287221,-0.9837172368547078,-0.9837172368547078,-1.2432515155918793,-1.2281021819843425,-1.2631879399105685,-1.2028522661185386,-0.9767536644721121,-0.395599388287221,-0.9920067311419964,-0.9767536644721121,-0.9920067311419964,-0.9767536644721121,-0.9920067311419964,-1.0457660383106175,-1.4283777077842623,-1.7923287114299586,-1.775417871233866,-1.8433567771448405,-0.6102151747018558,-1.924171051999921,-1.1122013293032285,-1.3352275720646174,-1.1122013293032285,-1.3352275720646174,-1.1122013293032285,-1.3352275720646174,-0.6194670640780864,-0.6060431242417983,-0.6205101600371336,-0.395599388287221,-0.395599388287221,-0.395599388287221
DH,0.5895446836489214,0.5895446836489214,0.5895446836489214,0.5895446836489214,0.31269839419330964,0.31269839419330964,0.3970669073396951,0.39657974466312396,0.3890049740063414,0.3926270390911109,0.31234730902573077,0.5895446836489214,0.3144022329839325,0.31234730902573077,0.3144022329839325,0.31234730902573077,0.3144022329839325,0.18380352769563374,0.21176949882470142,0.25081681419921276,0.25072465262277094,0.25187291673055473,0.8179118102754998,0.2605124216578142,0.18989811396669015,0.2045013742148018,0.18989811396669015,0.2045013742148018,0.18989811396669015,0.2045013742148018,0.8202955819768667,0.8164614644248444,0.8221487691184959,0.5895446836489214,0.5895446836489214,0.5895446836489214
